Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,18.0,18.042,17.22,17.49,8896294.0,0.0,1.0,18.0,18.042,17.22,17.49,8896294.0
2015-04-15,17.15,18.58,16.98,18.16,13591916.0,0.0,1.0,17.15,18.58,16.98,18.16,13591916.0
2015-04-14,16.55,17.15,16.5,16.94,6720225.0,0.0,1.0,16.55,17.15,16.5,16.94,6720225.0
2015-04-13,16.41,16.53,16.01,16.45,5882386.0,0.0,1.0,16.41,16.53,16.01,16.45,5882386.0
2015-04-10,16.32,16.75,16.05,16.23,5940522.0,0.0,1.0,16.32,16.75,16.05,16.23,5940522.0
2015-04-09,15.67,16.39,15.6,16.17,5548855.0,0.0,1.0,15.67,16.39,15.6,16.17,5548855.0
2015-04-08,15.82,15.98,15.44,15.59,6424827.0,0.0,1.0,15.82,15.98,15.44,15.59,6424827.0
2015-04-07,15.53,16.01,15.39,15.8,6839628.0,0.0,1.0,15.53,16.01,15.39,15.8,6839628.0
2015-04-06,14.94,15.66,14.885,15.62,8513967.0,0.0,1.0,14.94,15.66,14.885,15.62,8513967.0
2015-04-02,14.3,14.81,14.21,14.76,7289549.0,0.0,1.0,14.3,14.81,14.21,14.76,7289549.0
2015-04-01,14.33,14.67,14.22,14.45,6928004.0,0.0,1.0,14.33,14.67,14.22,14.45,6928004.0
2015-03-31,14.03,14.55,13.92,14.28,4443353.0,0.0,1.0,14.03,14.55,13.92,14.28,4443353.0
2015-03-30,14.42,14.57,13.91,14.19,7088507.0,0.0,1.0,14.42,14.57,13.91,14.19,7088507.0
2015-03-27,14.5,14.5,14.12,14.32,5081844.0,0.0,1.0,14.5,14.5,14.12,14.32,5081844.0
2015-03-26,14.94,15.13,14.45,14.67,6327731.0,0.0,1.0,14.94,15.13,14.45,14.67,6327731.0
2015-03-25,14.27,14.92,14.22,14.65,6853962.0,0.0,1.0,14.27,14.92,14.22,14.65,6853962.0
2015-03-24,14.42,14.55,13.9735,14.1,6401401.0,0.0,1.0,14.42,14.55,13.9735,14.1,6401401.0
2015-03-23,13.74,14.61,13.74,14.44,10507452.0,0.0,1.0,13.74,14.61,13.74,14.44,10507452.0
2015-03-20,13.85,14.04,13.58,13.72,15912205.0,0.0,1.0,13.85,14.04,13.58,13.72,15912205.0
2015-03-19,14.02,14.06,13.52,13.55,5969153.0,0.0,1.0,14.02,14.06,13.52,13.55,5969153.0
2015-03-18,13.56,14.39,13.45,14.31,7259408.0,0.0,1.0,13.56,14.39,13.45,14.31,7259408.0
2015-03-17,13.61,13.79,13.505,13.69,6082599.0,0.0,1.0,13.61,13.79,13.505,13.69,6082599.0
2015-03-16,13.44,13.79,13.15,13.79,7670787.0,0.0,1.0,13.44,13.79,13.15,13.79,7670787.0
2015-03-13,14.05,14.05,13.26,13.56,9822549.0,0.0,1.0,14.05,14.05,13.26,13.56,9822549.0
2015-03-12,14.17,14.27,13.84,14.21,7846827.0,0.0,1.0,14.17,14.27,13.84,14.21,7846827.0
2015-03-11,14.28,14.3,13.7,14.09,7730223.0,0.0,1.0,14.28,14.3,13.7,14.09,7730223.0
2015-03-10,14.17,14.5,14.13,14.27,7486297.0,0.0,1.0,14.17,14.5,14.13,14.27,7486297.0
2015-03-09,15.1,15.25,14.335,14.36,11736238.0,0.0,1.0,15.1,15.25,14.335,14.36,11736238.0
2015-03-06,15.88,16.04,15.17,15.19,7857915.0,0.0,1.0,15.88,16.04,15.17,15.19,7857915.0
2015-03-05,16.16,16.24,15.84,15.97,8278500.0,0.0,1.0,16.16,16.24,15.84,15.97,8278500.0
2015-03-04,16.31,16.32,15.92,16.22,5089600.0,0.0,1.0,16.31,16.32,15.92,16.22,5089600.0
2015-03-03,15.62,16.46,15.57,16.27,8236895.0,0.0,1.0,15.62,16.46,15.57,16.27,8236895.0
2015-03-02,16.54,16.54,15.515,15.94,10080820.0,0.0,1.0,16.54,16.54,15.515,15.94,10080820.0
2015-02-27,16.71,16.98,16.52,16.64,6909177.0,0.0,1.0,16.71,16.98,16.52,16.64,6909177.0
