Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,103.81,104.4103,102.94,103.76,1687554.0,0.0,1.0,103.81,104.4103,102.94,103.76,1687554.0
2015-04-15,104.63,105.63,104.15,104.18,1596683.0,0.0,1.0,104.63,105.63,104.15,104.18,1596683.0
2015-04-14,104.15,104.79,103.91,104.36,1042617.0,0.0,1.0,104.15,104.79,103.91,104.36,1042617.0
2015-04-13,104.47,104.812,103.64,103.75,1176748.0,0.0,1.0,104.47,104.812,103.64,103.75,1176748.0
2015-04-10,104.26,105.16,103.92,104.9,933127.0,0.0,1.0,104.26,105.16,103.92,104.9,933127.0
2015-04-09,103.88,104.1,102.94,104.01,1317752.0,0.0,1.0,103.88,104.1,102.94,104.01,1317752.0
2015-04-08,103.96,104.34,103.29,104.04,1426499.0,0.0,1.0,103.96,104.34,103.29,104.04,1426499.0
2015-04-07,105.41,105.76,104.19,104.29,1032087.0,0.0,1.0,105.41,105.76,104.19,104.29,1032087.0
2015-04-06,105.22,106.63,105.13,105.54,1676558.0,0.0,1.0,105.22,106.63,105.13,105.54,1676558.0
2015-04-02,104.62,105.27,104.27,104.75,1314372.0,0.0,1.0,104.62,105.27,104.27,104.75,1314372.0
2015-04-01,103.94,105.16,102.86,104.76,1888642.0,0.0,1.0,103.94,105.16,102.86,104.76,1888642.0
2015-03-31,104.45,104.99,103.39,104.05,2284519.0,0.0,1.0,104.45,104.99,103.39,104.05,2284519.0
2015-03-30,104.33,105.06,103.78,104.74,1583283.0,0.0,1.0,104.33,105.06,103.78,104.74,1583283.0
2015-03-27,102.96,104.03,102.74,103.54,1514399.0,0.0,1.0,102.96,104.03,102.74,103.54,1514399.0
2015-03-26,102.81,103.78,102.3,102.72,1708300.0,0.0,1.0,102.81,103.78,102.3,102.72,1708300.0
2015-03-25,104.84,105.2299,103.42,103.42,1649912.0,0.0,1.0,104.84,105.2299,103.42,103.42,1649912.0
2015-03-24,105.34,106.36,104.75,104.84,2099539.0,0.0,1.0,105.34,106.36,104.75,104.84,2099539.0
2015-03-23,105.07,106.18,105.07,105.74,2417505.0,0.0,1.0,105.07,106.18,105.07,105.74,2417505.0
2015-03-20,105.97,106.89,104.82,105.99,6578060.0,0.0,1.0,105.97,106.89,104.82,105.99,6578060.0
2015-03-19,106.5,107.47,104.95,105.48,2844652.0,0.0,1.0,106.5,107.47,104.95,105.48,2844652.0
2015-03-18,103.26,107.39,102.99,106.9,3788072.0,0.0,1.0,103.26,107.39,102.99,106.9,3788072.0
2015-03-17,103.0,104.0,102.71,103.28,2151503.0,0.0,1.0,103.0,104.0,102.71,103.28,2151503.0
2015-03-16,101.73,103.96,101.61,102.97,3403946.0,0.0,1.0,101.73,103.96,101.61,102.97,3403946.0
2015-03-13,100.36,100.965,99.5,100.61,3310515.0,0.0,1.0,100.36,100.965,99.5,100.61,3310515.0
2015-03-12,98.78,101.27,98.68,100.52,3239393.0,0.0,1.0,98.78,101.27,98.68,100.52,3239393.0
2015-03-11,98.58,99.05,97.52,97.98,2269587.0,0.0,1.0,98.58,99.05,97.52,97.98,2269587.0
2015-03-10,97.48,99.55,97.48,97.99,3428945.0,0.0,1.0,97.48,99.55,97.48,97.99,3428945.0
2015-03-09,98.78,99.5399,98.58,98.93,2441174.0,0.0,1.0,98.78,99.5399,98.58,98.93,2441174.0
2015-03-06,100.84,100.84,98.23,98.7,3123143.0,0.0,1.0,100.84,100.84,98.23,98.7,3123143.0
2015-03-05,101.83,102.96,101.62,102.13,1966832.0,0.0,1.0,101.83,102.96,101.62,102.13,1966832.0
2015-03-04,101.62,102.08,101.075,101.39,2978788.0,0.0,1.0,101.62,102.08,101.075,101.39,2978788.0
2015-03-03,101.24,102.16,100.57,101.94,2003632.0,0.0,1.0,101.24,102.16,100.57,101.94,2003632.0
2015-03-02,103.0,103.39,100.7101,101.54,2477343.0,0.0,1.0,103.0,103.39,100.7101,101.54,2477343.0
2015-02-27,103.8,104.04,102.95,103.46,1630867.0,0.0,1.0,103.8,104.04,102.95,103.46,1630867.0
2015-02-26,104.07,104.43,103.21,103.48,1743649.0,0.0,1.0,104.07,104.43,103.21,103.48,1743649.0
2015-02-25,105.22,105.46,103.48,103.78,2025880.0,0.0,1.0,105.22,105.46,103.48,103.78,2025880.0
2015-02-24,105.72,107.05,105.46,106.08,1870288.0,0.0,1.0,105.72,107.05,105.46,106.08,1870288.0
2015-02-23,105.75,106.2199,105.29,105.99,1563878.0,0.0,1.0,105.75,106.2199,105.29,105.99,1563878.0
2015-02-20,105.24,105.96,104.28,105.6,1698354.0,0.0,1.0,105.24,105.96,104.28,105.6,1698354.0
2015-02-19,106.53,106.95,105.03,105.43,3270560.0,0.0,1.0,106.53,106.95,105.03,105.43,3270560.0
2015-02-18,103.61,106.544,103.42,106.49,2399905.0,0.0,1.0,103.61,106.544,103.42,106.49,2399905.0
2015-02-17,103.51,104.77,102.7,103.42,2855053.0,0.0,1.0,103.51,104.77,102.7,103.42,2855053.0
2015-02-13,104.86,104.87,103.08,103.62,2485428.0,0.0,1.0,104.86,104.87,103.08,103.62,2485428.0
2015-02-12,105.0,105.37,103.84,105.34,2356883.0,0.0,1.0,105.0,105.37,103.84,105.34,2356883.0
