Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,23.67,24.04,23.53,23.62,6910749.0,0.0,1.0,23.67,24.04,23.53,23.62,6910749.0
2015-04-15,22.9,23.56,22.83,23.55,9434386.0,0.0,1.0,22.9,23.56,22.83,23.55,9434386.0
2015-04-14,22.59,22.89,22.52,22.82,5485554.0,0.0,1.0,22.59,22.89,22.52,22.82,5485554.0
2015-04-13,22.67,22.82,22.43,22.57,6945131.0,0.0,1.0,22.67,22.82,22.43,22.57,6945131.0
2015-04-10,22.52,22.61,22.28,22.33,4276356.0,0.0,1.0,22.52,22.61,22.28,22.33,4276356.0
2015-04-09,21.89,22.34,21.76,22.23,5125038.0,0.0,1.0,21.89,22.34,21.76,22.23,5125038.0
2015-04-08,22.33,22.38,21.84,22.08,5806137.0,0.0,1.0,22.33,22.38,21.84,22.08,5806137.0
2015-04-07,22.49,22.53,22.14,22.17,6246380.0,0.0,1.0,22.49,22.53,22.14,22.17,6246380.0
2015-04-06,23.02,23.095,22.49,22.58,8636913.0,0.0,1.0,23.02,23.095,22.49,22.58,8636913.0
2015-04-02,22.68,22.91,22.1499,22.34,6495696.0,0.0,1.0,22.68,22.91,22.1499,22.34,6495696.0
2015-04-01,21.83,22.77,21.79,22.72,6836001.0,0.0,1.0,21.83,22.77,21.79,22.72,6836001.0
2015-03-31,22.12,22.21,21.68,21.71,5230173.0,0.0,1.0,22.12,22.21,21.68,21.71,5230173.0
2015-03-30,21.94,22.265,21.75,22.02,3563349.0,0.0,1.0,21.94,22.265,21.75,22.02,3563349.0
2015-03-27,22.19,22.51,22.08,22.23,5500860.0,0.0,1.0,22.19,22.51,22.08,22.23,5500860.0
2015-03-26,22.92,23.08,21.93,22.16,7907018.0,0.0,1.0,22.92,23.08,21.93,22.16,7907018.0
2015-03-25,23.03,23.2,22.47,22.48,5970182.0,0.0,1.0,23.03,23.2,22.47,22.48,5970182.0
2015-03-24,23.17,23.2,22.78,22.86,5544359.0,0.0,1.0,23.17,23.2,22.78,22.86,5544359.0
2015-03-23,23.15,23.29,22.85,23.14,7508422.0,0.0,1.0,23.15,23.29,22.85,23.14,7508422.0
2015-03-20,22.9,23.33,22.89,22.95,17002907.0,0.0,1.0,22.9,23.33,22.89,22.95,17002907.0
2015-03-19,23.14,23.3,22.66,22.82,7572726.0,0.0,1.0,23.14,23.3,22.66,22.82,7572726.0
2015-03-18,21.95,23.07,21.88,22.87,8944783.0,0.0,1.0,21.95,23.07,21.88,22.87,8944783.0
2015-03-17,22.04,22.45,21.855,22.12,8382823.0,0.0,1.0,22.04,22.45,21.855,22.12,8382823.0
2015-03-16,22.13,22.38,21.85,22.3,5548808.0,0.0,1.0,22.13,22.38,21.85,22.3,5548808.0
2015-03-13,22.3,22.38,21.655,22.3,6578248.0,0.0,1.0,22.3,22.38,21.655,22.3,6578248.0
2015-03-12,22.45,22.63,22.0,22.29,6026449.0,0.0,1.0,22.45,22.63,22.0,22.29,6026449.0
2015-03-11,21.72,22.48,21.5,22.24,9245418.0,0.0,1.0,21.72,22.48,21.5,22.24,9245418.0
2015-03-10,22.3,22.93,21.64,21.77,13440897.0,0.0,1.0,22.3,22.93,21.64,21.77,13440897.0
2015-03-09,23.28,23.38,22.23,22.42,9893343.0,0.0,1.0,23.28,23.38,22.23,22.42,9893343.0
2015-03-06,24.3,24.41,23.14,23.3,11443728.0,0.0,1.0,24.3,24.41,23.14,23.3,11443728.0
2015-03-05,25.31,25.65,25.2,25.3,3450516.0,0.0,1.0,25.31,25.65,25.2,25.3,3450516.0
2015-03-04,25.51,25.705,25.09,25.19,7142054.0,0.0,1.0,25.51,25.705,25.09,25.19,7142054.0
2015-03-03,25.93,26.335,25.52,25.62,7914920.0,0.0,1.0,25.93,26.335,25.52,25.62,7914920.0
2015-03-02,26.4,26.51,25.6,25.89,7679297.0,0.0,1.0,26.4,26.51,25.6,25.89,7679297.0
2015-02-27,26.4,26.7,26.26,26.33,5923310.0,0.0,1.0,26.4,26.7,26.26,26.33,5923310.0
2015-02-26,26.34,26.55,26.12,26.31,6210645.0,0.0,1.0,26.34,26.55,26.12,26.31,6210645.0
2015-02-25,26.0,26.13,25.82,26.05,7922765.0,0.0,1.0,26.0,26.13,25.82,26.05,7922765.0
2015-02-24,25.21,25.91,25.2,25.81,5845553.0,0.0,1.0,25.21,25.91,25.2,25.81,5845553.0
2015-02-23,25.38,26.13,25.25,25.96,7560371.0,0.0,1.0,25.38,26.13,25.25,25.96,7560371.0
2015-02-20,25.17,26.38,25.07,25.58,13508599.0,0.0,1.0,25.17,26.38,25.07,25.58,13508599.0
2015-02-19,24.79,25.02,24.385,24.46,8864847.0,0.0,1.0,24.79,25.02,24.385,24.46,8864847.0
2015-02-18,24.15,24.85,23.85,24.74,7909756.0,0.0,1.0,24.15,24.85,23.85,24.74,7909756.0
2015-02-17,24.28,24.6,24.17,24.19,6191020.0,0.0,1.0,24.28,24.6,24.17,24.19,6191020.0
2015-02-13,24.75,25.06,24.66,24.78,5167704.0,0.0,1.0,24.75,25.06,24.66,24.78,5167704.0
2015-02-12,24.41,24.7,24.11,24.51,4484077.0,0.0,1.0,24.41,24.7,24.11,24.51,4484077.0
2015-02-11,24.51,24.6,24.09,24.14,5077932.0,0.0,1.0,24.51,24.6,24.09,24.14,5077932.0
2015-02-10,24.26,24.57,23.96,24.41,6206395.0,0.0,1.0,24.26,24.57,23.96,24.41,6206395.0
2015-02-09,24.3,24.74,24.165,24.61,5867940.0,0.0,1.0,24.3,24.74,24.165,24.61,5867940.0
2015-02-06,24.0,24.3,23.59,24.05,8293711.0,0.0,1.0,24.0,24.3,23.59,24.05,8293711.0
2015-02-05,24.55,24.86,24.37,24.82,6029378.0,0.0,1.0,24.55,24.86,24.37,24.82,6029378.0
2015-02-04,24.82,25.03,24.5,24.82,7070011.0,0.0,1.0,24.82,25.03,24.5,24.82,7070011.0
2015-02-03,24.84,25.065,24.14,24.62,9032923.0,0.0,1.0,24.84,25.065,24.14,24.62,9032923.0
2015-02-02,24.69,25.2,24.56,25.11,7481470.0,0.0,1.0,24.69,25.2,24.56,25.11,7481470.0
2015-01-30,24.19,25.22,23.92,25.15,11569614.0,0.0,1.0,24.19,25.22,23.92,25.15,11569614.0
2015-01-29,23.61,24.34,23.42,24.17,8840342.0,0.0,1.0,23.61,24.34,23.42,24.17,8840342.0
2015-01-28,24.85,25.05,24.025,24.26,11237651.0,0.0,1.0,24.85,25.05,24.025,24.26,11237651.0
2015-01-26,23.82,24.63,23.35,24.49,11187790.0,0.0,1.0,23.82,24.63,23.35,24.49,11187790.0
2015-01-23,24.14,24.43,23.67,24.15,12056410.0,0.0,1.0,24.14,24.43,23.67,24.15,12056410.0
2015-01-22,24.31,24.69,23.98,24.29,13132420.0,0.0,1.0,24.31,24.69,23.98,24.29,13132420.0
2015-01-21,23.76,24.44,23.43,24.32,16938252.0,0.0,1.0,23.76,24.44,23.43,24.32,16938252.0
2015-01-20,22.78,23.72,22.72,23.57,17796617.0,0.0,1.0,22.78,23.72,22.72,23.57,17796617.0
2015-01-15,20.75,21.9,20.65,21.51,16698694.0,0.0,1.0,20.75,21.9,20.65,21.51,16698694.0
2015-01-14,20.6,20.74,19.42,19.76,13378182.0,0.0,1.0,20.6,20.74,19.42,19.76,13378182.0
2015-01-13,21.48,21.53,20.22,20.36,12061706.0,0.0,1.0,21.48,21.53,20.22,20.36,12061706.0
2015-01-12,20.86,21.4,20.68,21.19,9149501.0,0.0,1.0,20.86,21.4,20.68,21.19,9149501.0
2015-01-08,20.09,20.38,19.89,19.98,7791398.0,0.0,1.0,20.09,20.38,19.89,19.98,7791398.0
2015-01-06,19.64,20.66,19.62,20.27,13132518.0,0.0,1.0,19.64,20.66,19.62,20.27,13132518.0
2015-01-05,19.51,19.6,18.86,19.46,7491757.0,0.0,1.0,19.51,19.6,18.86,19.46,7491757.0
2015-01-02,18.62,19.385,18.6,19.34,6533456.0,0.0,1.0,18.62,19.385,18.6,19.34,6533456.0
2014-12-31,19.15,19.23,18.8,18.9,6568781.0,0.0,1.0,19.15,19.23,18.8,18.9,6568781.0
2014-12-30,18.86,19.49,18.81,19.26,7763350.0,0.0,1.0,18.86,19.49,18.81,19.26,7763350.0
2014-12-26,19.05,19.14,18.725,18.85,5443609.0,0.0,1.0,19.05,19.14,18.725,18.85,5443609.0
2014-12-24,18.07,18.71,17.97,18.57,3269903.0,0.0,1.0,18.07,18.71,17.97,18.57,3269903.0
2014-12-23,18.18,18.66,17.95,18.04,6731403.0,0.0,1.0,18.18,18.66,17.95,18.04,6731403.0
2014-12-22,18.95,19.17,18.01,18.16,12086946.0,0.0,1.0,18.95,19.17,18.01,18.16,12086946.0
2014-12-19,19.37,20.09,19.12,19.12,23158679.0,0.0,1.0,19.37,20.09,19.12,19.12,23158679.0
2014-12-18,18.8,19.43,18.65,19.39,10220908.0,0.0,1.0,18.8,19.43,18.65,19.39,10220908.0
2014-12-17,17.89,18.58,17.79,18.5,10862387.0,0.0,1.0,17.89,18.58,17.79,18.5,10862387.0
2014-12-16,18.34,18.37,17.6,17.78,11272246.0,0.0,1.0,18.34,18.37,17.6,17.78,11272246.0
2014-12-15,18.71,18.99,17.91,17.92,11036141.0,0.0,1.0,18.71,18.99,17.91,17.92,11036141.0
