Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,43.64,43.68,42.95,43.33,2282327.0,0.0,1.0,43.64,43.68,42.95,43.33,2282327.0
2015-04-15,43.39,43.88,43.26,43.76,2254260.0,0.0,1.0,43.39,43.88,43.26,43.76,2254260.0
2015-04-14,43.33,43.54,43.07,43.29,2393083.0,0.0,1.0,43.33,43.54,43.07,43.29,2393083.0
2015-04-13,43.94,43.94,43.22,43.22,1601625.0,0.0,1.0,43.94,43.94,43.22,43.22,1601625.0
2015-04-10,43.77,43.98,43.41,43.88,1310510.0,0.0,1.0,43.77,43.98,43.41,43.88,1310510.0
2015-04-09,43.92,43.92,43.4,43.63,1230003.0,0.0,1.0,43.92,43.92,43.4,43.63,1230003.0
2015-04-08,44.32,44.365,43.83,44.03,1548503.0,0.0,1.0,44.32,44.365,43.83,44.03,1548503.0
2015-04-07,44.57,44.64,44.18,44.2,1660103.0,0.0,1.0,44.57,44.64,44.18,44.2,1660103.0
2015-04-06,44.37,44.94,44.18,44.67,1240203.0,0.0,1.0,44.37,44.94,44.18,44.67,1240203.0
2015-04-02,44.31,44.86,44.07,44.16,2328931.0,0.0,1.0,44.31,44.86,44.07,44.16,2328931.0
2015-04-01,44.06,44.45,43.5,44.25,2599391.0,0.0,1.0,44.06,44.45,43.5,44.25,2599391.0
2015-03-31,44.18,44.635,43.878,44.16,2901373.0,0.0,1.0,44.18,44.635,43.878,44.16,2901373.0
2015-03-30,44.0,44.35,43.75,44.18,1971143.0,0.0,1.0,44.0,44.35,43.75,44.18,1971143.0
2015-03-27,42.67,44.15,42.55,43.92,2976382.0,0.0,1.0,42.67,44.15,42.55,43.92,2976382.0
2015-03-26,43.1,43.34,42.78,42.8,2023000.0,0.0,1.0,43.1,43.34,42.78,42.8,2023000.0
2015-03-25,43.27,43.52,42.99,43.09,2800674.0,0.0,1.0,43.27,43.52,42.99,43.09,2800674.0
2015-03-24,43.58,43.8,43.07,43.09,1497887.0,0.0,1.0,43.58,43.8,43.07,43.09,1497887.0
2015-03-23,43.87,44.12,43.645,43.72,2311052.0,0.0,1.0,43.87,44.12,43.645,43.72,2311052.0
2015-03-20,43.46,44.11,43.25,43.98,2638946.0,0.0,1.0,43.46,44.11,43.25,43.98,2638946.0
2015-03-19,43.64,44.06,43.14,43.2,1639133.0,0.0,1.0,43.64,44.06,43.14,43.2,1639133.0
