Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,99.49,100.17,99.4,99.9,2027861.0,0.0,1.0,99.49,100.17,99.4,99.9,2027861.0
2015-04-15,100.63,100.73,99.73,99.83,2849856.0,0.0,1.0,100.63,100.73,99.73,99.83,2849856.0
2015-04-14,99.06,99.81,98.7,99.53,2381351.0,0.0,1.0,99.06,99.81,98.7,99.53,2381351.0
2015-04-13,99.97,100.06,99.06,99.27,3624207.0,0.0,1.0,99.97,100.06,99.06,99.27,3624207.0
2015-04-10,100.92,101.08,99.93,99.97,2954863.0,0.0,1.0,100.92,101.08,99.93,99.97,2954863.0
2015-04-09,101.0,101.69,100.6,100.72,2637723.0,0.0,1.0,101.0,101.69,100.6,100.72,2637723.0
2015-04-08,100.0,100.97,99.72,100.84,3236574.0,0.0,1.0,100.0,100.97,99.72,100.84,3236574.0
2015-04-07,99.73,100.26,99.47,99.61,1988371.0,0.0,1.0,99.73,100.26,99.47,99.61,1988371.0
2015-04-06,98.75,100.63,98.55,99.73,2513707.0,0.0,1.0,98.75,100.63,98.55,99.73,2513707.0
2015-04-02,100.04,100.32,99.3906,99.66,1913221.0,0.0,1.0,100.04,100.32,99.3906,99.66,1913221.0
2015-04-01,100.0,100.28,98.34,99.55,3287944.0,0.0,1.0,100.0,100.28,98.34,99.55,3287944.0
2015-03-31,100.88,101.84,100.29,100.33,3148407.0,0.0,1.0,100.88,101.84,100.29,100.33,3148407.0
2015-03-30,101.23,101.55,100.54,100.89,2704400.0,0.0,1.0,101.23,101.55,100.54,100.89,2704400.0
2015-03-27,99.12,100.18,99.12,99.88,2180851.0,0.0,1.0,99.12,100.18,99.12,99.88,2180851.0
2015-03-26,98.34,100.09,97.67,99.33,4729655.0,0.0,1.0,98.34,100.09,97.67,99.33,4729655.0
2015-03-25,101.0,101.18,98.94,98.99,3838849.0,0.0,1.0,101.0,101.18,98.94,98.99,3838849.0
2015-03-24,101.05,101.66,100.6,100.65,3785508.0,0.0,1.0,101.05,101.66,100.6,100.65,3785508.0
2015-03-23,101.55,102.6,101.2,101.46,4876588.0,0.0,1.0,101.55,102.6,101.2,101.46,4876588.0
2015-03-20,102.63,103.79,101.25,101.98,14765824.0,0.0,1.0,102.63,103.79,101.25,101.98,14765824.0
2015-03-19,97.81,98.62,97.21,98.32,5484784.0,0.0,1.0,97.81,98.62,97.21,98.32,5484784.0
2015-03-18,96.54,97.87,95.61,97.51,4387512.0,0.0,1.0,96.54,97.87,95.61,97.51,4387512.0
2015-03-17,96.14,96.78,95.51,96.54,3179934.0,0.0,1.0,96.14,96.78,95.51,96.54,3179934.0
2015-03-16,96.2,96.8,95.93,96.44,4191031.0,0.0,1.0,96.2,96.8,95.93,96.44,4191031.0
2015-03-13,97.04,97.48,95.3,95.81,3637332.0,0.0,1.0,97.04,97.48,95.3,95.81,3637332.0
2015-03-12,95.5,97.1,95.38,97.04,2874310.0,0.0,1.0,95.5,97.1,95.38,97.04,2874310.0
2015-03-11,96.38,97.08,95.18,95.34,3726346.0,0.0,1.0,96.38,97.08,95.18,95.34,3726346.0
2015-03-10,96.42,96.9701,96.25,96.51,3547993.0,0.0,1.0,96.42,96.9701,96.25,96.51,3547993.0
2015-03-09,97.09,97.82,96.94,97.43,2969434.0,0.0,1.0,97.09,97.82,96.94,97.43,2969434.0
2015-03-06,98.46,98.69,96.6,96.91,3587348.0,0.0,1.0,98.46,98.69,96.6,96.91,3587348.0
2015-03-05,97.96,98.68,97.79,98.46,3316847.0,0.0,1.0,97.96,98.68,97.79,98.46,3316847.0
