Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,162.74,164.19,161.85,163.38,906366.0,0.0,1.0,162.74,164.19,161.85,163.38,906366.0
2015-04-15,163.84,164.43,162.9,163.24,641714.0,0.0,1.0,163.84,164.43,162.9,163.24,641714.0
2015-04-14,163.43,164.37,162.17,163.24,694869.0,0.0,1.0,163.43,164.37,162.17,163.24,694869.0
2015-04-13,165.0,165.93,163.56,163.58,939923.0,0.0,1.0,165.0,165.93,163.56,163.58,939923.0
2015-04-10,164.75,165.95,164.13,165.35,630619.0,0.0,1.0,164.75,165.95,164.13,165.35,630619.0
2015-04-09,163.76,165.2099,163.08,164.57,742412.0,0.0,1.0,163.76,165.2099,163.08,164.57,742412.0
2015-04-08,162.32,164.88,162.0845,164.21,1018323.0,0.0,1.0,162.32,164.88,162.0845,164.21,1018323.0
2015-04-07,162.7,164.63,162.61,162.91,961630.0,0.0,1.0,162.7,164.63,162.61,162.91,961630.0
2015-04-06,160.52,163.34,160.37,162.76,1261187.0,0.0,1.0,160.52,163.34,160.37,162.76,1261187.0
2015-04-02,160.67,162.78,160.28,161.63,910707.0,0.0,1.0,160.67,162.78,160.28,161.63,910707.0
2015-04-01,160.09,161.29,158.11,160.55,1448054.0,0.0,1.0,160.09,161.29,158.11,160.55,1448054.0
2015-03-31,161.94,162.87,160.96,160.96,1175425.0,0.0,1.0,161.94,162.87,160.96,160.96,1175425.0
2015-03-30,161.15,163.57,160.785,162.68,1039808.0,0.0,1.0,161.15,163.57,160.785,162.68,1039808.0
2015-03-27,159.14,160.87,158.899,160.48,1428379.0,0.0,1.0,159.14,160.87,158.899,160.48,1428379.0
2015-03-26,158.06,159.92,157.11,159.31,1158362.0,0.0,1.0,158.06,159.92,157.11,159.31,1158362.0
2015-03-25,162.43,162.68,159.18,159.19,1189017.0,0.0,1.0,162.43,162.68,159.18,159.19,1189017.0
2015-03-24,162.06,163.1825,161.2,162.09,951060.0,0.0,1.0,162.06,163.1825,161.2,162.09,951060.0
2015-03-23,163.01,164.0,162.59,162.72,1171614.0,0.0,1.0,163.01,164.0,162.59,162.72,1171614.0
2015-03-20,162.74,164.08,162.08,162.62,4303831.0,0.0,1.0,162.74,164.08,162.08,162.62,4303831.0
2015-03-19,162.76,163.81,161.7201,162.52,1218407.0,0.0,1.0,162.76,163.81,161.7201,162.52,1218407.0
2015-03-18,160.63,163.36,159.51,162.84,1610592.0,0.0,1.0,160.63,163.36,159.51,162.84,1610592.0
2015-03-17,160.07,161.45,160.07,161.16,1123133.0,0.0,1.0,160.07,161.45,160.07,161.16,1123133.0
2015-03-16,158.2,161.48,158.2,161.34,1319010.0,0.0,1.0,158.2,161.48,158.2,161.34,1319010.0
2015-03-13,159.39,160.8,156.315,157.56,1552862.0,0.0,1.0,159.39,160.8,156.315,157.56,1552862.0
2015-03-12,158.26,160.04,158.26,160.0,1487381.0,0.0,1.0,158.26,160.04,158.26,160.0,1487381.0
2015-03-11,159.06,159.74,157.96,158.03,1270800.0,0.0,1.0,159.06,159.74,157.96,158.03,1270800.0
2015-03-10,160.01,160.53,158.34,158.34,1363136.0,0.0,1.0,160.01,160.53,158.34,158.34,1363136.0
2015-03-09,159.87,161.95,159.74,161.27,1266614.0,0.0,1.0,159.87,161.95,159.74,161.27,1266614.0
2015-03-06,162.3,162.3,159.61,160.41,1781559.0,0.0,1.0,162.3,162.3,159.61,160.41,1781559.0
2015-03-05,163.76,164.635,162.84,163.28,1073959.0,0.0,1.0,163.76,164.635,162.84,163.28,1073959.0
2015-03-04,163.29,164.2,162.44,163.93,1226843.0,0.0,1.0,163.29,164.2,162.44,163.93,1226843.0
2015-03-03,165.84,166.551,162.74,163.63,2191309.0,0.0,1.0,165.84,166.551,162.74,163.63,2191309.0
2015-03-02,165.61,167.73,165.47,167.1,2354150.0,0.0,1.0,165.61,167.73,165.47,167.1,2354150.0
