Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,55.59,56.43,54.61,55.3,4731314.0,0.0,1.0,55.59,56.43,54.61,55.3,4731314.0
2015-04-15,54.75,56.64,54.34,56.0,6847534.0,0.0,1.0,54.75,56.64,54.34,56.0,6847534.0
2015-04-14,53.59,54.54,53.48,54.36,4275510.0,0.0,1.0,53.59,54.54,53.48,54.36,4275510.0
2015-04-13,54.69,54.71,53.031,53.18,4404971.0,0.0,1.0,54.69,54.71,53.031,53.18,4404971.0
2015-04-10,54.65,54.97,54.06,54.43,3583112.0,0.0,1.0,54.65,54.97,54.06,54.43,3583112.0
2015-04-09,52.99,54.72,52.99,54.55,4738419.0,0.0,1.0,52.99,54.72,52.99,54.55,4738419.0
2015-04-08,52.99,53.25,52.24,52.74,5614358.0,0.0,1.0,52.99,53.25,52.24,52.74,5614358.0
2015-04-07,52.71,53.19,52.33,52.77,4529074.0,0.0,1.0,52.71,53.19,52.33,52.77,4529074.0
2015-04-06,51.33,53.06,51.27,52.7,8058002.0,0.0,1.0,51.33,53.06,51.27,52.7,8058002.0
2015-04-02,49.62,51.14,49.6,51.01,5380510.0,0.0,1.0,49.62,51.14,49.6,51.01,5380510.0
2015-04-01,50.19,50.47,49.87,49.92,4697625.0,0.0,1.0,50.19,50.47,49.87,49.92,4697625.0
2015-03-31,49.4,50.17,49.2,49.99,11073664.0,0.0,1.0,49.4,50.17,49.2,49.99,11073664.0
2015-03-30,49.19,50.035,48.75,49.84,5760658.0,0.0,1.0,49.19,50.035,48.75,49.84,5760658.0
2015-03-27,48.99,49.65,48.48,49.25,6214456.0,0.0,1.0,48.99,49.65,48.48,49.25,6214456.0
2015-03-26,49.69,49.81,48.73,48.95,4491751.0,0.0,1.0,49.69,49.81,48.73,48.95,4491751.0
2015-03-25,49.05,49.43,48.69,49.04,5445940.0,0.0,1.0,49.05,49.43,48.69,49.04,5445940.0
2015-03-24,49.48,49.63,48.48,48.51,5640334.0,0.0,1.0,49.48,49.63,48.48,48.51,5640334.0
2015-03-23,49.66,50.34,49.35,49.36,4985509.0,0.0,1.0,49.66,50.34,49.35,49.36,4985509.0
2015-03-20,48.34,49.94,48.3,49.66,11796121.0,0.0,1.0,48.34,49.94,48.3,49.66,11796121.0
2015-03-19,47.9,48.45,47.78,47.89,6646552.0,0.0,1.0,47.9,48.45,47.78,47.89,6646552.0
2015-03-18,47.21,48.785,46.08,48.59,11921822.0,0.0,1.0,47.21,48.785,46.08,48.59,11921822.0
2015-03-17,48.18,48.48,47.37,47.46,9064928.0,0.0,1.0,48.18,48.48,47.37,47.46,9064928.0
2015-03-16,48.71,48.845,47.79,48.67,6947191.0,0.0,1.0,48.71,48.845,47.79,48.67,6947191.0
2015-03-13,49.34,49.59,48.07,49.07,7266095.0,0.0,1.0,49.34,49.59,48.07,49.07,7266095.0
2015-03-12,50.25,50.32,49.78,49.8,5844935.0,0.0,1.0,50.25,50.32,49.78,49.8,5844935.0
2015-03-11,50.87,50.87,49.87,50.16,4501441.0,0.0,1.0,50.87,50.87,49.87,50.16,4501441.0
2015-03-10,51.12,51.49,50.3,50.68,6891920.0,0.0,1.0,51.12,51.49,50.3,50.68,6891920.0
2015-03-09,52.52,52.93,51.65,51.65,6198812.0,0.0,1.0,52.52,52.93,51.65,51.65,6198812.0
2015-03-06,53.1,53.33,52.3701,52.54,5153106.0,0.0,1.0,53.1,53.33,52.3701,52.54,5153106.0
2015-03-05,54.55,54.55,53.53,53.6,5107024.0,0.0,1.0,54.55,54.55,53.53,53.6,5107024.0
2015-03-04,54.6,54.95,53.9,54.78,4327698.0,0.0,1.0,54.6,54.95,53.9,54.78,4327698.0
2015-03-03,55.84,56.165,54.23,54.44,6266030.0,0.0,1.0,55.84,56.165,54.23,54.44,6266030.0
2015-03-02,54.25,55.82,53.9,55.79,9172610.0,0.0,1.0,54.25,55.82,53.9,55.79,9172610.0
2015-02-27,53.5,54.5,53.2138,54.35,5206630.0,0.0,1.0,53.5,54.5,53.2138,54.35,5206630.0
2015-02-26,54.3,54.5,52.8,53.27,5102721.0,0.0,1.0,54.3,54.5,52.8,53.27,5102721.0
