Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,25.1,25.35,24.7,25.1,2868209.0,0.0,1.0,25.1,25.35,24.7,25.1,2868209.0
2015-04-15,24.51,25.3,24.46,25.15,5174547.0,0.0,1.0,24.51,25.3,24.46,25.15,5174547.0
2015-04-14,24.57,24.8,24.15,24.35,3855195.0,0.0,1.0,24.57,24.8,24.15,24.35,3855195.0
2015-04-13,24.62,24.96,24.43,24.59,3122863.0,0.0,1.0,24.62,24.96,24.43,24.59,3122863.0
2015-04-10,24.65,24.77,24.39,24.57,2280225.0,0.0,1.0,24.65,24.77,24.39,24.57,2280225.0
2015-04-09,24.93,25.0398,24.38,24.61,3707457.0,0.0,1.0,24.93,25.0398,24.38,24.61,3707457.0
2015-04-08,25.1,25.31,24.84,24.92,4688921.0,0.0,1.0,25.1,25.31,24.84,24.92,4688921.0
2015-04-07,24.52,25.055,24.25,24.89,4339149.0,0.0,1.0,24.52,25.055,24.25,24.89,4339149.0
2015-04-06,23.93,24.625,23.59,24.5,4588549.0,0.0,1.0,23.93,24.625,23.59,24.5,4588549.0
2015-04-02,23.66,24.3,23.66,23.99,5889210.0,0.0,1.0,23.66,24.3,23.66,23.99,5889210.0
2015-04-01,24.99,24.99,23.53,23.6,9691957.0,0.0,1.0,24.99,24.99,23.53,23.6,9691957.0
2015-03-31,24.9,25.26,24.79,25.19,4275546.0,0.0,1.0,24.9,25.26,24.79,25.19,4275546.0
2015-03-30,24.35,25.235,24.2,24.92,5630586.0,0.0,1.0,24.35,25.235,24.2,24.92,5630586.0
2015-03-27,24.66,24.85,24.07,24.2,4531518.0,0.0,1.0,24.66,24.85,24.07,24.2,4531518.0
2015-03-26,24.83,25.19,24.64,24.66,3815143.0,0.0,1.0,24.83,25.19,24.64,24.66,3815143.0
2015-03-25,25.43,25.46,24.69,24.76,2804060.0,0.0,1.0,25.43,25.46,24.69,24.76,2804060.0
2015-03-24,25.73,25.92,25.21,25.29,6014871.0,0.0,1.0,25.73,25.92,25.21,25.29,6014871.0
2015-03-23,25.39,26.08,25.37,25.73,3886351.0,0.0,1.0,25.39,26.08,25.37,25.73,3886351.0
2015-03-20,24.81,25.5,24.7,25.45,5576921.0,0.0,1.0,24.81,25.5,24.7,25.45,5576921.0
2015-03-19,25.08,25.45,24.43,24.62,3490491.0,0.0,1.0,25.08,25.45,24.43,24.62,3490491.0
2015-03-18,24.21,25.575,24.18,25.34,5031068.0,0.0,1.0,24.21,25.575,24.18,25.34,5031068.0
2015-03-17,23.74,24.4,23.73,24.33,2970948.0,0.0,1.0,23.74,24.4,23.73,24.33,2970948.0
2015-03-16,23.78,23.99,23.65,23.78,4139796.0,0.0,1.0,23.78,23.99,23.65,23.78,4139796.0
2015-03-13,23.13,23.66,22.78,23.47,5187061.0,0.0,1.0,23.13,23.66,22.78,23.47,5187061.0
2015-03-12,23.25,23.415,23.11,23.28,3775533.0,0.0,1.0,23.25,23.415,23.11,23.28,3775533.0
2015-03-11,23.42,23.63,23.095,23.12,4634513.0,0.0,1.0,23.42,23.63,23.095,23.12,4634513.0
2015-03-10,23.55,23.76,23.33,23.39,5691370.0,0.0,1.0,23.55,23.76,23.33,23.39,5691370.0
2015-03-09,24.56,24.65,23.635,23.72,5089425.0,0.0,1.0,24.56,24.65,23.635,23.72,5089425.0
2015-03-06,24.95,24.97,24.41,24.49,5034774.0,0.0,1.0,24.95,24.97,24.41,24.49,5034774.0
