Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,100.61,100.61,99.8501,100.27,2361220.0,0.0,1.0,100.61,100.61,99.8501,100.27,2361220.0
2015-04-15,100.87,101.3,99.79,100.74,3624742.0,0.0,1.0,100.87,101.3,99.79,100.74,3624742.0
2015-04-14,98.99,100.6,97.81,100.49,8712904.0,0.0,1.0,98.99,100.6,97.81,100.49,8712904.0
2015-04-13,105.78,106.24,104.754,104.87,1971640.0,0.0,1.0,105.78,106.24,104.754,104.87,1971640.0
2015-04-10,106.25,106.73,105.85,106.35,1291770.0,0.0,1.0,106.25,106.73,105.85,106.35,1291770.0
2015-04-09,104.29,105.83,104.09,105.77,1403365.0,0.0,1.0,104.29,105.83,104.09,105.77,1403365.0
2015-04-08,104.51,104.69,103.67,104.32,1862841.0,0.0,1.0,104.51,104.69,103.67,104.32,1862841.0
2015-04-07,104.57,104.84,103.82,104.46,2578604.0,0.0,1.0,104.57,104.84,103.82,104.46,2578604.0
2015-04-06,103.51,104.76,103.4,104.43,2573729.0,0.0,1.0,103.51,104.76,103.4,104.43,2573729.0
2015-04-02,103.4,104.79,102.88,104.15,2185351.0,0.0,1.0,103.4,104.79,102.88,104.15,2185351.0
2015-04-01,102.65,103.42,102.08,102.96,1637908.0,0.0,1.0,102.65,103.42,102.08,102.96,1637908.0
2015-03-31,103.48,103.93,102.8175,102.92,1996976.0,0.0,1.0,103.48,103.93,102.8175,102.92,1996976.0
2015-03-30,104.0,104.47,103.525,104.0,1399343.0,0.0,1.0,104.0,104.47,103.525,104.0,1399343.0
2015-03-27,103.45,103.74,102.77,103.62,2596901.0,0.0,1.0,103.45,103.74,102.77,103.62,2596901.0
2015-03-26,101.97,104.35,101.96,103.91,3043169.0,0.0,1.0,101.97,104.35,101.96,103.91,3043169.0
2015-03-25,106.32,106.33,103.93,104.05,2512225.0,0.0,1.0,106.32,106.33,103.93,104.05,2512225.0
2015-03-24,106.33,107.01,105.84,106.07,1790029.0,0.0,1.0,106.33,107.01,105.84,106.07,1790029.0
2015-03-23,109.48,109.79,106.55,106.56,3275279.0,0.0,1.0,109.48,109.79,106.55,106.56,3275279.0
2015-03-20,110.61,111.76,110.43,110.43,3068379.0,0.0,1.0,110.61,111.76,110.43,110.43,3068379.0
2015-03-19,110.8,111.06,109.4242,110.31,1403847.0,0.0,1.0,110.8,111.06,109.4242,110.31,1403847.0
2015-03-18,109.49,111.45,108.803,111.13,1318687.0,0.0,1.0,109.49,111.45,108.803,111.13,1318687.0
2015-03-17,110.0,110.44,109.72,109.88,1323820.0,0.0,1.0,110.0,110.44,109.72,109.88,1323820.0
2015-03-16,108.86,110.95,108.86,110.58,1416948.0,0.0,1.0,108.86,110.95,108.86,110.58,1416948.0
2015-03-13,109.0,109.2,108.14,108.65,1230052.0,0.0,1.0,109.0,109.2,108.14,108.65,1230052.0
2015-03-12,108.45,109.39,108.45,109.23,1278106.0,0.0,1.0,108.45,109.39,108.45,109.23,1278106.0
2015-03-11,107.76,108.7199,107.74,108.22,2132637.0,0.0,1.0,107.76,108.7199,107.74,108.22,2132637.0
2015-03-10,108.0,108.38,107.39,107.58,2342590.0,0.0,1.0,108.0,108.38,107.39,107.58,2342590.0
2015-03-09,107.88,109.06,107.83,109.03,1881743.0,0.0,1.0,107.88,109.06,107.83,109.03,1881743.0
2015-03-06,108.13,109.0,107.84,108.21,1698024.0,0.0,1.0,108.13,109.0,107.84,108.21,1698024.0
2015-03-05,109.3,109.35,108.515,109.16,1917336.0,0.0,1.0,109.3,109.35,108.515,109.16,1917336.0
2015-03-04,107.75,109.14,107.49,108.94,2330375.0,0.0,1.0,107.75,109.14,107.49,108.94,2330375.0
2015-03-03,108.96,109.28,107.9,108.37,3251594.0,0.0,1.0,108.96,109.28,107.9,108.37,3251594.0
2015-03-02,109.61,110.25,109.36,110.25,2227114.0,0.0,1.0,109.61,110.25,109.36,110.25,2227114.0
2015-02-27,110.23,110.29,108.941,109.16,2512009.0,0.0,1.0,110.23,110.29,108.941,109.16,2512009.0
2015-02-26,110.8,111.12,109.71,109.95,2955779.0,0.0,1.0,110.8,111.12,109.71,109.95,2955779.0
2015-02-25,111.36,111.6399,110.58,110.84,1133651.0,0.0,1.0,111.36,111.6399,110.58,110.84,1133651.0
2015-02-24,110.91,111.31,110.69,110.87,1253706.0,0.0,1.0,110.91,111.31,110.69,110.87,1253706.0
2015-02-23,110.4,111.15,110.42,110.93,1598889.0,0.0,1.0,110.4,111.15,110.42,110.93,1598889.0
2015-02-20,111.38,111.92,110.68,111.73,1498902.0,0.0,1.0,111.38,111.92,110.68,111.73,1498902.0
2015-02-19,110.67,112.05,110.54,111.59,1835390.0,0.0,1.0,110.67,112.05,110.54,111.59,1835390.0
2015-02-18,110.25,111.23,110.12,111.21,1653638.0,0.0,1.0,110.25,111.23,110.12,111.21,1653638.0
2015-02-17,109.38,110.75,109.24,110.67,1646197.0,0.0,1.0,109.38,110.75,109.24,110.67,1646197.0
2015-02-13,109.99,110.8899,109.5,109.91,1574986.0,0.0,1.0,109.99,110.8899,109.5,109.91,1574986.0
2015-02-12,109.65,110.16,109.2901,110.08,1242424.0,0.0,1.0,109.65,110.16,109.2901,110.08,1242424.0
2015-02-11,108.46,109.5,108.09,109.11,1375612.0,0.0,1.0,108.46,109.5,108.09,109.11,1375612.0
2015-02-10,108.31,108.88,107.67,108.6,1642471.0,0.0,1.0,108.31,108.88,107.67,108.6,1642471.0
2015-02-09,107.38,108.47,107.31,107.99,2333257.0,0.0,1.0,107.38,108.47,107.31,107.99,2333257.0
2015-02-06,108.17,108.49,107.34,107.79,2818160.0,0.0,1.0,108.17,108.49,107.34,107.79,2818160.0
2015-02-05,106.64,108.1693,106.54,107.85,2651512.0,0.0,1.0,106.64,108.1693,106.54,107.85,2651512.0
2015-02-04,105.99,106.96,105.69,106.35,2845673.0,0.0,1.0,105.99,106.96,105.69,106.35,2845673.0
2015-02-03,104.8,107.38,104.64,107.27,2751070.0,0.0,1.0,104.22180662053,106.78757247054,104.06268935852,106.67817935291,2751070.0
2015-02-02,102.2,104.06,102.093,104.03,2111519.0,0.0,1.0,101.63615111277,103.48588928371,101.5297414438,103.45605479708,2111519.0
2015-01-30,102.89,103.37,101.92,101.97,2525139.0,0.0,1.0,102.32234430522,102.79969609127,101.35769590425,101.40742004863,2525139.0
2015-01-29,102.78,104.0199,101.96,103.79,1894971.0,0.0,1.0,102.21295118758,103.44601051992,101.39747521975,103.21737890406,1894971.0
2015-01-28,105.02,105.23,102.91,103.0,2038933.0,0.0,1.0,104.44059285581,104.6494342622,102.34223396297,102.43173742285,2038933.0
2015-01-26,102.24,107.28,101.46,106.11,2763922.0,0.0,1.0,101.67593042828,106.68812418178,100.90023377595,105.52457920329,2763922.0
2015-01-23,106.13,106.13,104.75,104.78,1924385.0,0.0,1.0,105.54446886104,105.54446886104,104.17208247615,104.20191696278,1924385.0
2015-01-22,105.45,106.55,105.11,106.09,1474116.0,0.0,1.0,104.86822049748,105.96215167384,104.53009631569,105.50468954554,1474116.0
2015-01-21,103.11,104.98,102.6,104.35,1268771.0,0.0,1.0,102.54113054049,104.4008135403,102.03394426781,103.77428932111,1268771.0
2015-01-20,103.92,104.34,102.78,103.45,1995593.0,0.0,1.0,103.34666167945,103.76434449224,102.21295118758,102.87925472227,1995593.0
2015-01-15,101.46,103.07,101.3,101.84,2607360.0,0.0,1.0,100.90023377595,102.50135122499,100.74111651393,101.27813727324,2607360.0
2015-01-14,99.7,101.52,99.8,101.07,3229501.0,0.0,1.0,99.149943893772,100.95990274921,99.249392182532,100.51238544978,3229501.0
2015-01-13,102.48,103.786,100.13,101.49,2911548.0,0.0,1.0,101.9146063213,103.21340097251,99.57757153544,100.93006826258,2911548.0
2015-01-12,102.21,102.69,101.02,101.97,3315396.0,0.0,1.0,101.64609594165,102.1234477277,100.4626613054,101.40742004863,3315396.0
2015-01-08,103.72,104.92,102.92,103.99,3062770.0,0.0,1.0,103.14776510193,104.34114456705,102.35217879185,103.41627548158,3062770.0
2015-01-06,105.46,105.87,102.54,103.0,4231614.0,0.0,1.0,104.87816532635,105.28590331027,101.97427529456,102.43173742285,4231614.0
2015-01-05,108.71,108.89,106.25,106.39,2799846.0,0.0,1.0,108.11023471105,108.28924163082,105.66380680756,105.80303441182,2799846.0
2015-01-02,110.17,111.0597,107.91,109.15,1426493.0,0.0,1.0,109.56217972695,110.44697115205,107.31464840097,108.5478071816,1426493.0
2014-12-31,111.2,111.23,109.41,109.61,1046476.0,0.0,1.0,110.58649710118,110.61633158781,108.80637273237,109.00526930989,1046476.0
2014-12-30,111.71,112.22,110.4,110.82,993222.0,0.0,1.0,111.09368337385,111.60086964653,109.7909107911,110.20859360389,993222.0
2014-12-26,111.51,112.055,111.02,111.54,918274.0,0.0,1.0,110.89478679633,111.43677997008,110.40749018141,110.92462128296,918274.0
2014-12-24,111.9,111.8,110.61,111.41,756299.0,0.0,1.0,111.2826351225,111.18318683374,109.99975219749,110.79533850757,756299.0
2014-12-23,110.51,111.56,110.18,111.2,1286133.0,0.0,1.0,109.90030390873,110.94451094071,109.57212455583,110.58649710118,1286133.0
2014-12-22,109.43,110.32,108.2,110.02,1792295.0,0.0,1.0,108.82626239013,109.71135216009,107.60304843838,109.41300729381,1792295.0
2014-12-19,109.18,109.6,108.09,109.05,3004063.0,0.0,1.0,108.57764166823,108.99532448102,107.49365532074,108.44835889284,3004063.0
2014-12-18,106.67,109.0,106.67,108.98,3745852.0,0.0,1.0,106.08148962035,108.39863474846,106.08148962035,108.37874509071,3745852.0
2014-12-17,102.31,105.59,101.45,105.25,3250477.0,0.0,1.0,101.74554423041,105.00744810174,100.89028894707,104.66932391996,3250477.0
2014-12-16,101.25,104.45,101.06,102.33,2335067.0,0.0,1.0,100.69139236955,103.87373760987,100.50244062091,101.76543388816,2335067.0
2014-12-15,102.19,103.07,101.36,101.67,2526919.0,0.0,1.0,101.6262062839,102.50135122499,100.80078548719,101.10907518235,2526919.0
2014-12-11,102.39,103.79,101.15,102.63,2487456.0,0.0,1.0,101.82510286142,103.21737890406,100.59194408079,102.06377875444,2487456.0
2014-12-10,103.53,103.69,101.02,101.28,2405406.0,0.0,1.0,102.95881335328,103.1179306153,100.4626613054,100.72122685618,2405406.0
2014-12-09,102.06,104.11,101.43,104.08,2295001.0,0.0,1.0,101.49692350851,103.53561342809,100.87039928932,103.50577894146,2295001.0
2014-12-05,108.17,108.87,106.73,107.07,2941526.0,0.0,1.0,107.57321395175,108.26935197307,106.1411585936,106.47928277539,2941526.0
