Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,36.57,36.66,36.22,36.36,3119492.0,0.0,1.0,36.57,36.66,36.22,36.36,3119492.0
2015-04-15,35.95,36.75,35.74,36.73,3769810.0,0.0,1.0,35.95,36.75,35.74,36.73,3769810.0
2015-04-14,35.32,35.98,35.23,35.87,4473142.0,0.0,1.0,35.32,35.98,35.23,35.87,4473142.0
2015-04-13,35.47,35.68,35.38,35.41,2456051.0,0.0,1.0,35.47,35.68,35.38,35.41,2456051.0
2015-04-10,35.71,35.78,35.19,35.47,4137628.0,0.0,1.0,35.71,35.78,35.19,35.47,4137628.0
2015-04-09,35.69,35.92,35.45,35.74,3262744.0,0.0,1.0,35.69,35.92,35.45,35.74,3262744.0
2015-04-08,35.75,35.92,35.43,35.82,3122248.0,0.165,1.0,35.75,35.92,35.43,35.82,3122248.0
2015-04-07,36.07,36.16,35.77,35.805,3206069.0,0.0,1.0,35.904610254273,35.994197582326,35.605985827428,35.640825343893,3206069.0
2015-04-06,35.36,36.14,35.21,36.03,2681354.0,0.0,1.0,35.197865777407,35.974289287203,35.048553563985,35.864793664027,2681354.0
2015-04-02,35.32,35.93,35.14,35.63,4347474.0,0.0,1.0,35.158049187161,35.765252188412,34.978874531055,35.466627761567,4347474.0
2015-04-01,35.4,35.43,34.94,35.27,2778874.0,0.0,1.0,35.237682367653,35.267544810338,34.779791579825,35.108278449354,2778874.0
2015-03-31,35.34,35.7,35.06,35.46,2906363.0,0.0,1.0,35.177957482284,35.536306794498,34.899241350563,35.297407253022,2906363.0
2015-03-30,35.22,35.44,35.01,35.38,3420746.0,0.0,1.0,35.058507711546,35.277498957899,34.849470612755,35.21777407253,3420746.0
2015-03-27,35.64,35.64,34.975,35.1,4964674.0,0.0,1.0,35.476581909129,35.476581909129,34.81463109629,34.939057940809,4964674.0
2015-03-26,35.43,35.68,35.26,35.55,5155218.0,0.0,1.0,35.267544810338,35.516398499375,35.098324301792,35.386994581075,5155218.0
2015-03-25,35.79,36.09,35.61,35.745,4541726.0,0.0,1.0,35.625894122551,35.924518549396,35.446719466444,35.581100458524,4541726.0
