Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,22.5,22.69,22.33,22.49,3801586.0,0.0,1.0,22.5,22.69,22.33,22.49,3801586.0
2015-04-15,22.42,22.795,22.31,22.63,5952941.0,0.0,1.0,22.42,22.795,22.31,22.63,5952941.0
2015-04-14,22.46,22.55,22.1438,22.36,5034405.0,0.0,1.0,22.46,22.55,22.1438,22.36,5034405.0
2015-04-13,22.71,22.84,22.45,22.55,5777053.0,0.0,1.0,22.71,22.84,22.45,22.55,5777053.0
2015-04-10,22.55,22.77,22.47,22.76,6352527.0,0.0,1.0,22.55,22.77,22.47,22.76,6352527.0
2015-04-09,21.85,22.6,21.84,22.525,9476227.0,0.0,1.0,21.85,22.6,21.84,22.525,9476227.0
2015-04-08,21.88,22.1,21.67,22.02,9081142.0,0.0,1.0,21.88,22.1,21.67,22.02,9081142.0
2015-04-07,21.67,22.1,21.55,21.86,10206014.0,0.0,1.0,21.67,22.1,21.55,21.86,10206014.0
2015-04-06,20.97,21.74,20.75,21.665,12785459.0,0.0,1.0,20.97,21.74,20.75,21.665,12785459.0
2015-04-02,21.13,21.19,20.88,21.06,4769426.0,0.0,1.0,21.13,21.19,20.88,21.06,4769426.0
2015-04-01,21.01,21.08,20.65,21.01,8194780.0,0.0,1.0,21.01,21.08,20.65,21.01,8194780.0
2015-03-31,21.41,21.43,20.91,20.925,8435348.0,0.0,1.0,21.41,21.43,20.91,20.925,8435348.0
2015-03-30,21.48,21.58,21.2,21.47,6242218.0,0.0,1.0,21.48,21.58,21.2,21.47,6242218.0
2015-03-27,21.09,21.46,20.75,21.38,7850590.0,0.0,1.0,21.09,21.46,20.75,21.38,7850590.0
2015-03-26,20.61,21.055,20.46,20.965,7692143.0,0.0,1.0,20.61,21.055,20.46,20.965,7692143.0
2015-03-25,22.39,22.39,20.97,21.033,13136350.0,0.0,1.0,22.39,22.39,20.97,21.033,13136350.0
2015-03-24,22.64,22.8,22.3,22.4,8171516.0,0.0,1.0,22.64,22.8,22.3,22.4,8171516.0
2015-03-23,22.77,23.07,22.7,22.71,10565967.0,0.0,1.0,22.77,23.07,22.7,22.71,10565967.0
2015-03-20,23.41,23.605,23.19,23.47,11278333.0,0.0,1.0,23.41,23.605,23.19,23.47,11278333.0
2015-03-19,22.95,23.3,22.78,23.215,7429655.0,0.0,1.0,22.95,23.3,22.78,23.215,7429655.0
2015-03-18,23.25,23.37,22.66,22.87,10308841.0,0.0,1.0,23.25,23.37,22.66,22.87,10308841.0
2015-03-17,22.92,23.26,22.76,23.24,7247518.0,0.0,1.0,22.92,23.26,22.76,23.24,7247518.0
2015-03-16,22.88,23.11,22.73,22.965,5852529.0,0.0,1.0,22.88,23.11,22.73,22.965,5852529.0
2015-03-13,22.56,22.76,22.25,22.7,8902554.0,0.0,1.0,22.56,22.76,22.25,22.7,8902554.0
2015-03-12,22.66,22.83,22.24,22.67,9614683.0,0.0,1.0,22.66,22.83,22.24,22.67,9614683.0
2015-03-11,23.0,23.3,22.815,22.88,6552965.0,0.0,1.0,23.0,23.3,22.815,22.88,6552965.0
2015-03-10,22.71,23.149,22.67,22.995,13180267.0,0.0,1.0,22.71,23.149,22.67,22.995,13180267.0
2015-03-09,22.56,22.78,22.51,22.61,5559693.0,0.0,1.0,22.56,22.78,22.51,22.61,5559693.0
2015-03-06,22.73,22.84,22.525,22.55,6434807.0,0.0,1.0,22.73,22.84,22.525,22.55,6434807.0
2015-03-05,22.43,22.9,22.37,22.86,8076425.0,0.0,1.0,22.43,22.9,22.37,22.86,8076425.0
2015-03-04,22.1,22.48,22.01,22.43,5670947.0,0.0,1.0,22.1,22.48,22.01,22.43,5670947.0
2015-03-03,22.43,22.54,22.11,22.18,4008638.0,0.0,1.0,22.43,22.54,22.11,22.18,4008638.0
2015-03-02,22.0,22.72,21.971,22.595,7536531.0,0.0,1.0,22.0,22.72,21.971,22.595,7536531.0
2015-02-27,22.14,22.19,21.981,22.06,3937273.0,0.0,1.0,22.14,22.19,21.981,22.06,3937273.0
2015-02-26,22.16,22.325,22.02,22.2,3820897.0,0.0,1.0,22.16,22.325,22.02,22.2,3820897.0
2015-02-25,22.22,22.32,22.035,22.14,3094726.0,0.0,1.0,22.22,22.32,22.035,22.14,3094726.0
2015-02-24,22.16,22.31,21.96,22.31,3733268.0,0.0,1.0,22.16,22.31,21.96,22.31,3733268.0
2015-02-23,22.33,22.33,22.05,22.16,3123314.0,0.0,1.0,22.245246706854,22.245246706854,21.966309444072,22.075891940165,3123314.0
2015-02-20,22.16,22.35,22.0,22.335,3936062.0,0.0,1.0,22.075891940165,22.265170797053,21.916499218576,22.250227729404,3936062.0
2015-02-19,22.38,22.44,22.08,22.175,4213985.0,0.0,1.0,22.295056932351,22.354829202947,21.99619557937,22.090835007814,4213985.0
2015-02-18,22.35,22.39,22.08,22.12,4263365.0,0.0,1.0,22.265170797053,22.30501897745,21.99619557937,22.036043759768,4263365.0
2015-02-17,22.27,22.49,22.13,22.375,5061077.0,0.0,1.0,22.185474436258,22.404639428444,22.046005804867,22.290075909801,5061077.0
2015-02-13,22.2,22.34,21.91,22.31,7751190.0,0.0,1.0,22.115740120563,22.255208751954,21.826840812681,22.225322616656,7751190.0
