Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,15.87,16.14,15.68,15.89,3481454.0,0.0,1.0,15.87,16.14,15.68,15.89,3481454.0
2015-04-15,15.97,16.075,15.94,15.95,3973098.0,0.0,1.0,15.97,16.075,15.94,15.95,3973098.0
2015-04-14,16.04,16.19,15.98,15.98,1989412.0,0.0,1.0,16.04,16.19,15.98,15.98,1989412.0
2015-04-13,15.93,16.1,15.89,16.07,1745717.0,0.0,1.0,15.93,16.1,15.89,16.07,1745717.0
2015-04-10,15.94,16.02,15.86,15.92,3877061.0,0.0,1.0,15.94,16.02,15.86,15.92,3877061.0
2015-04-09,16.03,16.11,15.84,15.94,1914296.0,0.0,1.0,16.03,16.11,15.84,15.94,1914296.0
2015-04-08,16.16,16.27,16.01,16.06,1705627.0,0.0,1.0,16.16,16.27,16.01,16.06,1705627.0
2015-04-07,16.18,16.34,16.12,16.12,1254007.0,0.0,1.0,16.18,16.34,16.12,16.12,1254007.0
2015-04-06,16.04,16.385,16.03,16.25,1171186.0,0.0,1.0,16.04,16.385,16.03,16.25,1171186.0
2015-04-02,16.09,16.23,16.01,16.18,1708580.0,0.0,1.0,16.09,16.23,16.01,16.18,1708580.0
2015-04-01,16.03,16.13,15.875,16.11,2802870.0,0.0,1.0,16.03,16.13,15.875,16.11,2802870.0
2015-03-31,16.16,16.23,15.98,16.02,2756061.0,0.0,1.0,16.16,16.23,15.98,16.02,2756061.0
2015-03-30,16.22,16.45,16.16,16.22,2156703.0,0.0,1.0,16.22,16.45,16.16,16.22,2156703.0
2015-03-27,16.11,16.25,16.09,16.15,2363586.0,0.0,1.0,16.11,16.25,16.09,16.15,2363586.0
2015-03-26,16.32,16.32,16.11,16.18,3616056.0,0.0,1.0,16.32,16.32,16.11,16.18,3616056.0
2015-03-25,16.88,16.88,16.42,16.42,1878458.0,0.0,1.0,16.88,16.88,16.42,16.42,1878458.0
2015-03-24,16.84,16.89,16.72,16.775,2514753.0,0.0,1.0,16.84,16.89,16.72,16.775,2514753.0
2015-03-23,16.82,16.99,16.82,16.88,2142327.0,0.0,1.0,16.82,16.99,16.82,16.88,2142327.0
2015-03-20,16.76,16.98,16.76,16.84,3464559.0,0.0,1.0,16.76,16.98,16.76,16.84,3464559.0
2015-03-19,16.82,16.83,16.51,16.69,2536846.0,0.0,1.0,16.82,16.83,16.51,16.69,2536846.0
2015-03-18,16.59,16.96,16.57,16.89,2077234.0,0.0,1.0,16.59,16.96,16.57,16.89,2077234.0
2015-03-17,16.78,16.86,16.625,16.75,1451511.0,0.0,1.0,16.78,16.86,16.625,16.75,1451511.0
2015-03-16,16.81,16.92,16.69,16.92,1999822.0,0.0,1.0,16.81,16.92,16.69,16.92,1999822.0
2015-03-13,16.67,16.77,16.44,16.7,2696547.0,0.0,1.0,16.67,16.77,16.44,16.7,2696547.0
2015-03-12,16.52,16.82,16.47,16.75,2136606.0,0.0,1.0,16.52,16.82,16.47,16.75,2136606.0
2015-03-11,16.22,16.47,16.19,16.4,2529424.0,0.0,1.0,16.22,16.47,16.19,16.4,2529424.0
2015-03-10,16.56,16.67,16.22,16.23,5368297.0,0.0,1.0,16.56,16.67,16.22,16.23,5368297.0
2015-03-09,16.93,16.98,16.64,16.68,3202702.0,0.0,1.0,16.93,16.98,16.64,16.68,3202702.0
2015-03-06,17.0,17.22,16.76,16.83,2489381.0,0.0,1.0,17.0,17.22,16.76,16.83,2489381.0
2015-03-05,17.22,17.22,17.04,17.095,2192557.0,0.0,1.0,17.22,17.22,17.04,17.095,2192557.0
2015-03-04,17.16,17.22,16.945,17.09,2869906.0,0.0,1.0,17.16,17.22,16.945,17.09,2869906.0
2015-03-03,17.39,17.43,17.19,17.21,2903021.0,0.0,1.0,17.39,17.43,17.19,17.21,2903021.0
2015-03-02,17.33,17.52,17.24,17.44,2466129.0,0.0,1.0,17.33,17.52,17.24,17.44,2466129.0
2015-02-27,17.32,17.42,17.215,17.275,2543071.0,0.0,1.0,17.32,17.42,17.215,17.275,2543071.0
2015-02-26,17.47,17.52,17.24,17.325,1794512.0,0.0,1.0,17.47,17.52,17.24,17.325,1794512.0
2015-02-25,17.24,17.55,17.24,17.44,2380721.0,0.0,1.0,17.24,17.55,17.24,17.44,2380721.0
2015-02-24,17.18,17.43,17.145,17.285,2492551.0,0.0,1.0,17.18,17.43,17.145,17.285,2492551.0
2015-02-23,17.12,17.33,17.012,17.32,2129302.0,0.0,1.0,17.12,17.33,17.012,17.32,2129302.0
2015-02-20,17.0,17.2,16.81,17.14,2039782.0,0.0,1.0,17.0,17.2,16.81,17.14,2039782.0
2015-02-19,16.97,17.05,16.85,17.04,1643576.0,0.0,1.0,16.97,17.05,16.85,17.04,1643576.0
2015-02-18,17.03,17.08,16.88,16.96,3455617.0,0.0,1.0,17.03,17.08,16.88,16.96,3455617.0
2015-02-17,16.89,17.11,16.81,17.11,2504312.0,0.0,1.0,16.89,17.11,16.81,17.11,2504312.0
2015-02-13,16.92,17.05,16.82,16.89,2754252.0,0.0,1.0,16.92,17.05,16.82,16.89,2754252.0
2015-02-12,16.48,16.99,16.48,16.84,2443284.0,0.0,1.0,16.48,16.99,16.48,16.84,2443284.0
2015-02-11,16.77,16.87,16.665,16.76,3834135.0,0.0,1.0,16.77,16.87,16.665,16.76,3834135.0
2015-02-10,16.76,16.83,16.29,16.77,4225588.0,0.0,1.0,16.76,16.83,16.29,16.77,4225588.0
2015-02-09,16.23,16.78,16.23,16.715,6980734.0,0.0,1.0,16.23,16.78,16.23,16.715,6980734.0
2015-02-06,16.1,16.35,15.952,16.26,6980076.0,0.0,1.0,16.1,16.35,15.952,16.26,6980076.0
2015-02-04,15.64,15.68,15.42,15.59,2858656.0,0.0,1.0,15.64,15.68,15.42,15.59,2858656.0
2015-02-03,15.05,15.69,15.04,15.61,3692326.0,0.0,1.0,15.05,15.69,15.04,15.61,3692326.0
2015-02-02,14.94,15.11,14.71,14.94,3356058.0,0.0,1.0,14.94,15.11,14.71,14.94,3356058.0
2015-01-30,14.83,15.105,14.76,14.89,3089948.0,0.0,1.0,14.83,15.105,14.76,14.89,3089948.0
2015-01-29,15.13,15.23,14.749,14.93,2683927.0,0.0,1.0,15.13,15.23,14.749,14.93,2683927.0
2015-01-28,15.49,15.51,15.14,15.14,2509039.0,0.0,1.0,15.49,15.51,15.14,15.14,2509039.0
2015-01-26,15.16,15.54,15.1,15.54,1898413.0,0.0,1.0,15.16,15.54,15.1,15.54,1898413.0
2015-01-23,15.19,15.33,15.08,15.18,2011060.0,0.0,1.0,15.19,15.33,15.08,15.18,2011060.0
