Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,81.17,81.74,80.35,81.37,5500711.0,0.0,1.0,81.17,81.74,80.35,81.37,5500711.0
2015-04-15,80.19,82.06,79.74,81.51,6636398.0,0.0,1.0,80.19,82.06,79.74,81.51,6636398.0
2015-04-14,78.35,79.5769,78.23,79.3,4381298.0,0.0,1.0,78.35,79.5769,78.23,79.3,4381298.0
2015-04-13,78.85,79.04,77.695,77.74,2590862.0,0.0,1.0,78.85,79.04,77.695,77.74,2590862.0
2015-04-10,78.12,78.52,77.61,78.45,3287639.0,0.0,1.0,78.12,78.52,77.61,78.45,3287639.0
2015-04-09,76.64,78.05,76.6,77.83,4042398.0,0.0,1.0,76.64,78.05,76.6,77.83,4042398.0
2015-04-08,77.02,77.21,76.48,76.6,5069933.0,0.0,1.0,77.02,77.21,76.48,76.6,5069933.0
2015-04-07,76.59,77.12,76.02,76.81,4447674.0,0.0,1.0,76.59,77.12,76.02,76.81,4447674.0
2015-04-06,74.95,77.01,74.5,76.51,6845123.0,0.0,1.0,74.95,77.01,74.5,76.51,6845123.0
2015-04-02,73.64,74.77,73.35,74.55,5256949.0,0.0,1.0,73.64,74.77,73.35,74.55,5256949.0
2015-04-01,74.22,74.58,73.47,74.24,4355491.0,0.0,1.0,74.22,74.58,73.47,74.24,4355491.0
2015-03-31,73.0,73.72,72.69,73.0,4826313.0,0.0,1.0,73.0,73.72,72.69,73.0,4826313.0
2015-03-30,73.44,74.3201,73.35,73.98,3847119.0,0.0,1.0,73.44,74.3201,73.35,73.98,3847119.0
2015-03-27,73.04,73.63,72.55,72.72,3283212.0,0.0,1.0,73.04,73.63,72.55,72.72,3283212.0
2015-03-26,74.61,74.7,73.12,73.73,4951009.0,0.0,1.0,74.61,74.7,73.12,73.73,4951009.0
2015-03-25,72.98,74.235,72.71,73.72,4610962.0,0.0,1.0,72.98,74.235,72.71,73.72,4610962.0
2015-03-24,72.9,73.24,72.41,72.45,2823685.0,0.0,1.0,72.9,73.24,72.41,72.45,2823685.0
2015-03-23,73.11,73.77,72.84,72.86,3756194.0,0.0,1.0,73.11,73.77,72.84,72.86,3756194.0
2015-03-20,72.46,73.89,72.28,72.72,12727230.0,0.0,1.0,72.46,73.89,72.28,72.72,12727230.0
2015-03-19,72.81,73.13,71.7,71.87,5460294.0,0.0,1.0,72.81,73.13,71.7,71.87,5460294.0
2015-03-18,72.06,74.6,71.75,74.01,4168422.0,0.0,1.0,72.06,74.6,71.75,74.01,4168422.0
2015-03-17,72.99,73.24,72.175,72.36,3969421.0,0.0,1.0,72.99,73.24,72.175,72.36,3969421.0
2015-03-16,72.38,73.17,72.1,73.11,5415767.0,0.0,1.0,72.38,73.17,72.1,73.11,5415767.0
