Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,48.8,49.19,48.61,49.04,1178291.0,0.0,1.0,48.8,49.19,48.61,49.04,1178291.0
2015-04-15,48.96,49.1699,48.8,48.98,1084876.0,0.0,1.0,48.96,49.1699,48.8,48.98,1084876.0
2015-04-14,48.74,49.18,48.73,48.9,920736.0,0.0,1.0,48.74,49.18,48.73,48.9,920736.0
2015-04-13,49.38,49.58,49.01,49.06,1188622.0,0.0,1.0,49.38,49.58,49.01,49.06,1188622.0
2015-04-10,49.6,49.61,49.21,49.28,1336220.0,0.0,1.0,49.6,49.61,49.21,49.28,1336220.0
2015-04-09,49.41,49.47,48.79,49.39,1084750.0,0.0,1.0,49.41,49.47,48.79,49.39,1084750.0
2015-04-08,49.13,49.55,48.92,49.34,2077304.0,0.0,1.0,49.13,49.55,48.92,49.34,2077304.0
2015-04-07,49.18,49.4,49.13,49.14,1877206.0,0.0,1.0,49.18,49.4,49.13,49.14,1877206.0
2015-04-06,49.59,49.67,49.09,49.21,2207140.0,0.0,1.0,49.59,49.67,49.09,49.21,2207140.0
2015-04-02,49.81,49.81,49.11,49.25,1775655.0,0.0,1.0,49.81,49.81,49.11,49.25,1775655.0
2015-04-01,49.22,49.55,48.691,49.495,2320967.0,0.0,1.0,49.22,49.55,48.691,49.495,2320967.0
2015-03-31,49.91,50.06,49.61,49.615,1626337.0,0.0,1.0,49.91,50.06,49.61,49.615,1626337.0
2015-03-30,49.72,50.1299,49.67,50.01,1311124.0,0.0,1.0,49.72,50.1299,49.67,50.01,1311124.0
2015-03-27,48.88,49.65,48.7545,49.55,2161879.0,0.0,1.0,48.88,49.65,48.7545,49.55,2161879.0
2015-03-26,48.89,49.325,48.5499,49.01,2470073.0,0.0,1.0,48.89,49.325,48.5499,49.01,2470073.0
2015-03-25,50.81,50.95,49.18,49.2,3834747.0,0.0,1.0,50.81,50.95,49.18,49.2,3834747.0
2015-03-24,51.31,51.52,51.1,51.3,2496532.0,0.0,1.0,51.31,51.52,51.1,51.3,2496532.0
2015-03-23,51.66,51.72,51.26,51.26,1691423.0,0.0,1.0,51.66,51.72,51.26,51.26,1691423.0
2015-03-20,51.6,51.7,51.31,51.62,2073919.0,0.0,1.0,51.6,51.7,51.31,51.62,2073919.0
2015-03-19,51.34,51.5,51.02,51.24,1193999.0,0.0,1.0,51.34,51.5,51.02,51.24,1193999.0
2015-03-18,51.0,51.58,50.365,51.3,2400987.0,0.0,1.0,51.0,51.58,50.365,51.3,2400987.0
2015-03-17,50.82,51.04,50.66,51.01,1473735.0,0.0,1.0,50.82,51.04,50.66,51.01,1473735.0
2015-03-16,50.27,51.05,50.08,51.005,1904897.0,0.0,1.0,50.27,51.05,50.08,51.005,1904897.0
2015-03-13,50.07,50.24,49.465,49.92,1789039.0,0.0,1.0,50.07,50.24,49.465,49.92,1789039.0
2015-03-12,49.25,50.28,49.2,50.26,2347500.0,0.0,1.0,49.25,50.28,49.2,50.26,2347500.0
2015-03-11,49.01,49.17,48.81,48.99,2113214.0,0.0,1.0,49.01,49.17,48.81,48.99,2113214.0
2015-03-10,48.83,49.31,48.56,49.0,2671119.0,0.0,1.0,48.83,49.31,48.56,49.0,2671119.0
2015-03-09,48.96,49.4,48.925,49.28,1476707.0,0.0,1.0,48.96,49.4,48.925,49.28,1476707.0
2015-03-06,48.98,49.26,48.08,48.95,2084534.0,0.0,1.0,48.98,49.26,48.08,48.95,2084534.0
2015-03-05,48.75,49.19,48.64,49.18,1766079.0,0.0,1.0,48.75,49.19,48.64,49.18,1766079.0
2015-03-04,49.2,49.31,48.68,48.79,2123815.0,0.0,1.0,49.2,49.31,48.68,48.79,2123815.0
2015-03-03,50.01,50.4,48.86,49.33,4771278.0,0.0,1.0,50.01,50.4,48.86,49.33,4771278.0
2015-03-02,49.96,50.41,49.8,50.4,1342116.0,0.0,1.0,49.96,50.41,49.8,50.4,1342116.0
2015-02-27,50.0,50.02,49.68,49.835,2040010.0,0.0,1.0,50.0,50.02,49.68,49.835,2040010.0
2015-02-26,49.92,49.97,49.62,49.94,1822007.0,0.0,1.0,49.92,49.97,49.62,49.94,1822007.0
2015-02-25,50.0,50.188,49.76,49.92,1744713.0,0.0,1.0,50.0,50.188,49.76,49.92,1744713.0
2015-02-24,49.53,49.97,49.23,49.965,2023285.0,0.0,1.0,49.53,49.97,49.23,49.965,2023285.0
2015-02-23,49.64,49.69,49.31,49.53,1140736.0,0.0,1.0,49.64,49.69,49.31,49.53,1140736.0
2015-02-20,49.15,49.63,48.96,49.555,2144938.0,0.0,1.0,49.15,49.63,48.96,49.555,2144938.0
2015-02-19,48.89,49.23,48.66,49.225,1134866.0,0.0,1.0,48.89,49.23,48.66,49.225,1134866.0
2015-02-18,48.83,48.99,48.61,48.96,1340501.0,0.0,1.0,48.83,48.99,48.61,48.96,1340501.0
2015-02-17,48.76,48.84,48.19,48.76,2098076.0,0.0,1.0,48.76,48.84,48.19,48.76,2098076.0
2015-02-13,48.46,48.84,48.2648,48.76,1260601.0,0.0,1.0,48.46,48.84,48.2648,48.76,1260601.0
2015-02-12,48.2,48.43,48.09,48.405,1306356.0,0.0,1.0,48.2,48.43,48.09,48.405,1306356.0
2015-02-11,47.92,48.24,47.83,48.155,1085141.0,0.0,1.0,47.92,48.24,47.83,48.155,1085141.0
2015-02-10,47.49,48.0,47.38,47.93,1423921.0,0.0,1.0,47.49,48.0,47.38,47.93,1423921.0
2015-02-09,47.65,47.87,47.26,47.44,1967070.0,0.0,1.0,47.65,47.87,47.26,47.44,1967070.0
2015-02-06,47.54,48.05,47.5,47.73,2277482.0,0.0,1.0,47.54,48.05,47.5,47.73,2277482.0
2015-02-05,47.17,47.49,46.81,47.49,2387842.0,0.0,1.0,47.17,47.49,46.81,47.49,2387842.0
2015-02-04,46.81,47.29,46.8,47.07,2252855.0,0.0,1.0,46.81,47.29,46.8,47.07,2252855.0
2015-02-03,46.43,46.91,46.13,46.91,2907701.0,0.0,1.0,46.43,46.91,46.13,46.91,2907701.0
