Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,15.31,15.4,15.06,15.23,4237428.0,0.0,1.0,15.31,15.4,15.06,15.23,4237428.0
2015-04-15,15.13,15.3,15.01,15.19,4269071.0,0.0,1.0,15.13,15.3,15.01,15.19,4269071.0
2015-04-14,15.14,15.23,14.92,15.09,4645141.0,0.0,1.0,15.14,15.23,14.92,15.09,4645141.0
2015-04-13,15.05,15.25,15.0,15.15,3697333.0,0.0,1.0,15.05,15.25,15.0,15.15,3697333.0
2015-04-10,15.06,15.105,15.02,15.07,1387818.0,0.0,1.0,15.06,15.105,15.02,15.07,1387818.0
2015-04-09,15.12,15.17,14.93,15.03,2526220.0,0.0,1.0,15.12,15.17,14.93,15.03,2526220.0
2015-04-08,15.15,15.225,15.04,15.12,2473481.0,0.0,1.0,15.15,15.225,15.04,15.12,2473481.0
2015-04-07,15.1,15.28,15.07,15.13,1794319.0,0.0,1.0,15.1,15.28,15.07,15.13,1794319.0
2015-04-06,15.11,15.18,14.99,15.14,2236484.0,0.0,1.0,15.11,15.18,14.99,15.14,2236484.0
2015-04-02,15.05,15.23,15.04,15.18,1794204.0,0.0,1.0,15.05,15.23,15.04,15.18,1794204.0
2015-04-01,15.12,15.2,14.93,15.09,3534438.0,0.0,1.0,15.12,15.2,14.93,15.09,3534438.0
2015-03-31,15.19,15.26,15.11,15.2,1783056.0,0.0,1.0,15.19,15.26,15.11,15.2,1783056.0
2015-03-30,15.12,15.44,15.12,15.27,3526177.0,0.0,1.0,15.12,15.44,15.12,15.27,3526177.0
2015-03-27,15.05,15.11,14.96,15.09,2286778.0,0.0,1.0,15.05,15.11,14.96,15.09,2286778.0
2015-03-26,14.98,15.12,14.87,15.06,2981562.0,0.0,1.0,14.98,15.12,14.87,15.06,2981562.0
2015-03-25,15.25,15.25,15.04,15.06,2503880.0,0.0,1.0,15.25,15.25,15.04,15.06,2503880.0
2015-03-24,15.21,15.27,15.15,15.2,1911057.0,0.0,1.0,15.21,15.27,15.15,15.2,1911057.0
2015-03-23,15.39,15.3908,15.2,15.225,2681894.0,0.0,1.0,15.39,15.3908,15.2,15.225,2681894.0
2015-03-20,15.24,15.36,15.23,15.345,3090675.0,0.0,1.0,15.24,15.36,15.23,15.345,3090675.0
2015-03-19,15.32,15.33,15.08,15.18,3016539.0,0.0,1.0,15.32,15.33,15.08,15.18,3016539.0
2015-03-18,15.27,15.45,15.17,15.345,5513471.0,0.0,1.0,15.27,15.45,15.17,15.345,5513471.0
2015-03-17,15.14,15.31,15.09,15.27,2468602.0,0.0,1.0,15.14,15.31,15.09,15.27,2468602.0
2015-03-16,15.14,15.23,15.06,15.19,2445678.0,0.0,1.0,15.14,15.23,15.06,15.19,2445678.0
2015-03-13,15.2,15.2,14.96,15.075,2442810.0,0.0,1.0,15.2,15.2,14.96,15.075,2442810.0
2015-03-12,14.97,15.22,14.92,15.2,2455480.0,0.0,1.0,14.97,15.22,14.92,15.2,2455480.0
2015-03-11,14.94,14.99,14.81,14.88,2248401.0,0.0,1.0,14.94,14.99,14.81,14.88,2248401.0
2015-03-10,15.03,15.09,14.93,14.93,1852157.0,0.0,1.0,15.03,15.09,14.93,14.93,1852157.0
2015-03-09,15.16,15.22,15.07,15.18,1769972.0,0.0,1.0,15.16,15.22,15.07,15.18,1769972.0
2015-03-06,15.0,15.27,14.97,15.13,4968748.0,0.0,1.0,15.0,15.27,14.97,15.13,4968748.0
2015-03-05,15.06,15.14,14.97,15.08,1933087.0,0.0,1.0,15.06,15.14,14.97,15.08,1933087.0
2015-03-04,15.13,15.18,15.02,15.08,2144121.0,0.0,1.0,15.13,15.18,15.02,15.08,2144121.0
2015-03-03,15.14,15.25,15.1,15.2,2217378.0,0.0,1.0,15.14,15.25,15.1,15.2,2217378.0
2015-03-02,15.15,15.22,15.06,15.19,2745456.0,0.0,1.0,15.15,15.22,15.06,15.19,2745456.0
2015-02-27,15.06,15.25,15.045,15.13,2365513.0,0.0,1.0,15.06,15.25,15.045,15.13,2365513.0
2015-02-26,15.01,15.155,14.99,15.07,2462637.0,0.0,1.0,15.01,15.155,14.99,15.07,2462637.0
2015-02-25,15.07,15.14,15.015,15.04,1651884.0,0.0,1.0,15.07,15.14,15.015,15.04,1651884.0
