Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,23.51,23.65,23.41,23.57,1034098.0,0.0,1.0,23.51,23.65,23.41,23.57,1034098.0
2015-04-15,23.61,23.79,23.53,23.59,1428208.0,0.0,1.0,23.61,23.79,23.53,23.59,1428208.0
2015-04-14,23.57,23.75,23.365,23.53,1054178.0,0.0,1.0,23.57,23.75,23.365,23.53,1054178.0
2015-04-13,23.55,23.84,23.4901,23.62,1512220.0,0.0,1.0,23.55,23.84,23.4901,23.62,1512220.0
2015-04-10,23.5,23.93,23.45,23.59,2133780.0,0.0,1.0,23.5,23.93,23.45,23.59,2133780.0
2015-04-09,23.4,23.6,23.21,23.33,1785694.0,0.0,1.0,23.4,23.6,23.21,23.33,1785694.0
2015-04-08,23.25,23.43,23.12,23.37,1318760.0,0.0,1.0,23.25,23.43,23.12,23.37,1318760.0
2015-04-07,23.32,23.49,23.22,23.24,1655312.0,0.0,1.0,23.32,23.49,23.22,23.24,1655312.0
2015-04-06,23.28,23.52,23.23,23.36,1315052.0,0.0,1.0,23.28,23.52,23.23,23.36,1315052.0
2015-04-02,23.54,23.79,23.52,23.53,758949.0,0.0,1.0,23.54,23.79,23.52,23.53,758949.0
2015-04-01,23.27,23.62,23.225,23.59,1938649.0,0.0,1.0,23.27,23.62,23.225,23.59,1938649.0
2015-03-31,23.6,23.615,23.28,23.32,1537470.0,0.0,1.0,23.6,23.615,23.28,23.32,1537470.0
2015-03-30,23.41,23.94,23.41,23.77,1184984.0,0.0,1.0,23.41,23.94,23.41,23.77,1184984.0
2015-03-27,23.4,23.57,23.24,23.33,1079805.0,0.0,1.0,23.4,23.57,23.24,23.33,1079805.0
2015-03-26,23.48,23.54,23.14,23.39,1555665.0,0.0,1.0,23.48,23.54,23.14,23.39,1555665.0
2015-03-25,23.97,24.02,23.59,23.59,1517144.0,0.0,1.0,23.97,24.02,23.59,23.59,1517144.0
2015-03-24,23.98,24.165,23.9,23.93,1820617.0,0.0,1.0,23.98,24.165,23.9,23.93,1820617.0
2015-03-23,23.98,24.1,23.88,23.98,1874568.0,0.0,1.0,23.98,24.1,23.88,23.98,1874568.0
2015-03-20,23.345,24.0,23.31,23.96,2612482.0,0.0,1.0,23.345,24.0,23.31,23.96,2612482.0
2015-03-19,23.31,23.39,23.18,23.25,1560302.0,0.0,1.0,23.31,23.39,23.18,23.25,1560302.0
2015-03-18,22.88,23.46,22.65,23.34,1331139.0,0.0,1.0,22.88,23.46,22.65,23.34,1331139.0
2015-03-17,22.65,22.925,22.53,22.9,1191645.0,0.0,1.0,22.65,22.925,22.53,22.9,1191645.0
2015-03-16,22.55,22.86,22.48,22.74,1133108.0,0.0,1.0,22.55,22.86,22.48,22.74,1133108.0
2015-03-13,22.54,22.58,22.22,22.44,1802911.0,0.0,1.0,22.54,22.58,22.22,22.44,1802911.0
2015-03-12,22.32,22.65,22.3,22.62,1479507.0,0.0,1.0,22.32,22.65,22.3,22.62,1479507.0
2015-03-11,22.11,22.36,22.11,22.29,1471729.0,0.0,1.0,22.11,22.36,22.11,22.29,1471729.0
2015-03-10,22.41,22.46,22.07,22.07,1628957.0,0.0,1.0,22.41,22.46,22.07,22.07,1628957.0
2015-03-09,22.13,22.58,22.11,22.48,2092952.0,0.0,1.0,22.13,22.58,22.11,22.48,2092952.0
2015-03-06,22.26,22.28,22.03,22.1,2774860.0,0.0,1.0,22.26,22.28,22.03,22.1,2774860.0
2015-03-05,22.5,22.53,22.27,22.42,1377304.0,0.0,1.0,22.5,22.53,22.27,22.42,1377304.0
