Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,64.03,64.24,63.62,63.95,1023517.0,0.0,1.0,64.03,64.24,63.62,63.95,1023517.0
2015-04-15,63.45,64.52,63.2,64.19,1691126.0,0.0,1.0,63.45,64.52,63.2,64.19,1691126.0
2015-04-14,62.58,63.5,62.35,63.28,1311045.0,0.0,1.0,62.58,63.5,62.35,63.28,1311045.0
2015-04-13,63.13,63.36,62.66,62.8,1142254.0,0.0,1.0,63.13,63.36,62.66,62.8,1142254.0
2015-04-10,63.18,63.58,63.06,63.235,1118010.0,0.0,1.0,63.18,63.58,63.06,63.235,1118010.0
2015-04-09,62.47,63.23,62.47,63.19,1673968.0,0.0,1.0,62.47,63.23,62.47,63.19,1673968.0
2015-04-08,62.35,62.77,62.0701,62.76,1318863.0,0.0,1.0,62.35,62.77,62.0701,62.76,1318863.0
2015-04-07,61.96,62.31,61.74,62.15,1216398.0,0.0,1.0,61.96,62.31,61.74,62.15,1216398.0
2015-04-06,60.68,62.39,60.5001,62.05,1528259.0,0.0,1.0,60.68,62.39,60.5001,62.05,1528259.0
2015-04-02,61.9,62.28,60.78,61.2,2622665.0,0.0,1.0,61.9,62.28,60.78,61.2,2622665.0
2015-04-01,63.01,63.15,61.69,61.9,1326487.0,0.0,1.0,63.01,63.15,61.69,61.9,1326487.0
2015-03-31,63.13,63.6,62.98,63.14,1549292.0,0.0,1.0,63.13,63.6,62.98,63.14,1549292.0
2015-03-30,62.48,63.6025,62.24,63.45,1004571.0,0.0,1.0,62.48,63.6025,62.24,63.45,1004571.0
2015-03-27,62.0,62.26,61.51,62.17,1265041.0,0.0,1.0,62.0,62.26,61.51,62.17,1265041.0
2015-03-26,62.6,63.17,62.16,62.32,1638700.0,0.0,1.0,62.6,63.17,62.16,62.32,1638700.0
2015-03-25,64.06,64.16,62.61,62.63,1182548.0,0.0,1.0,64.06,64.16,62.61,62.63,1182548.0
2015-03-24,64.03,64.35,63.75,64.11,1597171.0,0.0,1.0,64.03,64.35,63.75,64.11,1597171.0
2015-03-23,63.98,64.26,63.56,63.75,1660700.0,0.0,1.0,63.98,64.26,63.56,63.75,1660700.0
2015-03-20,63.07,63.84,62.58,63.61,2439319.0,0.0,1.0,63.07,63.84,62.58,63.61,2439319.0
2015-03-19,63.49,63.73,62.5,62.59,1304595.0,0.0,1.0,63.49,63.73,62.5,62.59,1304595.0
2015-03-18,62.25,63.94,61.89,63.735,2102164.0,0.0,1.0,62.25,63.94,61.89,63.735,2102164.0
2015-03-17,62.43,62.79,62.15,62.57,1049372.0,0.0,1.0,62.43,62.79,62.15,62.57,1049372.0
2015-03-16,62.12,62.7,62.12,62.525,1154449.0,0.0,1.0,62.12,62.7,62.12,62.525,1154449.0
2015-03-13,62.04,62.43,61.06,61.71,1259933.0,0.0,1.0,62.04,62.43,61.06,61.71,1259933.0
