Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,207.77,207.77,204.55,204.76,1850502.0,0.0,1.0,207.77,207.77,204.55,204.76,1850502.0
2015-04-15,205.11,211.12,203.92,208.08,5452715.0,0.0,1.0,205.11,211.12,203.92,208.08,5452715.0
2015-04-14,212.0,217.085,211.55,215.97,1441200.0,0.0,1.0,212.0,217.085,211.55,215.97,1441200.0
2015-04-13,213.0,214.95,212.39,212.39,1323545.0,0.0,1.0,213.0,214.95,212.39,212.39,1323545.0
2015-04-10,213.32,213.46,212.43,213.0,1120871.0,0.0,1.0,213.32,213.46,212.43,213.0,1120871.0
2015-04-09,213.44,214.81,211.58,212.62,1478654.0,0.0,1.0,213.44,214.81,211.58,212.62,1478654.0
2015-04-08,214.25,214.98,212.485,214.35,1286518.0,0.0,1.0,214.25,214.98,212.485,214.35,1286518.0
2015-04-07,213.0,215.44,211.64,213.8,732342.0,0.0,1.0,213.0,215.44,211.64,213.8,732342.0
2015-04-06,210.11,214.24,209.14,213.19,557149.0,0.0,1.0,210.11,214.24,209.14,213.19,557149.0
2015-04-02,209.81,211.88,208.31,210.8,666476.0,0.0,1.0,209.81,211.88,208.31,210.8,666476.0
2015-04-01,208.86,210.01,208.26,209.61,1024569.0,0.0,1.0,208.86,210.01,208.26,209.61,1024569.0
2015-03-31,210.14,211.36,209.61,210.0,1104445.0,0.0,1.0,210.14,211.36,209.61,210.0,1104445.0
2015-03-30,213.17,214.18,211.495,211.58,903607.0,0.0,1.0,213.17,214.18,211.495,211.58,903607.0
2015-03-27,210.67,212.35,209.14,212.18,661730.0,0.0,1.0,210.67,212.35,209.14,212.18,661730.0
2015-03-26,208.85,211.0,207.58,210.07,890584.0,0.0,1.0,208.85,211.0,207.58,210.07,890584.0
2015-03-25,210.23,211.45,207.961,209.44,979266.0,0.0,1.0,210.23,211.45,207.961,209.44,979266.0
2015-03-24,209.81,211.15,209.01,209.75,836712.0,0.0,1.0,209.81,211.15,209.01,209.75,836712.0
2015-03-23,210.99,211.53,209.56,210.42,686625.0,0.0,1.0,210.99,211.53,209.56,210.42,686625.0
2015-03-20,208.56,211.54,207.91,210.16,1255126.0,0.0,1.0,208.56,211.54,207.91,210.16,1255126.0
2015-03-19,210.9,210.9,207.035,207.98,554215.0,0.0,1.0,210.9,210.9,207.035,207.98,554215.0
2015-03-18,207.9,212.46,206.64,211.59,658281.0,0.0,1.0,207.9,212.46,206.64,211.59,658281.0
2015-03-17,206.02,208.69,205.57,208.16,533344.0,0.0,1.0,206.02,208.69,205.57,208.16,533344.0
2015-03-16,205.58,207.13,205.26,207.01,1223153.0,0.0,1.0,205.58,207.13,205.26,207.01,1223153.0
2015-03-13,208.52,209.86,203.26,204.59,1624827.0,0.0,1.0,208.52,209.86,203.26,204.59,1624827.0
2015-03-12,210.1,211.2199,208.46,209.95,768833.0,0.0,1.0,210.1,211.2199,208.46,209.95,768833.0
2015-03-11,210.5,210.57,209.4,209.48,708956.0,0.0,1.0,210.5,210.57,209.4,209.48,708956.0
2015-03-10,211.15,211.45,209.54,210.0,1309220.0,0.0,1.0,211.15,211.45,209.54,210.0,1309220.0
2015-03-09,213.16,214.06,212.03,212.19,949675.0,0.0,1.0,213.16,214.06,212.03,212.19,949675.0
2015-03-06,214.04,214.968,211.07,212.71,1147803.0,0.0,1.0,214.04,214.968,211.07,212.71,1147803.0
2015-03-05,213.83,217.43,213.33,216.34,626514.0,0.0,1.0,213.83,217.43,213.33,216.34,626514.0
2015-03-04,215.0,215.04,212.34,213.52,1156149.0,0.0,1.0,215.0,215.04,212.34,213.52,1156149.0
2015-03-03,215.95,216.82,214.19,215.72,647173.0,0.0,1.0,215.95,216.82,214.19,215.72,647173.0
2015-03-02,217.17,219.2799,216.64,217.37,847796.0,0.0,1.0,217.17,219.2799,216.64,217.37,847796.0
2015-02-27,216.61,217.8,215.91,216.3,920148.0,0.0,1.0,216.61,217.8,215.91,216.3,920148.0
2015-02-26,211.91,218.56,211.79,217.1,1741807.0,0.0,1.0,211.91,218.56,211.79,217.1,1741807.0
2015-02-25,215.0,215.19,210.89,211.64,1001854.0,0.0,1.0,214.97018444044,215.1601580918,210.860754403,211.61065039523,1001854.0
2015-02-24,212.88,215.6383,212.88,215.13,773031.0,0.0,1.0,212.85047843572,215.6083959229,212.85047843572,215.10016641243,773031.0
2015-02-23,216.09,216.32,213.35,213.98,1149988.0,0.0,1.0,216.06003328249,216.29000138677,213.32041325752,213.950325891,1149988.0
2015-02-20,214.93,219.61,214.28,219.61,1643048.0,0.0,1.0,214.90019414783,219.57954513937,214.25028428789,219.57954513937,1643048.0
2015-02-19,210.92,214.35,210.0,214.2,1027416.0,0.0,1.0,210.89075024268,214.3202745805,209.97087782554,214.17029538206,1027416.0
2015-02-18,205.6,211.51,205.78,210.97,1225065.0,0.0,1.0,205.57148800444,211.48066842324,205.75146304257,210.94074330883,1225065.0
2015-02-17,204.6,206.45,204.43,205.64,753429.0,0.0,1.0,204.57162668146,206.42137012897,204.40165025655,205.61148245736,753429.0
2015-02-13,203.66,205.86,203.8,205.54,950552.0,0.0,1.0,203.63175703786,205.83145194841,203.77173762308,205.51149632506,950552.0
2015-02-12,204.16,206.19,203.64,204.17,994269.0,0.0,1.0,204.13168769935,206.161406185,203.6117598114,204.14168631258,994269.0
2015-02-11,201.5,203.88,201.15,203.12,833303.0,0.0,1.0,201.47205658022,203.85172652891,201.12210511718,203.09183192345,833303.0
2015-02-10,201.97,202.83,200.95,201.51,797575.0,0.0,1.0,201.94199140202,202.80187213979,200.92213285259,201.48205519345,797575.0
2015-02-09,203.05,203.8325,200.6,201.52,1202189.0,0.0,1.0,203.02184163084,203.80423311607,200.57218138954,201.49205380668,1202189.0
2015-02-06,205.67,206.7,203.04,203.81,1194402.0,0.0,1.0,205.64147829705,206.67133545971,203.01184301761,203.78173623631,1194402.0
2015-02-04,207.67,208.71,204.04,204.74,1871973.0,0.0,1.0,207.641200943,208.6810567189,204.01170434059,204.71160726668,1871973.0
2015-02-03,206.375,209.34,206.0,208.31,1296181.0,0.0,1.0,206.34638052975,209.31096935238,205.97143253363,208.28111218971,1296181.0
2015-02-02,200.1,206.725,200.444,206.06,1436315.0,0.0,1.0,200.07225072805,206.69633199279,200.41620302316,206.03142421301,1436315.0
2015-01-30,201.17,203.36,200.0,200.1,1803825.0,0.0,1.0,201.14210234364,203.33179864097,199.97226459576,200.07225072805,1803825.0
2015-01-29,202.01,203.74,200.82,202.62,2273793.0,0.0,1.0,201.98198585494,203.7117459437,200.7921508806,202.59190126196,2273793.0
2015-01-28,205.19,207.0,202.59,202.86,1923385.0,0.0,1.0,205.16154486202,206.97129385661,202.56190542227,202.83186797948,1923385.0
2015-01-26,207.94,208.97,205.2,205.99,1907781.0,0.0,1.0,207.91116350021,208.94102066288,205.17154347525,205.9614339204,1907781.0
2015-01-23,207.25,209.83,203.11,207.85,3442551.0,0.0,1.0,207.22125918735,209.80090140064,203.08183331022,207.82117598114,3442551.0
2015-01-22,203.49,212.89,201.065,208.91,5202949.0,0.0,1.0,203.46178061295,212.86047704895,201.03711690473,208.8810289835,5202949.0
2015-01-21,210.6,211.624,206.65,208.75,2143395.0,0.0,1.0,210.57079461933,211.59465261406,206.62134239357,208.72105117182,2143395.0
2015-01-20,200.2,206.32,200.12,205.24,3338761.0,0.0,1.0,200.17223686035,206.29138815698,200.09224795451,205.21153792817,3338761.0
2015-01-15,222.58,222.96,218.58,219.72,1100642.0,0.0,1.0,222.54913326862,222.92908057135,218.5496879767,219.6895298849,1100642.0
2015-01-14,224.42,225.5,220.96,222.96,942200.0,0.0,1.0,224.3888781029,225.46872833172,220.92935792539,222.92908057135,942200.0
2015-01-13,228.73,231.38,225.17,226.91,978231.0,0.0,1.0,228.69828040494,231.34791291083,225.13877409513,226.87853279712,978231.0
