Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,41.24,41.55,40.65,41.32,2420911.0,0.0,1.0,41.24,41.55,40.65,41.32,2420911.0
2015-04-15,41.35,41.93,41.19,41.26,1275837.0,0.0,1.0,41.35,41.93,41.19,41.26,1275837.0
2015-04-14,41.06,41.49,41.01,41.25,1412483.0,0.0,1.0,41.06,41.49,41.01,41.25,1412483.0
2015-04-13,41.59,41.71,40.91,40.98,1605380.0,0.0,1.0,41.59,41.71,40.91,40.98,1605380.0
2015-04-10,41.34,41.98,41.28,41.67,1971634.0,0.0,1.0,41.34,41.98,41.28,41.67,1971634.0
2015-04-09,41.62,41.67,41.2,41.27,2343160.0,0.0,1.0,41.62,41.67,41.2,41.27,2343160.0
2015-04-08,41.78,41.99,41.46,41.7,2025635.0,0.0,1.0,41.78,41.99,41.46,41.7,2025635.0
2015-04-07,42.5,42.55,41.7444,41.84,2348316.0,0.0,1.0,42.5,42.55,41.7444,41.84,2348316.0
2015-04-06,41.46,42.81,41.44,42.4,3198223.0,0.0,1.0,41.46,42.81,41.44,42.4,3198223.0
2015-04-02,41.28,41.74,41.265,41.34,3962203.0,0.0,1.0,41.28,41.74,41.265,41.34,3962203.0
2015-04-01,41.25,41.45,40.6,41.26,4102157.0,0.0,1.0,41.25,41.45,40.6,41.26,4102157.0
2015-03-31,42.03,42.185,41.56,41.92,2886934.0,0.0,1.0,42.03,42.185,41.56,41.92,2886934.0
2015-03-30,41.46,42.095,41.24,41.97,1740794.0,0.0,1.0,41.46,42.095,41.24,41.97,1740794.0
2015-03-27,41.17,41.71,41.0,41.33,1781350.0,0.0,1.0,41.17,41.71,41.0,41.33,1781350.0
2015-03-26,41.47,41.78,40.96,41.18,1927479.0,0.0,1.0,41.47,41.78,40.96,41.18,1927479.0
2015-03-25,41.93,42.13,41.48,41.5,2676286.0,0.0,1.0,41.93,42.13,41.48,41.5,2676286.0
2015-03-24,42.36,42.64,41.7,41.82,1907775.0,0.0,1.0,42.36,42.64,41.7,41.82,1907775.0
2015-03-23,42.14,42.59,42.13,42.45,2584875.0,0.0,1.0,42.14,42.59,42.13,42.45,2584875.0
2015-03-20,42.07,42.37,41.7,42.11,3996172.0,0.0,1.0,42.07,42.37,41.7,42.11,3996172.0
2015-03-19,42.0,42.4,41.525,41.87,2951905.0,0.0,1.0,42.0,42.4,41.525,41.87,2951905.0
2015-03-18,41.24,42.59,40.993,42.22,3774406.0,0.0,1.0,41.24,42.59,40.993,42.22,3774406.0
2015-03-17,41.07,41.54,41.05,41.24,2141664.0,0.0,1.0,41.07,41.54,41.05,41.24,2141664.0
2015-03-16,40.63,41.525,40.6,41.23,2577126.0,0.0,1.0,40.63,41.525,40.6,41.23,2577126.0
2015-03-13,40.82,40.82,40.105,40.55,3163526.0,0.0,1.0,40.82,40.82,40.105,40.55,3163526.0
2015-03-12,40.43,41.06,40.25,40.85,3234560.0,0.0,1.0,40.43,41.06,40.25,40.85,3234560.0
2015-03-11,39.98,40.31,39.755,40.22,4315390.0,0.0,1.0,39.98,40.31,39.755,40.22,4315390.0
2015-03-10,39.76,40.54,39.58,40.06,3862917.0,0.0,1.0,39.76,40.54,39.58,40.06,3862917.0
2015-03-09,39.67,40.12,39.62,39.82,3810520.0,0.0,1.0,39.67,40.12,39.62,39.82,3810520.0
2015-03-06,40.71,40.71,39.53,39.63,5304061.0,0.0,1.0,40.71,40.71,39.53,39.63,5304061.0
2015-03-05,41.54,41.95,41.3,41.45,3502533.0,0.0,1.0,41.54,41.95,41.3,41.45,3502533.0
2015-03-04,41.71,41.73,40.93,41.33,4557462.0,0.0,1.0,41.303530734633,41.323335832084,40.531131934033,40.927233883058,4557462.0
2015-03-03,40.94,41.96,40.77,41.93,5021681.0,0.0,1.0,40.541034482759,41.551094452774,40.372691154423,41.521386806597,5021681.0
2015-03-02,42.0,42.24,40.555,40.94,4593216.0,0.0,1.0,41.590704647676,41.828365817091,40.159786356822,40.541034482759,4593216.0
2015-02-27,42.15,42.23,41.72,42.06,3901426.0,0.0,1.0,41.739242878561,41.818463268366,41.313433283358,41.65011994003,3901426.0
2015-02-26,42.37,42.69,42.05,42.21,3750242.0,0.0,1.0,41.957098950525,42.273980509745,41.640217391304,41.798658170915,3750242.0
2015-02-25,43.28,43.33,42.12,42.23,3866514.0,0.0,1.0,42.858230884558,42.907743628186,41.709535232384,41.818463268366,3866514.0
2015-02-24,42.68,43.69,42.64,43.16,4771963.0,0.0,1.0,42.264077961019,43.264235382309,42.224467766117,42.73940029985,4771963.0
2015-02-23,41.69,42.665,41.63,42.6,4875086.0,0.0,1.0,41.283725637181,42.249224137931,41.224310344828,42.184857571214,4875086.0
2015-02-20,40.9,42.0,40.69,41.63,5554974.0,0.0,1.0,40.501424287856,41.590704647676,40.293470764618,41.224310344828,5554974.0
2015-02-19,40.59,40.801,40.14,40.28,2938791.0,0.0,1.0,40.194445277361,40.403389055472,39.748830584708,39.887466266867,2938791.0
2015-02-18,39.64,40.62,39.53,40.54,3189142.0,0.0,1.0,39.253703148426,40.224152923538,39.144775112444,40.144932533733,3189142.0
2015-02-17,39.28,39.84,39.03,39.65,4988768.0,0.0,1.0,38.897211394303,39.451754122939,38.649647676162,39.263605697151,4988768.0
2015-02-13,39.71,39.76,39.0,39.36,2626586.0,0.0,1.0,39.323020989505,39.372533733133,38.619940029985,38.976431784108,2626586.0
2015-02-12,40.11,40.25,39.69,39.78,3305006.0,0.0,1.0,39.719122938531,39.85775862069,39.303215892054,39.392338830585,3305006.0
