Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,35.07,35.29,35.02,35.19,19424165.0,0.0,1.0,35.07,35.29,35.02,35.19,19424165.0
2015-04-15,35.4,35.47,35.12,35.21,28716707.0,0.0,1.0,35.4,35.47,35.12,35.21,28716707.0
2015-04-14,35.05,35.31,34.91,35.03,15878862.0,0.0,1.0,35.05,35.31,34.91,35.03,15878862.0
2015-04-13,35.35,35.53,35.01,35.09,33987584.0,0.0,1.0,35.35,35.53,35.01,35.09,33987584.0
2015-04-10,34.92,35.47,34.895,35.44,24331057.0,0.0,1.0,34.92,35.47,34.895,35.44,24331057.0
2015-04-09,34.64,35.06,34.375,35.03,28162255.0,0.0,1.0,34.64,35.06,34.375,35.03,28162255.0
2015-04-08,34.51,34.835,34.42,34.64,22922121.0,0.0,1.0,34.51,34.835,34.42,34.64,22922121.0
2015-04-07,34.63,34.89,34.51,34.54,14180641.0,0.0,1.0,34.63,34.89,34.51,34.54,14180641.0
2015-04-06,34.42,34.81,34.23,34.48,21432079.0,0.0,1.0,34.42,34.81,34.23,34.48,21432079.0
2015-04-02,34.42,34.63,34.215,34.38,24912415.0,0.0,1.0,34.42,34.63,34.215,34.38,24912415.0
2015-04-01,34.84,34.84,34.11,34.33,29846086.0,0.0,1.0,34.84,34.84,34.11,34.33,29846086.0
2015-03-31,34.89,35.13,34.76,34.79,25927508.0,0.0,1.0,34.89,35.13,34.76,34.79,25927508.0
2015-03-30,34.6,35.22,34.55,35.0,24615884.0,0.0,1.0,34.6,35.22,34.55,35.0,24615884.0
2015-03-27,34.44,34.595,34.23,34.53,22642195.0,0.0,1.0,34.44,34.595,34.23,34.53,22642195.0
2015-03-26,34.11,34.395,33.95,34.16,24652067.0,0.0,1.0,34.11,34.395,33.95,34.16,24652067.0
2015-03-25,34.61,35.0,34.27,34.3,28263455.0,0.0,1.0,34.61,35.0,34.27,34.3,28263455.0
2015-03-24,34.94,35.0,34.5,34.52,32357378.0,0.0,1.0,34.94,35.0,34.5,34.52,32357378.0
2015-03-23,34.51,35.45,34.49,35.05,50239905.0,0.0,1.0,34.51,35.45,34.49,35.05,50239905.0
2015-03-20,34.13,34.47,33.98,34.25,53183881.0,0.0,1.0,34.13,34.47,33.98,34.25,53183881.0
2015-03-19,34.28,34.38,34.07,34.15,20369814.0,0.0,1.0,34.28,34.38,34.07,34.15,20369814.0
2015-03-18,34.03,34.5,33.75,34.38,32908865.0,0.0,1.0,34.03,34.5,33.75,34.38,32908865.0
