Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,51.56,52.02,51.16,51.85,980389.0,0.0,1.0,51.56,52.02,51.16,51.85,980389.0
2015-04-15,51.12,51.835,51.12,51.7,1362329.0,0.0,1.0,51.12,51.835,51.12,51.7,1362329.0
2015-04-14,50.65,51.49,50.28,51.01,2344809.0,0.0,1.0,50.65,51.49,50.28,51.01,2344809.0
2015-04-13,50.27,50.98,50.04,50.8,2734705.0,0.0,1.0,50.27,50.98,50.04,50.8,2734705.0
2015-04-10,51.96,52.06,49.81,50.28,3136916.0,0.0,1.0,51.96,52.06,49.81,50.28,3136916.0
2015-04-09,51.77,52.23,51.5,51.96,947231.0,0.0,1.0,51.77,52.23,51.5,51.96,947231.0
2015-04-08,51.29,51.85,51.25,51.84,1048687.0,0.0,1.0,51.29,51.85,51.25,51.84,1048687.0
2015-04-07,51.57,51.9,51.2,51.29,1025821.0,0.0,1.0,51.57,51.9,51.2,51.29,1025821.0
2015-04-06,50.72,51.66,50.34,51.39,946261.0,0.0,1.0,50.72,51.66,50.34,51.39,946261.0
2015-04-02,50.98,51.58,50.88,51.41,780510.0,0.0,1.0,50.98,51.58,50.88,51.41,780510.0
2015-04-01,51.28,51.36,50.63,51.02,1184822.0,0.0,1.0,51.28,51.36,50.63,51.02,1184822.0
2015-03-31,50.87,51.41,50.52,51.37,1519559.0,0.0,1.0,50.87,51.41,50.52,51.37,1519559.0
2015-03-30,50.95,51.46,50.75,51.29,887102.0,0.0,1.0,50.95,51.46,50.75,51.29,887102.0
2015-03-27,50.67,50.72,50.24,50.49,929724.0,0.0,1.0,50.67,50.72,50.24,50.49,929724.0
2015-03-26,50.69,51.11,50.44,50.81,1138558.0,0.0,1.0,50.69,51.11,50.44,50.81,1138558.0
2015-03-25,51.67,51.78,50.84,50.85,1195237.0,0.0,1.0,51.67,51.78,50.84,50.85,1195237.0
2015-03-24,51.74,51.91,51.32,51.54,1173671.0,0.0,1.0,51.74,51.91,51.32,51.54,1173671.0
2015-03-23,51.86,52.29,51.81,51.92,1392758.0,0.0,1.0,51.86,52.29,51.81,51.92,1392758.0
2015-03-20,50.81,51.97,50.76,51.86,2126474.0,0.0,1.0,50.81,51.97,50.76,51.86,2126474.0
2015-03-19,51.13,51.15,50.05,50.66,1398787.0,0.0,1.0,51.13,51.15,50.05,50.66,1398787.0
2015-03-18,50.66,51.45,49.61,51.17,3263462.0,0.0,1.0,50.66,51.45,49.61,51.17,3263462.0
2015-03-17,51.55,51.77,51.05,51.09,1910387.0,0.0,1.0,51.55,51.77,51.05,51.09,1910387.0
2015-03-16,50.84,51.85,50.69,51.8,1272206.0,0.0,1.0,50.84,51.85,50.69,51.8,1272206.0
2015-03-13,50.89,50.98,49.9366,50.47,1084984.0,0.0,1.0,50.89,50.98,49.9366,50.47,1084984.0
2015-03-12,50.12,51.04,50.11,51.04,1057396.0,0.0,1.0,50.12,51.04,50.11,51.04,1057396.0
2015-03-11,49.52,49.95,49.31,49.76,994702.0,0.0,1.0,49.52,49.95,49.31,49.76,994702.0
2015-03-10,49.88,49.89,49.29,49.37,1233407.0,0.0,1.0,49.88,49.89,49.29,49.37,1233407.0
2015-03-09,50.6,50.91,50.5,50.67,841835.0,0.0,1.0,50.6,50.91,50.5,50.67,841835.0
2015-03-06,50.72,52.05,50.35,50.5,1829193.0,0.0,1.0,50.72,52.05,50.35,50.5,1829193.0
2015-03-05,50.28,50.77,50.1316,50.71,1280539.0,0.0,1.0,50.28,50.77,50.1316,50.71,1280539.0
2015-03-04,51.4,51.5899,50.36,50.48,2158656.0,0.0,1.0,51.4,51.5899,50.36,50.48,2158656.0
2015-03-03,52.16,52.335,51.34,51.82,1459752.0,0.0,1.0,52.16,52.335,51.34,51.82,1459752.0
2015-03-02,51.35,52.56,51.23,52.46,1842950.0,0.0,1.0,51.35,52.56,51.23,52.46,1842950.0
2015-02-27,51.51,51.79,51.12,51.17,923740.0,0.0,1.0,51.51,51.79,51.12,51.17,923740.0
2015-02-26,51.99,52.01,51.36,51.67,766599.0,0.0,1.0,51.99,52.01,51.36,51.67,766599.0
2015-02-25,52.1,52.14,51.69,51.91,696811.0,0.0,1.0,52.1,52.14,51.69,51.91,696811.0
2015-02-24,51.36,52.1,51.26,51.92,1084856.0,0.0,1.0,51.36,52.1,51.26,51.92,1084856.0
2015-02-23,51.84,51.9899,51.1142,51.33,1072172.0,0.0,1.0,51.84,51.9899,51.1142,51.33,1072172.0
2015-02-20,51.44,52.22,50.99,52.11,1208234.0,0.0,1.0,51.44,52.22,50.99,52.11,1208234.0
2015-02-19,51.2,51.745,51.07,51.6,853337.0,0.0,1.0,51.2,51.745,51.07,51.6,853337.0
2015-02-18,51.54,51.77,51.14,51.36,993545.0,0.0,1.0,51.54,51.77,51.14,51.36,993545.0
2015-02-17,51.6,52.05,51.28,51.79,1221890.0,0.0,1.0,51.6,52.05,51.28,51.79,1221890.0
2015-02-13,50.9,51.68,51.0,51.6,1111526.0,0.0,1.0,50.9,51.68,51.0,51.6,1111526.0
2015-02-12,50.31,51.12,50.19,51.1,1160233.0,0.0,1.0,50.31,51.12,50.19,51.1,1160233.0
2015-02-11,49.91,50.42,49.7,50.09,1180553.0,0.0,1.0,49.91,50.42,49.7,50.09,1180553.0
2015-02-10,49.73,49.79,49.25,49.72,1056618.0,0.0,1.0,49.73,49.79,49.25,49.72,1056618.0
2015-02-09,49.27,49.51,49.07,49.3,1311586.0,0.0,1.0,49.27,49.51,49.07,49.3,1311586.0
2015-02-04,48.89,49.18,48.32,48.45,1489220.0,0.0,1.0,48.89,49.18,48.32,48.45,1489220.0
2015-02-03,48.33,48.95,48.2,48.91,1891259.0,0.0,1.0,48.33,48.95,48.2,48.91,1891259.0
2015-02-02,47.04,47.95,46.6,47.95,1755481.0,0.0,1.0,47.04,47.95,46.6,47.95,1755481.0
2015-01-30,46.89,47.835,46.01,46.93,2662883.0,0.0,1.0,46.89,47.835,46.01,46.93,2662883.0
2015-01-29,48.03,48.55,47.44,48.08,1611672.0,0.0,1.0,48.03,48.55,47.44,48.08,1611672.0
2015-01-28,49.01,49.16,47.91,47.94,1882505.0,0.0,1.0,49.01,49.16,47.91,47.94,1882505.0
2015-01-26,48.54,49.37,48.36,49.33,852067.0,0.0,1.0,48.54,49.37,48.36,49.33,852067.0
2015-01-23,49.25,49.46,48.74,48.76,971392.0,0.0,1.0,49.25,49.46,48.74,48.76,971392.0
2015-01-22,48.26,49.44,47.79,49.32,1093847.0,0.0,1.0,48.26,49.44,47.79,49.32,1093847.0
2015-01-21,47.67,48.06,47.19,47.96,1024677.0,0.0,1.0,47.67,48.06,47.19,47.96,1024677.0
2015-01-20,48.37,48.49,47.39,47.67,1234147.0,0.0,1.0,48.37,48.49,47.39,47.67,1234147.0
2015-01-15,48.39,48.65,47.43,47.46,1209281.0,0.0,1.0,48.39,48.65,47.43,47.46,1209281.0
2015-01-14,48.69,48.87,47.66,48.27,1407289.0,0.0,1.0,48.69,48.87,47.66,48.27,1407289.0
2015-01-13,50.65,50.99,48.94,49.48,1390968.0,0.0,1.0,50.65,50.99,48.94,49.48,1390968.0
2015-01-12,51.16,51.2,49.98,50.23,1065485.0,0.0,1.0,51.16,51.2,49.98,50.23,1065485.0
2015-01-08,51.0,51.87,50.8,51.73,2297410.0,0.0,1.0,51.0,51.87,50.8,51.73,2297410.0
2015-01-06,50.14,50.47,48.96,49.4,1709622.0,0.0,1.0,50.14,50.47,48.96,49.4,1709622.0
2015-01-05,51.22,51.26,49.7064,50.11,1487953.0,0.0,1.0,51.22,51.26,49.7064,50.11,1487953.0
2015-01-02,52.42,52.5,51.3,51.81,924520.0,0.0,1.0,52.42,52.5,51.3,51.81,924520.0
2014-12-31,53.01,53.18,51.93,51.94,632927.0,0.0,1.0,53.01,53.18,51.93,51.94,632927.0
2014-12-30,52.85,53.31,52.6901,52.87,848339.0,0.0,1.0,52.85,53.31,52.6901,52.87,848339.0
2014-12-26,53.39,53.45,53.06,53.06,467089.0,0.0,1.0,53.39,53.45,53.06,53.06,467089.0
2014-12-24,53.47,53.49,53.03,53.07,349999.0,0.0,1.0,53.47,53.49,53.03,53.07,349999.0
2014-12-23,53.02,53.66,53.02,53.32,806322.0,0.0,1.0,53.02,53.66,53.02,53.32,806322.0
2014-12-22,52.68,52.88,52.47,52.81,872338.0,0.0,1.0,52.68,52.88,52.47,52.81,872338.0
2014-12-19,52.35,52.8,52.11,52.71,2232324.0,0.0,1.0,52.35,52.8,52.11,52.71,2232324.0
2014-12-18,50.92,52.27,50.72,52.26,2223810.0,0.0,1.0,50.92,52.27,50.72,52.26,2223810.0
2014-12-17,49.28,50.28,49.05,50.18,2300211.0,0.0,1.0,49.28,50.28,49.05,50.18,2300211.0
2014-12-16,49.32,50.58,48.95,49.0,1784646.0,0.0,1.0,49.32,50.58,48.95,49.0,1784646.0
2014-12-15,50.97,51.01,49.51,49.72,1371417.0,0.0,1.0,50.97,51.01,49.51,49.72,1371417.0
2014-12-11,52.9,53.77,52.81,53.3,1415796.0,0.0,1.0,52.9,53.77,52.81,53.3,1415796.0
2014-12-10,52.97,53.24,52.33,52.43,1641440.0,0.0,1.0,52.97,53.24,52.33,52.43,1641440.0
2014-12-09,52.83,53.18,52.41,53.11,1059297.0,0.0,1.0,52.83,53.18,52.41,53.11,1059297.0
2014-12-05,53.12,53.66,52.88,53.47,1470333.0,0.0,1.0,53.12,53.66,52.88,53.47,1470333.0
2014-12-04,52.89,53.04,52.4,52.65,844280.0,0.34,1.0,52.89,53.04,52.4,52.65,844280.0
2014-12-02,52.81,53.46,52.52,53.09,1055955.0,0.0,1.0,52.471154934893,53.116984336667,52.183015663333,52.749358369504,1055955.0
2014-12-01,52.84,52.97,52.35,52.66,963836.0,0.0,1.0,52.500962445744,52.630128326099,52.014106435176,52.322117380638,963836.0
2014-11-28,54.08,54.305,53.18,53.27,755553.0,0.0,1.0,53.73300622759,53.956562558973,52.838780902057,52.92820343461,755553.0
2014-11-26,53.9,54.25,53.68,54.18,752882.0,0.0,1.0,53.554161162483,53.901915455746,53.335572749575,53.832364597094,752882.0
2014-11-25,53.95,54.17,53.73,54.08,930895.0,0.0,1.0,53.603840347235,53.822428760143,53.385251934327,53.73300622759,930895.0
2014-11-24,53.71,53.94,53.41,53.92,615296.0,0.0,1.0,53.365380260426,53.593904510285,53.067305151915,53.574032836384,615296.0
