Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,83.56,84.07,83.35,83.5,7465440.0,0.0,1.0,83.56,84.07,83.35,83.5,7465440.0
2015-04-15,83.85,84.2,83.48,83.51,6751573.0,0.0,1.0,83.85,84.2,83.48,83.51,6751573.0
2015-04-14,83.39,83.88,83.05,83.6,6170539.0,0.0,1.0,83.39,83.88,83.05,83.6,6170539.0
2015-04-13,83.0,83.95,82.94,83.43,8162242.0,0.0,1.0,83.0,83.95,82.94,83.43,8162242.0
2015-04-10,82.8,83.63,82.715,83.35,6991516.0,0.0,1.0,82.8,83.63,82.715,83.35,6991516.0
2015-04-09,82.63,82.95,82.01,82.89,6149057.0,0.0,1.0,82.63,82.95,82.01,82.89,6149057.0
2015-04-08,82.3,83.18,82.27,82.77,6518444.0,0.0,1.0,82.3,83.18,82.27,82.77,6518444.0
2015-04-07,82.93,83.29,82.33,82.39,6309942.0,0.0,1.0,82.93,83.29,82.33,82.39,6309942.0
2015-04-06,81.92,83.225,81.51,83.04,6846481.0,0.0,1.0,81.92,83.225,81.51,83.04,6846481.0
2015-04-02,82.17,82.59,81.915,82.43,6038964.0,0.0,1.0,82.17,82.59,81.915,82.43,6038964.0
2015-04-01,82.44,82.45,81.4503,82.32,7352718.0,0.0,1.0,82.44,82.45,81.4503,82.32,7352718.0
2015-03-31,82.76,82.93,81.94,81.94,8524620.0,0.0,1.0,82.76,82.93,81.94,81.94,8524620.0
2015-03-30,82.63,82.95,82.15,82.72,6351096.0,0.0,1.0,82.63,82.95,82.15,82.72,6351096.0
2015-03-27,82.08,82.54,81.9901,82.31,6419336.0,0.0,1.0,82.08,82.54,81.9901,82.31,6419336.0
2015-03-26,82.58,82.61,81.95,82.15,7305094.0,0.0,1.0,82.58,82.61,81.95,82.15,7305094.0
2015-03-25,84.37,84.37,82.86,83.01,7904023.0,0.0,1.0,84.37,84.37,82.86,83.01,7904023.0
2015-03-24,84.89,85.11,83.87,83.92,7439304.0,0.0,1.0,84.89,85.11,83.87,83.92,7439304.0
2015-03-23,84.37,85.05,84.36,84.86,9814550.0,0.0,1.0,84.37,85.05,84.36,84.86,9814550.0
2015-03-20,83.99,84.79,83.77,84.74,21978657.0,0.0,1.0,83.99,84.79,83.77,84.74,21978657.0
