Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,62.98,63.02,62.13,62.71,769068.0,0.0,1.0,62.98,63.02,62.13,62.71,769068.0
2015-04-15,63.38,64.12,63.01,63.04,542122.0,0.0,1.0,63.38,64.12,63.01,63.04,542122.0
2015-04-14,62.81,63.5,62.73,63.34,640377.0,0.0,1.0,62.81,63.5,62.73,63.34,640377.0
2015-04-13,63.43,63.63,62.67,62.68,745670.0,0.0,1.0,63.43,63.63,62.67,62.68,745670.0
2015-04-10,62.83,64.31,62.66,63.78,1036967.0,0.0,1.0,62.83,64.31,62.66,63.78,1036967.0
2015-04-09,63.11,63.12,62.36,62.61,796944.0,0.0,1.0,63.11,63.12,62.36,62.61,796944.0
2015-04-08,63.21,63.33,62.7,63.12,783111.0,0.0,1.0,63.21,63.33,62.7,63.12,783111.0
2015-04-07,64.29,64.29,63.15,63.2,910244.0,0.0,1.0,64.29,64.29,63.15,63.2,910244.0
2015-04-06,63.75,64.95,63.71,64.42,637226.0,0.0,1.0,63.75,64.95,63.71,64.42,637226.0
2015-04-02,64.07,64.34,63.57,63.66,890476.0,0.0,1.0,64.07,64.34,63.57,63.66,890476.0
2015-04-01,63.76,64.19,62.77,64.04,686415.0,0.0,1.0,63.76,64.19,62.77,64.04,686415.0
2015-03-31,63.64,64.2,63.33,63.75,768996.0,0.0,1.0,63.64,64.2,63.33,63.75,768996.0
2015-03-30,63.2,64.0999,62.94,63.8,772261.0,0.0,1.0,63.2,64.0999,62.94,63.8,772261.0
2015-03-27,62.69,63.48,62.5,63.05,773277.0,0.0,1.0,62.69,63.48,62.5,63.05,773277.0
2015-03-26,63.05,63.49,62.29,62.56,695582.0,0.0,1.0,63.05,63.49,62.29,62.56,695582.0
2015-03-25,63.98,64.46,63.05,63.05,595201.0,0.0,1.0,63.98,64.46,63.05,63.05,595201.0
2015-03-24,64.51,65.05,63.75,63.9,719138.0,0.0,1.0,64.51,65.05,63.75,63.9,719138.0
2015-03-23,64.77,65.08,64.61,64.82,455641.0,0.0,1.0,64.77,65.08,64.61,64.82,455641.0
2015-03-20,64.32,64.83,63.84,64.73,1099172.0,0.0,1.0,64.32,64.83,63.84,64.73,1099172.0
2015-03-19,64.59,65.43,63.93,63.99,728144.0,0.0,1.0,64.59,65.43,63.93,63.99,728144.0
2015-03-18,63.28,65.11,62.91,64.87,887039.0,0.0,1.0,63.28,65.11,62.91,64.87,887039.0
2015-03-17,63.21,63.62,62.94,63.33,542876.0,0.0,1.0,63.21,63.62,62.94,63.33,542876.0
2015-03-16,62.44,63.63,62.44,63.25,796258.0,0.0,1.0,62.44,63.63,62.44,63.25,796258.0
2015-03-13,62.9,63.07,61.56,62.08,450548.0,0.0,1.0,62.9,63.07,61.56,62.08,450548.0
2015-03-12,62.08,63.29,61.8,63.0,491642.0,0.0,1.0,62.08,63.29,61.8,63.0,491642.0
2015-03-11,62.24,62.38,61.62,61.8,757885.0,0.0,1.0,62.24,62.38,61.62,61.8,757885.0
2015-03-10,61.91,62.91,61.82,62.26,805485.0,0.0,1.0,61.91,62.91,61.82,62.26,805485.0
2015-03-09,61.91,62.4,61.86,62.1,690766.0,0.0,1.0,61.91,62.4,61.86,62.1,690766.0
2015-03-06,62.71,62.71,61.53,61.97,1086269.0,0.0,1.0,62.71,62.71,61.53,61.97,1086269.0
2015-03-05,63.26,63.92,63.12,63.53,645842.0,0.0,1.0,63.26,63.92,63.12,63.53,645842.0
2015-03-04,63.27,63.29,62.74,63.07,1068222.0,0.0,1.0,63.27,63.29,62.74,63.07,1068222.0
2015-03-03,62.84,63.58,62.3,63.56,1073259.0,0.0,1.0,62.84,63.58,62.3,63.56,1073259.0
2015-03-02,63.93,64.09,62.39,62.86,1235298.0,0.0,1.0,63.93,64.09,62.39,62.86,1235298.0
