Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,233.03,233.11,226.565,226.75,1243236.0,0.0,1.0,233.03,233.11,226.565,226.75,1243236.0
2015-04-15,228.74,229.09,226.52,227.27,924922.0,0.0,1.0,228.74,229.09,226.52,227.27,924922.0
2015-04-14,229.41,229.718,226.92,227.96,640625.0,0.0,1.0,229.41,229.718,226.92,227.96,640625.0
2015-04-13,229.35,230.75,228.42,229.59,666080.0,0.0,1.0,229.35,230.75,228.42,229.59,666080.0
2015-04-10,229.0,229.9,227.0325,229.5,704334.0,0.0,1.0,229.0,229.9,227.0325,229.5,704334.0
2015-04-09,226.37,228.52,225.415,228.34,588597.0,0.0,1.0,226.37,228.52,225.415,228.34,588597.0
2015-04-08,224.32,226.66,224.32,226.13,809846.0,0.0,1.0,224.32,226.66,224.32,226.13,809846.0
2015-04-07,224.04,226.33,223.41,224.9,593497.0,0.0,1.0,224.04,226.33,223.41,224.9,593497.0
2015-04-06,222.66,224.97,222.0,224.22,550264.0,0.0,1.0,222.66,224.97,222.0,224.22,550264.0
2015-04-02,223.42,225.27,222.93,223.58,709872.0,0.0,1.0,223.42,225.27,222.93,223.58,709872.0
2015-04-01,225.35,225.96,222.35,224.46,810881.0,0.0,1.0,225.35,225.96,222.35,224.46,810881.0
2015-03-31,222.93,226.4,222.16,225.54,918471.0,0.0,1.0,222.93,226.4,222.16,225.54,918471.0
2015-03-30,224.3,226.05,223.15,224.49,631341.0,0.0,1.0,224.3,226.05,223.15,224.49,631341.0
2015-03-27,222.02,224.0,220.93,222.96,611398.0,0.0,1.0,222.02,224.0,220.93,222.96,611398.0
2015-03-26,220.59,222.5,220.05,221.3,562643.0,0.0,1.0,220.59,222.5,220.05,221.3,562643.0
2015-03-25,225.79,227.03,222.28,222.46,652739.0,0.0,1.0,225.79,227.03,222.28,222.46,652739.0
2015-03-24,226.39,227.87,225.49,225.49,585818.0,0.0,1.0,226.39,227.87,225.49,225.49,585818.0
2015-03-23,228.73,229.82,226.42,226.43,644569.0,0.0,1.0,228.73,229.82,226.42,226.43,644569.0
2015-03-20,227.34,230.25,225.78,229.06,751343.0,0.0,1.0,227.34,230.25,225.78,229.06,751343.0
2015-03-19,228.17,228.974,225.85,226.17,507677.0,0.0,1.0,228.17,228.974,225.85,226.17,507677.0
2015-03-18,225.91,232.16,223.0,229.64,1054247.0,0.0,1.0,225.91,232.16,223.0,229.64,1054247.0
2015-03-17,228.47,229.54,226.13,227.26,558011.0,0.0,1.0,228.47,229.54,226.13,227.26,558011.0
2015-03-16,228.74,230.25,228.03,230.08,538756.0,0.0,1.0,228.74,230.25,228.03,230.08,538756.0
2015-03-13,228.71,229.49,226.335,227.91,589460.0,0.0,1.0,228.71,229.49,226.335,227.91,589460.0
2015-03-12,225.39,229.83,225.11,229.7,492369.0,0.0,1.0,225.39,229.83,225.11,229.7,492369.0
2015-03-11,227.82,228.15,225.01,225.18,797119.0,0.0,1.0,227.82,228.15,225.01,225.18,797119.0
2015-03-10,229.93,230.12,227.635,227.67,803393.0,0.0,1.0,229.93,230.12,227.635,227.67,803393.0
2015-03-09,232.44,233.72,231.52,232.29,709330.0,0.0,1.0,232.44,233.72,231.52,232.29,709330.0
2015-03-06,233.37,234.77,231.65,231.97,545028.0,0.0,1.0,233.37,234.77,231.65,231.97,545028.0
2015-03-05,235.83,236.27,234.1201,235.45,487151.0,0.0,1.0,235.83,236.27,234.1201,235.45,487151.0
2015-03-04,233.12,237.9,232.21,235.34,843510.0,0.0,1.0,233.12,237.9,232.21,235.34,843510.0
2015-03-03,236.89,236.98,233.83,234.54,618772.0,0.0,1.0,236.89,236.98,233.83,234.54,618772.0
2015-03-02,236.89,237.75,235.56,237.7,727369.0,0.0,1.0,236.89,237.75,235.56,237.7,727369.0
2015-02-27,235.87,236.96,234.1,235.38,697392.0,0.0,1.0,235.87,236.96,234.1,235.38,697392.0
2015-02-26,235.24,236.81,234.66,235.84,483848.0,0.0,1.0,235.24,236.81,234.66,235.84,483848.0
2015-02-25,236.0,237.41,235.17,235.67,543067.0,0.0,1.0,236.0,237.41,235.17,235.67,543067.0
2015-02-24,236.85,237.195,235.51,236.77,497360.0,0.0,1.0,236.85,237.195,235.51,236.77,497360.0
2015-02-23,235.99,237.1,234.8178,236.49,673712.0,0.0,1.0,235.99,237.1,234.8178,236.49,673712.0
2015-02-20,234.22,237.2,232.1,236.64,673131.0,0.0,1.0,234.22,237.2,232.1,236.64,673131.0
2015-02-19,235.1,237.135,234.02,235.5,474631.0,0.0,1.0,235.1,237.135,234.02,235.5,474631.0
2015-02-18,234.3,236.38,233.23,236.24,571113.0,0.67,1.0,234.3,236.38,233.23,236.24,571113.0
2015-02-17,234.3,236.98,233.51,235.85,869305.0,0.0,1.0,233.63738128403,236.30980203453,232.84961546579,235.18299776286,869305.0
2015-02-13,233.7,236.85,233.1,236.77,624948.0,0.0,1.0,233.03907813094,236.18016968469,232.44077497784,236.10039593094,624948.0
2015-02-12,230.26,233.59,229.115,233.03,813112.0,0.0,1.0,229.60880671985,232.92938921953,228.46704486936,232.37097294331,813112.0
2015-02-11,227.76,229.2,226.91,228.22,387317.0,0.0,1.0,227.11587691528,228.55180448271,226.26828078173,227.57457599932,387317.0
2015-02-10,228.38,229.45,225.9,228.24,502026.0,0.0,1.0,227.73412350682,228.80109746317,225.26113714069,227.59451943776,502026.0
