Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,202.48,203.13,199.0,199.0,1787151.0,0.0,1.0,202.48,203.13,199.0,199.0,1787151.0
2015-04-15,203.27,205.6899,202.54,203.21,1285015.0,0.0,1.0,203.27,205.6899,202.54,203.21,1285015.0
2015-04-14,200.82,204.9,200.18,203.69,1809358.0,0.0,1.0,200.82,204.9,200.18,203.69,1809358.0
2015-04-13,199.0,203.74,198.44,201.88,2014698.0,0.0,1.0,199.0,203.74,198.44,201.88,2014698.0
2015-04-10,198.5,200.69,197.545,198.55,3530714.0,0.0,1.0,198.5,200.69,197.545,198.55,3530714.0
2015-04-09,195.26,200.12,191.83,198.7,7290817.0,0.0,1.0,195.26,200.12,191.83,198.7,7290817.0
2015-04-08,164.7,215.73,164.632,195.0,17657809.0,0.0,1.0,164.7,215.73,164.632,195.0,17657809.0
2015-04-07,165.03,166.49,163.98,164.71,520388.0,0.0,1.0,165.03,166.49,163.98,164.71,520388.0
2015-04-06,162.55,166.01,161.86,165.0,861122.0,0.0,1.0,162.55,166.01,161.86,165.0,861122.0
2015-04-02,165.01,166.81,163.41,163.73,848014.0,0.0,1.0,165.01,166.81,163.41,163.73,848014.0
2015-04-01,166.26,166.39,162.16,163.99,1086178.0,0.0,1.0,166.26,166.39,162.16,163.99,1086178.0
2015-03-31,167.68,167.75,165.55,165.55,606210.0,0.0,1.0,167.68,167.75,165.55,165.55,606210.0
2015-03-30,167.64,168.75,165.34,168.26,980202.0,0.0,1.0,167.64,168.75,165.34,168.26,980202.0
2015-03-27,164.5,166.36,163.625,165.97,676214.0,0.0,1.0,164.5,166.36,163.625,165.97,676214.0
2015-03-26,163.51,166.23,162.34,164.32,790958.0,0.0,1.0,163.51,166.23,162.34,164.32,790958.0
2015-03-25,167.16,168.15,162.91,163.01,741183.0,0.0,1.0,167.16,168.15,162.91,163.01,741183.0
2015-03-24,167.19,168.36,165.8,165.92,947067.0,0.0,1.0,167.19,168.36,165.8,165.92,947067.0
