Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,80.1,80.58,79.42,80.16,1719080.0,0.0,1.0,80.1,80.58,79.42,80.16,1719080.0
2015-04-15,80.25,80.58,79.91,80.08,3184037.0,0.0,1.0,80.25,80.58,79.91,80.08,3184037.0
2015-04-14,80.31,81.15,79.52,79.91,2400707.0,0.0,1.0,80.31,81.15,79.52,79.91,2400707.0
2015-04-13,80.43,81.25,80.2114,80.97,1531156.0,0.0,1.0,80.43,81.25,80.2114,80.97,1531156.0
2015-04-10,81.01,81.14,80.24,80.34,1789446.0,0.0,1.0,81.01,81.14,80.24,80.34,1789446.0
2015-04-09,79.8,81.4,79.75,81.13,1592587.0,0.0,1.0,79.8,81.4,79.75,81.13,1592587.0
2015-04-08,79.96,80.53,79.794,80.23,1608527.0,0.0,1.0,79.96,80.53,79.794,80.23,1608527.0
2015-04-07,80.15,80.58,79.57,79.67,1785769.0,0.0,1.0,80.15,80.58,79.57,79.67,1785769.0
2015-04-06,79.42,80.67,78.92,80.12,2132231.0,0.0,1.0,79.42,80.67,78.92,80.12,2132231.0
2015-04-02,79.45,80.63,79.17,80.53,2138183.0,0.0,1.0,79.45,80.63,79.17,80.53,2138183.0
2015-04-01,80.24,80.24,79.23,79.45,2251514.0,0.0,1.0,80.24,80.24,79.23,79.45,2251514.0
2015-03-31,79.83,80.58,79.35,80.31,2267200.0,0.0,1.0,79.83,80.58,79.35,80.31,2267200.0
2015-03-30,79.79,80.83,79.79,80.37,1578646.0,0.0,1.0,79.79,80.83,79.79,80.37,1578646.0
2015-03-27,79.75,79.93,78.78,79.14,1848841.0,0.0,1.0,79.75,79.93,78.78,79.14,1848841.0
2015-03-26,79.01,80.6,78.51,80.04,3028015.0,0.0,1.0,79.01,80.6,78.51,80.04,3028015.0
2015-03-25,80.67,80.8,79.38,79.38,2173567.0,0.0,1.0,80.67,80.8,79.38,79.38,2173567.0
2015-03-24,81.77,81.77,80.52,80.58,2262500.0,0.0,1.0,81.77,81.77,80.52,80.58,2262500.0
2015-03-23,82.68,83.99,81.74,81.77,4434232.0,0.0,1.0,82.68,83.99,81.74,81.77,4434232.0
2015-03-20,80.27,82.75,80.01,82.68,6941152.0,0.0,1.0,80.27,82.75,80.01,82.68,6941152.0
2015-03-19,81.83,81.95,79.29,80.21,3117569.0,0.0,1.0,81.83,81.95,79.29,80.21,3117569.0
2015-03-18,81.95,82.73,80.76,81.83,2926223.0,0.0,1.0,81.95,82.73,80.76,81.83,2926223.0
2015-03-17,82.6,82.81,81.68,82.32,2262818.0,0.0,1.0,82.6,82.81,81.68,82.32,2262818.0
2015-03-16,81.71,83.12,81.5201,83.07,2512417.0,0.0,1.0,81.71,83.12,81.5201,83.07,2512417.0
2015-03-13,82.13,82.45,80.3,81.14,1853859.0,0.0,1.0,82.13,82.45,80.3,81.14,1853859.0
2015-03-12,80.9,82.39,80.85,82.33,1812553.0,0.0,1.0,80.9,82.39,80.85,82.33,1812553.0
2015-03-11,80.46,80.84,79.8086,80.46,1863168.0,0.0,1.0,80.46,80.84,79.8086,80.46,1863168.0
2015-03-10,80.96,81.06,79.84,79.87,3372211.0,0.0,1.0,80.96,81.06,79.84,79.87,3372211.0
2015-03-09,82.38,83.04,81.91,82.64,2275783.0,0.0,1.0,82.38,83.04,81.91,82.64,2275783.0
2015-03-06,81.39,83.84,81.32,82.6,4721825.0,0.0,1.0,81.39,83.84,81.32,82.6,4721825.0
2015-03-05,80.75,81.25,80.02,81.01,2189871.0,0.0,1.0,80.75,81.25,80.02,81.01,2189871.0
2015-03-04,80.92,81.18,79.89,80.6,1835519.0,0.0,1.0,80.92,81.18,79.89,80.6,1835519.0
2015-03-03,81.49,82.2,80.97,81.5,2072802.0,0.0,1.0,81.49,82.2,80.97,81.5,2072802.0
