Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,190.51,192.28,189.82,191.61,450209.0,0.0,1.0,190.51,192.28,189.82,191.61,450209.0
2015-04-15,192.53,193.47,190.88,190.95,470874.0,0.0,1.0,192.53,193.47,190.88,190.95,470874.0
2015-04-14,192.13,193.5,191.36,192.07,545036.0,0.0,1.0,192.13,193.5,191.36,192.07,545036.0
2015-04-13,193.71,193.93,191.45,191.45,679611.0,0.0,1.0,193.71,193.93,191.45,191.45,679611.0
2015-04-10,195.3,196.81,193.02,193.69,452697.0,0.0,1.0,195.3,196.81,193.02,193.69,452697.0
2015-04-09,196.88,197.57,193.49,194.13,494491.0,0.0,1.0,196.88,197.57,193.49,194.13,494491.0
2015-04-08,197.13,197.51,196.52,197.0,490128.0,0.0,1.0,197.13,197.51,196.52,197.0,490128.0
2015-04-07,199.41,199.41,196.88,197.05,435822.0,0.0,1.0,199.41,199.41,196.88,197.05,435822.0
2015-04-06,197.98,199.93,197.54,199.37,405764.0,0.0,1.0,197.98,199.93,197.54,199.37,405764.0
2015-04-02,195.88,198.11,195.36,197.31,453620.0,0.0,1.0,195.88,198.11,195.36,197.31,453620.0
2015-04-01,197.4,198.06,194.8015,195.95,530911.0,0.0,1.0,197.4,198.06,194.8015,195.95,530911.0
2015-03-31,198.85,199.78,196.76,197.14,735545.0,0.0,1.0,198.85,199.78,196.76,197.14,735545.0
2015-03-30,197.46,199.62,197.01,199.19,475013.0,0.0,1.0,197.46,199.62,197.01,199.19,475013.0
2015-03-27,196.55,197.85,195.98,197.48,515673.0,0.0,1.0,196.55,197.85,195.98,197.48,515673.0
2015-03-26,195.68,197.72,195.39,196.58,446973.0,0.0,1.0,195.68,197.72,195.39,196.58,446973.0
2015-03-25,199.47,200.23,196.74,196.83,636929.0,0.0,1.0,199.47,200.23,196.74,196.83,636929.0
2015-03-24,201.47,202.81,199.38,199.38,683487.0,0.0,1.0,201.47,202.81,199.38,199.38,683487.0
2015-03-23,198.82,202.69,197.7,201.56,1158037.0,0.0,1.0,198.82,202.69,197.7,201.56,1158037.0
2015-03-20,195.12,199.41,194.23,199.12,969411.0,0.0,1.0,195.12,199.41,194.23,199.12,969411.0
2015-03-19,193.83,195.38,193.26,194.24,583681.0,0.0,1.0,193.83,195.38,193.26,194.24,583681.0
