Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,121.47,121.88,120.66,121.24,1053700.0,0.0,1.0,121.47,121.88,120.66,121.24,1053700.0
2015-04-15,121.58,122.33,121.2,121.5,1428854.0,0.0,1.0,121.58,122.33,121.2,121.5,1428854.0
2015-04-14,121.3,121.685,120.43,121.0,1566063.0,0.0,1.0,121.3,121.685,120.43,121.0,1566063.0
2015-04-13,122.49,122.72,121.13,121.22,1366038.0,0.0,1.0,122.49,122.72,121.13,121.22,1366038.0
2015-04-10,123.0,123.0,121.485,122.36,1690390.0,0.0,1.0,123.0,123.0,121.485,122.36,1690390.0
2015-04-09,122.61,123.0,122.17,122.57,1327287.0,0.0,1.0,122.61,123.0,122.17,122.57,1327287.0
2015-04-08,122.74,123.22,122.02,122.36,1012358.0,0.0,1.0,122.74,123.22,122.02,122.36,1012358.0
2015-04-07,122.08,123.34,122.08,122.77,916057.0,0.0,1.0,122.08,123.34,122.08,122.77,916057.0
2015-04-06,122.31,122.99,121.74,122.26,1084085.0,0.0,1.0,122.31,122.99,121.74,122.26,1084085.0
2015-04-02,120.65,122.56,120.31,122.27,1332842.0,0.0,1.0,120.65,122.56,120.31,122.27,1332842.0
2015-04-01,120.58,121.17,119.75,121.01,1229696.0,0.0,1.0,120.58,121.17,119.75,121.01,1229696.0
2015-03-31,121.22,121.67,120.68,120.74,995546.0,0.0,1.0,121.22,121.67,120.68,120.74,995546.0
2015-03-30,121.03,121.95,120.65,121.52,842157.0,0.0,1.0,121.03,121.95,120.65,121.52,842157.0
2015-03-27,120.28,120.9399,120.045,120.16,1068728.0,0.0,1.0,120.28,120.9399,120.045,120.16,1068728.0
2015-03-26,120.19,120.88,120.06,120.51,1040071.0,0.0,1.0,120.19,120.88,120.06,120.51,1040071.0
2015-03-25,121.77,122.155,120.29,120.3,1006767.0,0.0,1.0,121.77,122.155,120.29,120.3,1006767.0
2015-03-24,121.66,122.85,121.54,121.55,1296960.0,0.0,1.0,121.66,122.85,121.54,121.55,1296960.0
2015-03-23,121.92,122.4,121.63,121.98,1098568.0,0.0,1.0,121.92,122.4,121.63,121.98,1098568.0
2015-03-20,120.83,123.18,119.69,121.92,2966166.0,0.0,1.0,120.83,123.18,119.69,121.92,2966166.0
2015-03-19,123.84,124.22,122.0,122.01,1391427.0,0.0,1.0,123.84,124.22,122.0,122.01,1391427.0
2015-03-18,122.15,125.5,121.38,124.81,1275974.0,0.0,1.0,122.15,125.5,121.38,124.81,1275974.0
2015-03-17,123.9,123.99,122.015,122.82,1374333.0,0.0,1.0,123.9,123.99,122.015,122.82,1374333.0
2015-03-16,125.54,125.55,123.264,124.24,1421899.0,0.0,1.0,125.54,125.55,123.264,124.24,1421899.0
2015-03-13,125.3,125.4,123.09,123.8,1329322.0,0.0,1.0,125.3,125.4,123.09,123.8,1329322.0
2015-03-12,124.65,125.73,124.434,125.63,1542184.0,0.0,1.0,124.65,125.73,124.434,125.63,1542184.0
2015-03-11,124.36,125.32,124.11,124.22,1429039.0,0.0,1.0,124.36,125.32,124.11,124.22,1429039.0
2015-03-10,125.2,125.59,124.02,124.36,1704560.0,0.0,1.0,125.2,125.59,124.02,124.36,1704560.0
2015-03-09,126.32,126.81,125.94,126.25,1935573.0,0.0,1.0,126.32,126.81,125.94,126.25,1935573.0
2015-03-06,126.47,127.05,126.16,126.29,1849242.0,0.0,1.0,126.47,127.05,126.16,126.29,1849242.0
2015-03-05,127.92,128.08,127.0,127.74,2209331.0,0.0,1.0,127.92,128.08,127.0,127.74,2209331.0
2015-03-04,128.19,128.42,126.572,127.72,1996949.0,0.0,1.0,128.19,128.42,126.572,127.72,1996949.0
2015-03-03,129.82,129.87,128.92,129.05,1223777.0,0.0,1.0,129.82,129.87,128.92,129.05,1223777.0
2015-03-02,127.94,130.38,127.61,130.28,1376405.0,0.0,1.0,127.94,130.38,127.61,130.28,1376405.0
2015-02-27,127.98,128.62,127.73,127.9,1248991.0,0.0,1.0,127.98,128.62,127.73,127.9,1248991.0
2015-02-26,128.31,128.94,127.655,127.9,1462597.0,0.0,1.0,128.31,128.94,127.655,127.9,1462597.0
2015-02-25,128.33,129.0,128.26,128.59,719584.0,0.0,1.0,127.61658437974,128.28285969755,127.54697352564,127.87513898068,719584.0
2015-02-24,128.58,128.87,127.98,128.38,830373.0,0.0,1.0,127.86519457295,128.15358239708,127.26853010924,127.66630641838,830373.0
2015-02-23,129.04,129.45,128.14,128.39,872303.0,0.0,1.0,128.32263732846,128.73035804533,127.4276406329,127.67625082611,872303.0
2015-02-20,128.34,129.5,127.43,129.31,1073889.0,0.0,1.0,127.62652878747,128.78008008397,126.72158768417,128.59113633713,1073889.0
2015-02-19,127.52,129.24,126.96,128.86,1083154.0,0.0,1.0,126.81108735373,128.52152548303,126.25420052093,128.14363798935,1083154.0
2015-02-18,127.07,127.77,126.51,127.63,725284.0,0.0,1.0,126.36358900595,127.05969754694,125.80670217315,126.92047583874,725284.0
2015-02-17,126.69,128.0,126.17,127.45,759215.0,0.0,1.0,125.98570151227,127.2884189247,125.46859231038,126.74147649963,759215.0
2015-02-13,125.4,126.98,125.3401,126.89,768976.0,0.0,1.0,124.70287291529,126.27408933639,124.643305913,126.18458966684,768976.0
2015-02-12,124.98,125.55,124.77,125.36,1289774.0,0.0,1.0,124.28520779069,124.85203903122,124.07637522839,124.66309528438,1289774.0
2015-02-11,124.8,125.06,123.9,124.35,1199953.0,0.0,1.0,124.10620845158,124.36476305252,123.21121175602,123.6587101038,1199953.0
2015-02-10,125.32,125.56,124.49,124.91,1187471.0,0.0,1.0,124.62331765346,124.86198343895,123.797931812,124.21559693659,1187471.0
2015-02-09,125.16,125.69,124.6,125.04,1260526.0,0.0,1.0,124.46420712981,124.99126073942,123.90732029701,124.34487423706,1260526.0
2015-02-06,124.35,125.88,123.95,125.25,1429826.0,0.0,1.0,123.6587101038,125.18020448626,123.26093379466,124.55370679936,1429826.0
2015-02-04,122.69,123.72,122.46,122.71,1389710.0,0.0,1.0,122.00793842087,123.0322124169,121.77921704311,122.02782723633,1389710.0
2015-02-03,123.44,123.78,122.32,123.48,1518173.0,0.0,1.0,122.75376900051,123.09187886327,121.63999533491,122.79354663142,1518173.0
2015-02-02,121.25,122.53,119.88,122.22,2301083.0,0.0,1.0,120.57594370797,121.84882789721,119.21355984916,121.54055125763,2301083.0
2015-01-30,120.23,122.02,119.92,120.59,2045133.0,0.0,1.0,119.56161411966,121.34166310306,119.25333748008,119.91961279789,2045133.0
2015-01-29,122.9,123.23,120.17,121.45,1964130.0,0.0,1.0,122.21677098317,122.54493643821,119.50194767329,120.77483186254,1964130.0
2015-01-28,124.13,127.33,122.6,122.63,2333693.0,0.0,1.0,123.43993313377,126.62214360689,121.91843875131,121.9482719745,2333693.0
2015-01-26,123.55,125.57,123.55,124.52,1409166.0,0.0,1.0,122.86315748552,124.87192784667,122.86315748552,123.82776503518,1409166.0
2015-01-23,127.43,127.54,126.29,126.34,1070614.0,0.0,1.0,126.72158768417,126.83097616919,125.58792520313,125.63764724177,1070614.0
2015-01-22,126.65,127.69,125.67,127.46,1170584.0,0.0,1.0,125.94592388135,126.98014228511,124.97137192396,126.75142090736,1170584.0
2015-01-21,124.51,125.95,124.08,125.67,992922.0,0.0,1.0,123.81782062745,125.24981534036,123.39021109513,124.97137192396,992922.0
2015-01-20,123.87,125.34,123.66,124.91,1561503.0,0.0,1.0,123.18137853283,124.64320646892,122.97254597053,124.21559693659,1561503.0
2015-01-15,125.41,126.22,124.4,124.47,787230.0,0.0,1.0,124.71281732302,125.51831434903,123.70843214244,123.77804299654,787230.0
2015-01-14,123.44,125.0,123.2,124.59,1227519.0,0.0,1.0,122.75376900051,124.30509660615,122.51510321502,123.89737588928,1227519.0
2015-01-13,126.85,127.49,124.6,125.5,1232541.0,0.0,1.0,126.14481203592,126.78125413054,123.90732029701,124.80231699257,1232541.0
2015-01-12,126.77,127.31,125.36,126.37,1020881.0,0.0,1.0,126.06525677409,126.60225479143,124.66309528438,125.66748046495,1020881.0
2015-01-08,127.66,128.86,127.226,128.38,1089023.0,0.0,1.0,126.95030906193,128.14363798935,126.51872176651,127.66630641838,1089023.0
2015-01-06,126.2,127.02,124.82,124.9,1348906.0,0.0,1.0,125.49842553357,126.31386696731,124.12609726704,124.20565252887,1348906.0
2015-01-05,128.68,129.0587,126.11,126.52,1163927.0,0.0,1.0,127.96463865024,128.34123337091,125.40892586401,125.81664658088,1163927.0
2015-01-02,129.57,130.22,128.85,129.95,684875.0,0.0,1.0,128.84969093807,129.49607744042,128.13369358162,129.22757843175,684875.0
2014-12-31,131.84,131.7,129.56,129.56,766766.0,0.0,1.0,131.10707149244,130.96784978424,128.83974653034,128.83974653034,766766.0
2014-12-30,132.03,132.255,131.205,131.34,640674.0,0.0,1.0,131.29601523928,131.51976441317,130.47560160168,130.60985110601,640674.0
2014-12-26,132.18,132.95,131.67,132.23,443983.0,0.0,1.0,131.44518135521,132.2109007503,130.93801656105,131.49490339385,443983.0
2014-12-24,132.19,132.35,131.67,131.74,422786.0,0.0,1.0,131.45512576294,131.61423628659,130.93801656105,131.00762741515,422786.0
2014-12-23,131.53,132.5,131.43,132.09,1025902.0,0.0,1.0,130.79879485286,131.76340240252,130.69935077557,131.35568168565,1025902.0
2014-12-22,129.96,131.35,129.6,131.34,931775.0,0.0,1.0,129.23752283948,130.61979551374,128.87952416126,130.60985110601,931775.0
2014-12-19,130.33,130.8,129.46,130.05,2031086.0,0.0,1.0,129.60546592544,130.07285308868,128.74030245306,129.32702250904,2031086.0
2014-12-18,127.25,130.47,127.05,130.45,1647286.0,0.0,1.0,126.54258834506,129.74468763364,126.34370019049,129.72479881818,1647286.0
2014-12-17,123.52,126.76,123.86,126.48,1115482.0,0.0,1.0,122.83332426233,126.05531236636,123.1714341251,125.77686894997,1115482.0
2014-12-16,122.4,126.2,121.96,123.27,1284290.0,0.0,1.0,121.71955059674,125.49842553357,121.28199665669,122.58471406912,1284290.0
2014-12-15,124.72,124.78,123.34,123.91,1536497.0,0.0,1.0,124.02665318975,124.08631963612,122.65432492322,123.22115616374,1536497.0
2014-12-10,127.56,127.71,125.32,125.6,1233091.0,0.0,1.0,126.85086498464,127.00003110057,124.62331765346,124.90176106986,1233091.0
2014-12-09,127.86,128.08,126.9205,127.7,1137678.0,0.0,1.0,127.1491972165,127.36797418653,126.21492011041,126.99008669284,1137678.0
2014-12-05,129.5,129.84,129.15,129.53,749011.0,0.0,1.0,128.78008008397,129.11818994674,128.43202581347,128.80991330716,749011.0
2014-12-04,129.47,129.86,128.8,129.51,729543.0,0.0,1.0,128.75024686079,129.1380787622,128.08397154298,128.7900244917,729543.0
2014-12-02,127.55,128.49,127.49,128.45,889453.0,0.0,1.0,126.84092057692,127.77569490339,126.78125413054,127.73591727248,889453.0
2014-12-01,127.56,128.31,126.94,127.56,1091317.0,0.0,1.0,126.85086498464,127.59669556428,126.23431170548,126.85086498464,1091317.0
2014-11-28,129.34,130.74,128.14,128.38,633086.0,0.0,1.0,128.62096956032,130.0131866423,127.4276406329,127.66630641838,633086.0
2014-11-26,128.52,129.91,128.3,129.88,962269.0,0.0,1.0,127.80552812658,129.18780080084,127.58675115655,129.15796757765,962269.0
2014-11-25,129.64,129.93,128.57,128.65,1230519.0,0.0,1.0,128.91930179217,129.2076896163,127.85525016522,127.93480542705,1230519.0
2014-11-24,130.72,130.78,129.35,129.48,974837.0,0.0,1.0,129.99329782685,130.05296427322,128.63091396804,128.76019126851,974837.0
2014-11-21,129.85,131.18,129.84,130.55,1342302.0,0.0,1.0,129.12813435447,130.45074058236,129.11818994674,129.82424289546,1342302.0
2014-11-20,127.68,129.12,127.53,128.82,991760.0,0.0,1.0,126.97019787739,128.40219259029,126.82103176146,128.10386035843,991760.0
2014-11-19,127.82,128.47,127.5,128.26,1003221.0,0.0,1.0,127.10941958558,127.75580608794,126.79119853827,127.54697352564,1003221.0
2014-11-18,126.1,128.23,126.07,127.83,1291052.0,0.0,1.0,125.39898145628,127.51714030245,125.3691482331,127.11936399331,1291052.0
2014-11-17,126.02,126.77,125.78,126.26,757365.0,0.0,1.0,125.31942619446,126.06525677409,125.08076040897,125.55809197994,757365.0
2014-11-14,127.02,127.02,125.61,125.86,886096.0,0.0,1.0,126.31386696731,126.31386696731,124.91170547759,125.1603156708,886096.0
2014-11-13,126.64,126.91,125.94,126.73,816223.0,0.0,1.0,125.93597947362,126.20447848229,125.23987093263,126.02547914318,816223.0
2014-11-12,126.03,126.99,125.71,126.23,979203.0,0.0,1.0,125.32937060218,126.28403374412,125.01114955487,125.52825875675,979203.0
