Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,178.76,181.97,177.54,180.23,1477549.0,0.0,1.0,178.76,181.97,177.54,180.23,1477549.0
2015-04-15,178.12,180.56,175.41,179.94,2061520.0,0.0,1.0,178.12,180.56,175.41,179.94,2061520.0
2015-04-14,173.08,176.85,172.6,176.13,1045109.0,0.0,1.0,173.08,176.85,172.6,176.13,1045109.0
2015-04-13,174.66,175.84,171.25,172.0,901240.0,0.0,1.0,174.66,175.84,171.25,172.0,901240.0
2015-04-10,174.68,175.33,172.32,172.52,1370531.0,0.0,1.0,174.68,175.33,172.32,172.52,1370531.0
2015-04-09,171.44,176.2075,171.41,174.59,1791701.0,0.0,1.0,171.44,176.2075,171.41,174.59,1791701.0
2015-04-08,173.17,174.5,170.095,170.45,1920719.0,0.0,1.0,173.17,174.5,170.095,170.45,1920719.0
2015-04-07,173.31,175.33,171.77,171.86,1348926.0,0.0,1.0,173.31,175.33,171.77,171.86,1348926.0
2015-04-06,171.48,174.22,171.48,173.58,1845226.0,0.0,1.0,171.48,174.22,171.48,173.58,1845226.0
2015-04-02,167.03,172.27,166.16,170.94,2523644.0,0.0,1.0,167.03,172.27,166.16,170.94,2523644.0
2015-04-01,164.94,169.107,164.92,166.88,1927808.0,0.0,1.0,164.94,169.107,164.92,166.88,1927808.0
2015-03-31,164.05,166.3,163.41,163.51,1682874.0,0.0,1.0,164.05,166.3,163.41,163.51,1682874.0
2015-03-30,166.13,167.06,163.64,166.5,1327126.0,0.0,1.0,166.13,167.06,163.64,166.5,1327126.0
2015-03-27,162.08,165.09,161.4001,163.61,1469279.0,0.04,1.0,162.08,165.09,161.4001,163.61,1469279.0
2015-03-26,164.9,167.3,163.74,164.01,2609545.0,0.0,1.0,164.85969446991,167.25910785212,163.69997800183,163.96991200733,2609545.0
2015-03-25,159.83,163.32,159.06,162.05,1608560.0,0.0,1.0,159.79093369997,163.28008065995,159.02112190651,162.01039107852,1608560.0
2015-03-24,159.32,159.9,156.0,158.0,1721295.0,0.0,1.0,159.28105835625,159.86091659028,155.96186984418,157.96138099603,1721295.0
2015-03-23,163.43,164.81,158.99,159.01,1397463.0,0.0,1.0,163.3900537733,164.76971646807,158.95113901619,158.97113412771,1397463.0
2015-03-20,161.22,164.539,160.05,163.56,2687987.0,0.0,1.0,161.1805939505,164.498782707,160.01087992667,163.52002199817,2687987.0
2015-03-19,155.5,159.17,154.77,158.74,1535185.0,0.0,1.0,155.46199205622,159.13109501986,154.73217048579,158.70120012221,1535185.0
2015-03-18,155.08,160.85,152.81,158.25,2808767.0,0.0,1.0,155.04209471433,160.81068438741,152.77264955698,158.21131989001,2808767.0
2015-03-17,156.1,158.17,154.35,156.52,1790955.0,0.0,1.0,156.06184540177,158.13133944394,154.3122731439,156.48174274366,1790955.0
2015-03-16,154.14,157.12,151.88,157.0,1877732.0,0.0,1.0,154.10232447296,157.08159608921,151.84287687137,156.9616254201,1877732.0
2015-03-13,151.07,154.97,150.7,154.64,2401432.0,0.0,1.0,151.03307485487,154.93212160098,150.66316529178,154.60220226092,2401432.0
2015-03-12,154.56,155.41,152.6401,153.27,1832431.0,0.0,1.0,154.52222181485,155.37201405438,152.60279108463,153.23253712191,1832431.0
2015-03-11,152.11,154.95,151.33,153.14,1566586.0,0.0,1.0,152.07282065383,154.91212648946,151.29301130461,153.10256889704,1566586.0
2015-03-10,151.95,155.27,151.53,151.98,2149524.0,0.0,1.0,151.91285976169,155.23204827375,151.4929624198,151.94285242896,2149524.0
2015-03-09,156.2,157.08,153.0,153.21,1204896.0,0.0,1.0,156.16182095936,157.04160586618,152.96260311641,153.17255178735,1204896.0
2015-03-06,158.0,160.47,155.51,156.17,1951012.0,0.0,1.0,157.96138099603,160.43077726856,155.47198961198,156.13182829209,1951012.0
2015-03-05,162.01,162.8,160.37,160.44,2467934.0,0.0,1.0,161.97040085548,162.76020776046,160.33080171097,160.40078460128,2467934.0
2015-03-04,159.0,163.36,156.69,163.01,3336219.0,0.0,1.0,158.96113657195,163.32007088298,156.65170119157,162.97015643141,3336219.0
2015-03-03,155.24,161.5,155.01,159.5,2598012.0,0.0,1.0,155.20205560648,161.46052551176,154.97211182401,159.46101435991,2598012.0
2015-03-02,151.93,155.45,150.59,154.75,1138872.0,0.0,1.0,151.89286465017,155.41200427742,150.55319217843,154.71217537427,1138872.0
2015-02-27,156.05,156.5,151.92,152.52,1532873.0,0.0,1.0,156.01185762298,156.46174763214,151.88286709441,152.48272043996,1532873.0
2015-02-26,159.4,160.43,155.0,156.03,1539219.0,0.0,1.0,159.36103880232,160.39078704552,154.96211426826,155.99186251146,1539219.0
2015-02-25,157.03,161.42,155.78,160.35,1333991.0,0.0,1.0,156.99161808738,161.38054506569,155.74192361748,160.31080659945,1333991.0
2015-02-24,157.03,158.13,154.93,157.37,1655939.0,0.0,1.0,156.99161808738,158.0913492209,154.89213137794,157.3315349832,1655939.0
2015-02-23,158.55,158.55,153.68,156.2,1922209.0,0.0,1.0,158.51124656279,158.51124656279,153.64243690804,156.16182095936,1922209.0
2015-02-20,159.85,160.63,157.855,158.76,1970276.0,0.0,1.0,159.81092881149,160.59073816071,157.81641643752,158.72119523373,1970276.0
2015-02-19,151.02,160.83,151.2,160.16,2347013.0,0.0,1.0,150.98308707608,160.79068927589,151.16304307974,160.12085304002,2347013.0
2015-02-18,155.91,161.26,155.38,156.95,2005825.0,0.0,1.0,155.87189184235,161.22058417354,155.34202138711,156.91163764131,2005825.0
2015-02-17,155.52,158.72,154.89,157.66,1665836.0,0.0,1.0,155.48198716774,158.68120501069,154.8521411549,157.62146410021,1665836.0
2015-02-13,151.48,158.215,150.0,157.85,3410150.0,0.0,1.0,151.442974641,158.17632844485,149.96333638863,157.81141765964,3410150.0
2015-02-12,149.43,151.98,147.81,148.14,3684095.0,0.0,1.0,149.39347571036,151.94285242896,147.77387167736,148.10379101742,3684095.0
2015-02-11,143.69,151.23,143.24,146.97,5705265.0,0.0,1.0,143.65487870455,151.19303574702,143.20498869539,146.93407699358,5705265.0
2015-02-10,154.02,154.9,149.78,153.12,3091249.0,0.0,1.0,153.98235380385,154.86213871066,149.74339016193,153.08257378552,3091249.0
2015-02-09,158.32,159.665,153.59,154.12,3533356.0,0.0,1.0,158.28130278032,159.62597402994,153.5524589062,154.08232936144,3533356.0
2015-02-06,160.06,160.26,154.28,156.65,2533268.0,0.0,1.0,160.02087748243,160.22082859762,154.24229025359,156.61171096853,2533268.0
2015-02-04,158.23,160.86,155.36,157.51,2263828.0,0.0,1.0,158.19132477849,160.82068194317,155.32202627559,157.47150076383,2263828.0
2015-02-03,159.38,162.8299,157.78,161.62,3471103.0,0.0,1.0,159.3410436908,162.79010045218,157.74143476932,161.58049618087,3471103.0
2015-02-02,153.5,158.45,153.06,157.12,2683967.0,0.0,1.0,153.46248090437,158.41127100519,153.02258845096,157.08159608921,2683967.0
2015-01-30,145.46,151.81,144.31,150.53,2406573.0,0.0,1.0,145.42444607394,151.77289398106,144.27472716163,150.49320684387,2406573.0
2015-01-29,146.2,147.0,141.71,146.26,1838441.0,0.0,1.0,146.16426520012,146.96406966086,141.67536266422,146.22425053468,1838441.0
2015-01-28,153.39,154.35,144.04,144.55,2458849.0,0.0,1.0,153.35250779102,154.3122731439,144.00479315613,144.51466849985,2458849.0
2015-01-26,152.91,155.48,150.7501,155.03,1476402.0,0.0,1.0,152.87262511457,155.4419969447,150.71325304614,154.99210693553,1476402.0
2015-01-23,152.38,156.06,151.9301,152.86,1789571.0,0.0,1.0,152.34275465933,156.02185517874,151.89296462573,152.82263733578,1789571.0
2015-01-22,154.21,154.49,148.0,152.46,1711089.0,0.0,1.0,154.17230736328,154.45223892453,147.96382523679,152.42273510541,1711089.0
2015-01-21,149.21,154.315,148.35,152.94,1478304.0,0.0,1.0,149.17352948365,154.27728169875,148.31373968836,152.90261778185,1478304.0
2015-01-20,147.61,148.3,144.31,147.38,2175700.0,0.0,1.0,147.57392056218,148.26375190956,144.27472716163,147.34397677971,2175700.0
2015-01-15,144.65,147.61,141.17,141.31,3066809.0,0.0,1.0,144.61464405744,147.57392056218,141.13549465322,141.27546043385,3066809.0
