Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,95.25,95.27,94.49,94.86,322892.0,0.0,1.0,95.25,95.27,94.49,94.86,322892.0
2015-04-15,95.33,96.16,94.91,95.37,674266.0,0.0,1.0,95.33,96.16,94.91,95.37,674266.0
2015-04-14,94.56,95.34,93.86,95.07,352006.0,0.0,1.0,94.56,95.34,93.86,95.07,352006.0
2015-04-13,95.07,96.64,95.07,95.35,632481.0,0.0,1.0,95.07,96.64,95.07,95.35,632481.0
2015-04-10,94.82,95.58,94.59,95.43,359993.0,0.0,1.0,94.82,95.58,94.59,95.43,359993.0
2015-04-09,93.5,94.82,93.5,94.52,724026.0,0.0,1.0,93.5,94.82,93.5,94.52,724026.0
2015-04-08,93.8,94.1323,93.17,93.72,778676.0,0.0,1.0,93.8,94.1323,93.17,93.72,778676.0
2015-04-07,94.32,94.864,93.57,93.8,600342.0,0.0,1.0,94.32,94.864,93.57,93.8,600342.0
2015-04-06,94.1,95.12,93.526,94.07,322973.0,0.0,1.0,94.1,95.12,93.526,94.07,322973.0
2015-04-02,94.85,95.86,94.33,94.39,306204.0,0.0,1.0,94.85,95.86,94.33,94.39,306204.0
2015-04-01,94.66,95.36,93.7901,94.82,354749.0,0.0,1.0,94.66,95.36,93.7901,94.82,354749.0
2015-03-31,95.82,95.82,94.715,94.89,316452.0,0.0,1.0,95.82,95.82,94.715,94.89,316452.0
2015-03-30,95.09,96.55,94.95,96.32,282643.0,0.0,1.0,95.09,96.55,94.95,96.32,282643.0
2015-03-27,94.08,94.47,93.52,94.39,282006.0,0.0,1.0,94.08,94.47,93.52,94.39,282006.0
2015-03-26,94.26,94.42,93.44,94.16,460949.0,0.0,1.0,94.26,94.42,93.44,94.16,460949.0
2015-03-25,96.6,96.87,94.76,94.8,418741.0,0.0,1.0,96.6,96.87,94.76,94.8,418741.0
2015-03-24,97.38,97.38,96.18,96.42,478261.0,0.0,1.0,97.38,97.38,96.18,96.42,478261.0
2015-03-23,98.44,99.32,97.31,97.32,900910.0,0.0,1.0,98.44,99.32,97.31,97.32,900910.0
2015-03-20,97.5,98.76,97.04,98.0,967798.0,0.0,1.0,97.5,98.76,97.04,98.0,967798.0
2015-03-19,96.33,97.25,95.9601,96.99,762922.0,0.0,1.0,96.33,97.25,95.9601,96.99,762922.0
2015-03-18,94.59,96.45,93.99,96.37,598220.0,0.0,1.0,94.59,96.45,93.99,96.37,598220.0
2015-03-17,94.46,95.15,94.08,94.95,372610.0,0.0,1.0,94.46,95.15,94.08,94.95,372610.0
2015-03-16,93.7,94.82,93.695,94.74,303929.0,0.0,1.0,93.7,94.82,93.695,94.74,303929.0
2015-03-13,93.97,94.3,92.21,93.12,286560.0,0.0,1.0,93.97,94.3,92.21,93.12,286560.0
2015-03-12,93.06,94.31,92.75,94.21,439242.0,0.0,1.0,93.06,94.31,92.75,94.21,439242.0
2015-03-11,90.69,92.93,90.41,92.52,535546.0,0.0,1.0,90.69,92.93,90.41,92.52,535546.0
2015-03-10,91.16,91.32,90.21,90.52,332344.0,0.0,1.0,91.16,91.32,90.21,90.52,332344.0
2015-03-09,91.55,92.348,91.55,92.06,249120.0,0.0,1.0,91.55,92.348,91.55,92.06,249120.0
2015-03-06,93.38,93.875,91.21,91.48,496602.0,0.0,1.0,93.38,93.875,91.21,91.48,496602.0
2015-03-05,93.74,94.01,93.099,93.86,343307.0,0.0,1.0,93.74,94.01,93.099,93.86,343307.0
2015-03-04,93.27,93.95,92.23,93.65,362026.0,0.0,1.0,93.27,93.95,92.23,93.65,362026.0
2015-03-03,94.49,94.7,93.2,93.68,316734.0,0.0,1.0,94.49,94.7,93.2,93.68,316734.0
2015-03-02,94.33,94.93,94.24,94.73,353862.0,0.0,1.0,94.33,94.93,94.24,94.73,353862.0
2015-02-27,94.2,94.56,93.72,93.99,395488.0,0.0,1.0,94.2,94.56,93.72,93.99,395488.0
