Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,9.72,9.73,9.6,9.7,19080745.0,0.0,1.0,9.72,9.73,9.6,9.7,19080745.0
2015-04-15,9.55,9.75,9.5,9.71,19904981.0,0.0,1.0,9.55,9.75,9.5,9.71,19904981.0
2015-04-14,9.58,9.6,9.49,9.54,20771416.0,0.0,1.0,9.58,9.6,9.49,9.54,20771416.0
2015-04-13,9.58,9.68,9.575,9.64,14832955.0,0.0,1.0,9.58,9.68,9.575,9.64,14832955.0
2015-04-10,9.65,9.69,9.54,9.59,17772228.0,0.0,1.0,9.65,9.69,9.54,9.59,17772228.0
2015-04-09,9.63,9.71,9.57,9.67,17431618.0,0.0,1.0,9.63,9.71,9.57,9.67,17431618.0
2015-04-08,9.62,9.725,9.6,9.63,19754093.0,0.0,1.0,9.62,9.725,9.6,9.63,19754093.0
2015-04-07,9.54,9.7,9.53,9.62,11833452.0,0.0,1.0,9.54,9.7,9.53,9.62,11833452.0
2015-04-06,9.28,9.59,9.28,9.55,14104135.0,0.0,1.0,9.28,9.59,9.28,9.55,14104135.0
2015-04-02,9.51,9.64,9.42,9.58,19207877.0,0.0,1.0,9.51,9.64,9.42,9.58,19207877.0
2015-04-01,9.45,9.48,9.33,9.46,19343674.0,0.0,1.0,9.45,9.48,9.33,9.46,19343674.0
2015-03-31,9.29,9.45,9.24,9.45,24631868.0,0.0,1.0,9.29,9.45,9.24,9.45,24631868.0
2015-03-30,9.31,9.39,9.3,9.34,11339792.0,0.0,1.0,9.31,9.39,9.3,9.34,11339792.0
2015-03-27,9.34,9.35,9.18,9.23,15379537.0,0.0,1.0,9.34,9.35,9.18,9.23,15379537.0
2015-03-26,9.26,9.37,9.17,9.31,19301730.0,0.0,1.0,9.26,9.37,9.17,9.31,19301730.0
2015-03-25,9.43,9.43,9.24,9.25,14414076.0,0.0,1.0,9.43,9.43,9.24,9.25,14414076.0
2015-03-24,9.54,9.55,9.4,9.43,16606792.0,0.0,1.0,9.54,9.55,9.4,9.43,16606792.0
2015-03-23,9.62,9.67,9.47,9.55,14949688.0,0.0,1.0,9.62,9.67,9.47,9.55,14949688.0
2015-03-20,9.54,9.64,9.47,9.64,25401117.0,0.0,1.0,9.54,9.64,9.47,9.64,25401117.0
2015-03-19,9.68,9.7,9.27,9.5,38605190.0,0.0,1.0,9.68,9.7,9.27,9.5,38605190.0
2015-03-18,9.88,9.98,9.55,9.69,30463008.0,0.0,1.0,9.88,9.98,9.55,9.69,30463008.0
2015-03-17,9.84,9.91,9.72,9.89,18989736.0,0.0,1.0,9.84,9.91,9.72,9.89,18989736.0
2015-03-16,9.91,9.97,9.76,9.88,13417216.0,0.0,1.0,9.91,9.97,9.76,9.88,13417216.0
2015-03-13,9.86,9.96,9.81,9.91,20259148.0,0.0,1.0,9.86,9.96,9.81,9.91,20259148.0
2015-03-12,9.87,9.96,9.79,9.89,32811942.0,0.0,1.0,9.87,9.96,9.79,9.89,32811942.0
2015-03-11,9.53,9.59,9.5,9.54,10318153.0,0.0,1.0,9.53,9.59,9.5,9.54,10318153.0
2015-03-10,9.64,9.66,9.55,9.55,16660502.0,0.0,1.0,9.64,9.66,9.55,9.55,16660502.0
2015-03-09,9.715,9.86,9.71,9.76,11022206.0,0.0,1.0,9.715,9.86,9.71,9.76,11022206.0
2015-03-06,9.73,9.98,9.68,9.76,20008124.0,0.0,1.0,9.73,9.98,9.68,9.76,20008124.0
2015-03-05,9.55,9.71,9.45,9.7,10092280.0,0.0,1.0,9.55,9.71,9.45,9.7,10092280.0
2015-03-04,9.56,9.58,9.5,9.55,7859654.0,0.0,1.0,9.56,9.58,9.5,9.55,7859654.0
2015-03-03,9.62,9.675,9.55,9.62,11552570.0,0.0,1.0,9.62,9.675,9.55,9.62,11552570.0
2015-03-02,9.58,9.71,9.54,9.7,7853946.0,0.0,1.0,9.58,9.71,9.54,9.7,7853946.0
2015-02-27,9.59,9.66,9.57,9.61,8080219.0,0.0,1.0,9.59,9.66,9.57,9.61,8080219.0
2015-02-26,9.61,9.67,9.54,9.62,10429800.0,0.0,1.0,9.61,9.67,9.54,9.62,10429800.0
2015-02-25,9.68,9.68,9.58,9.62,7689693.0,0.0,1.0,9.68,9.68,9.58,9.62,7689693.0
2015-02-24,9.56,9.7299,9.56,9.67,12723570.0,0.0,1.0,9.56,9.7299,9.56,9.67,12723570.0
2015-02-23,9.59,9.63,9.48,9.57,11829742.0,0.0,1.0,9.59,9.63,9.48,9.57,11829742.0
2015-02-20,9.5,9.67,9.41,9.66,10201296.0,0.0,1.0,9.5,9.67,9.41,9.66,10201296.0
2015-02-19,9.48,9.56,9.36,9.53,10257295.0,0.0,1.0,9.48,9.56,9.36,9.53,10257295.0
2015-02-18,9.64,9.66,9.48,9.51,10999839.0,0.0,1.0,9.64,9.66,9.48,9.51,10999839.0
2015-02-17,9.52,9.68,9.44,9.68,13309745.0,0.0,1.0,9.52,9.68,9.44,9.68,13309745.0
2015-02-13,9.54,9.66,9.46,9.52,10901928.0,0.0,1.0,9.54,9.66,9.46,9.52,10901928.0
2015-02-12,9.4,9.59,9.35,9.54,16264877.0,0.0,1.0,9.4,9.59,9.35,9.54,16264877.0
2015-02-11,9.32,9.4,9.26,9.32,16264647.0,0.0,1.0,9.32,9.4,9.26,9.32,16264647.0
2015-02-10,9.42,9.47,9.265,9.35,13427776.0,0.0,1.0,9.42,9.47,9.265,9.35,13427776.0
2015-02-09,9.42,9.45,9.31,9.36,18078628.0,0.0,1.0,9.42,9.45,9.31,9.36,18078628.0
2015-02-06,9.49,9.71,9.44,9.56,33160330.0,0.0,1.0,9.49,9.71,9.44,9.56,33160330.0
2015-02-05,9.09,9.24,9.09,9.2,14320350.0,0.0,1.0,9.09,9.24,9.09,9.2,14320350.0
2015-02-04,9.07,9.18,9.04,9.04,17204530.0,0.0,1.0,9.07,9.18,9.04,9.04,17204530.0
2015-02-03,8.95,9.14,8.95,9.11,18643903.0,0.0,1.0,8.95,9.14,8.95,9.11,18643903.0
2015-02-02,8.78,8.96,8.7,8.93,21372528.0,0.0,1.0,8.78,8.96,8.7,8.93,21372528.0
2015-01-30,8.69,8.9,8.66,8.7,19806038.0,0.0,1.0,8.69,8.9,8.66,8.7,19806038.0
2015-01-29,8.72,8.88,8.69,8.85,21655983.0,0.0,1.0,8.72,8.88,8.69,8.85,21655983.0
2015-01-28,9.06,9.07,8.73,8.74,21137798.0,0.0,1.0,9.06,9.07,8.73,8.74,21137798.0
