Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,137.78,138.17,136.62,137.32,686164.0,0.0,1.0,137.78,138.17,136.62,137.32,686164.0
2015-04-15,138.0,138.37,137.48,137.57,628836.0,0.0,1.0,138.0,138.37,137.48,137.57,628836.0
2015-04-14,137.34,137.99,136.73,137.09,483007.0,0.0,1.0,137.34,137.99,136.73,137.09,483007.0
2015-04-13,137.68,138.0,136.8,137.53,657566.0,0.0,1.0,137.68,138.0,136.8,137.53,657566.0
2015-04-10,139.92,140.14,137.135,138.12,917649.0,0.0,1.0,139.92,140.14,137.135,138.12,917649.0
2015-04-09,139.33,141.08,139.21,140.26,877193.0,0.0,1.0,139.33,141.08,139.21,140.26,877193.0
2015-04-08,139.89,140.66,138.6,139.44,908653.0,0.0,1.0,139.89,140.66,138.6,139.44,908653.0
2015-04-07,139.06,140.49,139.0,139.19,1539483.0,0.0,1.0,139.06,140.49,139.0,139.19,1539483.0
2015-04-06,133.76,138.02,133.76,137.82,1806959.0,0.0,1.0,133.76,138.02,133.76,137.82,1806959.0
2015-04-02,132.91,134.81,132.47,134.67,1395695.0,0.0,1.0,132.91,134.81,132.47,134.67,1395695.0
2015-04-01,131.57,132.76,130.03,132.7,1026349.0,0.0,1.0,131.57,132.76,130.03,132.7,1026349.0
2015-03-31,131.45,132.89,131.13,131.5,622943.0,0.0,1.0,131.45,132.89,131.13,131.5,622943.0
2015-03-30,132.76,133.12,131.92,132.27,452395.0,0.0,1.0,132.76,133.12,131.92,132.27,452395.0
2015-03-27,131.71,132.9897,130.29,131.22,558820.0,0.0,1.0,131.71,132.9897,130.29,131.22,558820.0
2015-03-26,131.87,132.7,131.25,131.97,565774.0,0.0,1.0,131.87,132.7,131.25,131.97,565774.0
2015-03-25,133.44,134.3969,132.86,132.86,982279.0,0.5,1.0,133.44,134.3969,132.86,132.86,982279.0
2015-03-24,133.55,134.12,133.2,133.73,644789.0,0.0,1.0,133.04928764247,133.61715056989,132.70059988002,133.22861277744,644789.0
2015-03-23,133.16,134.355,133.115,133.87,536337.0,0.0,1.0,132.66074985003,133.8512694961,132.61591856629,133.36808788242,536337.0
2015-03-20,132.94,133.88,132.5,133.18,1181778.0,0.0,1.0,132.44157468506,133.37805038992,132.00322435513,132.68067486503,1181778.0
2015-03-19,132.1,133.44,131.59,132.64,887577.0,0.0,1.0,131.60472405519,132.93970005999,131.09663617277,132.14269946011,887577.0
2015-03-18,128.95,132.66,128.824,132.3,1020063.0,0.0,1.0,128.46653419316,132.1626244751,128.34100659868,131.80397420516,1020063.0
