Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,20.15,20.17,19.96,20.08,1651621.0,0.0,1.0,20.15,20.17,19.96,20.08,1651621.0
2015-04-15,19.94,20.215,19.8955,20.13,1732034.0,0.0,1.0,19.94,20.215,19.8955,20.13,1732034.0
2015-04-14,19.84,19.93,19.55,19.92,1415160.0,0.0,1.0,19.84,19.93,19.55,19.92,1415160.0
2015-04-13,19.63,19.89,19.61,19.84,1145514.0,0.0,1.0,19.63,19.89,19.61,19.84,1145514.0
2015-04-10,19.33,19.76,19.29,19.69,993662.0,0.0,1.0,19.33,19.76,19.29,19.69,993662.0
2015-04-09,19.41,19.51,19.1,19.26,1324639.0,0.0,1.0,19.41,19.51,19.1,19.26,1324639.0
2015-04-08,19.33,19.46,19.16,19.41,1039071.0,0.0,1.0,19.33,19.46,19.16,19.41,1039071.0
2015-04-07,19.33,19.51,19.3,19.34,775822.0,0.0,1.0,19.33,19.51,19.3,19.34,775822.0
2015-04-06,19.3,19.51,19.29,19.45,1804142.0,0.0,1.0,19.3,19.51,19.29,19.45,1804142.0
2015-04-02,19.11,19.4,19.0,19.32,778673.0,0.0,1.0,19.11,19.4,19.0,19.32,778673.0
2015-04-01,19.15,19.29,19.02,19.13,1430256.0,0.0,1.0,19.15,19.29,19.02,19.13,1430256.0
2015-03-31,19.19,19.44,18.95,19.19,2022300.0,0.0,1.0,19.19,19.44,18.95,19.19,2022300.0
2015-03-30,18.72,18.86,18.65,18.83,1266036.0,0.0,1.0,18.72,18.86,18.65,18.83,1266036.0
2015-03-27,18.44,18.68,18.42,18.66,774100.0,0.0,1.0,18.44,18.68,18.42,18.66,774100.0
2015-03-26,18.41,18.57,18.26,18.485,1125626.0,0.0,1.0,18.41,18.57,18.26,18.485,1125626.0
2015-03-25,19.1,19.12,18.45,18.475,1581406.0,0.0,1.0,19.1,19.12,18.45,18.475,1581406.0
2015-03-24,19.2,19.4,18.98,19.03,1483056.0,0.0,1.0,19.2,19.4,18.98,19.03,1483056.0
2015-03-23,19.23,19.265,19.0151,19.24,1346422.0,0.0,1.0,19.23,19.265,19.0151,19.24,1346422.0
2015-03-20,18.88,19.24,18.76,19.23,2831914.0,0.0,1.0,18.88,19.24,18.76,19.23,2831914.0
2015-03-19,18.72,18.89,18.63,18.82,1298589.0,0.0,1.0,18.72,18.89,18.63,18.82,1298589.0
2015-03-18,18.55,18.88,18.52,18.8,2194894.0,0.0,1.0,18.55,18.88,18.52,18.8,2194894.0
2015-03-17,18.32,18.7,18.2,18.61,2556739.0,0.0,1.0,18.32,18.7,18.2,18.61,2556739.0
2015-03-16,19.08,19.12,18.33,18.44,3874957.0,0.0,1.0,19.08,19.12,18.33,18.44,3874957.0
2015-03-13,19.46,19.59,19.19,19.46,1517965.0,0.0,1.0,19.46,19.59,19.19,19.46,1517965.0
2015-03-12,19.49,19.76,19.37,19.63,1595501.0,0.0,1.0,19.49,19.76,19.37,19.63,1595501.0
2015-03-11,19.48,19.59,19.22,19.38,1810915.0,0.0,1.0,19.48,19.59,19.22,19.38,1810915.0
2015-03-10,19.54,19.57,19.32,19.38,2513249.0,0.0,1.0,19.54,19.57,19.32,19.38,2513249.0
2015-03-09,19.48,19.905,19.46,19.69,3041798.0,0.0,1.0,19.48,19.905,19.46,19.69,3041798.0
2015-03-06,19.24,19.58,19.23,19.48,1918987.0,0.0,1.0,19.24,19.58,19.23,19.48,1918987.0
2015-03-05,19.52,19.72,19.08,19.27,2641768.0,0.0,1.0,19.52,19.72,19.08,19.27,2641768.0
2015-03-04,19.31,19.63,19.21,19.54,2406354.0,0.0,1.0,19.31,19.63,19.21,19.54,2406354.0
2015-03-03,18.97,19.34,18.92,19.31,2278511.0,0.0,1.0,18.97,19.34,18.92,19.31,2278511.0
2015-03-02,19.01,19.18,18.85,19.05,2802770.0,0.0,1.0,19.01,19.18,18.85,19.05,2802770.0
2015-02-27,19.47,19.485,19.05,19.07,2179966.0,0.0,1.0,19.47,19.485,19.05,19.07,2179966.0
2015-02-26,18.91,19.66,18.84,19.64,2887013.0,0.0,1.0,18.91,19.66,18.84,19.64,2887013.0
2015-02-25,18.96,19.26,18.65,18.85,4818459.0,0.0,1.0,18.96,19.26,18.65,18.85,4818459.0
2015-02-24,18.23,18.73,18.13,18.71,3111126.0,0.0,1.0,18.23,18.73,18.13,18.71,3111126.0
2015-02-23,18.06,18.25,17.93,18.25,1434678.0,0.0,1.0,18.06,18.25,17.93,18.25,1434678.0
2015-02-20,17.89,18.115,17.66,18.07,1222202.0,0.0,1.0,17.89,18.115,17.66,18.07,1222202.0
2015-02-19,17.81,17.99,17.65,17.92,1079934.0,0.0,1.0,17.81,17.99,17.65,17.92,1079934.0
2015-02-18,17.54,17.87,17.47,17.86,2145090.0,0.0,1.0,17.54,17.87,17.47,17.86,2145090.0
2015-02-17,17.21,17.6992,17.1,17.5,2030133.0,0.0,1.0,17.21,17.6992,17.1,17.5,2030133.0
2015-02-13,16.98,17.27,16.98,17.19,1252847.0,0.0,1.0,16.98,17.27,16.98,17.19,1252847.0
2015-02-12,16.85,17.04,16.7,16.95,1135690.0,0.0,1.0,16.85,17.04,16.7,16.95,1135690.0
2015-02-11,16.54,16.81,16.45,16.72,1633170.0,0.26,1.0,16.54,16.81,16.45,16.72,1633170.0
2015-02-10,16.91,16.91,16.63,16.84,2258136.0,0.0,1.0,16.651071849234,16.651071849234,16.375359246172,16.582143698469,2258136.0
2015-02-09,16.9,16.99,16.77,16.82,1565549.0,0.0,1.0,16.641224970554,16.729846878681,16.513215547703,16.562449941107,1565549.0
2015-02-06,16.84,16.91,16.75,16.9,3473493.0,0.0,1.0,16.582143698469,16.651071849234,16.493521790342,16.641224970554,3473493.0
2015-02-05,16.7,16.77,16.4,16.74,2881999.0,0.0,1.0,16.444287396938,16.513215547703,16.148881036514,16.483674911661,2881999.0
2015-02-04,16.9,16.99,16.67,16.72,1562961.0,0.0,1.0,16.641224970554,16.729846878681,16.414746760895,16.463981154299,1562961.0
2015-02-03,16.66,16.97,16.58,16.945,1973384.0,0.0,1.0,16.404899882214,16.710153121319,16.326124852768,16.685535924617,1973384.0
2015-02-02,16.57,16.62,16.21,16.61,1122415.0,0.0,1.0,16.316277974087,16.365512367491,15.961790341578,16.35566548881,1122415.0
2015-01-30,16.48,16.59,16.35,16.47,1191299.0,0.0,1.0,16.22765606596,16.335971731449,16.09964664311,16.217809187279,1191299.0
2015-01-29,16.28,16.605,16.1,16.58,1101580.0,0.0,1.0,16.030718492344,16.35074204947,15.85347467609,16.326124852768,1101580.0
2015-01-28,16.43,16.5,16.215,16.28,925255.0,0.0,1.0,16.178421672556,16.247349823322,15.966713780919,16.030718492344,925255.0
2015-01-27,16.63,16.75,16.21,16.34,1624170.0,0.0,1.0,16.375359246172,16.493521790342,15.961790341578,16.089799764429,1624170.0
2015-01-26,16.7,16.78,16.26,16.75,899104.0,0.0,1.0,16.444287396938,16.523062426384,16.011024734982,16.493521790342,899104.0
2015-01-23,16.44,16.66,16.4,16.49,711991.0,0.0,1.0,16.188268551237,16.404899882214,16.148881036514,16.237502944641,711991.0
2015-01-22,16.17,16.52,16.02,16.49,1057657.0,0.0,1.0,15.922402826855,16.267043580683,15.774699646643,16.237502944641,1057657.0
2015-01-21,15.83,16.13,15.81,15.97,1040533.0,0.0,1.0,15.587608951708,15.883015312132,15.567915194346,15.725465253239,1040533.0
2015-01-20,16.11,16.19,15.7006,15.83,874610.0,0.0,1.0,15.86332155477,15.942096584217,15.460190341578,15.587608951708,874610.0
2015-01-16,15.68,16.08,15.66,16.02,961202.0,0.0,1.0,15.439905771496,15.833780918728,15.420212014134,15.774699646643,961202.0
2015-01-15,15.91,16.08,15.59,15.66,1112013.0,0.0,1.0,15.666383981154,15.833780918728,15.351283863369,15.420212014134,1112013.0
2015-01-14,15.6,15.84,15.55,15.83,831241.0,0.0,1.0,15.361130742049,15.597455830389,15.311896348645,15.587608951708,831241.0
2015-01-13,16.09,16.31,15.65,15.86,1370207.0,0.0,1.0,15.843627797409,16.060259128386,15.410365135453,15.61714958775,1370207.0
2015-01-12,15.98,16.11,15.86,15.95,985621.0,0.0,1.0,15.73531213192,15.86332155477,15.61714958775,15.705771495878,985621.0
2015-01-09,16.33,16.33,15.88,15.91,1281022.0,0.0,1.0,16.079952885748,16.079952885748,15.636843345112,15.666383981154,1281022.0
2015-01-08,16.04,16.33,15.92,16.29,2019360.0,0.0,1.0,15.794393404005,16.079952885748,15.676230859835,16.040565371025,2019360.0
2015-01-07,16.07,16.15,15.9,15.965,1147841.0,0.0,1.0,15.823934040047,15.902709069494,15.656537102473,15.720541813899,1147841.0
2015-01-06,16.41,16.5088,15.64,15.92,1713149.0,0.0,1.0,16.158727915194,16.256015076561,15.400518256773,15.676230859835,1713149.0
2015-01-05,16.53,16.6,16.27,16.34,1327091.0,0.0,1.0,16.276890459364,16.34581861013,16.020871613663,16.089799764429,1327091.0
2015-01-02,16.89,16.9499,16.5,16.67,657894.0,0.0,1.0,16.631378091873,16.690360895171,16.247349823322,16.414746760895,657894.0
2014-12-31,17.03,17.17,16.8,16.805,1056936.0,0.0,1.0,16.769234393404,16.907090694935,16.542756183746,16.547679623086,1056936.0
2014-12-29,17.0,17.14,17.0,17.03,851951.0,0.0,1.0,16.739693757362,16.877550058893,16.739693757362,16.769234393404,851951.0
2014-12-26,16.87,17.05,16.85,16.97,635022.0,0.0,1.0,16.611684334511,16.788928150766,16.59199057715,16.710153121319,635022.0
2014-12-24,16.75,16.9,16.64,16.84,383291.0,0.0,1.0,16.493521790342,16.641224970554,16.385206124853,16.582143698469,383291.0
2014-12-23,16.84,16.906,16.69,16.77,1060557.0,0.0,1.0,16.582143698469,16.647133097762,16.434440518257,16.513215547703,1060557.0
2014-12-22,16.75,16.819,16.59,16.77,1156254.0,0.0,1.0,16.493521790342,16.561465253239,16.335971731449,16.513215547703,1156254.0
2014-12-19,16.55,16.74,16.501,16.72,2803654.0,0.0,1.0,16.296584216726,16.483674911661,16.24833451119,16.463981154299,2803654.0
2014-12-18,16.39,16.44,16.2244,16.44,1778636.0,0.0,1.0,16.139034157833,16.188268551237,15.975969846879,16.188268551237,1778636.0
2014-12-17,15.38,16.0,15.165,15.95,2426227.0,0.0,1.0,15.144499411072,15.755005889282,14.932791519435,15.705771495878,2426227.0
2014-12-16,15.32,15.6,15.22,15.31,1675706.0,0.0,1.0,15.085418138987,15.361130742049,14.986949352179,15.075571260306,1675706.0
2014-12-15,15.56,15.65,14.93,15.3,1899425.0,0.0,1.0,15.321743227326,15.410365135453,14.701389870436,15.065724381625,1899425.0
2014-12-12,15.69,15.73,15.32,15.42,1686635.0,0.0,1.0,15.449752650177,15.4891401649,15.085418138987,15.183886925795,1686635.0
2014-12-11,15.95,16.19,15.79,15.84,1366631.0,0.0,1.0,15.705771495878,15.942096584217,15.548221436985,15.597455830389,1366631.0
2014-12-10,16.35,16.38,15.68,15.69,1920513.0,0.0,1.0,16.09964664311,16.129187279152,15.439905771496,15.449752650177,1920513.0
2014-12-09,16.05,16.39,16.03,16.35,1087893.0,0.0,1.0,15.804240282686,16.139034157833,15.784546525324,16.09964664311,1087893.0
2014-12-08,16.38,16.409,16.1,16.18,914911.0,0.0,1.0,16.129187279152,16.157743227326,15.85347467609,15.932249705536,914911.0
2014-12-05,16.28,16.49,16.28,16.44,576392.0,0.0,1.0,16.030718492344,16.237502944641,16.030718492344,16.188268551237,576392.0
2014-12-04,16.34,16.4,16.195,16.26,868708.0,0.0,1.0,16.089799764429,16.148881036514,15.947020023557,16.011024734982,868708.0
2014-12-03,16.43,16.63,16.37,16.4,948616.0,0.0,1.0,16.178421672556,16.375359246172,16.119340400471,16.148881036514,948616.0
2014-12-02,16.26,16.58,16.24,16.37,1029415.0,0.0,1.0,16.011024734982,16.326124852768,15.991330977621,16.119340400471,1029415.0
2014-12-01,16.74,16.78,16.3,16.31,1035737.0,0.0,1.0,16.483674911661,16.523062426384,16.050412249706,16.060259128386,1035737.0
2014-11-28,16.89,17.0,16.795,16.84,1119266.0,0.0,1.0,16.631378091873,16.739693757362,16.537832744405,16.582143698469,1119266.0
2014-11-26,16.83,16.95,16.75,16.86,753586.0,0.0,1.0,16.572296819788,16.690459363958,16.493521790342,16.60183745583,753586.0
2014-11-25,16.83,16.83,16.64,16.785,1132278.0,0.0,1.0,16.572296819788,16.572296819788,16.385206124853,16.527985865724,1132278.0
2014-11-24,16.68,16.8499,16.671,16.72,1198935.0,0.0,1.0,16.424593639576,16.591892108363,16.415731448763,16.463981154299,1198935.0
2014-11-21,16.76,16.88,16.62,16.66,1057516.0,0.0,1.0,16.503368669022,16.621531213192,16.365512367491,16.404899882214,1057516.0
2014-11-20,16.57,16.7006,16.52,16.61,869137.0,0.0,1.0,16.316277974087,16.444878209658,16.267043580683,16.35566548881,869137.0
2014-11-19,16.74,16.76,16.47,16.605,1603561.0,0.0,1.0,16.483674911661,16.503368669022,16.217809187279,16.35074204947,1603561.0
2014-11-18,17.02,17.06,16.75,16.77,1346613.0,0.0,1.0,16.759387514723,16.798775029446,16.493521790342,16.513215547703,1346613.0
2014-11-17,16.95,17.1,16.82,16.92,2933157.0,0.0,1.0,16.690459363958,16.83816254417,16.562449941107,16.660918727915,2933157.0
2014-11-14,17.04,17.19,16.88,16.93,1186497.0,0.0,1.0,16.779081272085,16.926784452297,16.621531213192,16.670765606596,1186497.0
2014-11-13,17.11,17.19,16.93,17.06,1298356.0,0.0,1.0,16.84800942285,16.926784452297,16.670765606596,16.798775029446,1298356.0
2014-11-12,16.74,17.07,16.59,17.05,1246156.0,0.0,1.0,16.483674911661,16.808621908127,16.335971731449,16.788928150766,1246156.0
2014-11-11,17.1,17.18,16.93,17.08,1419019.0,0.0,1.0,16.83816254417,16.916937573616,16.670765606596,16.818468786808,1419019.0
2014-11-10,17.08,17.22,16.92,17.15,1803017.0,0.0,1.0,16.818468786808,16.956325088339,16.660918727915,16.887396937574,1803017.0
