Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,48.23,48.48,48.16,48.245,5195267.0,0.0,1.0,48.23,48.48,48.16,48.245,5195267.0
2015-04-15,48.81,48.81,48.13,48.14,5114977.0,0.0,1.0,48.81,48.81,48.13,48.14,5114977.0
2015-04-14,48.52,48.71,47.97,48.3,5901706.0,0.0,1.0,48.52,48.71,47.97,48.3,5901706.0
2015-04-13,48.56,48.89,48.38,48.5,8062553.0,0.0,1.0,48.56,48.89,48.38,48.5,8062553.0
2015-04-10,48.6,48.6,47.88,48.17,6560681.0,0.0,1.0,48.6,48.6,47.88,48.17,6560681.0
2015-04-09,47.65,47.99,47.25,47.96,6858499.0,0.0,2.0,47.65,47.99,47.25,47.96,6858499.0
2015-04-08,93.84,95.28,93.84,95.23,3277663.0,0.0,1.0,46.92,47.64,46.92,47.615,6555326.0
2015-04-07,94.41,94.9599,93.96,94.07,2662885.0,0.0,1.0,47.205,47.47995,46.98,47.035,5325770.0
2015-04-06,93.85,94.8,93.45,94.52,3006609.0,0.0,1.0,46.925,47.4,46.725,47.26,6013218.0
2015-04-02,93.42,94.635,93.22,94.39,4412204.0,0.0,1.0,46.71,47.3175,46.61,47.195,8824408.0
2015-04-01,94.28,94.5,92.56,93.02,6988683.0,0.0,1.0,47.14,47.25,46.28,46.51,13977366.0
2015-03-31,95.67,96.2,94.69,94.7,4162759.0,0.0,1.0,47.835,48.1,47.345,47.35,8325518.0
2015-03-30,96.04,96.5,95.5,95.979,3365252.0,0.0,1.0,48.02,48.25,47.75,47.9895,6730504.0
2015-03-27,95.0,95.95,94.75,95.07,3960492.0,0.0,1.0,47.5,47.975,47.375,47.535,7920984.0
2015-03-26,95.35,95.75,93.66,95.07,5123044.0,0.0,1.0,47.675,47.875,46.83,47.535,10246088.0
2015-03-25,98.14,98.48,95.77,95.77,4889710.0,0.0,1.0,49.07,49.24,47.885,47.885,9779420.0
2015-03-24,97.11,98.33,96.76,97.915,3823086.0,0.0,1.0,48.555,49.165,48.38,48.9575,7646172.0
2015-03-23,97.88,97.9,96.71,97.37,3973373.0,0.0,1.0,48.94,48.95,48.355,48.685,7946746.0
2015-03-20,98.49,98.9,97.01,97.46,8201986.0,0.0,1.0,49.245,49.45,48.505,48.73,16403972.0
2015-03-19,96.76,99.2,96.38,97.78,10968962.0,0.0,1.0,48.38,49.6,48.19,48.89,21937924.0
2015-03-18,94.0,96.57,93.35,95.84,7571557.0,0.0,1.0,47.0,48.285,46.675,47.92,15143114.0
2015-03-17,93.76,94.48,93.6,94.385,2734428.0,0.0,1.0,46.88,47.24,46.8,47.1925,5468856.0
2015-03-16,94.0,94.62,93.74,94.045,3294552.0,0.0,1.0,47.0,47.31,46.87,47.0225,6589104.0
2015-03-13,92.68,94.37,92.68,93.28,2847231.0,0.0,1.0,46.34,47.185,46.34,46.64,5694462.0
2015-03-12,91.97,93.53,91.84,93.38,3557286.0,0.0,1.0,45.985,46.765,45.92,46.69,7114572.0
