Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,44.28,44.84,44.28,44.48,1373167.0,0.0,1.0,44.28,44.84,44.28,44.48,1373167.0
2015-04-15,45.5,45.73,44.25,44.46,2136993.0,0.0,1.0,45.5,45.73,44.25,44.46,2136993.0
2015-04-14,45.9,46.12,45.08,45.22,1227122.0,0.0,1.0,45.9,46.12,45.08,45.22,1227122.0
2015-04-13,46.18,46.78,45.905,46.04,896069.0,0.0,1.0,46.18,46.78,45.905,46.04,896069.0
2015-04-10,46.12,46.55,45.85,46.3,1301957.0,0.0,1.0,46.12,46.55,45.85,46.3,1301957.0
2015-04-09,46.05,46.7,45.99,46.63,1563488.0,0.0,1.0,46.05,46.7,45.99,46.63,1563488.0
2015-04-08,45.22,46.305,45.08,46.23,1570298.0,0.0,1.0,45.22,46.305,45.08,46.23,1570298.0
2015-04-07,45.49,46.0,45.19,45.22,989664.0,0.0,1.0,45.49,46.0,45.19,45.22,989664.0
2015-04-06,44.7,45.69,44.61,45.56,1055475.0,0.0,1.0,44.7,45.69,44.61,45.56,1055475.0
2015-04-02,45.3,45.87,44.99,45.09,1131249.0,0.0,1.0,45.3,45.87,44.99,45.09,1131249.0
2015-04-01,45.38,45.43,44.72,45.29,1594704.0,0.0,1.0,45.38,45.43,44.72,45.29,1594704.0
2015-03-31,45.69,46.021,45.45,45.56,1311203.0,0.0,1.0,45.69,46.021,45.45,45.56,1311203.0
2015-03-30,45.55,46.28,45.49,45.92,1017470.0,0.0,1.0,45.55,46.28,45.49,45.92,1017470.0
2015-03-27,44.92,45.45,44.9,45.27,1320087.0,0.0,1.0,44.92,45.45,44.9,45.27,1320087.0
2015-03-26,45.03,45.29,44.69,45.05,1107092.0,0.0,1.0,45.03,45.29,44.69,45.05,1107092.0
2015-03-25,46.06,46.22,45.06,45.1,2193601.0,0.0,1.0,46.06,46.22,45.06,45.1,2193601.0
2015-03-24,46.31,46.3651,45.91,46.08,866785.0,0.0,1.0,46.31,46.3651,45.91,46.08,866785.0
2015-03-23,46.78,47.2077,46.43,46.43,1067218.0,0.0,1.0,46.78,47.2077,46.43,46.43,1067218.0
2015-03-20,46.76,46.87,45.92,46.72,1646574.0,0.0,1.0,46.76,46.87,45.92,46.72,1646574.0
2015-03-19,46.47,46.775,46.35,46.53,1194534.0,0.0,1.0,46.47,46.775,46.35,46.53,1194534.0
2015-03-18,45.91,46.93,45.66,46.77,2065459.0,0.0,1.0,45.91,46.93,45.66,46.77,2065459.0
2015-03-17,45.96,46.21,45.585,46.06,1082282.0,0.0,1.0,45.96,46.21,45.585,46.06,1082282.0
