Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,138.45,138.58,138.3,138.3,500680.0,0.0,1.0,138.45,138.58,138.3,138.3,500680.0
2015-04-15,138.4,138.55,138.36,138.38,667313.0,0.0,1.0,138.4,138.55,138.36,138.38,667313.0
2015-04-14,138.47,138.5,138.32,138.41,795214.0,0.0,1.0,138.47,138.5,138.32,138.41,795214.0
2015-04-13,138.46,138.64,138.39,138.4,568973.0,0.0,1.0,138.46,138.64,138.39,138.4,568973.0
2015-04-10,138.59,138.66,138.35,138.45,839636.0,0.0,1.0,138.59,138.66,138.35,138.45,839636.0
2015-04-09,138.65,138.7,138.42,138.54,519733.0,0.0,1.0,138.65,138.7,138.42,138.54,519733.0
2015-04-08,138.42,138.67,138.41,138.57,423931.0,0.0,1.0,138.42,138.67,138.41,138.57,423931.0
2015-04-07,138.58,138.69,138.4,138.45,381931.0,0.0,1.0,138.58,138.69,138.4,138.45,381931.0
2015-04-06,138.38,138.75,138.35,138.585,356092.0,0.0,1.0,138.38,138.75,138.35,138.585,356092.0
2015-04-02,138.46,138.61,138.28,138.51,538875.0,0.0,1.0,138.46,138.61,138.28,138.51,538875.0
2015-04-01,138.28,138.5,138.22,138.46,707427.0,0.0,1.0,138.28,138.5,138.22,138.46,707427.0
2015-03-31,138.48,138.49,138.25,138.25,522842.0,0.0,1.0,138.48,138.49,138.25,138.25,522842.0
2015-03-30,138.27,138.52,138.23,138.41,439107.0,0.0,1.0,138.27,138.52,138.23,138.41,439107.0
2015-03-27,138.15,138.35,138.1,138.2,477213.0,0.0,1.0,138.15,138.35,138.1,138.2,477213.0
2015-03-26,138.25,138.52,138.15,138.23,727205.0,0.0,1.0,138.25,138.52,138.15,138.23,727205.0
2015-03-25,138.51,138.51,138.19,138.19,821276.0,0.0,1.0,138.51,138.51,138.19,138.19,821276.0
2015-03-24,138.34,138.67,138.25,138.6,612991.0,0.0,1.0,138.34,138.67,138.25,138.6,612991.0
2015-03-23,138.2,138.54,138.12,138.335,604142.0,0.0,1.0,138.2,138.54,138.12,138.335,604142.0
2015-03-20,138.21,138.54,138.1,138.2,1645956.0,0.0,1.0,138.21,138.54,138.1,138.2,1645956.0
2015-03-19,138.31,138.42,137.96,138.09,873219.0,0.0,1.0,138.31,138.42,137.96,138.09,873219.0
2015-03-18,138.2,138.75,138.0,138.33,1460842.0,0.0,1.0,138.2,138.75,138.0,138.33,1460842.0
2015-03-17,138.31,138.39,138.1,138.18,688347.0,0.0,1.0,138.31,138.39,138.1,138.18,688347.0
2015-03-16,138.0,138.4,137.78,138.31,857636.0,0.0,1.0,138.0,138.4,137.78,138.31,857636.0
2015-03-13,138.1,138.29,137.89,137.895,995910.0,0.0,1.0,138.1,138.29,137.89,137.895,995910.0
2015-03-12,138.11,138.4,137.94,138.16,751316.0,0.0,1.0,138.11,138.4,137.94,138.16,751316.0
2015-03-11,138.1,138.1,137.75,137.97,1323598.0,0.0,1.0,138.1,138.1,137.75,137.97,1323598.0
2015-03-10,138.04,138.13,137.94,138.06,898071.0,0.0,1.0,138.04,138.13,137.94,138.06,898071.0
2015-03-09,138.16,138.47,138.03,138.07,557122.0,0.0,1.0,138.16,138.47,138.03,138.07,557122.0
2015-03-06,138.03,138.15,137.67,138.08,953328.0,0.0,1.0,138.03,138.15,137.67,138.08,953328.0
2015-03-05,138.06,138.12,138.0,138.055,627260.0,0.0,1.0,138.06,138.12,138.0,138.055,627260.0
2015-03-04,138.07,138.22,137.95,138.13,799379.0,0.0,1.0,138.07,138.22,137.95,138.13,799379.0
2015-03-03,138.03,138.22,137.97,138.2,724121.0,0.0,1.0,138.03,138.22,137.97,138.2,724121.0
2015-03-02,138.1,138.19,138.005,138.07,593401.0,0.0,1.0,138.1,138.19,138.005,138.07,593401.0
2015-02-27,138.05,138.1,137.95,138.06,501124.0,0.0,1.0,138.05,138.1,137.95,138.06,501124.0
2015-02-26,138.12,138.13,138.01,138.06,371942.0,0.0,1.0,138.12,138.13,138.01,138.06,371942.0
2015-02-25,138.3,138.3,138.05,138.07,487675.0,0.0,1.0,138.3,138.3,138.05,138.07,487675.0
2015-02-24,138.5,138.6,138.26,138.31,514846.0,0.0,1.0,138.5,138.6,138.26,138.31,514846.0
2015-02-23,138.67,138.83,138.35,138.6,488628.0,0.0,1.0,138.43938467101,138.59911858279,138.11991684743,138.3695010846,488628.0
2015-02-20,138.6,138.77,138.28,138.75,524229.0,0.0,1.0,138.3695010846,138.53921836587,138.05003326103,138.5192516269,524229.0
2015-02-19,138.22,138.67,137.85,138.42,638685.0,0.0,1.0,137.99013304411,138.43938467101,137.6207483731,138.18980043384,638685.0
2015-02-18,138.13,138.29,138.08,138.28,1324182.0,0.0,1.0,137.90028271873,138.06001663051,137.85036587129,138.05003326103,1324182.0
2015-02-17,138.15,138.31,138.06,138.3,558641.0,0.0,1.0,137.9202494577,138.07998336949,137.83039913232,138.07,558641.0
2015-02-13,138.33,138.33,138.12,138.2,469996.0,0.0,1.0,138.09995010846,138.09995010846,137.89029934924,137.97016630513,469996.0
2015-02-12,138.28,138.43,138.07,138.13,748257.0,0.0,1.0,138.05003326103,138.19978380333,137.84038250181,137.90028271873,748257.0
2015-02-11,138.07,138.3,138.04,138.19,1002173.0,0.0,1.0,137.84038250181,138.07,137.81043239335,137.96018293565,1002173.0
2015-02-10,137.91,138.25,137.82,138.09,766916.0,0.0,1.0,137.68064859002,138.02008315257,137.59079826464,137.86034924078,766916.0
2015-02-09,137.71,137.93,137.71,137.78,341146.0,0.0,1.0,137.48098120029,137.70061532899,137.48098120029,137.5508647867,341146.0
2015-02-06,137.87,137.87,137.69,137.71,377915.0,0.0,1.0,137.64071511208,137.64071511208,137.46101446132,137.48098120029,377915.0
2015-02-05,137.62,137.91,137.54,137.8,594420.0,0.0,1.0,137.39113087491,137.68064859002,137.31126391902,137.57083152567,594420.0
2015-02-04,137.67,137.9,137.44,137.57,585759.0,0.0,1.0,137.44104772234,137.67066522054,137.21143022415,137.34121402748,585759.0
2015-02-03,137.65,137.76,137.48,137.67,495770.0,0.0,1.0,137.42108098337,137.53089804772,137.2513637021,137.44104772234,495770.0
2015-02-02,137.47,137.73,137.3,137.53,784582.0,0.0,1.0,137.24138033261,137.50094793926,137.07166305134,137.30128054953,784582.0
2015-01-30,137.45,137.69,137.26,137.52,812466.0,0.0,1.0,137.22141359364,137.46101446132,137.03172957339,137.29129718004,812466.0
2015-01-29,137.44,137.7,137.25,137.65,608371.0,0.0,1.0,137.21143022415,137.4709978308,137.0217462039,137.42108098337,608371.0
2015-01-28,137.49,137.67,137.18,137.4,655084.0,0.0,1.0,137.26134707158,137.44104772234,136.9518626175,137.1714967462,655084.0
2015-01-26,137.68,137.75,137.31,137.49,627595.0,0.0,1.0,137.45103109183,137.52091467824,137.08164642082,137.26134707158,627595.0
2015-01-23,137.75,137.75,137.38,137.69,352409.0,0.0,1.0,137.52091467824,137.52091467824,137.15153000723,137.46101446132,352409.0
2015-01-22,137.56,137.73,137.285,137.69,439184.0,0.0,1.0,137.33123065799,137.50094793926,137.05668799711,137.46101446132,439184.0
2015-01-21,137.3,137.58,137.27,137.44,472663.0,0.0,1.0,137.07166305134,137.35119739696,137.04171294288,137.21143022415,472663.0
2015-01-20,137.09,137.48,137.08,137.36,454206.0,0.0,1.0,136.86201229212,137.2513637021,136.85202892263,137.13156326826,454206.0
2015-01-15,137.02,137.42,136.85,137.0,399632.0,0.0,1.0,136.79212870571,137.19146348518,136.62241142444,136.77216196674,399632.0
2015-01-14,136.95,137.15,136.75,137.0,840323.0,0.0,1.0,136.72224511931,136.92191250904,136.52257772957,136.77216196674,840323.0
2015-01-13,137.47,137.7,136.95,137.02,1176386.0,0.0,1.0,137.24138033261,137.4709978308,136.72224511931,136.79212870571,1176386.0
2015-01-12,137.32,137.38,137.0,137.22,425207.0,0.0,1.0,137.09162979031,137.15153000723,136.77216196674,136.99179609544,425207.0
2015-01-08,137.57,137.57,137.14,137.19,860975.0,0.0,1.0,137.34121402748,137.34121402748,136.91192913955,136.96184598698,860975.0
2015-01-06,137.61,137.78,137.05,137.1,652787.0,0.0,1.0,137.38114750542,137.5508647867,136.82207881417,136.87199566161,652787.0
2015-01-05,137.29,137.64,137.22,137.45,566989.0,0.0,1.0,137.06167968185,137.41109761388,136.99179609544,137.22141359364,566989.0
2015-01-02,137.36,137.69,137.26,137.31,482320.0,0.0,1.0,137.13156326826,137.46101446132,137.03172957339,137.08164642082,482320.0
2014-12-31,137.58,137.59,137.23,137.27,286564.0,0.0,1.0,137.35119739696,137.36118076645,137.00177946493,137.04171294288,286564.0
2014-12-30,137.19,137.46,137.16,137.25,333024.0,0.0,1.0,136.96184598698,137.23139696312,136.93189587852,137.0217462039,333024.0
2014-12-26,137.16,137.64,137.1,137.21,189433.0,0.0,1.0,136.93189587852,137.41109761388,136.87199566161,136.98181272596,189433.0
2014-12-24,137.3,137.3,137.15,137.16,133655.0,0.0,1.0,137.07166305134,137.07166305134,136.92191250904,136.93189587852,133655.0
2014-12-23,136.5,137.29,136.25,137.17,838432.0,0.0,1.0,136.27299349241,137.06167968185,136.02340925524,136.94187924801,838432.0
2014-12-22,136.64,136.69,136.22,136.33,556273.0,0.0,1.0,136.41276066522,136.46267751265,135.99345914678,136.10327621114,556273.0
2014-12-19,136.22,136.74,136.21,136.51,1089592.0,0.0,1.0,135.99345914678,136.51259436009,135.9834757773,136.28297686189,1089592.0
2014-12-18,136.33,136.5,136.01,136.5,678992.0,0.0,1.0,136.10327621114,136.27299349241,135.78380838756,136.27299349241,678992.0
2014-12-17,136.23,136.84,135.95,135.98,900363.0,0.0,1.0,136.00344251627,136.61242805495,135.72390817064,135.7538582791,900363.0
2014-12-16,136.0,136.45,135.915,136.1,829141.0,0.0,1.0,135.77382501808,136.22307664497,135.68896637744,135.87365871294,829141.0
2014-12-15,136.06,136.39,135.86,135.91,588614.0,0.0,1.0,135.833725235,136.16317642805,135.63405784526,135.6839746927,588614.0
2014-12-10,136.29,136.4,135.62,135.79,1014724.0,0.0,1.0,136.06334273319,136.17315979754,135.39445697758,135.56417425886,1014724.0
2014-12-09,136.26,136.91,136.12,136.265,356881.0,0.0,1.0,136.03339262473,136.68231164136,135.89362545192,136.03838430947,356881.0
