Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,117.92,118.33,117.46,117.98,383629.0,0.0,1.0,117.92,118.33,117.46,117.98,383629.0
2015-04-15,118.0,118.644,117.41,118.08,584464.0,0.0,1.0,118.0,118.644,117.41,118.08,584464.0
2015-04-14,116.65,118.08,116.29,117.79,469554.0,0.0,1.0,116.65,118.08,116.29,117.79,469554.0
2015-04-13,117.4,117.4,116.5,116.9,562355.0,0.0,1.0,117.4,117.4,116.5,116.9,562355.0
2015-04-10,116.16,116.93,116.02,116.75,440179.0,0.0,1.0,116.16,116.93,116.02,116.75,440179.0
2015-04-09,115.69,116.26,115.04,116.14,463715.0,0.0,1.0,115.69,116.26,115.04,116.14,463715.0
2015-04-08,115.79,116.4,114.91,115.55,625678.0,0.0,1.0,115.79,116.4,114.91,115.55,625678.0
2015-04-07,117.22,117.49,115.73,115.87,490893.0,0.0,1.0,117.22,117.49,115.73,115.87,490893.0
2015-04-06,115.95,117.66,115.482,117.24,648399.0,0.0,1.0,115.95,117.66,115.482,117.24,648399.0
2015-04-02,115.32,116.55,114.89,116.01,1192965.0,0.0,1.0,115.32,116.55,114.89,116.01,1192965.0
2015-04-01,115.65,115.68,113.93,115.48,855666.0,0.0,1.0,115.65,115.68,113.93,115.48,855666.0
2015-03-31,116.89,117.65,115.63,115.73,703333.0,0.0,1.0,116.89,117.65,115.63,115.73,703333.0
2015-03-30,116.45,117.22,115.03,117.13,874881.0,0.0,1.0,116.45,117.22,115.03,117.13,874881.0
2015-03-27,114.37,116.26,114.23,116.01,729233.0,0.0,1.0,114.37,116.26,114.23,116.01,729233.0
2015-03-26,114.7,115.32,113.83,114.48,670928.0,0.0,1.0,114.7,115.32,113.83,114.48,670928.0
2015-03-25,113.57,115.96,112.64,114.64,1090960.0,0.0,1.0,113.57,115.96,112.64,114.64,1090960.0
2015-03-24,113.97,114.9499,112.5,112.62,557746.0,0.0,1.0,113.97,114.9499,112.5,112.62,557746.0
2015-03-23,113.9,114.25,113.26,113.39,440808.0,0.0,1.0,113.9,114.25,113.26,113.39,440808.0
2015-03-20,112.8,114.13,112.57,113.71,889290.0,0.0,1.0,112.8,114.13,112.57,113.71,889290.0
2015-03-19,112.08,112.36,111.36,112.0,483603.0,0.0,1.0,112.08,112.36,111.36,112.0,483603.0
2015-03-18,110.45,112.94,109.27,112.61,845539.0,0.0,1.0,110.45,112.94,109.27,112.61,845539.0
2015-03-17,111.01,111.56,110.11,110.59,438161.0,0.0,1.0,111.01,111.56,110.11,110.59,438161.0
2015-03-16,111.66,112.63,111.17,111.78,630104.0,0.0,1.0,111.66,112.63,111.17,111.78,630104.0
