Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,91.25,93.255,90.23,91.89,16226292.0,0.0,1.0,91.25,93.255,90.23,91.89,16226292.0
2015-04-15,89.46,92.0,88.9,92.0,12963351.0,0.0,1.0,89.46,92.0,88.9,92.0,12963351.0
2015-04-14,88.59,89.34,88.345,88.8,11885538.0,0.0,1.0,88.59,89.34,88.345,88.8,11885538.0
2015-04-13,88.98,89.3,87.76,88.02,7878039.0,0.0,1.0,88.98,89.3,87.76,88.02,7878039.0
2015-04-10,88.78,89.37,88.2,89.11,7298497.0,0.0,1.0,88.78,89.37,88.2,89.11,7298497.0
2015-04-09,86.38,88.93,86.26,88.45,9179234.0,0.0,1.0,86.38,88.93,86.26,88.45,9179234.0
2015-04-08,86.56,87.08,85.26,86.12,8719504.0,0.0,1.0,86.56,87.08,85.26,86.12,8719504.0
2015-04-07,86.14,86.99,85.25,86.27,7165441.0,0.0,1.0,86.14,86.99,85.25,86.27,7165441.0
2015-04-06,84.96,87.04,84.81,85.91,8084819.0,0.0,1.0,84.96,87.04,84.81,85.91,8084819.0
2015-04-02,84.09,85.43,83.89,84.39,6032745.0,0.0,1.0,84.09,85.43,83.89,84.39,6032745.0
2015-04-01,84.0,84.8,83.6,84.28,7767776.0,0.0,1.0,84.0,84.8,83.6,84.28,7767776.0
2015-03-31,83.72,84.26,83.35,83.44,7259123.0,0.0,1.0,83.72,84.26,83.35,83.44,7259123.0
2015-03-30,83.88,84.73,83.41,84.48,6457172.0,0.0,1.0,83.88,84.73,83.41,84.48,6457172.0
2015-03-27,83.01,83.47,82.32,83.31,5708059.0,0.0,1.0,83.01,83.47,82.32,83.31,5708059.0
2015-03-26,84.0,84.6,82.763,83.16,8111708.0,0.0,1.0,84.0,84.6,82.763,83.16,8111708.0
2015-03-25,82.65,84.12,82.32,83.29,8204534.0,0.0,1.0,82.65,84.12,82.32,83.29,8204534.0
2015-03-24,81.9,82.51,81.66,81.85,6357372.0,0.0,1.0,81.9,82.51,81.66,81.85,6357372.0
2015-03-23,82.49,83.57,82.0,82.0,8872051.0,0.0,1.0,82.49,83.57,82.0,82.0,8872051.0
