Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,147.5,148.57,146.99,148.13,234021.0,0.0,1.0,147.5,148.57,146.99,148.13,234021.0
2015-04-15,147.5,148.49,147.28,148.09,250482.0,0.0,1.0,147.5,148.49,147.28,148.09,250482.0
2015-04-14,147.18,147.765,146.02,146.99,186775.0,0.0,1.0,147.18,147.765,146.02,146.99,186775.0
2015-04-13,148.5,148.93,147.05,147.26,245392.0,0.0,1.0,148.5,148.93,147.05,147.26,245392.0
2015-04-10,148.02,148.37,147.2,148.36,209621.0,0.0,1.0,148.02,148.37,147.2,148.36,209621.0
2015-04-09,148.43,149.1,147.47,147.63,388207.0,0.0,1.0,148.43,149.1,147.47,147.63,388207.0
2015-04-08,148.31,149.14,147.015,148.47,277611.0,0.0,1.0,148.31,149.14,147.015,148.47,277611.0
2015-04-07,150.37,150.37,148.32,148.35,233449.0,0.0,1.0,150.37,150.37,148.32,148.35,233449.0
2015-04-06,146.51,150.83,146.44,149.87,378266.0,0.0,1.0,146.51,150.83,146.44,149.87,378266.0
2015-04-02,147.22,148.8499,147.22,147.8,300491.0,0.0,1.0,147.22,148.8499,147.22,147.8,300491.0
2015-04-01,146.88,149.18,146.4,147.23,546357.0,0.0,1.0,146.88,149.18,146.4,147.23,546357.0
2015-03-31,145.76,147.37,145.0,147.06,433940.0,0.0,1.0,145.76,147.37,145.0,147.06,433940.0
2015-03-30,145.06,146.74,145.06,146.37,271167.0,0.0,1.0,145.06,146.74,145.06,146.37,271167.0
2015-03-27,142.26,144.26,142.12,144.06,371657.0,0.0,1.0,142.26,144.26,142.12,144.06,371657.0
2015-03-26,141.18,142.5,140.835,142.2,261460.0,0.0,1.0,141.18,142.5,140.835,142.2,261460.0
2015-03-25,143.04,144.43,141.55,141.57,296582.0,0.0,1.0,143.04,144.43,141.55,141.57,296582.0
2015-03-24,142.92,143.72,142.085,142.77,361474.0,0.0,1.0,142.92,143.72,142.085,142.77,361474.0
2015-03-23,143.99,144.89,143.17,143.21,362970.0,0.0,1.0,143.99,144.89,143.17,143.21,362970.0
2015-03-20,144.62,145.68,143.59,143.69,691390.0,0.0,1.0,144.62,145.68,143.59,143.69,691390.0
2015-03-19,145.4,146.32,144.17,144.38,289509.0,0.0,1.0,145.4,146.32,144.17,144.38,289509.0
2015-03-18,144.04,146.48,142.76,145.97,333545.0,0.0,1.0,144.04,146.48,142.76,145.97,333545.0
2015-03-17,144.29,144.92,143.14,144.02,280546.0,0.0,1.0,144.29,144.92,143.14,144.02,280546.0
2015-03-16,143.44,144.38,142.94,144.23,382391.0,0.0,1.0,143.44,144.38,142.94,144.23,382391.0
2015-03-13,144.34,144.34,141.63,142.5,460909.0,0.0,1.0,144.34,144.34,141.63,142.5,460909.0
2015-03-12,142.99,144.52,142.72,144.35,382527.0,0.0,1.0,142.99,144.52,142.72,144.35,382527.0
2015-03-11,143.38,143.5369,141.97,142.2,475217.0,0.0,1.0,143.38,143.5369,141.97,142.2,475217.0
2015-03-10,144.72,145.07,143.45,143.45,371825.0,0.0,1.0,144.72,145.07,143.45,143.45,371825.0
2015-03-09,145.59,146.793,145.56,146.33,288588.0,0.0,1.0,145.59,146.793,145.56,146.33,288588.0
2015-03-06,146.35,147.01,145.03,145.34,255080.0,0.0,1.0,146.35,147.01,145.03,145.34,255080.0
2015-03-05,147.51,148.11,146.8,147.34,329914.0,0.0,1.0,147.51,148.11,146.8,147.34,329914.0
2015-03-04,147.0,147.53,145.98,147.45,357170.0,0.0,1.0,147.0,147.53,145.98,147.45,357170.0
2015-03-03,148.0,148.01,147.2,147.92,323084.0,0.0,1.0,148.0,148.01,147.2,147.92,323084.0
2015-03-02,147.85,148.3199,146.77,148.29,252751.0,0.0,1.0,147.85,148.3199,146.77,148.29,252751.0
2015-02-27,147.45,147.71,146.48,147.23,362709.0,0.0,1.0,147.45,147.71,146.48,147.23,362709.0
2015-02-26,148.13,148.21,146.76,147.21,294948.0,0.0,1.0,148.13,148.21,146.76,147.21,294948.0
2015-02-25,146.61,148.41,146.61,148.08,452620.0,0.0,1.0,146.61,148.41,146.61,148.08,452620.0
2015-02-24,145.5,147.23,145.21,146.79,305490.0,0.0,1.0,145.5,147.23,145.21,146.79,305490.0
2015-02-23,146.02,146.16,145.07,145.81,179729.0,0.0,1.0,146.02,146.16,145.07,145.81,179729.0
2015-02-20,144.86,146.18,143.1,146.06,247480.0,0.53,1.0,144.86,146.18,143.1,146.06,247480.0
2015-02-19,144.74,145.75,144.48,145.54,209719.0,0.0,1.0,144.21668872365,145.22303704209,143.95762876049,145.01379630261,209719.0
2015-02-18,145.37,145.93,144.4,145.39,329486.0,0.0,1.0,144.84441094208,145.40238624736,143.87791800259,144.86433863156,329486.0
2015-02-17,145.12,145.91,144.26,145.43,271503.0,0.0,1.0,144.59531482366,145.38245855788,143.73842417627,144.90419401051,271503.0
2015-02-13,144.42,145.97,144.1,145.4,384987.0,0.0,1.0,143.89784569207,145.4422416263,143.57900266048,144.87430247629,384987.0
2015-02-12,143.01,144.79,143.38,144.69,260778.0,0.0,1.0,142.49294358415,144.26650794734,142.86160583942,144.16686949997,260778.0
2015-02-11,142.19,143.17,141.31,142.77,436841.0,0.0,1.0,141.67590831571,142.65236509994,140.79908997885,142.25381131046,436841.0
2015-02-10,141.53,142.34,140.69,142.2,344406.0,0.0,1.0,141.01829456307,141.82536598677,140.18133160516,141.68587216045,344406.0
2015-02-09,140.97,142.5,140.59,140.9,510494.0,0.0,1.0,140.46031925779,141.98478750256,140.08169315779,140.39057234463,510494.0
2015-02-06,141.0,141.658,139.92,140.99,618937.0,0.0,1.0,140.490210792,141.1458317757,139.41411556041,140.48024694727,618937.0
2015-02-05,135.84,141.195,135.84,139.67,1142289.0,0.0,1.0,135.3488669077,140.68450576438,135.3488669077,139.16501944198,1142289.0
2015-02-04,132.93,132.94,130.77,131.45,591814.0,0.0,1.0,132.44938808923,132.45935193397,130.29719762603,130.97473906815,591814.0
2015-02-03,131.63,133.36,131.72,133.19,427514.0,0.0,1.0,131.15408827342,132.87783341292,131.24376287605,132.70844805239,427514.0
2015-02-02,131.0,131.62,129.14,131.5,867818.0,0.0,1.0,130.52636605498,131.14412442868,128.6730909339,131.02455829183,867818.0
2015-01-30,134.57,134.99,132.4701,132.71,344868.0,0.0,1.0,134.0834586261,134.50194010505,131.99115086977,132.23018350501,344868.0
2015-01-29,131.87,135.42,131.6701,135.24,230579.0,0.0,1.0,131.3932205471,134.93038542875,131.19404329081,134.75103622348,230579.0
2015-01-28,134.08,134.29,131.81,132.02,282100.0,0.0,1.0,133.59523023399,133.80447097346,131.33343747868,131.54267821816,282100.0
2015-01-26,133.96,135.22,133.556,134.9,258558.0,0.0,1.0,133.47566409714,134.73110853401,133.07312476977,134.41226550242,258558.0
2015-01-23,134.93,135.37,134.19,134.34,219998.0,0.0,1.0,134.44215703663,134.88056620506,133.70483252609,133.85429019715,219998.0
2015-01-22,134.04,135.29,133.38,134.88,350379.0,0.0,1.0,133.55537485504,134.80085544717,132.89776110239,134.39233781295,350379.0
2015-01-21,132.32,134.14,131.65,133.8,298143.0,0.0,1.0,131.84159356027,133.65501330241,131.17401596289,133.31624258135,298143.0
2015-01-20,133.31,133.39,131.23,132.75,239939.0,0.0,1.0,132.82801418924,132.90772494713,130.75553448393,132.27003888396,239939.0
2015-01-15,135.03,135.76,133.0,133.22,269576.0,0.0,1.0,134.541795484,135.26915614981,132.51913500239,132.7383395866,269576.0
2015-01-14,132.9,134.9,132.64,134.79,389465.0,0.0,1.0,132.41949655502,134.41226550242,132.16043659185,134.30266321031,389465.0
2015-01-13,135.73,136.53,132.65,133.87,285280.0,0.0,1.0,135.23926461559,136.03637219456,132.17040043659,133.38598949451,285280.0
2015-01-12,136.1,136.27,133.56,134.0,280646.0,0.0,1.0,135.60792687086,135.77731223139,133.07711030766,133.51551947609,280646.0
2015-01-08,135.13,137.5,135.15,137.33,274364.0,0.0,1.0,134.64143393137,137.00286513405,134.66136162085,136.83347977352,274364.0
2015-01-06,134.0,134.57,131.77,133.43,441099.0,0.0,1.0,133.51551947609,134.0834586261,131.29358209973,132.94758032608,441099.0
2015-01-05,135.99,136.04,133.71,133.84,436858.0,0.0,1.0,135.49832457876,135.54814380244,133.22656797872,133.3560979603,436858.0
2015-01-02,137.4,137.685,134.82,136.29,220907.0,0.0,1.0,136.90322668668,137.18719626168,134.33255474453,135.79723992087,220907.0
2014-12-31,138.75,139.17,136.555,136.74,211933.0,0.0,1.0,138.24834572618,138.66682720513,136.0612818064,136.24561293403,211933.0
2014-12-30,138.69,138.98,137.92,138.2,155338.0,0.0,1.0,138.18856265775,138.47751415513,137.421346613,137.70033426564,155338.0
2014-12-26,139.0,140.22,139.29,139.35,96819.0,0.0,1.0,138.4974418446,139.71303090252,138.78639334197,138.8461764104,96819.0
2014-12-24,139.3,139.59,138.82,139.09,63695.0,0.0,1.0,138.79635718671,139.08530868408,138.31809263933,138.58711644723,63695.0
2014-12-23,138.39,139.49,137.95,139.09,166653.0,0.0,1.0,137.88964731564,138.98567023671,137.45123814721,138.58711644723,166653.0
2014-12-22,137.29,138.0,136.98,137.95,201471.0,0.0,1.0,136.79362439457,137.5010573709,136.48474520772,137.45123814721,201471.0
2014-12-19,137.77,137.83,136.67,136.96,496161.0,0.0,1.0,137.27188894195,137.33167201037,136.17586602087,136.46481751825,496161.0
2014-12-18,136.08,136.96,135.31,136.95,391802.0,0.0,1.0,135.58799918139,136.46481751825,134.82078313664,136.45485367351,391802.0
2014-12-17,132.71,134.42,131.38,134.23,304867.0,0.0,1.0,132.23018350501,133.93400095504,130.90499215499,133.74468790504,304867.0
2014-12-16,132.44,135.08,132.29,132.53,300798.0,0.0,1.0,131.96115969711,134.59161470769,131.81170202606,132.05083429975,300798.0
2014-12-15,133.42,134.43,131.93,132.57,281885.0,0.0,1.0,132.93761648134,133.94396479978,131.45300361553,132.0906896787,281885.0
2014-12-10,136.32,136.45,134.17,134.66,275661.0,0.0,1.0,135.82713145508,135.95666143666,133.68490483662,134.17313322873,275661.0
