Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,65.86,68.3,65.3,67.97,23444938.0,0.0,1.0,65.86,68.3,65.3,67.97,23444938.0
2015-04-15,70.67,71.78,69.64,71.12,4625015.0,0.0,1.0,70.67,71.78,69.64,71.12,4625015.0
2015-04-14,70.55,70.81,69.62,70.325,3855851.0,0.0,1.0,70.55,70.81,69.62,70.325,3855851.0
2015-04-13,70.5,72.19,70.285,70.47,3125868.0,0.0,1.0,70.5,72.19,70.285,70.47,3125868.0
2015-04-10,70.3,71.18,69.95,70.68,3332452.0,0.0,1.0,70.3,71.18,69.95,70.68,3332452.0
2015-04-09,69.02,71.24,68.9,70.41,4836518.0,0.0,1.0,69.02,71.24,68.9,70.41,4836518.0
2015-04-08,67.6,68.93,67.3057,68.89,5125428.0,0.0,1.0,67.6,68.93,67.3057,68.89,5125428.0
2015-04-07,67.67,68.58,67.39,67.7,5731597.0,0.0,1.0,67.67,68.58,67.39,67.7,5731597.0
2015-04-06,65.73,67.78,65.63,67.25,8938745.0,0.0,1.0,65.73,67.78,65.63,67.25,8938745.0
2015-04-02,65.16,65.35,64.23,64.57,3757433.0,0.0,1.0,65.16,65.35,64.23,64.57,3757433.0
2015-04-01,63.55,65.8899,63.0,65.135,7050281.0,0.0,1.0,63.55,65.8899,63.0,65.135,7050281.0
2015-03-31,64.36,64.62,63.6,63.62,6534362.0,0.0,1.0,64.36,64.62,63.6,63.62,6534362.0
2015-03-30,65.1,65.58,64.0,64.98,5103204.0,0.0,1.0,65.1,65.58,64.0,64.98,5103204.0
2015-03-27,65.85,65.85,63.56,64.59,14158753.0,0.0,1.0,65.85,65.85,63.56,64.59,14158753.0
2015-03-26,69.5,69.5,65.4501,66.2,32337580.0,0.0,1.0,69.5,69.5,65.4501,66.2,32337580.0
2015-03-25,84.71,84.854,81.08,81.175,5233126.0,0.0,1.0,84.71,84.854,81.08,81.175,5233126.0
2015-03-24,85.28,85.6,84.33,84.75,2127314.0,0.0,1.0,85.28,85.6,84.33,84.75,2127314.0
2015-03-23,87.11,87.23,85.455,85.54,2470103.0,0.0,1.0,87.11,87.23,85.455,85.54,2470103.0
2015-03-20,85.36,87.43,85.21,87.07,5241289.0,0.0,1.0,85.36,87.43,85.21,87.07,5241289.0
2015-03-19,82.78,84.84,82.775,84.72,2893818.0,0.0,1.0,82.78,84.84,82.775,84.72,2893818.0
2015-03-18,82.6,83.0,81.55,82.9,3258620.0,0.0,1.0,82.6,83.0,81.55,82.9,3258620.0
2015-03-17,82.95,83.26,82.56,82.94,2255606.0,0.0,1.0,82.95,83.26,82.56,82.94,2255606.0
2015-03-16,84.05,84.85,83.32,83.76,2728358.0,0.0,1.0,84.05,84.85,83.32,83.76,2728358.0
2015-03-13,83.7,84.36,83.37,83.82,2887473.0,0.0,1.0,83.7,84.36,83.37,83.82,2887473.0
2015-03-12,81.7,83.9,81.39,83.75,3891444.0,0.0,1.0,81.7,83.9,81.39,83.75,3891444.0
2015-03-11,82.62,84.95,82.62,82.73,6202502.0,0.0,1.0,82.62,84.95,82.62,82.73,6202502.0
2015-03-10,81.77,82.05,79.655,80.165,3767015.0,0.0,1.0,81.77,82.05,79.655,80.165,3767015.0
2015-03-09,80.68,82.26,80.22,82.09,2694053.0,0.0,1.0,80.68,82.26,80.22,82.09,2694053.0
2015-03-06,82.21,83.1799,80.52,80.655,3423040.0,0.0,1.0,82.21,83.1799,80.52,80.655,3423040.0
2015-03-05,83.0,83.11,81.99,82.515,4537716.0,0.0,1.0,83.0,83.11,81.99,82.515,4537716.0
2015-03-04,78.84,83.57,78.84,82.68,8353329.0,0.0,1.0,78.84,83.57,78.84,82.68,8353329.0
2015-03-03,80.25,80.82,78.52,79.09,3539825.0,0.0,1.0,80.25,80.82,78.52,79.09,3539825.0
2015-03-02,80.45,81.34,79.81,80.25,3076022.0,0.0,1.0,80.45,81.34,79.81,80.25,3076022.0
2015-02-27,79.01,81.38,78.5,79.93,5038782.0,0.0,1.0,79.01,81.38,78.5,79.93,5038782.0
2015-02-26,79.04,79.5,77.6574,78.05,4602058.0,0.0,1.0,79.04,79.5,77.6574,78.05,4602058.0
2015-02-25,79.83,79.98,78.865,79.04,4619766.0,0.0,1.0,79.83,79.98,78.865,79.04,4619766.0
2015-02-24,81.12,81.42,79.21,79.97,3976947.0,0.0,1.0,81.12,81.42,79.21,79.97,3976947.0
2015-02-23,82.31,82.76,81.09,81.39,2068219.0,0.0,1.0,81.994837268666,82.443114231015,80.779508615188,81.078359923421,2068219.0
2015-02-20,82.41,82.63,81.57,82.63,1934606.0,0.0,1.0,82.09445437141,82.313611997447,81.25767070836,82.313611997447,1934606.0
2015-02-19,81.77,82.67,81.513,82.41,2165450.0,0.0,1.0,81.456904913848,82.353458838545,81.200888959796,82.09445437141,2165450.0
2015-02-18,81.98,82.7,81.351,81.94,3261098.0,0.0,1.0,81.666100829611,82.383343969368,81.03950925335,81.626253988513,3261098.0
2015-02-17,82.73,83.15,81.73,82.195,3113160.0,0.0,1.0,82.413229100191,82.831620931717,81.41705807275,81.880277600511,3113160.0
