Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,44.2,44.3,43.8,44.11,3783230.0,0.0,1.0,44.2,44.3,43.8,44.11,3783230.0
2015-04-15,44.34,44.75,44.115,44.2,3875934.0,0.0,1.0,44.34,44.75,44.115,44.2,3875934.0
2015-04-14,44.27,44.47,44.12,44.35,3468953.0,0.0,1.0,44.27,44.47,44.12,44.35,3468953.0
2015-04-13,44.48,44.64,44.12,44.2,3217564.0,0.0,1.0,44.48,44.64,44.12,44.2,3217564.0
2015-04-10,44.5,44.86,44.33,44.62,3612684.0,0.0,1.0,44.5,44.86,44.33,44.62,3612684.0
2015-04-09,44.19,44.49,43.85,44.47,6397120.0,0.0,1.0,44.19,44.49,43.85,44.47,6397120.0
2015-04-08,44.28,44.385,43.9,44.34,6007021.0,0.0,1.0,44.28,44.385,43.9,44.34,6007021.0
2015-04-07,44.96,45.0,44.195,44.26,5014870.0,0.0,1.0,44.96,45.0,44.195,44.26,5014870.0
2015-04-06,44.8,45.44,44.77,44.92,5505314.0,0.0,1.0,44.8,45.44,44.77,44.92,5505314.0
2015-04-02,44.52,44.798,44.45,44.64,3329784.0,0.0,1.0,44.52,44.798,44.45,44.64,3329784.0
2015-04-01,44.35,44.695,43.9,44.62,5305867.0,0.0,1.0,44.35,44.695,43.9,44.62,5305867.0
2015-03-31,44.27,44.48,43.965,44.28,5773902.0,0.0,1.0,44.27,44.48,43.965,44.28,5773902.0
2015-03-30,44.24,44.52,44.07,44.33,4038498.0,0.0,1.0,44.24,44.52,44.07,44.33,4038498.0
2015-03-27,43.75,44.37,43.75,44.01,5749357.0,0.0,1.0,43.75,44.37,43.75,44.01,5749357.0
2015-03-26,44.04,44.32,43.7,43.76,5938355.0,0.0,1.0,44.04,44.32,43.7,43.76,5938355.0
2015-03-25,44.66,44.86,44.02,44.03,4060637.0,0.0,1.0,44.66,44.86,44.02,44.03,4060637.0
2015-03-24,45.07,45.33,44.44,44.52,4273107.0,0.0,1.0,45.07,45.33,44.44,44.52,4273107.0
2015-03-23,45.04,45.36,45.02,45.17,3763176.0,0.0,1.0,45.04,45.36,45.02,45.17,3763176.0
2015-03-20,44.71,45.18,44.65,44.97,6856598.0,0.0,1.0,44.71,45.18,44.65,44.97,6856598.0
2015-03-19,45.01,45.42,44.59,44.66,4980761.0,0.0,1.0,45.01,45.42,44.59,44.66,4980761.0
2015-03-18,44.32,45.49,44.125,45.14,7071275.0,0.0,1.0,44.32,45.49,44.125,45.14,7071275.0
2015-03-17,44.48,44.77,44.27,44.32,3460981.0,0.0,1.0,44.48,44.77,44.27,44.32,3460981.0
2015-03-16,44.12,44.915,44.12,44.63,4352881.0,0.0,1.0,44.12,44.915,44.12,44.63,4352881.0
2015-03-13,44.4,44.45,43.75,43.95,5682366.0,0.0,1.0,44.4,44.45,43.75,43.95,5682366.0
2015-03-12,43.86,44.57,43.82,44.46,6387161.0,0.0,1.0,43.86,44.57,43.82,44.46,6387161.0
2015-03-11,43.91,44.211,43.5501,43.72,4848483.0,0.0,1.0,43.91,44.211,43.5501,43.72,4848483.0
2015-03-10,43.98,44.555,43.79,43.93,8559279.0,0.0,1.0,43.98,44.555,43.79,43.93,8559279.0
2015-03-09,44.11,44.43,43.97,44.01,6110162.0,0.0,1.0,44.11,44.43,43.97,44.01,6110162.0
2015-03-06,44.52,44.56,43.88,44.09,11523807.0,0.0,1.0,44.52,44.56,43.88,44.09,11523807.0
2015-03-05,44.96,45.23,44.82,45.02,5425385.0,0.0,1.0,44.96,45.23,44.82,45.02,5425385.0
2015-03-04,45.05,45.05,44.61,44.83,3828793.0,0.0,1.0,45.05,45.05,44.61,44.83,3828793.0
2015-03-03,45.09,45.19,44.56,45.15,5042429.0,0.0,1.0,45.09,45.19,44.56,45.15,5042429.0
2015-03-02,45.8,45.8,44.65,44.87,7012991.0,0.0,1.0,45.8,45.8,44.65,44.87,7012991.0
2015-02-27,45.76,45.94,45.52,45.79,4177077.0,0.0,1.0,45.76,45.94,45.52,45.79,4177077.0
2015-02-26,46.03,46.15,45.68,45.76,3778193.0,0.0,1.0,46.03,46.15,45.68,45.76,3778193.0
2015-02-25,47.02,47.05,45.86,45.92,5992519.0,0.0,1.0,47.02,47.05,45.86,45.92,5992519.0
2015-02-24,46.46,47.01,46.26,46.89,5437427.0,0.0,1.0,46.46,47.01,46.26,46.89,5437427.0
2015-02-23,46.3,46.54,46.13,46.47,5159669.0,0.0,1.0,46.3,46.54,46.13,46.47,5159669.0
2015-02-20,46.19,46.22,45.601,46.14,4077951.0,0.0,1.0,46.19,46.22,45.601,46.14,4077951.0
2015-02-19,46.78,46.87,46.01,46.19,4212575.0,0.0,1.0,46.78,46.87,46.01,46.19,4212575.0
2015-02-18,45.88,46.97,45.69,46.84,7445318.0,0.0,1.0,45.88,46.97,45.69,46.84,7445318.0
2015-02-17,45.62,46.14,45.22,45.54,8975838.0,0.0,1.0,45.62,46.14,45.22,45.54,8975838.0
2015-02-13,46.42,46.54,45.54,45.88,8642809.0,0.0,1.0,46.42,46.54,45.54,45.88,8642809.0
2015-02-12,47.6,47.63,46.29,46.56,11253907.0,0.525,1.0,47.6,47.63,46.29,46.56,11253907.0
2015-02-11,48.67,48.67,47.66,47.95,7649660.0,0.0,1.0,48.127327174259,48.127327174259,47.128588722523,47.415355208665,7649660.0
2015-02-10,47.81,48.8,47.72,48.68,5817899.0,0.0,1.0,47.276916215355,48.255877668047,47.187919719656,48.137215673781,5817899.0
2015-02-09,48.13,48.33,47.635,47.79,6627398.0,0.0,1.0,47.593348200064,47.791118190507,47.103867473718,47.257139216311,6627398.0
2015-02-04,50.85,51.14,49.32,49.46,10462638.0,0.0,1.0,50.283020070086,50.569786556228,48.770079643198,48.908518636508,10462638.0
2015-02-03,50.78,50.95,50.36,50.8,8283867.0,0.0,1.0,50.213800573431,50.381905065307,49.798483593501,50.233577572475,8283867.0
2015-02-02,50.71,50.93,50.115,50.78,7050209.0,0.0,1.0,50.144581076776,50.362128066263,49.556215355209,50.213800573431,7050209.0
2015-01-30,52.3,52.49,50.64,50.72,12551006.0,0.0,1.0,51.716852500796,51.904733991717,50.075361580121,50.154469576298,12551006.0
2015-01-29,52.13,52.91,51.9,52.79,4451273.0,0.0,1.0,51.54874800892,52.320050971647,51.321312519911,52.201388977381,4451273.0
2015-01-28,52.5,53.16,52.06,52.17,5200117.0,0.0,1.0,51.914622491239,52.567263459701,51.479528512265,51.588302007009,5200117.0
2015-01-26,52.06,52.27,51.68,52.23,4232392.0,0.0,1.0,51.479528512265,51.68718700223,51.103765530424,51.647633004141,4232392.0
2015-01-23,52.13,52.47,52.0,52.23,4192516.0,0.0,1.0,51.54874800892,51.884956992673,51.420197515132,51.647633004141,4192516.0
2015-01-22,52.0,52.2552,51.65,52.13,4674469.0,0.0,1.0,51.420197515132,51.672552022937,51.074100031857,51.54874800892,4674469.0
2015-01-21,51.49,52.09,51.19,52.01,5400690.0,0.0,1.0,50.915884039503,51.509194010831,50.619229053839,51.430086014654,5400690.0
2015-01-20,51.45,51.68,51.17,51.66,4077935.0,0.0,1.0,50.876330041414,51.103765530424,50.599452054795,51.083988531379,4077935.0
2015-01-15,50.3,50.875,50.12,50.8,5682622.0,0.0,1.0,49.739152596368,50.307741318891,49.56115960497,50.233577572475,5682622.0
2015-01-14,49.68,50.2,49.435,50.19,6181880.0,0.0,1.0,49.126065625996,49.640267601147,48.883797387703,49.630379101625,6181880.0
2015-01-13,50.01,50.5,49.52,49.68,5411999.0,0.0,1.0,49.452386110226,49.936922586811,48.967849633641,49.126065625996,5411999.0
2015-01-12,49.91,50.0,49.44,49.71,4068842.0,0.0,1.0,49.353501115005,49.442497610704,48.888741637464,49.155731124562,4068842.0
2015-01-08,50.41,50.69,50.22,50.34,4532538.0,0.0,1.0,49.847926091112,50.124804077732,49.660044600191,49.778706594457,4532538.0
2015-01-06,49.25,50.18,49.18,49.75,9354683.0,0.0,1.0,48.700860146543,49.620490602103,48.631640649888,49.195285122651,9354683.0
2015-01-05,49.25,49.49,48.905,49.16,7023122.0,0.0,1.0,48.700860146543,48.938184135075,48.35970691303,48.611863650844,7023122.0
2015-01-02,49.175,49.44,48.84,49.37,4645560.0,0.0,1.0,48.626696400127,48.888741637464,48.295431666136,48.819522140809,4645560.0
2014-12-31,50.0,50.1,49.05,49.11,4959036.0,0.0,1.0,49.442497610704,49.541382605925,48.503090156101,48.562421153234,4959036.0
2014-12-30,50.72,50.82,49.75,49.77,4129622.0,0.0,1.0,50.154469576298,50.25335457152,49.195285122651,49.215062121695,4129622.0
2014-12-26,50.02,50.87,49.96,50.47,5745248.0,0.0,1.0,49.462274609748,50.30279706913,49.402943612615,49.907257088245,5745248.0
2014-12-24,49.23,50.13,49.17,49.91,3817961.0,0.0,1.0,48.681083147499,49.571048104492,48.621752150366,49.353501115005,3817961.0
2014-12-23,49.35,49.47,49.12,49.17,3170730.0,0.0,1.0,48.799745141765,48.918407136031,48.572309652756,48.621752150366,3170730.0
2014-12-22,49.17,49.49,48.88,49.36,3999472.0,0.0,1.0,48.621752150366,48.938184135075,48.334985664224,48.809633641287,3999472.0
2014-12-19,48.94,49.3244,48.76,49.02,8063482.0,0.0,1.0,48.394316661357,48.774430582988,48.216323669959,48.473424657534,8063482.0
2014-12-18,48.32,49.0,48.1,49.0,4894103.0,0.0,1.0,47.781229690984,48.45364765849,47.563682701497,48.45364765849,4894103.0
2014-12-17,47.85,48.35,47.77,48.3,4442201.0,0.0,1.0,47.316470213444,47.810895189551,47.237362217267,47.76145269194,4442201.0
2014-12-16,47.97,48.39,47.46,47.76,5391250.0,0.0,1.0,47.435132207709,47.850449187639,46.93081873208,47.227473717745,5391250.0
2014-12-15,47.99,48.23,47.5,47.85,4469351.0,0.0,1.0,47.454909206754,47.692233195285,46.970372730169,47.316470213444,4469351.0
2014-12-10,47.93,48.425,47.89,47.92,4158234.0,0.0,1.0,47.395578209621,47.885058935967,47.356024211532,47.385689710099,4158234.0
2014-12-09,47.64,48.36,47.81,48.14,3996561.0,0.0,1.0,47.108811723479,47.820783689073,47.276916215355,47.603236699586,3996561.0
2014-12-05,47.44,47.7,47.22,47.54,4754003.0,0.0,1.0,46.911041733036,47.168142720612,46.693494743549,47.009926728257,4754003.0
2014-12-04,47.95,48.13,47.65,47.91,2909192.0,0.0,1.0,47.415355208665,47.593348200064,47.118700223001,47.375801210577,2909192.0
2014-12-02,47.64,48.17,47.42,47.91,6943918.0,0.0,1.0,47.108811723479,47.632902198152,46.891264733992,47.375801210577,6943918.0
2014-12-01,47.19,48.31,47.07,47.69,8375972.0,0.0,1.0,46.663829244982,47.771341191462,46.545167250717,47.15825422109,8375972.0
2014-11-28,47.0,47.65,46.97,47.43,3030153.0,0.0,1.0,46.475947754062,47.118700223001,46.446282255495,46.901153233514,3030153.0
2014-11-26,46.5,46.96,46.5,46.82,3549738.0,0.0,1.0,45.981522777955,46.436393755973,45.981522777955,46.297954762663,3549738.0
2014-11-25,46.73,46.75,46.3,46.47,5812011.0,0.0,1.0,46.208958266964,46.228735266008,45.783752787512,45.951857279388,5812011.0
2014-11-24,47.3,47.36,46.62,46.71,3938122.0,0.0,1.0,46.772602739726,46.831933736859,46.10018477222,46.18918126792,3938122.0
2014-11-21,47.32,47.37,46.83,47.25,4304340.0,0.0,1.0,46.79237973877,46.841822236381,46.307843262185,46.723160242115,4304340.0
2014-11-20,47.2,47.39,46.9,47.11,3241935.0,0.0,1.0,46.673717744505,46.861599235425,46.37706275884,46.584721248805,3241935.0
2014-11-19,47.1,47.37,46.93,47.27,3804939.0,0.0,1.0,46.574832749283,46.841822236381,46.406728257407,46.74293724116,3804939.0
2014-11-18,47.18,47.49,46.981,47.25,3836172.0,0.0,1.0,46.65394074546,46.960484230647,46.45715960497,46.723160242115,3836172.0
2014-11-17,46.78,47.2,46.56,47.08,4181690.0,0.0,1.0,46.258400764575,46.673717744505,46.040853775088,46.555055750239,4181690.0
2014-11-14,46.84,46.93,46.46,46.64,4937501.0,0.0,1.0,46.317731761708,46.406728257407,45.941968779866,46.119961771265,4937501.0
2014-11-13,47.2,47.44,46.74,46.94,6020353.0,0.0,1.0,46.673717744505,46.911041733036,46.218846766486,46.416616756929,6020353.0
2014-11-12,47.11,47.32,46.79,47.1,7148543.0,0.0,1.0,46.584721248805,46.79237973877,46.268289264097,46.574832749283,7148543.0
2014-11-11,47.59,47.74,47.35,47.58,3751550.0,0.0,1.0,47.059369225868,47.2076967187,46.822045237337,47.049480726346,3751550.0
2014-11-10,47.23,47.71,47.05,47.59,7325025.0,0.0,1.0,46.703383243071,47.178031220134,46.525390251673,47.059369225868,7325025.0
2014-11-07,47.07,47.36,46.89,47.13,5173592.0,0.0,1.0,46.545167250717,46.831933736859,46.367174259318,46.60449824785,5173592.0
2014-11-06,47.68,47.85,46.825,47.01,8832512.0,0.0,1.0,47.148365721567,47.316470213444,46.302899012424,46.485836253584,8832512.0
2014-11-04,46.7,47.13,46.52,46.94,5427676.0,0.0,1.0,46.179292768398,46.60449824785,46.001299776999,46.416616756929,5427676.0
2014-11-03,46.4,46.91,46.37,46.77,6501373.0,0.0,1.0,45.882637782733,46.386951258363,45.852972284167,46.248512265053,6501373.0
2014-10-31,46.65,46.69,45.86,46.36,7528206.0,0.0,1.0,46.129850270787,46.169404268875,45.348658808538,45.843083784645,7528206.0
2014-10-30,46.18,46.51,45.97,46.45,13171616.0,0.525,1.0,45.665090793246,45.991411277477,45.457432303281,45.932080280344,13171616.0
2014-10-29,47.01,47.22,45.94,46.42,9883346.0,0.0,1.0,45.966303224672,46.171640890641,44.920058926642,45.389402163141,9883346.0
2014-10-28,47.49,47.59,46.66,47.37,8734743.0,0.0,1.0,46.435646461172,46.533426302109,45.624073781391,46.318310652047,8734743.0
2014-10-27,47.45,47.69,47.21,47.38,4309321.0,0.0,1.0,46.396534524797,46.631206143046,46.161862906547,46.328088636141,4309321.0
2014-10-24,47.19,47.5,47.14,47.41,3319940.0,0.0,1.0,46.142306938359,46.445424445265,46.093417017891,46.357422588422,3319940.0
2014-10-23,47.19,47.44,46.92,47.21,4831333.0,0.0,1.0,46.142306938359,46.386756540703,45.878301367828,46.161862906547,4831333.0
2014-10-22,46.88,47.39,46.85,47.19,5345951.0,0.0,1.0,45.839189431454,46.337866620234,45.809855479172,46.142306938359,5345951.0
2014-10-21,46.87,47.0,46.58,46.93,5173334.0,0.0,1.0,45.82941144736,45.956525240578,45.545849908641,45.888079351922,5173334.0
2014-10-20,46.29,46.91,46.22,46.78,5543036.0,0.0,1.0,45.262288369923,45.868523383735,45.193842481267,45.741409590516,5543036.0
2014-10-17,46.53,46.54,45.52,46.22,8853348.0,0.0,1.0,45.496959988173,45.506737972266,44.509383594705,45.193842481267,8853348.0
2014-10-16,46.41,46.695,45.9,46.37,9871452.0,0.0,1.0,45.379624179048,45.658296725719,44.880946990267,45.340512242673,9871452.0
2014-10-15,46.69,47.68,45.82,46.85,11664423.0,0.0,1.0,45.653407733672,46.621428158953,44.802723117517,45.809855479172,11664423.0
2014-10-14,46.14,47.31,46.01,46.9,11510373.0,0.0,1.0,45.115618608517,46.259642747484,44.988504815298,45.858745399641,11510373.0
2014-10-13,44.99,46.485,44.98,45.85,10676758.0,0.0,1.0,43.991150437737,45.452959059751,43.981372453643,44.832057069798,10676758.0
2014-10-10,45.06,45.4,44.95,45.11,6564226.0,0.0,1.0,44.059596326393,44.39204778558,43.952038501362,44.108486246862,6564226.0
2014-10-09,44.99,45.41,44.785,44.83,10295101.0,0.0,1.0,43.991150437737,44.401825769674,43.790701763815,43.834702692237,10295101.0
2014-10-08,44.1,45.1,44.16,45.04,5780672.0,0.0,1.0,43.120909853394,44.098708262768,43.179577757956,44.040040358205,5780672.0
2014-10-07,43.96,44.58,43.94,44.14,4497787.0,0.0,1.0,42.984018076081,43.590253089893,42.964462107894,43.160021789769,4497787.0
2014-10-06,44.26,44.37,43.92,44.07,3494532.0,0.0,1.0,43.277357598894,43.384915423925,42.944906139706,43.091575901113,3494532.0
2014-10-03,44.22,44.25,43.55,44.14,5363521.0,0.0,1.0,43.238245662519,43.2675796148,42.583120728238,43.160021789769,5363521.0
2014-10-02,44.02,44.44,43.98,44.13,6429634.0,0.0,1.0,43.042685980644,43.453361312581,43.003574044269,43.150243805675,6429634.0
2014-10-01,43.73,44.28,43.71,44.09,5898393.0,0.0,1.0,42.759124441925,43.296913567081,42.739568473738,43.1111318693,5898393.0
2014-09-30,43.66,44.01,43.48,43.65,3945859.0,0.0,1.0,42.690678553269,43.03290799655,42.514674839582,42.680900569175,3945859.0
2014-09-29,43.36,43.67,43.1,43.63,3372580.0,0.0,1.0,42.397339030457,42.700456537363,42.14311144402,42.661344600988,3372580.0
2014-09-26,43.34,43.5999,43.07,43.45,3377273.0,0.0,1.0,42.37778306227,42.631912868866,42.113777491739,42.485340887301,3377273.0
2014-09-25,43.42,43.67,43.33,43.33,4320683.0,0.0,1.0,42.456006935019,42.700456537363,42.368005078176,42.368005078176,4320683.0
2014-09-24,43.45,43.59,43.27,43.45,3660715.0,0.0,1.0,42.485340887301,42.622232664613,42.309337173613,42.485340887301,3660715.0
2014-09-23,43.54,43.6,43.3156,43.4,3313902.0,0.0,1.0,42.573342744144,42.632010648707,42.353924781081,42.436450966832,3313902.0
2014-09-22,43.64,43.84,43.405,43.47,5331464.0,0.0,1.0,42.671122585082,42.866682266957,42.441339958879,42.504896855488,5331464.0
2014-09-19,43.36,43.77,43.35,43.69,5521048.0,0.0,1.0,42.397339030457,42.7982363783,42.387561046363,42.72001250555,5521048.0
2014-09-18,43.6,43.73,43.04,43.28,4775178.0,0.0,1.0,42.632010648707,42.759124441925,42.084443539457,42.319115157707,4775178.0
2014-09-17,43.94,44.07,43.33,43.57,4103499.0,0.0,1.0,42.964462107894,43.091575901113,42.368005078176,42.602676696426,4103499.0
2014-09-16,43.43,44.085,43.4,43.93,4113171.0,0.0,1.0,42.465784919113,43.106242877253,42.436450966832,42.9546841238,4113171.0
2014-09-15,43.43,43.68,43.22,43.37,3919527.0,0.0,1.0,42.465784919113,42.710234521457,42.260447253145,42.407117014551,3919527.0
2014-09-12,43.88,43.89,43.25,43.36,4231865.0,0.0,1.0,42.905794203332,42.915572187425,42.289781205426,42.397339030457,4231865.0
2014-09-11,43.75,44.0999,43.62,44.06,2860186.0,0.0,1.0,42.778680410113,43.120812073553,42.651566616894,43.081797917019,2860186.0
2014-09-10,43.945,43.99,43.6,43.76,2939511.0,0.0,1.0,42.969351099941,43.013352028363,42.632010648707,42.788458394207,2939511.0
2014-09-09,44.43,44.5,43.9,43.97,6820568.0,0.0,1.0,43.443583328487,43.512029217143,42.925350171519,42.993796060175,6820568.0
2014-09-08,44.71,44.8184,44.35,44.56,3189073.0,0.0,1.0,43.717366883112,43.823360230688,43.365359455737,43.570697121706,3189073.0
2014-09-05,44.24,44.79,44.26,44.78,5395115.0,0.0,1.0,43.257801630706,43.795590755862,43.277357598894,43.785812771768,5395115.0
2014-09-04,44.1,44.22,43.78,44.16,3248390.0,0.0,1.0,43.120909853394,43.238245662519,42.808014362394,43.179577757956,3248390.0
2014-09-03,43.98,44.26,43.94,44.18,2804770.0,0.0,1.0,43.003574044269,43.277357598894,42.964462107894,43.199133726144,2804770.0
2014-09-02,44.34,44.44,43.61,43.8,3753883.0,0.0,1.0,43.355581471644,43.453361312581,42.641788632801,42.827570330582,3753883.0
2014-08-29,44.19,44.4,44.06,44.4,2613989.0,0.0,1.0,43.208911710237,43.414249376206,43.081797917019,43.414249376206,2613989.0
2014-08-28,43.78,44.27,43.69,44.23,2949734.0,0.0,1.0,42.808014362394,43.287135582987,42.72001250555,43.248023646612,2949734.0
2014-08-27,43.59,43.84,43.54,43.83,2261559.0,0.0,1.0,42.622232664613,42.866682266957,42.573342744144,42.856904282863,2261559.0
2014-08-26,43.92,44.08,43.5,43.54,2202642.0,0.0,1.0,42.944906139706,43.101353885206,42.534230807769,42.573342744144,2202642.0
2014-08-25,43.84,44.02,43.72,43.9,2091530.0,0.0,1.0,42.866682266957,43.042685980644,42.749346457832,42.925350171519,2091530.0
2014-08-22,43.95,44.035,43.5,43.68,2823042.0,0.0,1.0,42.974240091988,43.057352956784,42.534230807769,42.710234521457,2823042.0
2014-08-21,43.85,44.14,43.795,43.89,3109535.0,0.0,1.0,42.87646025105,43.160021789769,42.822681338535,42.915572187425,3109535.0
2014-08-20,43.56,43.84,43.55,43.81,2638498.0,0.0,1.0,42.592898712332,42.866682266957,42.583120728238,42.837348314675,2638498.0
2014-08-19,43.55,43.81,43.35,43.8,2720596.0,0.0,1.0,42.583120728238,42.837348314675,42.387561046363,42.827570330582,2720596.0
2014-08-18,43.53,43.72,43.28,43.38,2979836.0,0.0,1.0,42.563564760051,42.749346457832,42.319115157707,42.416894998645,2979836.0
2014-08-15,43.43,43.82,43.28,43.42,4392264.0,0.0,1.0,42.465784919113,42.847126298769,42.319115157707,42.456006935019,4392264.0
2014-08-14,43.15,43.47,43.11,43.43,3162275.0,0.0,1.0,42.192001364488,42.504896855488,42.152889428114,42.465784919113,3162275.0
2014-08-13,42.85,43.28,42.67,43.07,5263350.0,0.0,1.0,41.898661841676,42.319115157707,41.722658127989,42.113777491739,5263350.0
2014-08-12,43.08,43.38,43.0,43.22,3515040.0,0.0,1.0,42.123555475832,42.416894998645,42.045331603082,42.260447253145,3515040.0
2014-08-11,43.53,43.6,43.04,43.06,4739351.0,0.0,1.0,42.563564760051,42.632010648707,42.084443539457,42.103999507645,4739351.0
2014-08-08,42.8,43.54,42.7,43.53,4978678.0,0.0,1.0,41.849771921208,42.573342744144,41.75199208027,42.563564760051,4978678.0
2014-08-07,42.355,42.87,42.26,42.62,4408190.0,0.0,1.0,41.414651629036,41.918217809864,41.321760780146,41.67376820752,4408190.0
2014-08-06,42.38,42.43,41.87,42.17,10036560.0,0.0,1.0,41.43909658927,41.487986509739,40.94041940049,41.233758923302,10036560.0
2014-08-05,42.92,43.2,42.45,42.6,4330536.0,0.0,1.0,41.967107730332,42.240891284957,41.507542477927,41.654212239333,4330536.0
2014-08-04,43.37,43.41,42.35,43.1,6606563.0,0.0,1.0,42.407117014551,42.446228950926,41.409762636989,42.14311144402,6606563.0
