Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,189.06,191.27,188.41,190.1,918090.0,0.0,1.0,189.06,191.27,188.41,190.1,918090.0
2015-04-15,191.49,192.18,189.76,190.04,1091301.0,0.0,1.0,191.49,192.18,189.76,190.04,1091301.0
2015-04-14,191.17,192.46,190.81,191.42,1481623.0,0.0,1.0,191.17,192.46,190.81,191.42,1481623.0
2015-04-13,191.65,191.97,190.33,190.33,1355475.0,0.0,1.0,191.65,191.97,190.33,190.33,1355475.0
2015-04-10,193.99,194.765,190.91,191.27,1903673.0,0.0,1.0,193.99,194.765,190.91,191.27,1903673.0
2015-04-09,196.87,196.87,192.49,193.13,1743676.0,0.0,1.0,196.87,196.87,192.49,193.13,1743676.0
2015-04-08,198.13,199.25,197.08,197.46,1236185.0,0.0,1.0,198.13,199.25,197.08,197.46,1236185.0
2015-04-07,200.26,200.86,198.29,198.29,981490.0,0.0,1.0,200.26,200.86,198.29,198.29,981490.0
2015-04-06,199.88,202.28,199.47,200.8,1130175.0,0.0,1.0,199.88,202.28,199.47,200.8,1130175.0
2015-04-02,200.0,200.98,198.535,199.36,1639829.0,0.0,1.0,200.0,200.98,198.535,199.36,1639829.0
2015-04-01,195.82,198.58,194.01,197.99,2406226.0,0.0,1.0,195.82,198.58,194.01,197.99,2406226.0
2015-03-31,196.5,197.91,194.97,195.64,1858164.0,0.0,1.0,196.5,197.91,194.97,195.64,1858164.0
2015-03-30,194.8,197.46,194.07,196.97,1187571.0,0.0,1.0,194.8,197.46,194.07,196.97,1187571.0
2015-03-27,192.38,194.97,192.01,194.26,1463833.0,0.0,1.0,192.38,194.97,192.01,194.26,1463833.0
2015-03-26,192.69,193.98,191.63,192.65,1803138.0,0.0,1.0,192.69,193.98,191.63,192.65,1803138.0
2015-03-25,197.36,197.92,193.14,194.15,1894401.0,0.0,1.0,197.36,197.92,193.14,194.15,1894401.0
2015-03-24,197.48,198.28,196.32,196.83,1954717.0,0.0,1.0,197.48,198.28,196.32,196.83,1954717.0
2015-03-23,197.32,199.09,195.83,197.54,2099483.0,0.0,1.0,197.32,199.09,195.83,197.54,2099483.0
2015-03-20,194.09,197.56,193.03,197.34,2844962.0,0.0,1.0,194.09,197.56,193.03,197.34,2844962.0
2015-03-19,190.84,192.65,190.48,192.1,2200095.0,0.0,1.0,190.84,192.65,190.48,192.1,2200095.0
2015-03-18,186.0,191.7,185.32,191.5,1823232.0,0.0,1.0,186.0,191.7,185.32,191.5,1823232.0
2015-03-17,186.17,187.35,185.3,186.13,1579458.0,0.0,1.0,186.17,187.35,185.3,186.13,1579458.0
2015-03-16,185.15,187.97,184.37,187.07,1565295.0,0.0,1.0,185.15,187.97,184.37,187.07,1565295.0
2015-03-13,183.34,185.0,182.32,183.98,2177760.0,0.0,1.0,183.34,185.0,182.32,183.98,2177760.0
2015-03-12,180.15,183.62,180.15,183.6,1815639.0,0.0,1.0,180.15,183.62,180.15,183.6,1815639.0
2015-03-11,179.69,180.61,178.84,179.35,1440431.0,0.0,1.0,179.69,180.61,178.84,179.35,1440431.0
2015-03-10,180.03,181.65,179.13,179.92,2559704.0,0.0,1.0,180.03,181.65,179.13,179.92,2559704.0
2015-03-09,181.82,183.22,180.29,180.44,2257908.0,0.0,1.0,181.82,183.22,180.29,180.44,2257908.0
2015-03-06,183.96,183.96,180.13,180.58,2257055.0,0.0,1.0,183.96,183.96,180.13,180.58,2257055.0
2015-03-05,188.12,189.4,186.99,187.13,1422787.0,0.0,1.0,188.12,189.4,186.99,187.13,1422787.0
2015-03-04,189.5,189.87,187.16,187.56,1017426.0,0.0,1.0,189.5,189.87,187.16,187.56,1017426.0
2015-03-03,189.29,190.09,188.12,189.61,1088658.0,0.0,1.0,189.29,190.09,188.12,189.61,1088658.0
2015-03-02,190.49,192.93,189.53,190.04,1278706.0,0.0,1.0,190.49,192.93,189.53,190.04,1278706.0
2015-02-27,187.89,191.46,186.7925,190.36,2095099.0,0.0,1.0,187.89,191.46,186.7925,190.36,2095099.0
2015-02-26,190.03,190.47,187.13,187.14,1431577.0,0.0,1.0,190.03,190.47,187.13,187.14,1431577.0
2015-02-25,190.12,192.5,189.8,190.48,875139.0,0.0,1.0,190.12,192.5,189.8,190.48,875139.0
2015-02-24,192.85,193.16,189.57,190.06,1367216.0,0.0,1.0,192.85,193.16,189.57,190.06,1367216.0
2015-02-23,192.14,193.83,191.69,193.61,755820.0,0.0,1.0,192.14,193.83,191.69,193.61,755820.0
2015-02-20,189.33,192.2,189.2,191.81,1333612.0,0.0,1.0,189.33,192.2,189.2,191.81,1333612.0
2015-02-19,193.36,193.77,189.35,189.81,1167490.0,0.0,1.0,193.36,193.77,189.35,189.81,1167490.0
2015-02-18,193.03,194.6,190.77,194.28,932081.0,0.0,1.0,193.03,194.6,190.77,194.28,932081.0
2015-02-17,192.93,195.65,192.27,192.81,1002786.0,0.0,1.0,192.93,195.65,192.27,192.81,1002786.0
2015-02-13,193.93,194.28,191.8,193.11,1015760.0,0.0,1.0,193.93,194.28,191.8,193.11,1015760.0
2015-02-12,193.13,194.93,191.89,194.72,1238218.0,0.0,1.0,193.13,194.93,191.89,194.72,1238218.0
2015-02-11,194.16,194.855,191.01,192.42,1279653.0,1.4,1.0,194.16,194.855,191.01,192.42,1279653.0
2015-02-10,193.87,195.5,192.14,194.75,1894886.0,0.0,1.0,192.46963884016,194.08786502941,190.75213497059,193.34328242699,1894886.0
2015-02-09,195.93,196.47,193.78,194.11,859504.0,0.0,1.0,194.51475905479,195.05085852853,192.38028892787,192.70790527293,859504.0
2015-02-06,201.75,202.35,193.71,195.08,2347061.0,0.0,1.0,200.29272004953,200.88838613146,192.31079455165,193.67089877206,2347061.0
2015-02-05,202.18,203.5,200.91,203.22,1055366.0,0.0,1.0,200.71961407491,202.03007945516,199.45878753483,201.75210195026,1055366.0
2015-02-04,200.09,202.86,198.49,201.83,1716208.0,0.0,1.0,198.64471055619,201.3947023011,197.05626767103,200.37214219379,1716208.0
2015-02-03,197.64,200.14,197.0,200.09,2117447.0,0.0,1.0,196.2124073883,198.69434939635,195.57703023424,198.64471055619,2117447.0
2015-02-02,199.03,199.575,195.015,199.41,1615644.0,0.0,1.0,197.59236714477,198.13343050253,193.60636827985,197.96962233,1615644.0
2015-01-30,202.87,203.87,198.35,198.66,2182264.0,0.0,1.0,201.40463006914,202.39740687236,196.91727891858,197.22503972758,2182264.0
2015-01-29,203.97,205.05,202.93,204.76,1253105.0,0.0,1.0,202.49668455268,203.56888350015,201.46419667733,203.28097822722,1253105.0
2015-01-28,205.73,206.31,203.51,203.51,1610652.0,0.0,1.0,204.24397172634,204.81978227221,202.0400072232,202.0400072232,1610652.0
2015-01-26,202.63,205.27,202.1601,205.16,970247.0,0.0,1.0,201.16636363636,203.78729439686,200.69985781653,203.67808894851,970247.0
2015-01-23,204.62,204.91,202.52,203.11,1245092.0,0.0,1.0,203.14198947477,203.4298947477,201.05715818801,201.64289650191,1245092.0
2015-01-22,201.01,204.47,199.92,204.03,1432447.0,0.0,1.0,199.55806521515,202.99307295429,198.47593849964,202.55625116087,1432447.0
2015-01-21,198.45,200.55,198.03,200.22,1195953.0,0.0,1.0,197.01655659891,199.10138788567,196.59959034155,198.7737715406,1195953.0
