Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,56.1,56.55,55.45,55.96,4439176.0,0.0,1.0,56.1,56.55,55.45,55.96,4439176.0
2015-04-15,56.27,57.04,56.25,56.67,3268277.0,0.0,1.0,56.27,57.04,56.25,56.67,3268277.0
2015-04-14,55.97,56.2,55.23,55.77,2497460.0,0.0,1.0,55.97,56.2,55.23,55.77,2497460.0
2015-04-13,55.56,56.18,55.34,55.41,1901097.0,0.0,1.0,55.56,56.18,55.34,55.41,1901097.0
2015-04-10,54.58,55.99,54.56,55.58,3720184.0,0.0,1.0,54.58,55.99,54.56,55.58,3720184.0
2015-04-09,52.88,54.81,52.88,54.69,3376483.0,0.0,1.0,52.88,54.81,52.88,54.69,3376483.0
2015-04-08,53.84,54.3,53.07,53.31,3767332.0,0.0,1.0,53.84,54.3,53.07,53.31,3767332.0
2015-04-07,52.97,54.1,52.94,53.75,3312168.0,0.0,1.0,52.97,54.1,52.94,53.75,3312168.0
2015-04-06,52.05,53.0,52.0,52.74,2439295.0,0.0,1.0,52.05,53.0,52.0,52.74,2439295.0
2015-04-02,51.57,53.04,51.3225,52.45,3690820.0,0.0,1.0,51.57,53.04,51.3225,52.45,3690820.0
2015-04-01,52.05,52.325,51.05,51.79,3593456.0,0.0,1.0,52.05,52.325,51.05,51.79,3593456.0
2015-03-31,52.68,52.68,51.74,52.03,3737134.0,0.0,1.0,52.68,52.68,51.74,52.03,3737134.0
2015-03-30,53.23,53.35,52.53,53.08,2180628.0,0.0,1.0,53.23,53.35,52.53,53.08,2180628.0
2015-03-27,53.74,53.91,52.58,52.76,2891706.0,0.0,1.0,53.74,53.91,52.58,52.76,2891706.0
2015-03-26,52.5,54.26,52.12,53.525,4231995.0,0.0,1.0,52.5,54.26,52.12,53.525,4231995.0
2015-03-25,55.45,55.83,53.44,53.61,4308236.0,0.0,1.0,55.45,55.83,53.44,53.61,4308236.0
2015-03-24,55.54,56.121,55.255,55.325,2821249.0,0.0,1.0,55.54,56.121,55.255,55.325,2821249.0
2015-03-23,56.51,57.12,55.61,55.85,2638501.0,0.0,1.0,56.51,57.12,55.61,55.85,2638501.0
2015-03-20,56.16,56.7,55.7,56.51,4695532.0,0.0,1.0,56.16,56.7,55.7,56.51,4695532.0
2015-03-19,55.3,55.88,55.3,55.705,2420817.0,0.0,1.0,55.3,55.88,55.3,55.705,2420817.0
2015-03-18,54.65,55.75,53.89,55.3,4918209.0,0.0,1.0,54.65,55.75,53.89,55.3,4918209.0
2015-03-17,54.46,54.59,53.65,53.665,3271796.0,0.0,1.0,54.46,54.59,53.65,53.665,3271796.0
2015-03-16,54.8,54.98,53.97,54.84,4230652.0,0.0,1.0,54.8,54.98,53.97,54.84,4230652.0
2015-03-13,54.24,54.64,52.82,53.75,4015703.0,0.0,1.0,54.24,54.64,52.82,53.75,4015703.0
2015-03-12,52.81,55.13,52.55,54.535,5655790.0,0.0,1.0,52.81,55.13,52.55,54.535,5655790.0
2015-03-11,54.39,54.73,53.5,54.36,4559568.0,0.0,1.0,54.39,54.73,53.5,54.36,4559568.0
2015-03-10,56.67,56.8,54.17,54.41,6728398.0,0.0,1.0,56.67,56.8,54.17,54.41,6728398.0
2015-03-09,56.93,57.87,56.82,56.98,3283423.0,0.0,1.0,56.93,57.87,56.82,56.98,3283423.0
2015-03-06,58.11,58.49,56.75,56.9,3771724.0,0.0,1.0,58.11,58.49,56.75,56.9,3771724.0
2015-03-05,58.12,58.75,57.4,58.435,3474465.0,0.0,1.0,58.12,58.75,57.4,58.435,3474465.0
2015-03-04,58.48,58.4875,57.23,58.08,4165505.0,0.0,1.0,58.48,58.4875,57.23,58.08,4165505.0
2015-03-03,60.3,60.4934,57.81,58.82,6556271.0,0.0,1.0,60.3,60.4934,57.81,58.82,6556271.0
2015-03-02,61.21,63.39,61.02,61.56,4083604.0,0.0,1.0,61.21,63.39,61.02,61.56,4083604.0
2015-02-27,60.51,61.18,60.17,61.12,2743235.0,0.0,1.0,60.51,61.18,60.17,61.12,2743235.0
2015-02-26,60.14,60.87,60.13,60.68,2406039.0,0.0,1.0,60.14,60.87,60.13,60.68,2406039.0
2015-02-25,60.05,60.23,59.53,60.02,3269699.0,0.0,1.0,60.05,60.23,59.53,60.02,3269699.0
2015-02-24,61.73,61.87,60.0,60.7,3574930.0,0.0,1.0,61.73,61.87,60.0,60.7,3574930.0
2015-02-23,62.32,62.43,61.7,61.99,1541588.0,0.0,1.0,62.32,62.43,61.7,61.99,1541588.0
2015-02-20,61.43,62.2,60.87,62.18,1735093.0,0.0,1.0,61.43,62.2,60.87,62.18,1735093.0
2015-02-19,60.93,61.56,60.93,61.46,1287078.0,0.0,1.0,60.93,61.56,60.93,61.46,1287078.0
2015-02-18,61.06,61.37,60.44,61.18,2172392.0,0.0,1.0,61.06,61.37,60.44,61.18,2172392.0
2015-02-17,61.63,61.8,60.79,61.15,2311708.0,0.0,1.0,61.63,61.8,60.79,61.15,2311708.0
2015-02-13,61.83,62.61,61.49,61.835,2559530.0,0.0,1.0,61.83,62.61,61.49,61.835,2559530.0
2015-02-12,61.34,61.71,60.86,61.16,1828365.0,0.0,1.0,61.34,61.71,60.86,61.16,1828365.0
2015-02-11,60.27,61.12,59.93,60.8,3020713.0,0.0,1.0,60.27,61.12,59.93,60.8,3020713.0
2015-02-10,60.44,61.16,59.51,60.2,3416529.0,0.0,1.0,60.44,61.16,59.51,60.2,3416529.0
2015-02-09,59.52,60.75,59.0,60.4,3561925.0,0.0,1.0,59.52,60.75,59.0,60.4,3561925.0
2015-02-06,60.05,61.25,59.8,59.94,4210005.0,0.0,1.0,60.05,61.25,59.8,59.94,4210005.0
2015-02-05,60.12,60.7,59.79,60.41,2189466.0,0.0,1.0,60.12,60.7,59.79,60.41,2189466.0
2015-02-04,58.98,60.46,58.98,59.93,4049121.0,0.0,1.0,58.98,60.46,58.98,59.93,4049121.0
2015-02-03,57.91,59.38,57.86,59.25,4219128.0,0.0,1.0,57.392946428571,58.849821428571,57.343392857143,58.720982142857,4219128.0
2015-02-02,56.51,57.94,55.885,57.8,5007435.0,0.0,1.0,56.005446428571,57.422678571429,55.386026785714,57.283928571429,5007435.0
2015-01-30,58.27,58.69,56.31,56.44,5479260.0,0.0,1.0,57.749732142857,58.165982142857,55.807232142857,55.936071428571,5479260.0
2015-01-29,57.2,58.97,57.0,58.7,5037519.0,0.0,1.0,56.689285714286,58.443482142857,56.491071428571,58.175892857143,5037519.0
2015-01-28,58.08,58.77,57.48,57.53,7647398.0,0.0,1.0,57.561428571429,58.245267857143,56.966785714286,57.016339285714,7647398.0
2015-01-26,58.92,60.24,56.519,59.06,15319240.0,0.0,1.0,58.393928571429,59.702142857143,56.014366071429,58.532678571429,15319240.0
2015-01-23,64.15,64.42,63.47,63.98,2587894.0,0.0,1.0,63.577232142857,63.844821428571,62.903303571429,63.40875,2587894.0
2015-01-22,63.15,64.46,62.32,63.94,3563261.0,0.0,1.0,62.586160714286,63.884464285714,61.763571428571,63.369107142857,3563261.0
2015-01-21,62.71,63.65,62.4,63.29,1722236.0,0.0,1.0,62.150089285714,63.081696428571,61.842857142857,62.724910714286,1722236.0
2015-01-20,63.63,63.98,62.34,63.12,1771240.0,0.0,1.0,63.061875,63.40875,61.783392857143,62.556428571429,1771240.0
2015-01-15,64.61,64.96,62.1006,62.28,3552234.0,0.0,1.0,64.033125,64.38,61.546130357143,61.723928571429,3552234.0
2015-01-14,64.22,64.73,63.61,64.59,1765640.0,0.0,1.0,63.646607142857,64.152053571429,63.042053571429,64.013303571429,1765640.0
2015-01-13,65.69,66.91,64.13,64.75,2140529.0,0.0,1.0,65.103482142857,66.312589285714,63.557410714286,64.171875,2140529.0
2015-01-12,66.25,66.45,64.76,65.04,2088767.0,0.0,1.0,65.658482142857,65.856696428571,64.181785714286,64.459285714286,2088767.0
2015-01-08,65.0,66.17,64.51,65.43,3451149.0,0.0,1.0,64.419642857143,65.579196428571,63.934017857143,64.845803571429,3451149.0
2015-01-06,65.9,65.91,63.61,63.86,3382369.0,0.0,1.0,65.311607142857,65.321517857143,63.042053571429,63.289821428571,3382369.0
2015-01-05,65.86,66.5,65.19,65.67,2253887.0,0.0,1.0,65.271964285714,65.90625,64.607946428571,65.083660714286,2253887.0
2015-01-02,66.67,67.21,65.5,66.02,2363107.0,0.0,1.0,66.074732142857,66.609910714286,64.915178571429,65.430535714286,2363107.0
2014-12-31,67.57,67.75,66.38,66.5,1740227.0,0.0,1.0,66.966696428571,67.145089285714,65.787321428571,65.90625,1740227.0
2014-12-30,68.02,68.13,67.25,67.25,1708635.0,0.0,1.0,67.412678571429,67.521696428571,66.649553571429,66.649553571429,1708635.0
2014-12-26,68.8,68.99,68.5,68.76,729563.0,0.0,1.0,68.185714285714,68.374017857143,67.888392857143,68.146071428571,729563.0
2014-12-24,68.94,69.25,68.38,68.82,1178968.0,0.0,1.0,68.324464285714,68.631696428571,67.769464285714,68.205535714286,1178968.0
2014-12-23,69.14,69.4,68.46,68.65,1465023.0,0.0,1.0,68.522678571429,68.780357142857,67.84875,68.037053571429,1465023.0
2014-12-22,68.2,68.75,68.008,68.63,1638997.0,0.0,1.0,67.591071428571,68.136160714286,67.400785714286,68.017232142857,1638997.0
2014-12-19,67.55,69.32,67.55,68.4,4466691.0,0.0,1.0,66.946875,68.701071428571,66.946875,67.789285714286,4466691.0
2014-12-18,66.17,67.61,65.99,67.61,3157059.0,0.0,1.0,65.579196428571,67.006339285714,65.400803571429,67.006339285714,3157059.0
2014-12-17,63.29,65.17,63.23,65.01,2504555.0,0.0,1.0,62.724910714286,64.588125,62.665446428571,64.429553571429,2504555.0
2014-12-16,63.4,64.94,62.87,63.27,1927772.0,0.0,1.0,62.833928571429,64.360178571429,62.308660714286,62.705089285714,1927772.0
2014-12-15,64.68,64.85,63.14,63.71,2088335.0,0.0,1.0,64.1025,64.270982142857,62.57625,63.141160714286,2088335.0
2014-12-10,65.56,66.07,65.1,65.22,2247896.0,0.0,1.0,64.974642857143,65.480089285714,64.51875,64.637678571429,2247896.0
2014-12-09,65.22,66.23,64.6,65.76,3052953.0,0.0,1.0,64.637678571429,65.638660714286,64.023214285714,65.172857142857,3052953.0
2014-12-05,66.54,66.6,65.5,66.4,2716763.0,0.0,1.0,65.945892857143,66.005357142857,64.915178571429,65.807142857143,2716763.0
2014-12-04,66.9,67.1608,65.85,66.09,2160180.0,0.0,1.0,66.302678571429,66.56115,65.262053571429,65.499910714286,2160180.0
2014-12-02,66.33,67.87,65.7,67.54,3076841.0,0.0,1.0,65.737767857143,67.264017857143,65.113392857143,66.936964285714,3076841.0
2014-12-01,65.81,66.49,65.22,65.945,2566497.0,0.0,1.0,65.222410714286,65.896339285714,64.637678571429,65.356205357143,2566497.0
2014-11-28,66.51,66.68,65.66,66.11,1183768.0,0.0,1.0,65.916160714286,66.084642857143,65.07375,65.519732142857,1183768.0
2014-11-26,66.07,66.28,65.31,65.85,1670277.0,0.0,1.0,65.480089285714,65.688214285714,64.726875,65.262053571429,1670277.0
2014-11-25,66.02,66.475,65.66,65.99,2256346.0,0.0,1.0,65.430535714286,65.881473214286,65.07375,65.400803571429,2256346.0
2014-11-24,65.33,66.43,65.05,66.03,1976640.0,0.0,1.0,64.746696428571,65.836875,64.469196428571,65.440446428571,1976640.0
2014-11-21,66.52,66.52,64.74,64.94,4173085.0,0.0,1.0,65.926071428571,65.926071428571,64.161964285714,64.360178571429,4173085.0
2014-11-20,64.3,65.55,64.11,65.54,2267710.0,0.0,1.0,63.725892857143,64.964732142857,63.537589285714,64.954821428571,2267710.0
2014-11-19,64.43,64.72,63.81,64.62,2030315.0,0.0,1.0,63.854732142857,64.142142857143,63.240267857143,64.043035714286,2030315.0
2014-11-18,64.13,65.0,64.04,64.65,2831986.0,0.0,1.0,63.557410714286,64.419642857143,63.468214285714,64.072767857143,2831986.0
2014-11-17,62.57,64.32,62.35,63.99,3384009.0,0.0,1.0,62.011339285714,63.745714285714,61.793303571429,63.418660714286,3384009.0
2014-11-14,62.0,63.04,61.94,62.87,1738933.0,0.0,1.0,61.446428571429,62.477142857143,61.386964285714,62.308660714286,1738933.0
2014-11-13,62.32,62.61,61.67,62.11,1251531.0,0.0,1.0,61.763571428571,62.050982142857,61.119375,61.555446428571,1251531.0
2014-11-12,61.75,62.59,61.58,62.32,1884198.0,0.0,1.0,61.198660714286,62.031160714286,61.030178571429,61.763571428571,1884198.0
2014-11-11,61.97,61.99,61.44,61.81,1843137.0,0.0,1.0,61.416696428571,61.436517857143,60.891428571429,61.258125,1843137.0
2014-11-10,61.62,62.025,61.5,61.77,2188823.0,0.0,1.0,61.069821428571,61.471205357143,60.950892857143,61.218482142857,2188823.0
2014-11-07,62.81,62.92,61.21,61.56,3931259.0,0.0,1.0,62.249196428571,62.358214285714,60.663482142857,61.010357142857,3931259.0
2014-11-06,63.37,63.58,62.19,62.53,3823988.0,0.54,1.0,62.804196428571,63.012321428571,61.634732142857,61.971696428571,3823988.0
2014-11-04,63.77,65.0,63.77,63.89,4674308.0,0.0,1.0,62.65950659981,63.868087329271,62.65950659981,62.777416914879,4674308.0
2014-11-03,62.93,64.88,62.71,64.17,4930197.0,0.0,1.0,61.834134394324,63.750177014202,61.617965483363,63.052540983374,4930197.0
2014-10-31,61.17,62.855,61.0,62.83,5865133.0,0.0,1.0,60.104783106639,61.760440447405,59.937743493624,61.735875798433,5865133.0
2014-10-30,58.94,60.47,58.9,60.15,3157426.0,0.0,1.0,57.913616418265,59.416972935401,57.874312979909,59.102545428549,3157426.0
2014-10-29,59.56,60.62,59.17,60.23,2946017.0,0.0,1.0,58.522819712791,59.564360829237,58.139611188815,59.181152305262,2946017.0
2014-10-28,58.27,59.6581,58.27,59.47,3037720.0,0.0,1.0,57.255283825794,58.61921139536,57.255283825794,58.434386976489,3037720.0
2014-10-27,57.7,59.48,57.2,58.74,3229012.0,0.0,1.0,56.695209829215,58.444212836078,56.203916849759,57.717099226483,3229012.0
2014-10-24,56.74,58.56,56.36,58.36,4449769.0,0.0,1.0,55.751927308659,57.540233753879,55.378544644273,57.343716562097,4449769.0
2014-10-23,55.75,56.76,55.47,56.515,3608820.0,0.0,1.0,54.779167209337,55.771579027838,54.504043140841,55.530845467904,3608820.0
2014-10-22,55.28,55.55,54.17,54.275,1875856.0,0.0,1.0,54.317351808648,54.582650017554,53.226681394256,53.329852919942,1875856.0
2014-10-21,54.39,55.28,54.06,55.21,2052779.0,0.0,1.0,53.442850305216,54.317351808648,53.118596938776,54.248570791524,2052779.0
2014-10-20,52.45,53.9,52.41,53.85,2282515.0,0.0,1.0,51.536633544927,52.96138318535,51.497330106571,52.912253887404,2282515.0
2014-10-17,52.86,53.61,52.54,52.95,2007906.0,0.0,1.0,51.939493788081,52.676433257265,51.625066281229,52.027926524383,2007906.0
2014-10-15,51.42,52.75,50.44,51.96,5434653.0,0.0,1.0,50.524570007248,51.831409332601,49.561635767515,51.055166425061,5434653.0
2014-10-14,53.49,53.81,52.3972,52.56,3593312.0,0.0,1.0,52.558522942196,52.872950449048,51.484753006297,51.644718000408,3593312.0
2014-10-13,53.78,54.51,52.77,52.98,4553307.0,0.0,1.0,52.84347287028,53.560760620286,51.851061051779,52.057404103151,4553307.0
2014-10-10,56.34,56.83,54.9,54.94,4434276.0,0.0,1.0,55.358892925095,55.840360044961,53.943969144261,53.983272582618,4434276.0
2014-10-09,56.77,57.44,56.08,56.23,3295393.0,0.0,1.0,55.781404887427,56.439737479898,55.103420575777,55.250808469614,3295393.0
2014-10-08,55.25,57.12,54.38,57.06,3924639.0,0.0,1.0,54.287874229881,56.125309973046,53.433024445627,56.066354815511,3924639.0
2014-10-07,55.73,56.36,55.21,55.25,2714582.0,0.0,1.0,54.759515490158,55.378544644273,54.248570791524,54.287874229881,2714582.0
2014-10-06,56.45,56.9,55.69,56.16,2817638.0,0.0,1.0,55.466977380575,55.909141062085,54.720212051802,55.18202745249,2817638.0
2014-10-03,55.91,56.73,55.65,56.08,2385847.0,0.0,1.0,54.936380962762,55.74210144907,54.680908613445,55.103420575777,2385847.0
2014-10-02,55.19,55.76,54.38,55.52,2311623.0,0.0,1.0,54.228919072346,54.788993068926,53.433024445627,54.553172438787,2311623.0
2014-10-01,57.06,57.25,54.83,55.08,3995296.0,0.0,1.0,56.066354815511,56.253046147704,53.875188127138,54.120834616866,3995296.0
2014-09-30,57.21,57.79,56.735,57.27,2280762.0,0.0,1.0,56.213742709348,56.783642565517,55.747014378865,56.272697866883,2280762.0
2014-09-29,56.23,57.31,55.78,57.25,2118609.0,0.0,1.0,55.250808469614,56.312001305239,54.808644788104,56.253046147704,2118609.0
2014-09-26,56.32,57.14,56.18,56.77,1584542.0,0.0,1.0,55.339241205916,56.144961692224,55.201679171669,55.781404887427,1584542.0
2014-09-25,57.35,57.51,55.96,56.255,2484932.0,0.0,1.0,56.351304743596,56.508518497021,54.985510260708,55.275373118587,2484932.0
2014-09-24,57.0,57.61,56.45,57.44,2202175.0,0.0,1.0,56.007399657976,56.606777092913,55.466977380575,56.439737479898,2202175.0
2014-09-23,57.58,57.76,56.74,56.79,2643225.0,0.0,1.0,56.577299514145,56.754164986749,55.751927308659,55.801056606605,2643225.0
2014-09-22,57.9,58.44,57.285,57.6,2418324.0,0.0,1.0,56.891727020997,57.422323438809,56.287436656266,56.596951233324,2418324.0
2014-09-19,59.9,59.95,58.29,58.31,4645990.0,0.0,1.0,58.856898938821,58.906028236766,57.274935544973,57.294587264151,4645990.0
2014-09-18,59.01,59.975,58.91,59.79,2948694.0,0.0,1.0,57.982397435389,58.930592885739,57.884138839498,58.748814483341,2948694.0
2014-09-17,59.16,59.42,58.22,58.98,4073284.0,0.0,1.0,58.129785329226,58.385257678543,57.206154527849,57.952919856622,4073284.0
2014-09-16,58.68,59.61,57.86,59.245,4133545.0,0.0,1.0,57.658144068948,58.571949010736,56.852423582641,58.213305135734,4133545.0
2014-09-15,61.15,61.2485,58.79,58.84,3870885.0,0.0,1.0,60.085131387461,60.181916104413,57.766228524429,57.815357822374,3870885.0
2014-09-12,61.36,61.7,59.92,61.01,4195880.0,0.0,1.0,60.291474438832,60.625553664862,58.876550657999,59.947569353213,4195880.0
2014-09-11,61.07,61.3,59.92,60.87,2459961.0,0.0,1.0,60.006524510748,60.232519281297,58.876550657999,59.810007318965,2459961.0
2014-09-10,61.0,62.71,60.64,61.26,1430994.0,0.0,1.0,59.937743493624,61.617965483363,59.584012548416,60.193215842941,1430994.0
