Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,117.54,118.24,117.08,117.36,634987.0,0.0,1.0,117.54,118.24,117.08,117.36,634987.0
2015-04-15,118.19,118.6725,117.25,117.52,711812.0,0.0,1.0,118.19,118.6725,117.25,117.52,711812.0
2015-04-14,118.99,119.42,117.7,118.02,1057984.0,0.0,1.0,118.99,119.42,117.7,118.02,1057984.0
2015-04-13,121.8,121.92,119.811,119.92,929647.0,0.0,1.0,121.8,121.92,119.811,119.92,929647.0
2015-04-10,120.88,121.79,119.42,121.7,1456714.0,0.0,1.0,120.88,121.79,119.42,121.7,1456714.0
2015-04-09,119.19,121.88,118.5,120.06,1938491.0,0.0,1.0,119.19,121.88,118.5,120.06,1938491.0
2015-04-08,118.66,119.85,118.47,119.17,1469342.0,0.0,1.0,118.66,119.85,118.47,119.17,1469342.0
2015-04-07,119.38,119.74,118.14,118.27,907404.0,0.0,1.0,119.38,119.74,118.14,118.27,907404.0
2015-04-06,117.47,120.24,117.44,119.38,1434752.0,0.0,1.0,117.47,120.24,117.44,119.38,1434752.0
2015-04-02,116.56,118.06,115.93,117.75,966248.0,0.0,1.0,116.56,118.06,115.93,117.75,966248.0
2015-04-01,116.14,116.37,114.75,116.22,1332318.0,0.0,1.0,116.14,116.37,114.75,116.22,1332318.0
2015-03-31,116.4,116.97,115.47,116.21,1153297.0,0.0,1.0,116.4,116.97,115.47,116.21,1153297.0
2015-03-30,115.15,117.43,114.57,116.93,990479.0,0.0,1.0,115.15,117.43,114.57,116.93,990479.0
2015-03-27,114.74,115.2,114.25,114.48,1009690.0,0.0,1.0,114.74,115.2,114.25,114.48,1009690.0
2015-03-26,114.81,115.74,114.08,114.81,630998.0,0.0,1.0,114.81,115.74,114.08,114.81,630998.0
2015-03-25,118.38,118.46,115.09,115.4,1001730.0,0.0,1.0,118.38,118.46,115.09,115.4,1001730.0
2015-03-24,117.05,118.43,116.6,117.87,904196.0,0.0,1.0,117.05,118.43,116.6,117.87,904196.0
2015-03-23,118.05,118.19,116.97,117.0,687612.0,0.0,1.0,118.05,118.19,116.97,117.0,687612.0
2015-03-20,116.24,118.4,116.01,118.25,1509366.0,0.0,1.0,116.24,118.4,116.01,118.25,1509366.0
2015-03-19,117.0,117.01,115.54,116.04,615338.0,0.0,1.0,117.0,117.01,115.54,116.04,615338.0
2015-03-18,115.42,117.875,114.6,117.24,1258895.0,0.0,1.0,115.42,117.875,114.6,117.24,1258895.0
2015-03-17,116.63,117.3,114.78,115.49,773726.0,0.0,1.0,116.63,117.3,114.78,115.49,773726.0
2015-03-16,116.49,118.5,116.23,117.38,1261786.0,0.0,1.0,116.49,118.5,116.23,117.38,1261786.0
2015-03-13,117.76,117.99,115.85,116.44,915559.0,0.0,1.0,117.76,117.99,115.85,116.44,915559.0
2015-03-12,115.99,118.15,115.7205,117.99,1272021.0,0.0,1.0,115.99,118.15,115.7205,117.99,1272021.0
2015-03-11,114.59,116.194,114.17,115.61,1044471.0,0.0,1.0,114.59,116.194,114.17,115.61,1044471.0
2015-03-10,114.07,115.15,113.55,114.56,1146424.0,0.0,1.0,114.07,115.15,113.55,114.56,1146424.0
2015-03-09,111.85,115.36,111.54,115.23,1607456.0,0.0,1.0,111.85,115.36,111.54,115.23,1607456.0
2015-03-06,112.55,112.74,110.45,110.91,1154114.0,0.0,1.0,112.55,112.74,110.45,110.91,1154114.0
2015-03-05,114.57,115.07,113.4,113.82,571843.0,0.0,1.0,114.57,115.07,113.4,113.82,571843.0
2015-03-04,115.07,115.36,114.37,114.43,512566.0,0.0,1.0,115.07,115.36,114.37,114.43,512566.0
2015-03-03,115.85,115.96,114.69,115.15,740114.0,0.0,1.0,115.85,115.96,114.69,115.15,740114.0
2015-03-02,114.43,115.99,114.08,115.98,668420.0,0.0,1.0,114.43,115.99,114.08,115.98,668420.0
2015-02-27,116.05,116.29,114.41,114.72,718957.0,0.0,1.0,116.05,116.29,114.41,114.72,718957.0
2015-02-26,114.14,115.95,114.05,115.78,614933.0,0.0,1.0,114.14,115.95,114.05,115.78,614933.0
2015-02-25,115.95,116.045,113.59,114.14,1154476.0,0.0,1.0,115.95,116.045,113.59,114.14,1154476.0
2015-02-24,115.15,116.23,115.02,115.71,1150518.0,0.0,1.0,115.15,116.23,115.02,115.71,1150518.0
2015-02-23,115.33,115.77,114.81,114.95,859868.0,0.0,1.0,115.33,115.77,114.81,114.95,859868.0
2015-02-20,114.55,115.98,113.8101,115.75,1007470.0,0.0,1.0,114.55,115.98,113.8101,115.75,1007470.0
2015-02-19,114.55,115.01,114.24,114.78,583467.0,0.0,1.0,114.55,115.01,114.24,114.78,583467.0
2015-02-18,113.94,114.811,113.29,114.68,636367.0,0.0,1.0,113.94,114.811,113.29,114.68,636367.0
2015-02-17,112.95,114.35,112.51,114.13,727793.0,0.0,1.0,112.95,114.35,112.51,114.13,727793.0
2015-02-13,113.3,113.48,112.2,113.03,677348.0,0.0,1.0,113.3,113.48,112.2,113.03,677348.0
2015-02-12,113.37,114.45,112.89,113.51,967196.0,0.0,1.0,113.37,114.45,112.89,113.51,967196.0
2015-02-11,113.43,114.19,112.07,113.53,823153.0,0.0,1.0,113.43,114.19,112.07,113.53,823153.0
2015-02-10,112.38,113.74,112.26,113.4,867139.0,0.0,1.0,112.38,113.74,112.26,113.4,867139.0
2015-02-09,112.24,112.6,111.49,111.86,946683.0,0.0,1.0,112.24,112.6,111.49,111.86,946683.0
2015-02-06,112.33,113.586,111.5,112.91,1122136.0,0.0,1.0,112.33,113.586,111.5,112.91,1122136.0
2015-02-05,112.5,112.96,112.0,112.66,810803.0,0.0,1.0,112.5,112.96,112.0,112.66,810803.0
2015-02-04,111.12,113.11,110.75,112.06,1355591.0,0.0,1.0,111.12,113.11,110.75,112.06,1355591.0
2015-02-03,111.79,111.8,110.24,111.32,1038304.0,0.0,1.0,111.79,111.8,110.24,111.32,1038304.0
2015-02-02,110.33,111.36,109.47,111.3,842912.0,0.0,1.0,110.33,111.36,109.47,111.3,842912.0
2015-01-30,110.72,111.49,110.0,110.45,1057328.0,0.0,1.0,110.72,111.49,110.0,110.45,1057328.0
2015-01-29,110.96,111.87,110.15,111.78,1166632.0,0.0,1.0,110.96,111.87,110.15,111.78,1166632.0
2015-01-28,111.5,112.39,110.19,110.29,767677.0,0.0,1.0,111.5,112.39,110.19,110.29,767677.0
2015-01-26,110.4,111.86,109.9001,111.72,921695.0,0.0,1.0,110.4,111.86,109.9001,111.72,921695.0
2015-01-23,111.0,111.21,110.14,110.61,860996.0,0.0,1.0,111.0,111.21,110.14,110.61,860996.0
2015-01-22,111.19,111.5,109.595,111.4,2453682.0,0.0,1.0,111.19,111.5,109.595,111.4,2453682.0
2015-01-21,110.44,111.25,109.91,110.53,2219726.0,0.0,1.0,110.44,111.25,109.91,110.53,2219726.0
2015-01-20,111.81,112.0,110.52,111.0,1288455.0,0.0,1.0,111.81,112.0,110.52,111.0,1288455.0
2015-01-15,108.75,109.38,107.7,108.18,1055000.0,0.0,1.0,108.75,109.38,107.7,108.18,1055000.0
2015-01-14,105.3,108.49,105.21,108.43,2000323.0,0.0,1.0,105.3,108.49,105.21,108.43,2000323.0
2015-01-13,108.1,108.57,105.2958,106.3,1622426.0,0.0,1.0,108.1,108.57,105.2958,106.3,1622426.0
2015-01-12,107.54,108.52,106.53,106.97,1248336.0,0.0,1.0,107.54,108.52,106.53,106.97,1248336.0
2015-01-08,108.39,109.24,106.59,107.64,3613686.0,0.0,1.0,108.39,109.24,106.59,107.64,3613686.0
2015-01-06,101.59,105.35,99.22,100.46,3278604.0,0.0,1.0,101.59,105.35,99.22,100.46,3278604.0
2015-01-05,97.37,100.25,96.59,99.82,2420773.0,0.0,1.0,97.37,100.25,96.59,99.82,2420773.0
2015-01-02,98.58,98.86,96.53,97.5,1994424.0,0.0,1.0,98.58,98.86,96.53,97.5,1994424.0
2014-12-31,99.24,99.25,98.1,98.17,1041638.0,0.0,1.0,99.24,99.25,98.1,98.17,1041638.0
2014-12-30,99.17,99.43,98.38,98.84,909023.0,0.0,1.0,99.17,99.43,98.38,98.84,909023.0
2014-12-26,100.01,100.64,99.31,99.94,660461.0,0.0,1.0,100.01,100.64,99.31,99.94,660461.0
2014-12-24,99.53,100.77,99.37,100.09,749429.0,0.0,1.0,99.53,100.77,99.37,100.09,749429.0
2014-12-23,97.39,99.26,96.82,99.14,1774616.0,0.0,1.0,97.39,99.26,96.82,99.14,1774616.0
2014-12-22,96.13,96.9,95.42,96.9,1000647.0,0.0,1.0,96.13,96.9,95.42,96.9,1000647.0
2014-12-19,95.61,95.81,94.59,94.8,1633565.0,0.0,1.0,95.61,95.81,94.59,94.8,1633565.0
2014-12-18,94.11,95.41,93.89,95.41,1214033.0,0.0,1.0,94.11,95.41,93.89,95.41,1214033.0
2014-12-17,89.77,93.54,89.34,93.16,1568749.0,0.0,1.0,89.77,93.54,89.34,93.16,1568749.0
2014-12-16,89.63,91.75,89.48,89.7,1008823.0,0.0,1.0,89.63,91.75,89.48,89.7,1008823.0
2014-12-15,91.29,92.51,89.6,90.38,1121856.0,0.0,1.0,91.29,92.51,89.6,90.38,1121856.0
2014-12-10,93.49,93.77,92.31,92.46,967665.0,0.0,1.0,93.49,93.77,92.31,92.46,967665.0
2014-12-09,93.83,94.13,92.51,93.45,997874.0,0.0,1.0,93.83,94.13,92.51,93.45,997874.0
2014-12-05,94.19,95.218,93.88,95.09,704944.0,0.0,1.0,94.19,95.218,93.88,95.09,704944.0
2014-12-04,93.83,94.525,93.69,94.18,655389.0,0.0,1.0,93.83,94.525,93.69,94.18,655389.0
2014-12-02,94.85,95.15,94.25,94.52,844951.0,0.0,1.0,94.85,95.15,94.25,94.52,844951.0
2014-12-01,95.82,96.1999,94.7,94.73,922025.0,0.0,1.0,95.82,96.1999,94.7,94.73,922025.0
2014-11-28,95.24,96.6,95.165,96.4,456059.0,0.0,1.0,95.24,96.6,95.165,96.4,456059.0
2014-11-26,94.19,94.81,93.72,94.76,677096.0,0.0,1.0,94.19,94.81,93.72,94.76,677096.0
2014-11-25,94.3,94.67,93.2,94.13,1149084.0,0.0,1.0,94.3,94.67,93.2,94.13,1149084.0
2014-11-24,94.18,94.84,93.98,94.23,893521.0,0.0,1.0,94.18,94.84,93.98,94.23,893521.0
2014-11-21,94.87,95.22,93.68,93.76,1252485.0,0.0,1.0,94.87,95.22,93.68,93.76,1252485.0
2014-11-20,93.77,94.42,93.42,93.88,702428.0,0.0,1.0,93.77,94.42,93.42,93.88,702428.0
2014-11-19,93.71,94.34,93.48,94.3,730643.0,0.0,1.0,93.71,94.34,93.48,94.3,730643.0
2014-11-18,93.87,94.26,93.38,93.78,904016.0,0.0,1.0,93.87,94.26,93.38,93.78,904016.0
2014-11-17,92.5,94.28,92.5,94.26,623058.0,0.0,1.0,92.5,94.28,92.5,94.26,623058.0
2014-11-14,93.13,93.28,92.39,92.88,822747.0,0.0,1.0,93.13,93.28,92.39,92.88,822747.0
2014-11-13,94.2,94.69,92.87,93.37,950354.0,0.0,1.0,94.2,94.69,92.87,93.37,950354.0
2014-11-12,93.36,95.09,92.92,94.02,1456143.0,0.0,1.0,93.36,95.09,92.92,94.02,1456143.0
2014-11-11,93.87,94.62,93.4,93.84,693476.0,0.0,1.0,93.87,94.62,93.4,93.84,693476.0
2014-11-10,93.49,93.89,92.92,93.87,724857.0,0.0,1.0,93.49,93.89,92.92,93.87,724857.0
2014-11-07,93.56,93.69,93.05,93.56,867611.0,0.0,1.0,93.56,93.69,93.05,93.56,867611.0
2014-11-06,92.71,93.57,92.35,93.53,777705.0,0.0,1.0,92.71,93.57,92.35,93.53,777705.0
2014-11-04,91.95,92.73,91.84,92.35,981489.0,0.0,1.0,91.95,92.73,91.84,92.35,981489.0
2014-11-03,91.86,92.6,91.62,91.94,1037092.0,0.0,1.0,91.86,92.6,91.62,91.94,1037092.0
2014-10-31,90.54,91.6,90.101,91.54,1225099.0,0.0,1.0,90.54,91.6,90.101,91.54,1225099.0
2014-10-30,89.03,89.62,88.75,89.41,595435.0,0.0,1.0,89.03,89.62,88.75,89.41,595435.0
2014-10-29,90.11,90.77,88.54,89.17,1232728.0,0.0,1.0,90.11,90.77,88.54,89.17,1232728.0
2014-10-28,88.52,90.105,88.44,89.85,1316906.0,0.0,1.0,88.52,90.105,88.44,89.85,1316906.0
2014-10-27,88.14,89.4,88.13,88.29,1133099.0,0.0,1.0,88.14,89.4,88.13,88.29,1133099.0
2014-10-24,87.44,88.3775,87.11,88.28,935251.0,0.0,1.0,87.44,88.3775,87.11,88.28,935251.0
2014-10-23,87.41,87.95,86.95,87.2,1055064.0,0.0,1.0,87.41,87.95,86.95,87.2,1055064.0
2014-10-22,86.76,87.39,86.54,86.91,1000143.0,0.0,1.0,86.76,87.39,86.54,86.91,1000143.0
2014-10-21,85.16,86.66,84.9,86.66,1304372.0,0.0,1.0,85.16,86.66,84.9,86.66,1304372.0
2014-10-20,84.62,85.16,84.08,85.07,1147973.0,0.0,1.0,84.62,85.16,84.08,85.07,1147973.0
2014-10-17,82.8,84.43,82.65,84.05,1471257.0,0.0,1.0,82.8,84.43,82.65,84.05,1471257.0
2014-10-16,81.375,82.86,80.7,82.08,1966417.0,0.0,1.0,81.375,82.86,80.7,82.08,1966417.0
2014-10-15,82.91,84.16,80.8,83.05,2317982.0,0.0,1.0,82.91,84.16,80.8,83.05,2317982.0
2014-10-14,84.31,84.85,83.74,84.36,1034059.0,0.0,1.0,84.31,84.85,83.74,84.36,1034059.0
2014-10-13,85.53,85.78,84.19,84.24,1201059.0,0.0,1.0,85.53,85.78,84.19,84.24,1201059.0
2014-10-10,86.56,86.83,85.37,85.83,2155631.0,0.0,1.0,86.56,86.83,85.37,85.83,2155631.0
2014-10-09,87.43,87.73,86.29,86.38,2737205.0,0.0,1.0,87.43,87.73,86.29,86.38,2737205.0
2014-10-08,85.23,87.82,85.13,87.7,2171818.0,0.0,1.0,85.23,87.82,85.13,87.7,2171818.0
2014-10-07,86.13,86.59,85.02,85.02,1201774.0,0.0,1.0,86.13,86.59,85.02,85.02,1201774.0
2014-10-06,86.92,87.38,85.77,86.38,1821645.0,0.0,1.0,86.92,87.38,85.77,86.38,1821645.0
2014-10-03,84.8,87.03,84.79,86.91,2145311.0,0.0,1.0,84.8,87.03,84.79,86.91,2145311.0
2014-10-01,86.67,86.825,84.22,85.26,2689831.0,0.0,1.0,86.67,86.825,84.22,85.26,2689831.0
2014-09-30,86.46,87.37,85.41,87.16,1216808.0,0.0,1.0,86.46,87.37,85.41,87.16,1216808.0
2014-09-29,85.68,86.55,85.5,86.35,1042663.0,0.0,1.0,85.68,86.55,85.5,86.35,1042663.0
2014-09-26,86.72,87.04,85.91,86.5,1357773.0,0.0,1.0,86.72,87.04,85.91,86.5,1357773.0
2014-09-25,87.74,88.08,86.76,86.76,852652.0,0.0,1.0,87.74,88.08,86.76,86.76,852652.0
2014-09-24,86.34,88.3,86.1,87.96,1283504.0,0.0,1.0,86.34,88.3,86.1,87.96,1283504.0
2014-09-23,87.11,87.39,86.11,86.41,789676.0,0.0,1.0,87.11,87.39,86.11,86.41,789676.0
2014-09-22,87.76,88.43,87.19,87.4,669794.0,0.0,1.0,87.76,88.43,87.19,87.4,669794.0
2014-09-19,88.11,88.31,87.43,87.98,1035760.0,0.0,1.0,88.11,88.31,87.43,87.98,1035760.0
2014-09-18,87.44,87.88,87.15,87.78,458485.0,0.0,1.0,87.44,87.88,87.15,87.78,458485.0
2014-09-17,87.24,87.63,86.74,87.15,717682.0,0.0,1.0,87.24,87.63,86.74,87.15,717682.0
2014-09-16,86.57,87.485,86.28,87.14,1323508.0,0.0,1.0,86.57,87.485,86.28,87.14,1323508.0
2014-09-15,85.94,87.15,86.0,86.95,1141032.0,0.0,1.0,85.94,87.15,86.0,86.95,1141032.0
2014-09-12,86.46,86.65,85.76,85.9,446916.0,0.0,1.0,86.46,86.65,85.76,85.9,446916.0
2014-09-11,86.05,86.48,85.5,86.41,748573.0,0.0,1.0,86.05,86.48,85.5,86.41,748573.0
2014-09-10,85.23,86.3,84.8,86.19,591161.0,0.0,1.0,85.23,86.3,84.8,86.19,591161.0
2014-09-09,85.82,86.41,84.945,85.16,1098056.0,0.0,1.0,85.82,86.41,84.945,85.16,1098056.0
2014-09-08,86.72,86.8612,85.81,86.41,872910.0,0.0,1.0,86.72,86.8612,85.81,86.41,872910.0
2014-09-05,86.32,86.9,86.02,86.86,811258.0,0.0,1.0,86.32,86.9,86.02,86.86,811258.0
2014-09-04,86.78,87.48,86.43,87.07,1035378.0,0.0,1.0,86.78,87.48,86.43,87.07,1035378.0
2014-09-03,87.835,88.32,86.84,86.85,1109594.0,0.0,1.0,87.835,88.32,86.84,86.85,1109594.0
2014-09-02,87.23,88.5,87.13,87.8,1072415.0,0.0,1.0,87.23,88.5,87.13,87.8,1072415.0
2014-08-29,87.13,87.19,86.16,87.09,531306.0,0.0,1.0,87.13,87.19,86.16,87.09,531306.0
2014-08-28,87.12,87.3,86.67,87.08,441412.0,0.0,1.0,87.12,87.3,86.67,87.08,441412.0
2014-08-27,87.5,87.73,87.12,87.29,420305.0,0.0,1.0,87.5,87.73,87.12,87.29,420305.0
2014-08-26,87.55,87.84,87.0,87.23,498775.0,0.0,1.0,87.55,87.84,87.0,87.23,498775.0
2014-08-25,87.06,87.29,85.85,87.24,1059592.0,0.0,1.0,87.06,87.29,85.85,87.24,1059592.0
2014-08-22,87.36,87.52,86.78,87.23,495518.0,0.0,1.0,87.36,87.52,86.78,87.23,495518.0
2014-08-21,87.63,87.9,87.35,87.46,501947.0,0.0,1.0,87.63,87.9,87.35,87.46,501947.0
