Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,76.74,77.28,76.7,76.91,1580438.0,0.0,1.0,76.74,77.28,76.7,76.91,1580438.0
2015-04-15,77.27,77.48,76.73,76.88,1004513.0,0.0,1.0,77.27,77.48,76.73,76.88,1004513.0
2015-04-14,76.69,77.06,76.35,76.96,1690840.0,0.0,1.0,76.69,77.06,76.35,76.96,1690840.0
2015-04-13,77.99,78.03,76.63,76.63,1955322.0,0.0,1.0,77.99,78.03,76.63,76.63,1955322.0
2015-04-10,78.01,78.22,77.37,77.9,2123057.0,0.0,1.0,78.01,78.22,77.37,77.9,2123057.0
2015-04-09,78.66,79.18,77.61,77.92,2600777.0,0.0,1.0,78.66,79.18,77.61,77.92,2600777.0
2015-04-08,78.16,78.81,77.3,78.67,2376339.0,0.0,1.0,78.16,78.81,77.3,78.67,2376339.0
2015-04-07,76.15,78.365,76.15,78.24,2832439.0,0.0,1.0,76.15,78.365,76.15,78.24,2832439.0
2015-04-06,74.94,76.7,74.88,76.16,1805018.0,0.0,1.0,74.94,76.7,74.88,76.16,1805018.0
2015-04-02,74.58,75.49,74.31,75.4,1189649.0,0.0,1.0,74.58,75.49,74.31,75.4,1189649.0
2015-04-01,74.02,74.55,73.44,74.51,1561400.0,0.0,1.0,74.02,74.55,73.44,74.51,1561400.0
2015-03-31,74.4,75.04,73.7,74.45,1721124.0,0.0,1.0,74.4,75.04,73.7,74.45,1721124.0
2015-03-30,73.53,75.0,73.06,74.73,1178168.0,0.0,1.0,73.53,75.0,73.06,74.73,1178168.0
2015-03-27,72.05,73.56,71.93,73.26,2236999.0,0.0,1.0,72.05,73.56,71.93,73.26,2236999.0
2015-03-26,72.04,72.395,71.49,72.19,1204056.0,0.0,1.0,72.04,72.395,71.49,72.19,1204056.0
2015-03-25,73.17,73.17,71.88,72.0,2558256.0,0.0,1.0,73.17,73.17,71.88,72.0,2558256.0
2015-03-24,73.81,73.98,73.0,73.04,1256611.0,0.0,1.0,73.81,73.98,73.0,73.04,1256611.0
2015-03-23,74.85,74.87,73.71,73.74,1193220.0,0.0,1.0,74.85,74.87,73.71,73.74,1193220.0
2015-03-20,73.45,75.025,73.18,74.57,1359273.0,0.0,1.0,73.45,75.025,73.18,74.57,1359273.0
2015-03-19,74.03,74.136,72.77,73.15,1126046.0,0.0,1.0,74.03,74.136,72.77,73.15,1126046.0
2015-03-18,73.77,75.03,72.29,74.14,1759488.0,0.0,1.0,73.77,75.03,72.29,74.14,1759488.0
2015-03-17,74.85,75.05,73.62,73.81,1404369.0,0.0,1.0,74.85,75.05,73.62,73.81,1404369.0
2015-03-16,75.26,75.88,74.99,75.34,1562456.0,0.0,1.0,75.26,75.88,74.99,75.34,1562456.0
2015-03-13,75.63,75.7,74.5,75.06,2087677.0,0.0,1.0,75.63,75.7,74.5,75.06,2087677.0
2015-03-12,73.73,75.705,73.59,75.67,1246138.0,0.0,1.0,73.73,75.705,73.59,75.67,1246138.0
2015-03-11,73.51,73.83,73.22,73.68,1407056.0,0.0,1.0,73.51,73.83,73.22,73.68,1407056.0
2015-03-10,74.0,74.31,73.37,73.42,1032905.0,0.0,1.0,74.0,74.31,73.37,73.42,1032905.0
2015-03-09,74.31,75.06,74.16,74.81,981090.0,0.0,1.0,74.31,75.06,74.16,74.81,981090.0
2015-03-06,74.0,74.52,73.38,74.23,1402984.0,0.0,1.0,74.0,74.52,73.38,74.23,1402984.0
2015-03-05,74.36,75.04,74.19,74.44,1354221.0,0.0,1.0,74.36,75.04,74.19,74.44,1354221.0
