Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,81.93,82.29,81.53,81.92,4211415.0,0.0,1.0,81.93,82.29,81.53,81.92,4211415.0
2015-04-15,83.33,83.82,81.88,81.96,3838975.0,0.0,1.0,83.33,83.82,81.88,81.96,3838975.0
2015-04-14,82.79,83.39,82.2928,83.06,2842797.0,0.0,1.0,82.79,83.39,82.2928,83.06,2842797.0
2015-04-13,83.46,83.98,82.91,82.96,2400931.0,0.0,1.0,83.46,83.98,82.91,82.96,2400931.0
2015-04-10,83.33,83.74,82.96,83.57,2811458.0,0.0,1.0,83.33,83.74,82.96,83.57,2811458.0
2015-04-09,83.0,83.61,82.68,83.29,3367075.0,0.0,1.0,83.0,83.61,82.68,83.29,3367075.0
2015-04-08,82.78,83.62,82.73,83.14,3269371.0,0.0,1.0,82.78,83.62,82.73,83.14,3269371.0
2015-04-07,83.25,83.68,82.54,82.61,2908759.0,0.0,1.0,83.25,83.68,82.54,82.61,2908759.0
2015-04-06,82.87,83.62,82.41,83.34,3825719.0,0.0,1.0,82.87,83.62,82.41,83.34,3825719.0
2015-04-02,82.01,82.83,81.6,82.67,3006785.0,0.0,1.0,82.01,82.83,81.6,82.67,3006785.0
2015-04-01,81.83,82.23,81.26,82.09,4955436.0,0.0,1.0,81.83,82.23,81.26,82.09,4955436.0
2015-03-31,82.22,82.805,82.0,82.07,5299765.0,0.0,1.0,82.22,82.805,82.0,82.07,5299765.0
2015-03-30,81.91,82.75,81.91,82.14,3844560.0,0.0,1.0,81.91,82.75,81.91,82.14,3844560.0
2015-03-27,80.39,81.86,80.33,81.56,3733909.0,0.0,1.0,80.39,81.86,80.33,81.56,3733909.0
2015-03-26,81.36,81.36,80.32,80.44,4793002.0,0.0,1.0,81.36,81.36,80.32,80.44,4793002.0
2015-03-25,82.08,82.1,81.35,81.62,5416769.0,0.0,1.0,82.08,82.1,81.35,81.62,5416769.0
2015-03-24,81.1,82.19,80.91,82.0,5677892.0,0.0,1.0,81.1,82.19,80.91,82.0,5677892.0
2015-03-23,81.43,82.24,81.2,81.23,3370113.0,0.0,1.0,81.43,82.24,81.2,81.23,3370113.0
2015-03-20,80.79,81.84,80.6,81.31,5473689.0,0.0,1.0,80.79,81.84,80.6,81.31,5473689.0
2015-03-19,80.46,80.805,80.37,80.6,3838090.0,0.0,1.0,80.46,80.805,80.37,80.6,3838090.0
2015-03-18,80.97,81.38,79.915,81.06,4687931.0,0.0,1.0,80.97,81.38,79.915,81.06,4687931.0
2015-03-17,80.47,81.35,80.2,81.03,4818791.0,0.0,1.0,80.47,81.35,80.2,81.03,4818791.0
2015-03-16,79.66,80.81,79.615,80.49,4423994.0,0.0,1.0,79.66,80.81,79.615,80.49,4423994.0
2015-03-13,79.29,79.7,78.64,79.18,5394015.0,0.0,1.0,79.29,79.7,78.64,79.18,5394015.0
2015-03-12,78.1,79.455,78.0,79.3,4176476.0,0.0,1.0,78.1,79.455,78.0,79.3,4176476.0
2015-03-11,78.37,78.46,77.22,77.78,3829945.0,0.0,1.0,78.37,78.46,77.22,77.78,3829945.0
2015-03-10,78.27,78.3499,77.42,77.67,4806970.0,0.0,1.0,78.27,78.3499,77.42,77.67,4806970.0
2015-03-09,77.11,78.66,76.95,78.57,4418040.0,0.0,1.0,77.11,78.66,76.95,78.57,4418040.0
2015-03-06,77.82,77.82,76.85,77.21,3927940.0,0.0,1.0,77.82,77.82,76.85,77.21,3927940.0
2015-03-05,77.79,78.24,77.79,78.2,6622306.0,0.0,1.0,77.79,78.24,77.79,78.2,6622306.0
2015-03-04,77.94,79.0,77.59,77.72,8018418.0,0.0,1.0,77.94,79.0,77.59,77.72,8018418.0
2015-03-03,77.28,78.14,75.08,78.0,12901050.0,0.0,1.0,77.28,78.14,75.08,78.0,12901050.0
2015-03-02,76.84,78.16,76.73,77.68,6115893.0,0.0,1.0,76.84,78.16,76.73,77.68,6115893.0
2015-02-27,77.03,77.3,76.71,76.83,4740183.0,0.0,1.0,77.03,77.3,76.71,76.83,4740183.0
2015-02-26,77.14,77.4,76.27,76.9,5281904.0,0.0,1.0,77.14,77.4,76.27,76.9,5281904.0
2015-02-25,78.08,78.4,75.97,77.15,9410186.0,0.0,1.0,78.08,78.4,75.97,77.15,9410186.0
2015-02-24,76.83,77.01,76.07,76.95,4804037.0,0.0,1.0,76.83,77.01,76.07,76.95,4804037.0
2015-02-23,76.86,77.25,76.29,76.69,4263701.0,0.0,1.0,76.86,77.25,76.29,76.69,4263701.0
2015-02-20,76.55,76.87,76.0,76.87,4470320.0,0.0,1.0,76.55,76.87,76.0,76.87,4470320.0
2015-02-19,77.23,77.26,76.27,76.68,5604748.0,0.0,1.0,77.23,77.26,76.27,76.68,5604748.0
2015-02-18,76.64,77.39,76.43,77.35,4528411.0,0.0,1.0,76.64,77.39,76.43,77.35,4528411.0
2015-02-17,75.8,76.8,74.94,76.64,4033017.0,0.0,1.0,75.8,76.8,74.94,76.64,4033017.0
2015-02-13,76.52,76.7,75.69,76.12,2369748.0,0.52,1.0,76.52,76.7,75.69,76.12,2369748.0
2015-02-12,76.4,76.94,75.85,76.87,3747745.0,0.0,1.0,75.881628392484,76.417964509395,75.335360125261,76.348439457203,3747745.0
2015-02-11,76.42,76.6995,75.89,76.42,2757371.0,0.0,1.0,75.901492693111,76.179096294363,75.375088726514,75.901492693111,2757371.0
2015-02-10,75.65,76.7,75.57,76.65,2807140.0,0.0,1.0,75.136717118998,76.179592901879,75.057259916493,76.129932150313,2807140.0
2015-02-09,75.96,76.58,75.11,75.39,3105935.0,0.0,1.0,75.444613778706,76.060407098121,74.600381002088,74.878481210856,3105935.0
2015-02-04,75.67,76.66,75.462,75.61,5645103.0,0.0,1.0,75.156581419624,76.139864300626,74.949992693111,75.096988517745,5645103.0
2015-02-03,74.74,75.89,74.13,75.87,4915353.0,0.0,1.0,74.232891440501,75.375088726514,73.627030271399,75.355224425887,4915353.0
2015-02-02,73.19,74.39,71.9,74.25,4919839.0,0.0,1.0,72.693408141962,73.885266179541,71.412160751566,73.746216075157,4919839.0
