Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,66.83,66.92,66.4,66.48,3038036.0,0.0,1.0,66.83,66.92,66.4,66.48,3038036.0
2015-04-15,67.45,67.58,66.67,66.74,3987265.0,0.0,1.0,67.45,67.58,66.67,66.74,3987265.0
2015-04-14,68.09,68.39,67.22,67.28,3809514.0,0.0,1.0,68.09,68.39,67.22,67.28,3809514.0
2015-04-13,68.55,68.71,68.06,68.14,2460448.0,0.0,1.0,68.55,68.71,68.06,68.14,2460448.0
2015-04-10,68.93,68.93,68.44,68.53,2124135.0,0.0,1.0,68.93,68.93,68.44,68.53,2124135.0
2015-04-09,69.39,69.83,68.27,68.63,3205683.0,0.0,1.0,69.39,69.83,68.27,68.63,3205683.0
2015-04-08,68.86,69.435,68.58,69.33,2005272.0,0.0,1.0,68.86,69.435,68.58,69.33,2005272.0
2015-04-07,69.2,69.53,68.56,68.65,1633290.0,0.0,1.0,69.2,69.53,68.56,68.65,1633290.0
2015-04-06,68.92,69.89,68.75,69.3,1582501.0,0.0,1.0,68.92,69.89,68.75,69.3,1582501.0
2015-04-02,69.26,69.69,68.91,69.32,1720984.0,0.0,1.0,69.26,69.69,68.91,69.32,1720984.0
2015-04-01,70.09,70.11,68.76,68.95,3241216.0,0.0,1.0,70.09,70.11,68.76,68.95,3241216.0
2015-03-31,70.36,70.99,70.01,70.05,3203513.0,0.0,1.0,70.36,70.99,70.01,70.05,3203513.0
2015-03-30,70.0,71.03,69.61,70.47,3564444.0,0.0,1.0,70.0,71.03,69.61,70.47,3564444.0
2015-03-27,68.88,69.61,68.77,69.59,3016011.0,0.0,1.0,68.88,69.61,68.77,69.59,3016011.0
2015-03-26,69.18,69.255,68.4,69.02,4421227.0,0.0,1.0,69.18,69.255,68.4,69.02,4421227.0
2015-03-25,70.0,70.15,69.41,69.54,5266012.0,0.0,1.0,70.0,70.15,69.41,69.54,5266012.0
2015-03-24,69.24,70.34,69.03,70.08,4588365.0,0.0,1.0,69.24,70.34,69.03,70.08,4588365.0
2015-03-23,69.3,70.26,69.09,69.48,4538845.0,0.0,1.0,69.3,70.26,69.09,69.48,4538845.0
2015-03-20,68.31,69.51,68.27,69.47,5682095.0,0.0,1.0,68.31,69.51,68.27,69.47,5682095.0
2015-03-19,68.07,68.26,67.72,68.16,2820585.0,0.0,1.0,68.07,68.26,67.72,68.16,2820585.0
2015-03-18,68.3,68.31,66.72,67.95,3520980.0,0.0,1.0,68.3,68.31,66.72,67.95,3520980.0
2015-03-17,68.26,68.82,68.07,68.31,2890555.0,0.0,1.0,68.26,68.82,68.07,68.31,2890555.0
