Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,56.31,56.84,56.18,56.68,651782.0,0.0,1.0,56.31,56.84,56.18,56.68,651782.0
2015-04-15,56.07,56.72,55.97,56.41,546129.0,0.0,1.0,56.07,56.72,55.97,56.41,546129.0
2015-04-14,55.86,56.267,55.72,56.0,619321.0,0.0,1.0,55.86,56.267,55.72,56.0,619321.0
2015-04-13,55.75,56.035,55.71,55.83,305410.0,0.0,1.0,55.75,56.035,55.71,55.83,305410.0
2015-04-10,55.89,55.98,55.64,55.86,533283.0,0.0,1.0,55.89,55.98,55.64,55.86,533283.0
2015-04-09,55.58,55.98,55.45,55.93,496887.0,0.0,1.0,55.58,55.98,55.45,55.93,496887.0
2015-04-08,55.18,55.6,55.11,55.58,449239.0,0.0,1.0,55.18,55.6,55.11,55.58,449239.0
2015-04-07,55.17,55.31,54.9,55.06,636379.0,0.0,1.0,55.17,55.31,54.9,55.06,636379.0
2015-04-06,54.55,55.36,54.51,55.17,520566.0,0.0,1.0,54.55,55.36,54.51,55.17,520566.0
2015-04-02,54.95,55.3,54.885,55.11,519334.0,0.0,1.0,54.95,55.3,54.885,55.11,519334.0
2015-04-01,54.85,55.04,54.54,54.98,576315.0,0.0,1.0,54.85,55.04,54.54,54.98,576315.0
2015-03-31,54.76,55.02,54.44,54.92,717286.0,0.135,1.0,54.76,55.02,54.44,54.92,717286.0
2015-03-30,54.86,55.26,54.73,55.22,557702.0,0.0,1.0,54.725478158205,55.124497320861,54.595796930342,55.084595404595,557702.0
2015-03-27,54.69,54.83,54.36,54.67,638198.0,0.0,1.0,54.555895014077,54.695551721006,54.226704204886,54.535944055944,638198.0
2015-03-26,54.59,54.99,54.38,54.76,895170.0,0.0,1.0,54.456140223413,54.855159386068,54.246655163019,54.625723367542,895170.0
2015-03-25,55.37,55.44,54.62,54.67,732907.0,0.0,1.0,55.234227590591,55.304055944056,54.486066660612,54.535944055944,732907.0
