Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,107.78,109.01,107.4628,108.67,1798531.0,0.0,1.0,107.78,109.01,107.4628,108.67,1798531.0
2015-04-15,108.16,108.76,108.0,108.08,1998919.0,0.0,1.0,108.16,108.76,108.0,108.08,1998919.0
2015-04-14,107.71,108.6,107.09,107.79,1306439.0,0.0,1.0,107.71,108.6,107.09,107.79,1306439.0
2015-04-13,107.36,108.33,107.3,107.87,1252725.0,0.0,1.0,107.36,108.33,107.3,107.87,1252725.0
2015-04-10,107.71,107.79,107.05,107.65,1699605.0,0.0,1.0,107.71,107.79,107.05,107.65,1699605.0
2015-04-09,107.34,107.89,106.77,107.3,1210240.0,0.0,1.0,107.34,107.89,106.77,107.3,1210240.0
2015-04-08,106.94,107.69,106.87,107.34,1533314.0,0.0,1.0,106.94,107.69,106.87,107.34,1533314.0
2015-04-07,108.13,108.6,107.34,107.34,1346825.0,0.0,1.0,108.13,108.6,107.34,107.34,1346825.0
2015-04-06,106.93,108.645,106.82,108.13,1046124.0,0.0,1.0,106.93,108.645,106.82,108.13,1046124.0
2015-04-02,107.13,107.86,106.9701,107.74,1087570.0,0.0,1.0,107.13,107.86,106.9701,107.74,1087570.0
2015-04-01,108.0,108.0,106.81,107.11,1850307.0,0.0,1.0,108.0,108.0,106.81,107.11,1850307.0
2015-03-31,108.75,108.85,107.915,108.13,1921858.0,0.0,1.0,108.75,108.85,107.915,108.13,1921858.0
2015-03-30,107.72,109.68,107.7,109.64,2028408.0,0.0,1.0,107.72,109.68,107.7,109.64,2028408.0
2015-03-27,106.64,107.26,106.38,107.13,1452272.0,0.0,1.0,106.64,107.26,106.38,107.13,1452272.0
2015-03-26,107.31,107.38,106.44,106.83,1489796.0,0.0,1.0,107.31,107.38,106.44,106.83,1489796.0
2015-03-25,109.24,109.38,107.55,107.61,1658291.0,0.0,1.0,109.24,109.38,107.55,107.61,1658291.0
2015-03-24,109.39,109.85,109.13,109.23,1205607.0,0.0,1.0,109.39,109.85,109.13,109.23,1205607.0
2015-03-23,109.59,110.49,109.4555,109.62,1534005.0,0.0,1.0,109.59,110.49,109.4555,109.62,1534005.0
2015-03-20,109.58,110.238,109.18,109.73,4092062.0,0.0,1.0,109.58,110.238,109.18,109.73,4092062.0
2015-03-19,109.64,109.76,108.73,109.11,1438791.0,0.0,1.0,109.64,109.76,108.73,109.11,1438791.0
2015-03-18,108.78,109.79,107.71,109.52,2412566.0,0.0,1.0,108.78,109.79,107.71,109.52,2412566.0
2015-03-17,108.15,109.07,107.68,108.75,1660960.0,0.0,1.0,108.15,109.07,107.68,108.75,1660960.0
2015-03-16,107.5,109.075,107.5,108.93,2011048.0,0.0,1.0,107.5,109.075,107.5,108.93,2011048.0
2015-03-13,107.49,107.67,106.27,106.72,1694140.0,0.0,1.0,107.49,107.67,106.27,106.72,1694140.0
2015-03-12,106.37,107.85,106.31,107.83,1463307.0,0.0,1.0,106.37,107.85,106.31,107.83,1463307.0
2015-03-11,104.97,106.05,104.77,105.67,1837468.0,0.0,1.0,104.97,106.05,104.77,105.67,1837468.0
2015-03-10,105.67,105.75,104.72,104.73,1768040.0,0.0,1.0,105.67,105.75,104.72,104.73,1768040.0
2015-03-09,105.97,106.985,105.9283,106.72,1257174.0,0.0,1.0,105.97,106.985,105.9283,106.72,1257174.0
2015-03-06,106.48,107.63,105.71,105.8,2199666.0,0.0,1.0,106.48,107.63,105.71,105.8,2199666.0
