Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,39.58,39.85,39.275,39.33,2473821.0,0.0,1.0,39.58,39.85,39.275,39.33,2473821.0
2015-04-15,39.94,40.0,39.55,39.59,2549559.0,0.0,1.0,39.94,40.0,39.55,39.59,2549559.0
2015-04-14,39.04,39.95,38.94,39.9,2635412.0,0.0,1.0,39.04,39.95,38.94,39.9,2635412.0
2015-04-13,39.28,39.78,39.2,39.22,2357276.0,0.0,1.0,39.28,39.78,39.2,39.22,2357276.0
2015-04-10,38.66,39.47,38.62,39.38,2830728.0,0.0,1.0,38.66,39.47,38.62,39.38,2830728.0
2015-04-09,38.76,38.77,38.36,38.67,5358479.0,0.0,1.0,38.76,38.77,38.36,38.67,5358479.0
2015-04-08,39.0,39.13,38.5,38.65,3068932.0,0.0,1.0,39.0,39.13,38.5,38.65,3068932.0
2015-04-07,39.03,39.31,38.9,39.06,2941542.0,0.0,1.0,39.03,39.31,38.9,39.06,2941542.0
2015-04-06,38.49,39.05,38.35,38.91,2328323.0,0.0,1.0,38.49,39.05,38.35,38.91,2328323.0
2015-04-02,38.3,39.21,38.26,38.63,3487593.0,0.0,1.0,38.3,39.21,38.26,38.63,3487593.0
2015-04-01,38.15,38.52,37.74,38.4,4774668.0,0.0,1.0,38.15,38.52,37.74,38.4,4774668.0
2015-03-31,38.4,38.66,38.1,38.3,4589570.0,0.0,1.0,38.4,38.66,38.1,38.3,4589570.0
2015-03-30,38.25,38.61,37.94,38.5,3974777.0,0.0,1.0,38.25,38.61,37.94,38.5,3974777.0
2015-03-27,38.15,38.35,38.0,38.16,2805749.0,0.0,1.0,38.15,38.35,38.0,38.16,2805749.0
2015-03-26,38.06,38.32,37.69,38.16,3738442.0,0.0,1.0,38.06,38.32,37.69,38.16,3738442.0
2015-03-25,39.01,39.13,38.29,38.3,4054929.0,0.0,1.0,39.01,39.13,38.29,38.3,4054929.0
2015-03-24,39.76,39.8,38.35,38.7,10009727.0,0.0,1.0,39.76,39.8,38.35,38.7,10009727.0
2015-03-23,40.02,40.74,39.69,39.8,5458744.0,0.0,1.0,40.02,40.74,39.69,39.8,5458744.0
2015-03-20,40.1,40.61,39.89,40.22,4739066.0,0.0,1.0,40.1,40.61,39.89,40.22,4739066.0
2015-03-19,39.51,40.17,39.47,39.83,3885634.0,0.0,1.0,39.51,40.17,39.47,39.83,3885634.0
2015-03-18,38.69,39.74,38.33,39.6,5028315.0,0.0,1.0,38.69,39.74,38.33,39.6,5028315.0
2015-03-17,38.1,38.81,38.09,38.71,4143969.0,0.0,1.0,38.1,38.81,38.09,38.71,4143969.0
2015-03-16,37.58,38.18,37.47,38.09,5162169.0,0.0,1.0,37.58,38.18,37.47,38.09,5162169.0
2015-03-13,37.42,37.51,37.1,37.42,4043119.0,0.0,1.0,37.42,37.51,37.1,37.42,4043119.0
2015-03-12,37.8,38.25,37.37,37.56,6537595.0,0.0,1.0,37.8,38.25,37.37,37.56,6537595.0
2015-03-11,39.78,39.78,37.35,37.55,16163285.0,0.0,1.0,39.78,39.78,37.35,37.55,16163285.0
2015-03-10,40.02,40.08,39.55,39.78,4173381.0,0.0,1.0,40.02,40.08,39.55,39.78,4173381.0
2015-03-09,40.86,40.87,40.35,40.44,2720354.0,0.0,1.0,40.86,40.87,40.35,40.44,2720354.0
2015-03-06,40.33,41.08,40.27,40.66,4272046.0,0.0,1.0,40.33,41.08,40.27,40.66,4272046.0
2015-03-05,41.25,41.45,40.4,40.56,3970420.0,0.0,1.0,41.25,41.45,40.4,40.56,3970420.0
2015-03-04,42.35,42.38,41.225,41.4,4486942.0,0.0,1.0,42.35,42.38,41.225,41.4,4486942.0
2015-03-03,42.16,42.41,41.74,42.39,3405220.0,0.0,1.0,42.16,42.41,41.74,42.39,3405220.0
2015-03-02,41.28,42.25,41.16,42.17,3564151.0,0.0,1.0,41.28,42.25,41.16,42.17,3564151.0
2015-02-27,40.99,41.75,40.88,41.31,2906481.0,0.0,1.0,40.99,41.75,40.88,41.31,2906481.0
2015-02-26,41.33,41.49,40.69,40.87,2492582.0,0.0,1.0,41.33,41.49,40.69,40.87,2492582.0
2015-02-25,41.39,41.44,41.07,41.3,1981366.0,0.0,1.0,41.39,41.44,41.07,41.3,1981366.0
2015-02-24,41.44,41.54,41.0,41.5,2613577.0,0.0,1.0,41.44,41.54,41.0,41.5,2613577.0
2015-02-23,41.7,41.82,41.32,41.47,2647525.0,0.0,1.0,41.599275362319,41.718985507246,41.220193236715,41.369830917874,2647525.0
2015-02-20,41.14,41.7,40.8,41.67,3197344.0,0.0,1.0,41.040628019324,41.599275362319,40.701449275362,41.569347826087,3197344.0
2015-02-19,41.26,41.54,40.9,41.34,3575387.0,0.0,1.0,41.160338164251,41.439661835749,40.801207729469,41.240144927536,3575387.0
2015-02-18,40.63,41.12,40.35,41.12,2745519.0,0.0,1.0,40.531859903382,41.020676328502,40.252536231884,41.020676328502,2745519.0
2015-02-17,40.66,41.0,40.244,40.63,2625311.0,0.0,1.0,40.561787439614,40.900966183575,40.146792270531,40.531859903382,2625311.0
2015-02-13,40.67,41.15,40.52,40.7,3482713.0,0.0,1.0,40.571763285024,41.050603864734,40.422125603865,40.601690821256,3482713.0
2015-02-12,40.16,40.82,40.05,40.79,3400871.0,0.0,1.0,40.062995169082,40.721400966184,39.953260869565,40.691473429952,3400871.0
2015-02-11,40.79,40.88,40.05,40.23,2923512.0,0.0,1.0,40.691473429952,40.781256038647,39.953260869565,40.132826086957,2923512.0
2015-02-10,39.99,40.79,39.85,40.71,3488722.0,0.0,1.0,39.893405797101,40.691473429952,39.753743961353,40.611666666667,3488722.0
2015-02-09,39.52,39.91,39.4301,39.77,2905489.0,0.0,1.0,39.424541062802,39.813599033816,39.33485821256,39.673937198068,2905489.0
2015-02-06,40.1,40.27,39.6,39.76,3081753.0,0.0,1.0,40.003140096618,40.172729468599,39.504347826087,39.663961352657,3081753.0
2015-02-05,39.31,40.04,39.31,40.02,3310518.0,0.0,1.0,39.215048309179,39.943285024155,39.215048309179,39.923333333333,3310518.0
2015-02-04,38.87,39.62,38.86,39.25,4730078.0,0.0,1.0,38.776111111111,39.524299516908,38.7661352657,39.155193236715,4730078.0
2015-02-03,39.81,39.81,38.77,38.87,7079594.0,0.0,1.0,39.71384057971,39.71384057971,38.676352657005,38.776111111111,7079594.0
2015-02-02,39.03,39.6,38.51,39.57,5807380.0,0.0,1.0,38.935724637681,39.504347826087,38.416980676328,39.474420289855,5807380.0
2015-01-30,41.44,42.0,38.89,39.04,10220437.0,0.0,1.0,41.339903381643,41.898550724638,38.796062801932,38.945700483092,10220437.0
2015-01-29,40.1,40.27,39.473,40.21,5856239.0,0.0,1.0,40.003140096618,40.172729468599,39.377654589372,40.112874396135,5856239.0
2015-01-28,41.07,41.2,40.13,40.18,4247415.0,0.0,1.0,40.970797101449,41.100483091787,40.03306763285,40.082946859903,4247415.0
2015-01-26,41.27,41.55,40.8,41.31,3614598.0,0.0,1.0,41.170314009662,41.449637681159,40.701449275362,41.210217391304,3614598.0
2015-01-23,41.0,41.52,40.9,41.27,3612259.0,0.0,1.0,40.900966183575,41.419710144928,40.801207729469,41.170314009662,3612259.0
2015-01-22,40.96,41.2,40.48,41.1,4348617.0,0.0,1.0,40.861062801932,41.100483091787,40.382222222222,41.000724637681,4348617.0
2015-01-21,40.15,40.78,39.966,40.71,3785113.0,0.0,1.0,40.053019323671,40.681497584541,39.869463768116,40.611666666667,3785113.0
2015-01-20,40.58,40.75,40.035,40.31,4743577.0,0.0,1.0,40.481980676328,40.651570048309,39.938297101449,40.212632850242,4743577.0
2015-01-15,40.2,40.4299,39.54,40.09,6786299.0,0.0,1.0,40.102898550725,40.332243236715,39.444492753623,39.993164251208,6786299.0
2015-01-14,38.54,39.92,38.48,39.85,6944881.0,0.0,1.0,38.44690821256,39.823574879227,38.387053140097,39.753743961353,6944881.0
2015-01-13,39.11,39.23,38.39,38.85,6456509.0,0.0,1.0,39.015531400966,39.135241545894,38.297270531401,38.75615942029,6456509.0
2015-01-12,40.39,40.39,39.0,39.1,4054716.0,0.0,1.0,40.292439613527,40.292439613527,38.905797101449,39.005555555556,4054716.0
2015-01-08,40.09,41.21,39.94,41.2,5614415.0,0.0,1.0,39.993164251208,41.110458937198,39.843526570048,41.100483091787,5614415.0
2015-01-06,39.0,39.695,38.89,39.26,4559726.0,0.0,1.0,38.905797101449,39.599118357488,38.796062801932,39.165169082126,4559726.0
2015-01-05,39.74,40.21,38.99,39.03,3804710.0,0.0,1.0,39.644009661836,40.112874396135,38.895821256039,38.935724637681,3804710.0
2015-01-02,40.09,40.52,39.6,39.95,3224667.0,0.0,1.0,39.993164251208,40.422125603865,39.504347826087,39.853502415459,3224667.0
2014-12-31,40.57,40.83,40.06,40.09,2393457.0,0.0,1.0,40.472004830918,40.731376811594,39.963236714976,39.993164251208,2393457.0
2014-12-30,40.21,40.825,39.75,40.43,2614026.0,0.0,1.0,40.112874396135,40.726388888889,39.653985507246,40.332342995169,2614026.0
2014-12-26,40.43,40.55,40.14,40.18,1561332.0,0.0,1.0,40.332342995169,40.452053140097,40.043043478261,40.082946859903,1561332.0
2014-12-24,41.23,41.36,40.27,40.33,1509192.0,0.0,1.0,41.130410628019,41.260096618357,40.172729468599,40.232584541063,1509192.0
2014-12-23,41.22,41.76,41.09,41.23,4159211.0,0.0,1.0,41.120434782609,41.659130434783,40.990748792271,41.130410628019,4159211.0
2014-12-22,40.28,41.0,40.18,40.99,4053999.0,0.0,1.0,40.18270531401,40.900966183575,40.082946859903,40.890990338164,4053999.0
2014-12-19,39.67,40.49,39.47,40.22,6418745.0,0.0,1.0,39.574178743961,40.392198067633,39.374661835749,40.122850241546,6418745.0
2014-12-18,39.85,39.95,38.25,39.72,9214888.0,0.0,1.0,39.753743961353,39.853502415459,38.157608695652,39.624057971014,9214888.0
