Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,83.33,85.4,82.95,85.12,2253969.0,0.0,1.0,83.33,85.4,82.95,85.12,2253969.0
2015-04-15,83.05,83.71,82.5,83.33,2388986.0,0.0,1.0,83.05,83.71,82.5,83.33,2388986.0
2015-04-14,83.0,83.31,82.01,82.79,2437883.0,0.0,1.0,83.0,83.31,82.01,82.79,2437883.0
2015-04-13,85.94,86.13,81.77,82.12,3105704.0,0.0,1.0,85.94,86.13,81.77,82.12,3105704.0
2015-04-10,85.84,86.13,85.064,85.98,1344147.0,0.0,1.0,85.84,86.13,85.064,85.98,1344147.0
2015-04-09,86.69,86.98,84.68,85.29,1691484.0,0.0,1.0,86.69,86.98,84.68,85.29,1691484.0
2015-04-08,85.16,87.16,85.16,85.53,2129914.0,0.0,1.0,85.16,87.16,85.16,85.53,2129914.0
2015-04-07,87.28,87.91,85.15,85.56,2506788.0,0.0,1.0,87.28,87.91,85.15,85.56,2506788.0
2015-04-06,87.15,88.61,85.52,86.65,2591429.0,0.0,1.0,87.15,88.61,85.52,86.65,2591429.0
2015-04-02,90.92,91.15,86.32,86.61,3083517.0,0.0,1.0,90.92,91.15,86.32,86.61,3083517.0
2015-04-01,91.55,91.82,90.34,91.31,1656541.0,0.0,1.0,91.55,91.82,90.34,91.31,1656541.0
2015-03-31,90.86,92.49,90.58,91.29,1964375.0,0.0,1.0,90.86,92.49,90.58,91.29,1964375.0
2015-03-30,90.21,91.72,89.17,91.15,3202144.0,0.0,1.0,90.21,91.72,89.17,91.15,3202144.0
2015-03-27,91.56,92.23,89.72,89.9,1750656.0,0.0,1.0,91.56,92.23,89.72,89.9,1750656.0
2015-03-26,92.15,92.23,90.52,91.17,1564391.0,0.0,1.0,92.15,92.23,90.52,91.17,1564391.0
2015-03-25,91.26,94.15,91.25,91.61,3485647.0,0.0,1.0,91.26,94.15,91.25,91.61,3485647.0
2015-03-24,92.24,92.24,89.73,90.32,2783038.0,0.0,1.0,92.24,92.24,89.73,90.32,2783038.0
2015-03-23,93.82,94.71,92.24,92.36,2251995.0,0.0,1.0,93.82,94.71,92.24,92.36,2251995.0
2015-03-20,92.33,94.07,92.32,93.51,3016971.0,0.0,1.0,92.33,94.07,92.32,93.51,3016971.0
2015-03-19,92.75,93.58,92.12,93.09,1998337.0,0.0,1.0,92.75,93.58,92.12,93.09,1998337.0
2015-03-18,89.14,93.87,88.9,93.54,3639208.0,0.0,1.0,89.14,93.87,88.9,93.54,3639208.0
2015-03-17,86.75,89.45,86.3,89.12,3125522.0,0.0,1.0,86.75,89.45,86.3,89.12,3125522.0
2015-03-16,85.82,87.86,85.13,87.81,2521139.0,0.0,1.0,85.82,87.86,85.13,87.81,2521139.0
2015-03-13,84.35,86.9,84.35,86.23,2327293.0,0.0,1.0,84.35,86.9,84.35,86.23,2327293.0
2015-03-12,87.25,87.99,84.22,84.27,2961030.0,0.0,1.0,87.25,87.99,84.22,84.27,2961030.0
2015-03-11,85.12,87.21,84.37,86.68,2049533.0,0.0,1.0,85.12,87.21,84.37,86.68,2049533.0
2015-03-10,85.05,85.93,84.46,85.11,2019666.0,0.0,1.0,85.05,85.93,84.46,85.11,2019666.0
2015-03-09,87.1,88.63,86.11,86.15,2301044.0,0.0,1.0,87.1,88.63,86.11,86.15,2301044.0
2015-03-06,88.99,90.4099,86.3315,86.88,2523919.0,0.0,1.0,88.99,90.4099,86.3315,86.88,2523919.0
2015-03-05,90.22,90.429,88.86,89.31,2343802.0,0.0,1.0,90.22,90.429,88.86,89.31,2343802.0
2015-03-04,90.87,91.46,89.03,89.7,2397284.0,0.0,1.0,90.87,91.46,89.03,89.7,2397284.0
2015-03-03,91.57,92.24,89.9,91.04,2536706.0,0.0,1.0,91.57,92.24,89.9,91.04,2536706.0
2015-03-02,91.62,92.28,89.68,90.76,3088795.0,0.0,1.0,91.62,92.28,89.68,90.76,3088795.0
2015-02-27,93.98,94.83,91.71,91.84,3034055.0,0.0,1.0,93.98,94.83,91.71,91.84,3034055.0
2015-02-26,90.37,93.57,90.37,93.52,2433953.0,0.0,1.0,90.37,93.57,90.37,93.52,2433953.0
2015-02-25,89.99,91.94,89.96,90.89,2473731.0,0.0,1.0,89.99,91.94,89.96,90.89,2473731.0
2015-02-24,91.81,92.14,89.4,90.21,3126827.0,0.0,1.0,91.81,92.14,89.4,90.21,3126827.0
2015-02-23,90.42,93.45,90.42,91.67,3502103.0,0.0,1.0,89.999165525927,93.015063242622,89.999165525927,91.243347752286,3502103.0
2015-02-20,90.24,90.91,89.11,90.58,3561143.0,0.0,1.0,89.820003285331,90.48688495866,88.695262552702,90.158420850901,3561143.0
2015-02-19,86.71,91.47,86.56,90.53,7903195.0,0.0,1.0,86.306432678092,91.044278596069,86.157130810929,90.108653561846,7903195.0
2015-02-18,83.3,87.35,82.89,87.09,5991840.0,0.0,1.0,82.912303564584,86.943453977988,82.504211794338,86.684664074906,5991840.0
2015-02-17,81.9,83.81,80.95,83.26,3122334.0,0.0,1.0,81.518819471062,83.419929912939,80.573240979029,82.872489733341,3122334.0
2015-02-13,81.32,82.045,79.9,81.92,5634528.0,0.0,1.0,80.941518918031,81.663144609319,79.528127908887,81.538726386683,5634528.0
2015-02-12,84.27,83.96,79.77,81.42,8928753.0,0.0,1.0,83.877788972239,83.569231780102,79.398732957345,81.04105349614,8928753.0
2015-02-11,87.23,88.34,86.9,87.29,2826434.0,0.0,1.0,86.824012484258,87.928846301265,86.495548376499,86.883733231123,2826434.0
2015-02-10,86.69,89.18,86.11,88.1,4272495.0,0.0,1.0,86.286525762471,88.764936757378,85.70922520944,87.689963313804,4272495.0
2015-02-09,85.36,86.37,84.575,86.24,1822506.0,0.0,1.0,84.962715873624,85.968015112523,84.181369435471,85.838620160981,1822506.0
2015-02-05,86.47,86.88,84.7,85.37,2376132.0,0.0,1.0,86.067549690631,86.475641460877,84.305787658107,84.972669331435,2376132.0
2015-02-04,84.51,85.7,83.48,85.21,2433633.0,0.0,1.0,84.1166719597,85.301133439194,83.09146580518,84.813414006461,2433633.0
2015-02-03,84.14,85.19,82.81,85.08,4030242.0,0.0,1.0,83.748394020698,84.793507090839,82.424584131851,84.68401905492,4030242.0
2015-02-02,82.0,82.67,80.12,82.51,3912162.0,0.0,1.0,81.61835404917,82.285235722499,79.747103980726,82.125980397525,3912162.0
2015-01-30,80.37,83.07,79.66,81.73,3368017.0,0.0,1.0,79.995940425998,82.683374034934,79.289244921426,81.349610688277,3368017.0
2015-01-29,82.42,82.6,78.84,80.44,4598651.0,0.0,1.0,82.036399277227,82.215561517823,78.473061380934,80.065614630674,4598651.0
