Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,158.86,159.11,157.67,158.2,1232707.0,0.0,1.0,158.86,159.11,157.67,158.2,1232707.0
2015-04-15,158.34,159.98,157.53,159.02,1119803.0,0.0,1.0,158.34,159.98,157.53,159.02,1119803.0
2015-04-14,156.66,158.68,156.44,156.86,1553348.0,0.0,1.0,156.66,158.68,156.44,156.86,1553348.0
2015-04-13,159.94,160.81,156.89,157.06,2044807.0,0.0,1.0,159.94,160.81,156.89,157.06,2044807.0
2015-04-10,159.13,161.14,158.44,160.81,3200537.0,0.0,1.0,159.13,161.14,158.44,160.81,3200537.0
2015-04-09,157.64,159.05,157.3,158.81,1862819.0,0.0,1.0,157.64,159.05,157.3,158.81,1862819.0
2015-04-08,154.88,157.6,154.75,157.25,2134165.0,0.0,1.0,154.88,157.6,154.75,157.25,2134165.0
2015-04-07,154.69,156.17,154.55,155.15,1637741.0,0.0,1.0,154.69,156.17,154.55,155.15,1637741.0
2015-04-06,153.59,156.21,153.07,154.89,1119037.0,0.0,1.0,153.59,156.21,153.07,154.89,1119037.0
2015-04-02,152.0,155.45,150.54,154.81,3726996.0,0.0,1.0,152.0,155.45,150.54,154.81,3726996.0
2015-04-01,150.01,151.96,148.82,151.81,3283193.0,0.0,1.0,150.01,151.96,148.82,151.81,3283193.0
2015-03-31,148.93,151.33,147.53,149.88,5239026.0,0.0,1.0,148.93,151.33,147.53,149.88,5239026.0
2015-03-30,147.4,149.84,147.13,149.27,1588207.0,0.75,1.0,147.4,149.84,147.13,149.27,1588207.0
2015-03-27,148.08,148.3,146.74,147.28,1954426.0,0.0,1.0,147.33969870684,147.55859885349,146.00639781362,146.54369817358,1954426.0
2015-03-26,148.96,149.06,147.1,147.75,2329322.0,0.0,1.0,148.21529929343,148.31479936009,146.36459805359,147.01134848687,2329322.0
2015-03-25,150.67,151.325,149.05,149.05,2103409.0,0.0,1.0,149.91675043328,150.56847586988,148.30484935342,148.30484935342,2103409.0
2015-03-24,154.43,155.23,150.46,151.0,3131398.0,0.0,1.0,153.65795293961,154.45395347287,149.70780029329,150.24510065325,3131398.0
2015-03-23,158.0,158.47,155.48,155.54,1515958.0,0.0,1.0,157.21010531929,157.67775563258,154.70270363951,154.76240367951,1515958.0
2015-03-20,155.94,158.29,155.61,157.87,2513710.0,0.0,1.0,155.16040394614,157.4986555126,154.83205372617,157.08075523264,2513710.0
