Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,84.72,85.34,84.24,84.62,2472721.0,0.0,1.0,84.72,85.34,84.24,84.62,2472721.0
2015-04-15,84.57,85.26,84.5,84.93,3305910.0,0.0,1.0,84.57,85.26,84.5,84.93,3305910.0
2015-04-14,84.43,85.14,84.0,84.4,4408770.0,0.0,1.0,84.43,85.14,84.0,84.4,4408770.0
2015-04-13,85.63,86.025,84.48,84.51,4362769.0,0.0,1.0,85.63,86.025,84.48,84.51,4362769.0
2015-04-10,85.32,85.68,84.54,85.49,4532208.0,0.0,1.0,85.32,85.68,84.54,85.49,4532208.0
2015-04-09,85.22,85.8197,84.83,85.61,2166674.0,0.0,1.0,85.22,85.8197,84.83,85.61,2166674.0
2015-04-08,85.68,86.44,84.9,85.18,3144651.0,0.0,1.0,85.68,86.44,84.9,85.18,3144651.0
2015-04-07,85.26,85.96,85.14,85.31,2484141.0,0.0,1.0,85.26,85.96,85.14,85.31,2484141.0
2015-04-06,84.52,85.68,84.156,85.28,3082288.0,0.0,1.0,84.52,85.68,84.156,85.28,3082288.0
2015-04-02,82.75,85.16,82.6,85.0,4925680.0,0.0,1.0,82.75,85.16,82.6,85.0,4925680.0
2015-04-01,83.81,84.412,82.17,82.8,7490957.0,0.0,1.0,83.81,84.412,82.17,82.8,7490957.0
2015-03-31,85.16,85.46,84.19,84.44,3938012.0,0.0,1.0,85.16,85.46,84.19,84.44,3938012.0
2015-03-30,85.68,86.12,85.24,85.3,2686997.0,0.0,1.0,85.68,86.12,85.24,85.3,2686997.0
2015-03-27,84.7,85.545,84.6601,85.11,2705670.0,0.0,1.0,84.7,85.545,84.6601,85.11,2705670.0
2015-03-26,84.62,85.16,84.14,84.73,2822900.0,0.0,1.0,84.62,85.16,84.14,84.73,2822900.0
2015-03-25,86.24,86.31,85.055,85.17,3278509.0,0.0,1.0,86.24,86.31,85.055,85.17,3278509.0
2015-03-24,86.76,87.0,86.09,86.34,3968723.0,0.0,1.0,86.76,87.0,86.09,86.34,3968723.0
2015-03-23,87.75,88.25,87.07,87.08,3665082.0,0.0,1.0,87.75,88.25,87.07,87.08,3665082.0
2015-03-20,87.61,87.905,87.16,87.89,6026285.0,0.0,1.0,87.61,87.905,87.16,87.89,6026285.0
2015-03-19,86.79,87.0,86.43,86.83,4000486.0,0.0,1.0,86.79,87.0,86.43,86.83,4000486.0
2015-03-18,85.86,87.52,85.19,87.2,4766999.0,0.0,1.0,85.86,87.52,85.19,87.2,4766999.0
2015-03-17,84.73,86.09,84.16,85.76,4398771.0,0.0,1.0,84.73,86.09,84.16,85.76,4398771.0
2015-03-16,84.55,85.49,84.16,85.45,3755972.0,0.0,1.0,84.55,85.49,84.16,85.45,3755972.0
2015-03-13,84.43,84.51,83.435,84.09,3112430.0,0.0,1.0,84.43,84.51,83.435,84.09,3112430.0
2015-03-12,83.47,84.7,83.47,84.57,2721046.0,0.0,1.0,83.47,84.7,83.47,84.57,2721046.0
2015-03-11,83.24,83.555,82.841,82.94,3569551.0,0.0,1.0,83.24,83.555,82.841,82.94,3569551.0
2015-03-10,84.53,84.71,83.335,83.38,4423042.0,0.0,1.0,84.53,84.71,83.335,83.38,4423042.0
2015-03-09,84.0,85.57,83.95,85.2,5816435.0,0.0,1.0,84.0,85.57,83.95,85.2,5816435.0
2015-03-06,83.21,84.33,82.95,84.12,5034048.0,0.0,1.0,83.21,84.33,82.95,84.12,5034048.0
2015-03-05,83.6,83.789,83.2,83.26,3434724.0,0.0,1.0,83.6,83.789,83.2,83.26,3434724.0
2015-03-04,82.86,83.8,82.34,83.08,4475302.0,0.0,1.0,82.86,83.8,82.34,83.08,4475302.0
2015-03-03,82.31,83.31,82.17,83.16,2938770.0,0.0,1.0,82.31,83.31,82.17,83.16,2938770.0
2015-03-02,81.65,83.02,81.63,82.77,3001751.0,0.0,1.0,81.65,83.02,81.63,82.77,3001751.0
2015-02-27,82.85,82.95,81.425,81.86,5298142.0,0.0,1.0,82.85,82.95,81.425,81.86,5298142.0
2015-02-26,82.43,83.55,82.06,82.42,4519254.0,0.0,1.0,82.43,83.55,82.06,82.42,4519254.0
2015-02-25,83.43,83.86,82.45,82.49,5776067.0,0.0,1.0,83.43,83.86,82.45,82.49,5776067.0
2015-02-24,83.6,84.46,83.55,83.62,3196799.0,0.0,1.0,83.6,84.46,83.55,83.62,3196799.0
2015-02-23,84.5,84.74,83.52,83.77,2991752.0,0.0,1.0,84.5,84.74,83.52,83.77,2991752.0
2015-02-20,83.76,84.6,83.43,84.53,2421194.0,0.0,1.0,83.76,84.6,83.43,84.53,2421194.0
2015-02-19,83.41,84.09,83.26,83.92,2391947.0,0.0,1.0,83.41,84.09,83.26,83.92,2391947.0
2015-02-18,83.75,84.0,82.8,83.58,4028298.0,0.0,1.0,83.75,84.0,82.8,83.58,4028298.0
2015-02-17,83.27,84.33,83.16,84.08,3938341.0,0.0,1.0,83.27,84.33,83.16,84.08,3938341.0
2015-02-13,83.04,84.14,82.94,83.87,3436032.0,0.0,1.0,83.04,84.14,82.94,83.87,3436032.0
2015-02-12,81.81,83.33,80.9,83.31,5821375.0,0.0,1.0,81.81,83.33,80.9,83.31,5821375.0
2015-02-11,81.32,82.12,79.7,81.01,8308593.0,0.0,1.0,81.32,82.12,79.7,81.01,8308593.0
2015-02-10,80.76,81.41,80.26,80.81,6308333.0,0.0,1.0,80.76,81.41,80.26,80.81,6308333.0
2015-02-09,80.12,81.18,79.91,80.54,4765217.0,0.0,1.0,80.12,81.18,79.91,80.54,4765217.0
2015-02-06,80.2,81.06,79.99,80.38,5049502.0,0.0,1.0,80.2,81.06,79.99,80.38,5049502.0
2015-02-05,79.92,80.07,78.55,79.98,5346685.0,0.0,1.0,79.92,80.07,78.55,79.98,5346685.0
2015-02-04,80.33,81.14,79.66,80.14,6374070.0,0.0,1.0,80.33,81.14,79.66,80.14,6374070.0
2015-02-03,78.9,80.42,78.89,80.33,4726327.0,0.0,1.0,78.9,80.42,78.89,80.33,4726327.0
2015-02-02,77.92,78.67,76.94,78.59,5697086.0,0.0,1.0,77.92,78.67,76.94,78.59,5697086.0
2015-01-30,79.09,79.67,77.68,77.93,7306561.0,0.0,1.0,79.09,79.67,77.68,77.93,7306561.0
2015-01-29,78.89,80.12,77.89,79.73,5612531.0,0.0,1.0,78.89,80.12,77.89,79.73,5612531.0
2015-01-28,80.88,80.98,78.82,78.89,5181404.0,0.0,1.0,80.88,80.98,78.82,78.89,5181404.0
2015-01-26,80.01,81.02,79.64,80.97,4066573.0,0.0,1.0,80.01,81.02,79.64,80.97,4066573.0
2015-01-23,81.39,81.65,79.92,79.97,4802463.0,0.0,1.0,81.39,81.65,79.92,79.97,4802463.0
2015-01-22,81.1,82.18,80.4,81.72,5733975.0,0.0,1.0,81.1,82.18,80.4,81.72,5733975.0
2015-01-21,80.01,81.08,79.9,80.73,7035876.0,0.0,1.0,80.01,81.08,79.9,80.73,7035876.0
2015-01-20,82.41,82.41,79.07,80.35,10962377.0,0.0,1.0,82.41,82.41,79.07,80.35,10962377.0
2015-01-15,82.58,82.87,81.41,82.42,3672285.0,0.0,1.0,82.58,82.87,81.41,82.42,3672285.0
2015-01-14,84.04,84.46,81.4601,82.39,5774958.0,0.0,1.0,84.04,84.46,81.4601,82.39,5774958.0
2015-01-13,84.47,85.82,84.06,85.16,4651063.0,0.0,1.0,84.47,85.82,84.06,85.16,4651063.0
2015-01-12,84.25,84.66,82.96,84.05,3463341.0,0.0,1.0,84.25,84.66,82.96,84.05,3463341.0
2015-01-08,84.4,85.9,84.03,85.49,3866562.0,0.0,1.0,84.4,85.9,84.03,85.49,3866562.0
2015-01-06,83.37,83.8,81.88,82.3,4501334.0,0.0,1.0,83.37,83.8,81.88,82.3,4501334.0
2015-01-05,84.5,84.63,83.04,83.24,4588107.0,0.0,1.0,84.5,84.63,83.04,83.24,4588107.0
2015-01-02,85.98,86.72,84.23,84.93,2463107.0,0.0,1.0,85.98,86.72,84.23,84.93,2463107.0
2014-12-31,86.07,86.71,85.36,85.42,2529031.0,0.0,1.0,86.07,86.71,85.36,85.42,2529031.0
2014-12-30,86.0,86.64,85.62,85.96,1955607.0,0.0,1.0,86.0,86.64,85.62,85.96,1955607.0
2014-12-26,85.95,86.99,85.71,86.71,1539414.0,0.0,1.0,85.95,86.99,85.71,86.71,1539414.0
2014-12-24,85.72,86.08,85.3,85.58,1136337.0,0.0,1.0,85.72,86.08,85.3,85.58,1136337.0
2014-12-23,85.85,86.3,85.4,85.78,3138809.0,0.0,1.0,85.85,86.3,85.4,85.78,3138809.0
2014-12-22,84.98,85.91,84.81,85.57,2723149.0,0.0,1.0,84.98,85.91,84.81,85.57,2723149.0
2014-12-19,84.12,85.49,83.92,84.93,8129439.0,0.0,1.0,84.12,85.49,83.92,84.93,8129439.0
2014-12-18,83.23,84.43,82.51,84.38,3801610.0,0.0,1.0,83.23,84.43,82.51,84.38,3801610.0
2014-12-17,80.74,82.57,80.71,82.28,3933879.0,0.0,1.0,80.74,82.57,80.71,82.28,3933879.0
2014-12-16,81.38,82.17,80.49,80.56,6640648.0,0.0,1.0,81.38,82.17,80.49,80.56,6640648.0
2014-12-15,82.83,83.11,81.24,81.57,3891974.0,0.0,1.0,82.83,83.11,81.24,81.57,3891974.0
2014-12-10,83.49,84.3,83.19,83.21,4778802.0,0.0,1.0,83.49,84.3,83.19,83.21,4778802.0
2014-12-09,82.86,85.16,82.058,83.92,4197939.0,0.0,1.0,82.86,85.16,82.058,83.92,4197939.0
2014-12-05,84.54,84.88,84.0,84.26,2523534.0,0.0,1.0,84.54,84.88,84.0,84.26,2523534.0
2014-12-04,84.21,84.9,83.92,84.66,4684541.0,0.0,1.0,84.21,84.9,83.92,84.66,4684541.0
2014-12-02,84.22,84.95,83.99,84.48,3009930.0,0.0,1.0,84.22,84.95,83.99,84.48,3009930.0
2014-12-01,84.84,84.93,82.85,83.96,4144793.0,0.0,1.0,84.84,84.93,82.85,83.96,4144793.0
2014-11-28,84.02,85.44,84.05,85.12,3951956.0,0.0,1.0,84.02,85.44,84.05,85.12,3951956.0
2014-11-26,82.58,84.155,82.74,83.79,4745629.0,0.0,1.0,82.58,84.155,82.74,83.79,4745629.0
2014-11-25,81.7,82.85,81.37,82.44,5403868.0,0.317,1.0,81.7,82.85,81.37,82.44,5403868.0
2014-11-24,80.46,81.48,80.2,81.43,3155343.0,0.0,1.0,80.46,81.48,80.2,81.43,3155343.0
2014-11-21,81.33,81.37,79.77,80.05,4034907.0,0.0,1.0,81.33,81.37,79.77,80.05,4034907.0
2014-11-20,80.5,81.79,80.33,80.59,3420138.0,0.0,1.0,80.191645419723,81.476704085455,80.022296603308,80.281300675472,3420138.0
2014-11-19,80.5,81.39,80.035,80.93,3871300.0,0.0,1.0,80.191645419723,81.078236282127,79.728426598354,80.6199983083,3871300.0
2014-11-18,80.19,80.91,79.78,80.5,3667794.0,0.0,1.0,79.882832872144,80.600074918134,79.474403373733,80.191645419723,3667794.0
2014-11-17,79.69,80.855,79.34,80.4,4074941.0,0.0,1.0,79.384748117984,80.545285595176,79.036088790072,80.092028468891,4074941.0
2014-11-14,79.25,79.94,78.9,79.75,3525037.0,0.0,1.0,78.946433534323,79.633790495064,78.597774206412,79.444518288483,3525037.0
2014-11-13,78.05,79.53,77.8,78.98,4966468.0,0.0,1.0,77.75103012434,79.225360996653,77.50198774726,78.677467767077,4966468.0
2014-11-12,77.63,78.04,77.4,77.68,4850047.0,0.0,1.0,77.332638930846,77.741068429257,77.103519943932,77.382447406262,4850047.0
2014-11-11,78.7,78.97,77.61,78.04,4937641.0,0.0,1.0,78.398540304748,78.667506071994,77.312715540679,77.741068429257,4937641.0
2014-11-10,76.87,77.67,76.6,77.33,3564167.0,0.0,1.0,76.575550104523,77.372485711179,76.306584337277,77.03378807835,3564167.0
2014-11-07,77.28,77.84,76.7,77.0,5223379.0,0.0,1.0,76.983979602934,77.541834527593,76.406201288109,76.705052140604,5223379.0
2014-11-06,78.41,78.65,76.85,77.36,4856749.0,0.0,1.0,78.109651147335,78.348731829332,76.555626714356,77.063673163599,4856749.0
