Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,58.14,58.575,58.08,58.41,4012931.0,0.0,1.0,58.14,58.575,58.08,58.41,4012931.0
2015-04-15,57.11,58.69,56.99,58.5,6516131.0,0.0,1.0,57.11,58.69,56.99,58.5,6516131.0
2015-04-14,57.15,57.41,56.58,56.75,3810343.0,0.0,1.0,57.15,57.41,56.58,56.75,3810343.0
2015-04-13,57.82,57.99,57.19,57.205,2796149.0,0.0,1.0,57.82,57.99,57.19,57.205,2796149.0
2015-04-10,57.83,57.85,57.54,57.7,3367100.0,0.0,1.0,57.83,57.85,57.54,57.7,3367100.0
2015-04-09,56.72,57.84,56.53,57.78,4260259.0,0.0,1.0,56.72,57.84,56.53,57.78,4260259.0
2015-04-08,56.8,57.29,56.56,56.97,4065477.0,0.0,1.0,56.8,57.29,56.56,56.97,4065477.0
2015-04-07,56.69,57.43,56.57,56.94,3134568.0,0.0,1.0,56.69,57.43,56.57,56.94,3134568.0
2015-04-06,56.19,57.15,55.86,56.81,3082617.0,0.0,1.0,56.19,57.15,55.86,56.81,3082617.0
2015-04-02,56.68,57.2,56.42,56.72,3443763.0,0.0,1.0,56.68,57.2,56.42,56.72,3443763.0
2015-04-01,57.05,57.23,56.23,56.535,5188638.0,0.0,1.0,57.05,57.23,56.23,56.535,5188638.0
2015-03-31,57.74,57.91,57.08,57.185,4744088.0,0.0,1.0,57.74,57.91,57.08,57.185,4744088.0
2015-03-30,57.1,58.12,56.84,58.0,5165454.0,0.0,1.0,57.1,58.12,56.84,58.0,5165454.0
2015-03-27,55.77,57.175,55.56,56.76,4991772.0,0.0,1.0,55.77,57.175,55.56,56.76,4991772.0
2015-03-26,55.09,56.25,54.62,55.8,6794788.0,0.0,1.0,55.09,56.25,54.62,55.8,6794788.0
2015-03-25,58.41,58.6,55.73,55.73,10861401.0,0.0,1.0,58.41,58.6,55.73,55.73,10861401.0
2015-03-24,58.79,59.02,58.41,58.44,3626773.0,0.0,1.0,58.79,59.02,58.41,58.44,3626773.0
2015-03-23,59.18,59.26,58.63,58.66,3649738.0,0.0,1.0,59.18,59.26,58.63,58.66,3649738.0
2015-03-20,58.9,59.53,58.73,59.28,8438430.0,0.0,1.0,58.9,59.53,58.73,59.28,8438430.0
2015-03-19,58.35,58.73,58.09,58.525,3269901.0,0.0,1.0,58.35,58.73,58.09,58.525,3269901.0
2015-03-18,58.17,58.69,56.93,58.3,6165457.0,0.0,1.0,58.17,58.69,56.93,58.3,6165457.0
2015-03-17,58.19,58.23,57.48,57.97,3196688.0,0.0,1.0,58.19,58.23,57.48,57.97,3196688.0
2015-03-16,57.49,58.44,57.375,58.33,4985753.0,0.0,1.0,57.49,58.44,57.375,58.33,4985753.0
2015-03-13,57.39,57.5,56.61,57.115,4712506.0,0.0,1.0,57.39,57.5,56.61,57.115,4712506.0
2015-03-12,56.5,57.34,56.35,57.22,3668239.0,0.0,1.0,56.5,57.34,56.35,57.22,3668239.0
2015-03-11,57.43,57.77,57.12,57.17,3151471.0,0.0,1.0,57.43,57.77,57.12,57.17,3151471.0
2015-03-10,57.85,58.17,57.07,57.1,5721902.0,0.0,1.0,57.85,58.17,57.07,57.1,5721902.0
2015-03-09,57.76,58.625,57.61,58.42,4033997.0,0.0,1.0,57.76,58.625,57.61,58.42,4033997.0
2015-03-06,58.2,58.31,57.45,57.64,4476864.0,0.0,1.0,58.2,58.31,57.45,57.64,4476864.0
2015-03-05,58.3,58.79,58.02,58.34,3685814.0,0.0,1.0,58.3,58.79,58.02,58.34,3685814.0
2015-03-04,58.52,58.67,57.86,58.32,4473901.0,0.0,1.0,58.52,58.67,57.86,58.32,4473901.0
2015-03-03,59.8,59.81,58.5,58.57,6088194.0,0.0,1.0,59.8,59.81,58.5,58.57,6088194.0
