Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,45.65,46.17,45.21,46.11,1774126.0,0.0,1.0,45.65,46.17,45.21,46.11,1774126.0
2015-04-15,45.89,46.248,45.64,45.91,1027703.0,0.0,1.0,45.89,46.248,45.64,45.91,1027703.0
2015-04-14,45.66,45.74,45.4,45.61,1471439.0,0.0,1.0,45.66,45.74,45.4,45.61,1471439.0
2015-04-13,45.96,46.32,45.61,45.72,971093.0,0.0,1.0,45.96,46.32,45.61,45.72,971093.0
2015-04-10,45.95,46.24,45.712,46.12,1317867.0,0.0,1.0,45.95,46.24,45.712,46.12,1317867.0
2015-04-09,45.85,46.17,45.42,45.81,981557.0,0.0,1.0,45.85,46.17,45.42,45.81,981557.0
2015-04-08,45.74,46.03,45.5,45.85,1199169.0,0.0,1.0,45.74,46.03,45.5,45.85,1199169.0
2015-04-07,46.05,46.29,45.715,45.77,1887491.0,0.0,1.0,46.05,46.29,45.715,45.77,1887491.0
2015-04-06,44.76,46.15,44.72,46.1,2787751.0,0.0,1.0,44.76,46.15,44.72,46.1,2787751.0
2015-04-02,44.71,45.42,44.61,44.94,1960699.0,0.0,1.0,44.71,45.42,44.61,44.94,1960699.0
2015-04-01,44.12,44.95,43.46,44.8,1949407.0,0.0,1.0,44.12,44.95,43.46,44.8,1949407.0
2015-03-31,44.63,44.848,44.135,44.33,1396687.0,0.0,1.0,44.63,44.848,44.135,44.33,1396687.0
2015-03-30,44.4,45.17,44.28,45.07,1301871.0,0.0,1.0,44.4,45.17,44.28,45.07,1301871.0
2015-03-27,43.99,44.26,43.67,44.19,1205904.0,0.0,1.0,43.99,44.26,43.67,44.19,1205904.0
2015-03-26,44.01,44.13,43.42,44.0,1352404.0,0.0,1.0,44.01,44.13,43.42,44.0,1352404.0
2015-03-25,45.14,45.25,44.32,44.33,3442772.0,0.0,1.0,45.14,45.25,44.32,44.33,3442772.0
2015-03-24,44.53,45.16,44.14,45.08,2601794.0,0.0,1.0,44.53,45.16,44.14,45.08,2601794.0
2015-03-23,45.26,45.31,44.61,44.61,1333204.0,0.0,1.0,45.26,45.31,44.61,44.61,1333204.0
2015-03-20,44.5,45.16,44.49,44.99,1935583.0,0.0,1.0,44.5,45.16,44.49,44.99,1935583.0
2015-03-19,44.37,44.64,44.07,44.39,1967437.0,0.0,1.0,44.37,44.64,44.07,44.39,1967437.0
2015-03-18,43.65,44.87,43.5,44.65,1619849.0,0.0,1.0,43.65,44.87,43.5,44.65,1619849.0
2015-03-17,43.61,43.85,43.4698,43.79,1010236.0,0.0,1.0,43.61,43.85,43.4698,43.79,1010236.0
2015-03-16,43.12,43.9,43.08,43.88,1581659.0,0.0,1.0,43.12,43.9,43.08,43.88,1581659.0
2015-03-13,43.32,43.644,42.64,42.8,1601114.0,0.0,1.0,43.32,43.644,42.64,42.8,1601114.0
2015-03-12,42.81,43.42,42.7,43.37,1386192.0,0.0,1.0,42.81,43.42,42.7,43.37,1386192.0
2015-03-11,43.03,43.27,42.45,42.6,1813444.0,0.0,1.0,43.03,43.27,42.45,42.6,1813444.0
2015-03-10,43.56,43.68,42.97,42.99,1782117.0,0.0,1.0,43.56,43.68,42.97,42.99,1782117.0
2015-03-09,44.78,44.9,44.29,44.29,1406658.0,0.0,1.0,44.78,44.9,44.29,44.29,1406658.0
2015-03-06,44.37,45.27,44.1,44.78,3657323.0,0.0,1.0,44.37,45.27,44.1,44.78,3657323.0
2015-03-05,43.69,44.02,43.584,44.01,1315828.0,0.0,1.0,43.69,44.02,43.584,44.01,1315828.0
