Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,121.93,122.32,120.52,121.6,7029456.0,0.0,1.0,121.93,122.32,120.52,121.6,7029456.0
2015-04-15,120.38,120.74,116.55,117.32,7262662.0,0.0,1.0,120.38,120.74,116.55,117.32,7262662.0
2015-04-14,119.34,120.18,118.52,119.92,3184544.0,0.0,1.0,119.34,120.18,118.52,119.92,3184544.0
2015-04-13,121.0,121.31,119.13,119.37,3910034.0,0.0,1.0,121.0,121.31,119.13,119.37,3910034.0
2015-04-10,118.55,119.098,117.97,119.0,2223733.0,0.0,1.0,118.55,119.098,117.97,119.0,2223733.0
2015-04-09,117.83,118.76,117.6,118.55,2239860.0,0.0,1.0,117.83,118.76,117.6,118.55,2239860.0
2015-04-08,117.78,118.833,117.47,118.19,2611347.0,0.0,1.0,117.78,118.833,117.47,118.19,2611347.0
2015-04-07,119.45,119.829,117.27,117.35,2519772.0,0.0,1.0,119.45,119.829,117.27,117.35,2519772.0
2015-04-06,116.02,118.52,115.95,117.7,2536447.0,0.0,1.0,116.02,118.52,115.95,117.7,2536447.0
2015-04-02,117.6,118.38,116.87,117.36,2463705.0,0.0,1.0,117.6,118.38,116.87,117.36,2463705.0
2015-04-01,119.52,119.52,116.54,117.45,4454242.0,0.0,1.0,119.52,119.52,116.54,117.45,4454242.0
2015-03-31,120.8,120.93,118.22,118.29,4526614.0,0.0,1.0,120.8,120.93,118.22,118.29,4526614.0
2015-03-30,122.32,123.76,120.5301,121.0,5132266.0,0.0,1.0,122.32,123.76,120.5301,121.0,5132266.0
2015-03-27,116.06,118.22,116.02,118.01,2556220.0,0.0,1.0,116.06,118.22,116.02,118.01,2556220.0
2015-03-26,116.07,117.21,114.6,116.25,2849296.0,0.0,1.0,116.07,117.21,114.6,116.25,2849296.0
2015-03-25,118.85,119.75,116.51,116.54,3293433.0,0.0,1.0,118.85,119.75,116.51,116.54,3293433.0
2015-03-24,118.9,119.64,118.08,118.12,3033007.0,0.0,1.0,118.9,119.64,118.08,118.12,3033007.0
2015-03-23,119.48,120.48,118.59,119.04,4570593.0,0.0,1.0,119.48,120.48,118.59,119.04,4570593.0
2015-03-20,121.35,121.53,119.0,119.14,7029633.0,0.0,1.0,121.35,121.53,119.0,119.14,7029633.0
2015-03-19,120.0,121.1,119.82,120.76,4019055.0,0.0,1.0,120.0,121.1,119.82,120.76,4019055.0
2015-03-18,117.43,120.52,116.73,119.96,5493766.0,0.0,1.0,117.43,120.52,116.73,119.96,5493766.0
2015-03-17,118.08,118.13,116.9164,117.6,3263222.0,0.0,1.0,118.08,118.13,116.9164,117.6,3263222.0
2015-03-16,116.0,118.69,115.82,118.52,4512580.0,0.0,1.0,116.0,118.69,115.82,118.52,4512580.0
2015-03-13,114.44,115.39,113.53,115.25,3051359.0,0.0,1.0,114.44,115.39,113.53,115.25,3051359.0
2015-03-12,113.32,115.05,113.15,114.88,3219210.0,0.0,1.0,113.32,115.05,113.15,114.88,3219210.0
2015-03-11,112.9,113.59,112.64,112.72,2593663.0,0.0,1.0,112.9,113.59,112.64,112.72,2593663.0
2015-03-10,114.26,114.41,112.46,112.46,3957926.0,0.0,1.0,114.26,114.41,112.46,112.46,3957926.0
2015-03-09,112.97,114.96,112.87,114.9,3942031.0,0.0,1.0,112.97,114.96,112.87,114.9,3942031.0
2015-03-06,115.16,115.16,112.609,112.88,3196855.0,0.0,1.0,115.16,115.16,112.609,112.88,3196855.0
2015-03-05,114.07,115.72,114.07,114.79,2941428.0,0.0,1.0,114.07,115.72,114.07,114.79,2941428.0
2015-03-04,112.25,113.965,111.65,113.82,3180832.0,0.0,1.0,112.25,113.965,111.65,113.82,3180832.0
2015-03-03,113.95,114.49,112.36,112.86,3163749.0,0.0,1.0,113.95,114.49,112.36,112.86,3163749.0
2015-03-02,113.77,114.85,113.75,114.4,2941356.0,0.0,1.0,113.77,114.85,113.75,114.4,2941356.0
2015-02-27,113.77,114.25,113.41,113.63,4016356.0,0.0,1.0,113.77,114.25,113.41,113.63,4016356.0
2015-02-26,114.41,114.62,113.37,113.66,3126721.0,0.0,1.0,114.41,114.62,113.37,113.66,3126721.0
2015-02-25,115.82,115.82,113.72,114.05,3845916.0,0.0,1.0,115.82,115.82,113.72,114.05,3845916.0
