Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,34.06,34.16,33.76,34.03,1055920.0,0.0,1.0,34.06,34.16,33.76,34.03,1055920.0
2015-04-15,33.81,34.26,33.75,34.16,1427542.0,0.0,1.0,33.81,34.26,33.75,34.16,1427542.0
2015-04-14,33.89,34.17,33.57,33.75,1153268.0,0.0,1.0,33.89,34.17,33.57,33.75,1153268.0
2015-04-13,33.78,34.155,33.63,33.94,1346670.0,0.0,1.0,33.78,34.155,33.63,33.94,1346670.0
2015-04-10,33.74,33.89,33.51,33.88,1437632.0,0.0,1.0,33.74,33.89,33.51,33.88,1437632.0
2015-04-09,33.29,33.82,33.17,33.78,1204941.0,0.0,1.0,33.29,33.82,33.17,33.78,1204941.0
2015-04-08,33.26,33.44,33.1,33.29,1469575.0,0.0,1.0,33.26,33.44,33.1,33.29,1469575.0
2015-04-07,33.52,33.7,33.185,33.2,1123215.0,0.0,1.0,33.52,33.7,33.185,33.2,1123215.0
2015-04-06,33.26,33.74,33.16,33.54,1115135.0,0.0,1.0,33.26,33.74,33.16,33.54,1115135.0
2015-04-02,33.39,33.76,33.25,33.67,1000038.0,0.0,1.0,33.39,33.76,33.25,33.67,1000038.0
2015-04-01,33.68,33.68,33.31,33.38,796019.0,0.0,1.0,33.68,33.68,33.31,33.38,796019.0
2015-03-31,33.5,33.935,33.42,33.73,1650299.0,0.0,1.0,33.5,33.935,33.42,33.73,1650299.0
2015-03-30,33.35,33.78,33.34,33.64,1105221.0,0.0,1.0,33.35,33.78,33.34,33.64,1105221.0
2015-03-27,33.28,33.35,32.99,33.19,980175.0,0.0,1.0,33.28,33.35,32.99,33.19,980175.0
2015-03-26,33.21,33.44,33.07,33.35,1272927.0,0.0,1.0,33.21,33.44,33.07,33.35,1272927.0
2015-03-25,33.41,33.52,33.23,33.27,1525190.0,0.0,1.0,33.41,33.52,33.23,33.27,1525190.0
2015-03-24,33.89,33.99,33.37,33.37,1449175.0,0.0,1.0,33.89,33.99,33.37,33.37,1449175.0
2015-03-23,34.06,34.47,33.92,33.92,1096331.0,0.0,1.0,34.06,34.47,33.92,33.92,1096331.0
2015-03-20,33.66,34.19,33.52,34.02,1846491.0,0.0,1.0,33.66,34.19,33.52,34.02,1846491.0
2015-03-19,33.73,33.77,33.07,33.43,916815.0,0.0,1.0,33.73,33.77,33.07,33.43,916815.0
2015-03-18,33.73,34.39,33.51,33.77,1818638.0,0.0,1.0,33.73,34.39,33.51,33.77,1818638.0
2015-03-17,33.71,34.0,33.6,33.81,1085165.0,0.0,1.0,33.71,34.0,33.6,33.81,1085165.0
2015-03-16,33.42,33.99,33.27,33.92,1883487.0,0.0,1.0,33.42,33.99,33.27,33.92,1883487.0
2015-03-13,33.5,33.94,32.89,33.27,2991688.0,0.0,1.0,33.5,33.94,32.89,33.27,2991688.0
2015-03-12,33.09,33.5,33.04,33.48,1324280.0,0.0,1.0,33.09,33.5,33.04,33.48,1324280.0
2015-03-11,32.9,33.03,32.71,32.95,2097844.0,0.0,1.0,32.9,33.03,32.71,32.95,2097844.0
2015-03-10,33.24,33.34,32.77,32.77,1873284.0,0.0,1.0,33.24,33.34,32.77,32.77,1873284.0
2015-03-09,33.91,33.95,33.6,33.67,1849150.0,0.0,1.0,33.91,33.95,33.6,33.67,1849150.0
2015-03-06,33.65,34.66,33.65,33.96,2785421.0,0.0,1.0,33.65,34.66,33.65,33.96,2785421.0
2015-03-05,33.59,33.77,33.4,33.55,1163963.0,0.0,1.0,33.59,33.77,33.4,33.55,1163963.0
2015-03-04,33.5,33.62,33.25,33.47,1291241.0,0.0,1.0,33.5,33.62,33.25,33.47,1291241.0
2015-03-03,33.55,33.86,33.4,33.69,1517111.0,0.0,1.0,33.55,33.86,33.4,33.69,1517111.0
2015-03-02,33.61,34.04,33.4,33.86,1602674.0,0.0,1.0,33.61,34.04,33.4,33.86,1602674.0
2015-02-27,33.62,34.0,33.54,33.56,1229357.0,0.0,1.0,33.62,34.0,33.54,33.56,1229357.0
2015-02-26,33.77,33.94,33.37,33.61,1725912.0,0.0,1.0,33.77,33.94,33.37,33.61,1725912.0
2015-02-25,34.09,34.18,33.72,33.88,1154069.0,0.0,1.0,34.09,34.18,33.72,33.88,1154069.0
2015-02-24,33.56,34.24,33.43,34.08,1772309.0,0.0,1.0,33.56,34.24,33.43,34.08,1772309.0
2015-02-23,33.92,33.92,33.37,33.56,1023788.0,0.0,1.0,33.92,33.92,33.37,33.56,1023788.0
2015-02-20,33.77,34.08,33.22,33.99,1535104.0,0.0,1.0,33.77,34.08,33.22,33.99,1535104.0
2015-02-19,33.84,34.13,33.58,34.02,1098927.0,0.0,1.0,33.84,34.13,33.58,34.02,1098927.0
2015-02-18,34.4,34.49,33.84,33.89,1418770.0,0.0,1.0,34.4,34.49,33.84,33.89,1418770.0
2015-02-17,34.61,34.89,34.335,34.52,2188629.0,0.0,1.0,34.61,34.89,34.335,34.52,2188629.0
2015-02-13,34.23,34.825,34.14,34.76,1770722.0,0.0,1.0,34.23,34.825,34.14,34.76,1770722.0
2015-02-12,34.06,34.3,33.92,34.25,1822407.0,0.0,1.0,34.06,34.3,33.92,34.25,1822407.0
2015-02-11,33.55,34.14,33.47,34.02,2069892.0,0.0,1.0,33.55,34.14,33.47,34.02,2069892.0
2015-02-10,33.7,33.77,33.31,33.56,1418792.0,0.0,1.0,33.7,33.77,33.31,33.56,1418792.0
2015-02-09,33.32,33.56,33.12,33.43,1437527.0,0.0,1.0,33.32,33.56,33.12,33.43,1437527.0
2015-02-06,33.19,34.075,33.16,33.56,2205190.0,0.0,1.0,33.19,34.075,33.16,33.56,2205190.0
2015-02-05,32.35,32.98,32.26,32.89,2631167.0,0.0,1.0,32.35,32.98,32.26,32.89,2631167.0
2015-02-04,32.95,33.29,32.27,32.4,3879333.0,0.0,1.0,32.95,33.29,32.27,32.4,3879333.0
2015-02-03,32.35,32.94,32.26,32.9,2067470.0,0.0,1.0,32.35,32.94,32.26,32.9,2067470.0
2015-02-02,31.22,32.0,31.02,31.96,1965288.0,0.0,1.0,31.22,32.0,31.02,31.96,1965288.0
2015-01-30,31.02,31.595,30.72,31.06,2909361.0,0.0,1.0,31.02,31.595,30.72,31.06,2909361.0
2015-01-29,31.14,31.57,30.96,31.43,1770328.0,0.0,1.0,31.14,31.57,30.96,31.43,1770328.0
2015-01-28,31.95,32.01,31.025,31.05,2295651.0,0.165,1.0,31.95,32.01,31.025,31.05,2295651.0
2015-01-26,32.01,32.4,31.8,32.28,1197593.0,0.0,1.0,31.840797693417,32.228736184527,31.631907736665,32.109370494954,1197593.0
2015-01-23,32.44,32.56,32.08,32.12,1339488.0,0.0,1.0,32.268524747717,32.38789043729,31.910427679,31.950216242191,1339488.0
2015-01-22,31.79,32.58,31.46,32.54,1680261.0,0.0,1.0,31.621960595867,32.407784718885,31.293704949543,32.367996155694,1680261.0
2015-01-21,31.46,31.74,31.12,31.66,1217956.0,0.0,1.0,31.293704949543,31.572224891879,30.955502162422,31.492647765497,1217956.0
2015-01-20,31.83,32.18,31.28,31.49,1537139.0,0.0,1.0,31.661749159058,32.009899086977,31.114656415185,31.323546371937,1537139.0
2015-01-15,31.92,32.16,31.33,31.35,1645954.0,0.0,1.0,31.751273426237,31.990004805382,31.164392119173,31.184286400769,1645954.0
2015-01-14,31.85,32.06,31.51,31.89,1499734.0,0.0,1.0,31.681643440654,31.890533397405,31.343440653532,31.721432003844,1499734.0
2015-01-13,33.0,33.13,32.0,32.27,1553920.0,0.0,1.0,32.825564632388,32.954877462758,31.830850552619,32.099423354157,1553920.0
