Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,107.0,108.45,106.75,108.35,4502238.0,0.0,1.0,107.0,108.45,106.75,108.35,4502238.0
2015-04-15,110.19,110.53,107.39,107.4,5329489.0,0.0,1.0,110.19,110.53,107.39,107.4,5329489.0
2015-04-14,105.22,108.28,104.16,108.17,9146887.0,0.0,1.0,105.22,108.28,104.16,108.17,9146887.0
2015-04-13,111.05,111.58,108.41,108.47,5207340.0,0.0,1.0,111.05,111.58,108.41,108.47,5207340.0
2015-04-10,111.5,112.44,110.73,111.42,6510204.0,0.0,1.0,111.5,112.44,110.73,111.42,6510204.0
2015-04-09,107.85,109.93,107.7,109.79,4413006.0,0.0,1.0,107.85,109.93,107.7,109.79,4413006.0
2015-04-08,107.7,108.81,107.66,108.13,4430966.0,0.0,1.0,107.7,108.81,107.66,108.13,4430966.0
2015-04-07,106.93,108.45,106.39,107.84,6480815.0,0.0,1.0,106.93,108.45,106.39,107.84,6480815.0
2015-04-06,106.34,107.54,106.25,106.38,5245799.0,0.0,1.0,106.34,107.54,106.25,106.38,5245799.0
2015-04-02,107.45,108.295,106.8375,107.13,4567695.0,0.0,1.0,107.45,108.295,106.8375,107.13,4567695.0
2015-04-01,107.76,108.15,106.38,107.34,5270813.0,0.0,1.0,107.76,108.15,106.38,107.34,5270813.0
2015-03-31,109.66,109.66,107.8,108.31,5518945.0,0.0,1.0,109.66,109.66,107.8,108.31,5518945.0
2015-03-30,109.0,110.39,108.77,110.09,5172373.0,0.0,1.0,109.0,110.39,108.77,110.09,5172373.0
2015-03-27,107.74,108.99,106.78,108.44,6202963.0,0.0,1.0,107.74,108.99,106.78,108.44,6202963.0
2015-03-26,109.06,109.28,106.75,108.17,9336256.0,0.0,1.0,109.06,109.28,106.75,108.17,9336256.0
2015-03-25,112.7,113.06,110.7,110.82,5055493.0,0.0,1.0,112.7,113.06,110.7,110.82,5055493.0
2015-03-24,112.75,113.73,111.31,112.51,5620404.0,0.0,1.0,112.75,113.73,111.31,112.51,5620404.0
2015-03-23,114.85,116.0,112.62,112.78,6668309.0,0.0,1.0,114.85,116.0,112.62,112.78,6668309.0
2015-03-20,117.98,118.66,117.1,117.45,4869549.0,0.0,1.0,117.98,118.66,117.1,117.45,4869549.0
2015-03-19,117.48,118.33,116.79,117.55,3459265.0,0.0,1.0,117.48,118.33,116.79,117.55,3459265.0
2015-03-18,116.08,118.195,115.04,117.78,3594629.0,0.0,1.0,116.08,118.195,115.04,117.78,3594629.0
2015-03-17,115.95,116.83,115.64,116.42,2602215.0,0.0,1.0,115.95,116.83,115.64,116.42,2602215.0
2015-03-16,115.5,116.83,115.36,116.72,5058604.0,0.0,1.0,115.5,116.83,115.36,116.72,5058604.0
2015-03-13,115.23,115.8,113.77,114.52,4141470.0,0.0,1.0,115.23,115.8,113.77,114.52,4141470.0
2015-03-12,115.08,115.54,114.31,115.13,4840448.0,0.0,1.0,115.08,115.54,114.31,115.13,4840448.0
2015-03-11,114.93,115.77,114.28,114.29,4271462.0,0.0,1.0,114.93,115.77,114.28,114.29,4271462.0
2015-03-10,115.92,116.84,114.75,114.75,3990203.0,0.0,1.0,115.92,116.84,114.75,114.75,3990203.0
2015-03-09,116.38,117.865,116.2,117.17,2605119.0,0.0,1.0,116.38,117.865,116.2,117.17,2605119.0
2015-03-06,117.37,118.25,116.09,116.45,3326062.0,0.0,1.0,117.37,118.25,116.09,116.45,3326062.0
2015-03-05,118.32,118.54,117.34,118.33,3345666.0,0.0,1.0,118.32,118.54,117.34,118.33,3345666.0
2015-03-04,117.65,118.28,116.6,118.21,3919793.0,0.0,1.0,117.65,118.28,116.6,118.21,3919793.0
2015-03-03,120.09,120.38,117.8801,118.46,3825978.0,0.0,1.0,120.09,120.38,117.8801,118.46,3825978.0
2015-03-02,120.26,120.9999,120.05,120.75,3066342.0,0.0,1.0,120.26,120.9999,120.05,120.75,3066342.0
2015-02-27,121.15,121.4,120.19,120.26,2772843.0,0.0,1.0,121.15,121.4,120.19,120.26,2772843.0
2015-02-26,122.23,122.655,120.69,120.76,3105122.0,0.0,1.0,122.23,122.655,120.69,120.76,3105122.0
2015-02-25,122.5,123.1299,121.86,122.42,2495264.0,0.0,1.0,122.5,123.1299,121.86,122.42,2495264.0
2015-02-24,122.93,123.36,122.13,122.69,3720170.0,0.0,1.0,122.93,123.36,122.13,122.69,3720170.0
2015-02-23,123.79,123.9,122.6,123.75,2738426.0,0.0,1.0,123.79,123.9,122.6,123.75,2738426.0
2015-02-20,121.76,123.7,120.44,123.66,3722209.0,0.0,1.0,121.76,123.7,120.44,123.66,3722209.0
2015-02-19,123.07,123.82,121.84,121.96,2593870.0,0.0,1.0,123.07,123.82,121.84,121.96,2593870.0
2015-02-18,122.44,123.62,122.0201,123.35,2090879.0,0.0,1.0,122.44,123.62,122.0201,123.35,2090879.0
2015-02-17,121.96,122.555,121.57,122.54,3512958.0,0.0,1.0,121.96,122.555,121.57,122.54,3512958.0
2015-02-13,123.8,124.52,122.25,122.6,3363510.0,0.0,1.0,123.8,124.52,122.25,122.6,3363510.0
2015-02-12,122.94,123.94,122.39,123.83,4125890.0,0.0,1.0,122.94,123.94,122.39,123.83,4125890.0
2015-02-11,120.93,122.7,120.588,122.14,3367962.0,0.0,1.0,120.93,122.7,120.588,122.14,3367962.0
2015-02-10,119.69,121.1,118.76,120.87,4017403.0,0.0,1.0,119.69,121.1,118.76,120.87,4017403.0
2015-02-09,121.07,122.01,118.95,119.45,4217927.0,0.0,1.0,121.07,122.01,118.95,119.45,4217927.0
2015-02-04,121.18,121.36,119.92,120.44,3070728.0,0.0,1.0,121.18,121.36,119.92,120.44,3070728.0
2015-02-03,119.7,122.0,119.8,121.79,3596515.0,0.0,1.0,119.7,122.0,119.8,121.79,3596515.0
2015-02-02,118.13,119.06,116.7,119.01,3241211.0,0.0,1.0,118.13,119.06,116.7,119.01,3241211.0
2015-01-30,119.12,119.92,117.13,117.21,4406465.0,0.0,1.0,119.12,119.92,117.13,117.21,4406465.0
2015-01-29,119.185,120.336,117.575,120.09,3473766.0,0.0,1.0,119.185,120.336,117.575,120.09,3473766.0
2015-01-28,121.69,122.09,119.09,119.15,4570616.0,0.0,1.0,121.69,122.09,119.09,119.15,4570616.0
2015-01-26,120.51,121.87,119.65,121.33,3550665.0,0.0,1.0,120.51,121.87,119.65,121.33,3550665.0
2015-01-23,121.0,122.19,119.34,120.09,5121357.0,0.0,1.0,121.0,122.19,119.34,120.09,5121357.0
2015-01-22,117.25,120.9,117.02,119.83,6385061.0,0.0,1.0,117.25,120.9,117.02,119.83,6385061.0
2015-01-21,114.28,116.07,113.78,114.4,4768232.0,0.0,1.0,114.28,116.07,113.78,114.4,4768232.0
2015-01-20,112.49,114.42,112.15,113.95,5441269.0,0.0,1.0,112.49,114.42,112.15,113.95,5441269.0
2015-01-15,112.03,112.87,110.37,110.8,5648707.0,0.0,1.0,112.03,112.87,110.37,110.8,5648707.0
2015-01-14,110.27,111.98,109.54,111.36,6202437.0,0.0,1.0,110.27,111.98,109.54,111.36,6202437.0
2015-01-13,114.95,116.15,110.73,111.83,5465927.0,0.0,1.0,114.95,116.15,110.73,111.83,5465927.0
2015-01-12,114.31,114.45,112.79,113.97,3262908.0,0.0,1.0,114.31,114.45,112.79,113.97,3262908.0
2015-01-08,114.13,117.085,113.51,117.08,4842104.0,0.0,1.0,114.13,117.085,113.51,117.08,4842104.0
2015-01-06,114.28,114.29,111.6601,112.23,6310980.0,0.0,1.0,114.28,114.29,111.6601,112.23,6310980.0
2015-01-05,118.04,118.31,114.47,114.6,4602536.0,0.0,1.0,118.04,118.31,114.47,114.6,4602536.0
2015-01-02,119.97,120.8,117.66,118.61,3083180.0,0.0,1.0,119.97,120.8,117.66,118.61,3083180.0
2014-12-31,120.48,120.77,119.02,119.13,2349651.0,0.0,1.0,120.48,120.77,119.02,119.13,2349651.0
2014-12-30,120.41,120.82,119.68,120.25,2273934.0,0.0,1.0,120.41,120.82,119.68,120.25,2273934.0
2014-12-26,120.53,120.99,120.07,120.39,1665967.0,0.0,1.0,120.53,120.99,120.07,120.39,1665967.0
2014-12-24,121.18,121.1,120.26,120.3,1001474.0,0.0,1.0,121.18,121.1,120.26,120.3,1001474.0
2014-12-23,120.97,121.4,120.3,120.68,2203767.0,0.0,1.0,120.97,121.4,120.3,120.68,2203767.0
2014-12-22,119.15,120.74,118.94,120.41,3169996.0,0.0,1.0,119.15,120.74,118.94,120.41,3169996.0
2014-12-19,118.74,119.98,118.11,118.47,6118009.0,0.0,1.0,118.74,119.98,118.11,118.47,6118009.0
