Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,65.53,66.01,65.35,65.65,4093592.0,0.0,1.0,65.53,66.01,65.35,65.65,4093592.0
2015-04-15,65.6,65.91,65.3,65.68,5310833.0,0.0,1.0,65.6,65.91,65.3,65.68,5310833.0
2015-04-14,65.52,65.94,64.88,65.53,5589711.0,0.0,1.0,65.52,65.94,64.88,65.53,5589711.0
2015-04-13,66.22,66.8,65.51,65.61,4976415.0,0.0,1.0,66.22,66.8,65.51,65.61,4976415.0
2015-04-10,66.69,66.69,65.93,66.34,4626527.0,0.0,1.0,66.69,66.69,65.93,66.34,4626527.0
2015-04-09,66.57,66.82,65.76,66.44,5379636.0,0.0,1.0,66.57,66.82,65.76,66.44,5379636.0
2015-04-08,65.89,66.84,65.8,66.5,6552759.0,0.0,1.0,65.89,66.84,65.8,66.5,6552759.0
2015-04-07,65.38,66.19,65.31,65.8,6584397.0,0.0,1.0,65.38,66.19,65.31,65.8,6584397.0
2015-04-06,64.73,65.64,64.4105,65.2,8344508.0,0.0,1.0,64.73,65.64,64.4105,65.2,8344508.0
2015-04-02,64.99,65.62,64.81,65.29,5029775.0,0.0,1.0,64.99,65.62,64.81,65.29,5029775.0
2015-04-01,65.45,65.5195,64.45,65.18,7604325.0,0.0,1.0,65.45,65.5195,64.45,65.18,7604325.0
2015-03-31,65.47,66.205,65.39,65.41,7345370.0,0.0,1.0,65.47,66.205,65.39,65.41,7345370.0
2015-03-30,66.02,66.32,65.5,65.66,11177031.0,0.0,1.0,66.02,66.32,65.5,65.66,11177031.0
2015-03-27,65.52,65.81,65.15,65.54,6461492.0,0.0,1.0,65.52,65.81,65.15,65.54,6461492.0
2015-03-26,65.25,66.3,65.02,65.59,8843419.0,0.0,1.0,65.25,66.3,65.02,65.59,8843419.0
2015-03-25,67.1,67.43,65.73,65.73,9938138.0,0.0,1.0,67.1,67.43,65.73,65.73,9938138.0
2015-03-24,67.1,67.69,66.84,67.1,6440843.0,0.0,1.0,67.1,67.69,66.84,67.1,6440843.0
2015-03-23,68.03,68.21,67.07,67.08,8110113.0,0.0,1.0,68.03,68.21,67.07,67.08,8110113.0
2015-03-20,67.25,67.7,66.78,67.41,15205373.0,0.0,1.0,67.25,67.7,66.78,67.41,15205373.0
2015-03-19,66.83,67.19,65.75,66.81,15254146.0,0.0,4.0,66.83,67.19,65.75,66.81,15254146.0
2015-03-18,264.09,267.98,259.01,267.67,12254001.0,0.0,1.0,66.0225,66.995,64.7525,66.9175,49016004.0
2015-03-17,268.06,268.36,264.14,264.5,3065980.0,0.0,1.0,67.015,67.09,66.035,66.125,12263920.0
2015-03-16,266.89,270.05,266.63,269.02,2435193.0,0.0,1.0,66.7225,67.5125,66.6575,67.255,9740772.0
2015-03-13,268.84,268.84,264.5,265.03,3139828.0,0.0,1.0,67.21,67.21,66.125,66.2575,12559312.0
2015-03-12,266.4,270.0,266.3,269.58,2357953.0,0.0,1.0,66.6,67.5,66.575,67.395,9431812.0
2015-03-11,265.63,267.38,263.05,264.75,3026306.0,0.0,1.0,66.4075,66.845,65.7625,66.1875,12105224.0
2015-03-10,269.64,269.86,265.2,265.2,2781380.0,0.0,1.0,67.41,67.465,66.3,66.3,11125520.0
2015-03-09,270.52,272.21,269.08,271.42,2225975.0,0.0,1.0,67.63,68.0525,67.27,67.855,8903900.0
2015-03-06,273.4,274.48,269.25,269.34,2897673.0,0.0,1.0,68.35,68.62,67.3125,67.335,11590692.0
2015-03-05,275.0,275.14,273.75,274.13,1689019.0,0.0,1.0,68.75,68.785,68.4375,68.5325,6756076.0
2015-03-04,275.15,275.15,272.25,273.75,1998802.0,0.0,1.0,68.7875,68.7875,68.0625,68.4375,7995208.0
2015-03-03,278.65,278.65,273.5,275.3,2200314.0,0.0,1.0,69.6625,69.6625,68.375,68.825,8801256.0
2015-03-02,276.71,278.29,274.44,278.29,2910704.0,0.0,1.0,69.1775,69.5725,68.61,69.5725,11642816.0
2015-02-27,273.47,274.19,271.31,271.31,1989080.0,0.0,1.0,68.3675,68.5475,67.8275,67.8275,7956320.0
2015-02-26,273.2,274.5,272.02,273.75,3364277.0,0.0,1.0,68.3,68.625,68.005,68.4375,13457108.0
2015-02-25,271.26,274.23,271.26,273.01,1710644.0,0.0,1.0,67.815,68.5575,67.815,68.2525,6842576.0
2015-02-24,273.52,273.81,271.17,272.47,2260716.0,0.0,1.0,68.38,68.4525,67.7925,68.1175,9042864.0
2015-02-23,272.76,273.32,270.25,273.01,1662702.0,0.0,1.0,68.19,68.33,67.5625,68.2525,6650808.0
2015-02-20,269.0,273.0,267.06,273.0,2247335.0,0.0,1.0,67.25,68.25,66.765,68.25,8989340.0
2015-02-19,270.07,270.07,268.0,269.1,1413471.0,0.0,1.0,67.5175,67.5175,67.0,67.275,5653884.0
2015-02-18,270.84,271.0,268.15,269.12,1601448.0,0.0,1.0,67.71,67.75,67.0375,67.28,6405792.0
2015-02-17,270.02,271.99,269.87,270.87,1702306.0,0.0,1.0,67.505,67.9975,67.4675,67.7175,6809224.0
2015-02-13,272.75,272.75,268.78,269.63,2117213.0,0.0,1.0,68.1875,68.1875,67.195,67.4075,8468852.0
2015-02-12,267.62,270.91,267.06,270.91,2907755.0,0.0,1.0,66.905,67.7275,66.765,67.7275,11631020.0
2015-02-11,264.91,266.3,264.25,265.99,2192932.0,0.48,1.0,66.2275,66.575,66.0625,66.4975,8771728.0
2015-02-10,266.99,267.87,263.6268,264.55,2346473.0,0.0,1.0,66.627265827298,66.846869535032,65.787980384283,66.01836463767,9385892.0
2015-02-09,267.41,268.34,265.28,265.46,1838779.0,0.0,1.0,66.732076687807,66.964157878936,66.200535895223,66.245454835441,7355116.0
2015-02-05,267.1,271.8,265.9,271.8,4136360.0,0.0,1.0,66.654716290764,67.827599729801,66.355256689308,67.827599729801,16545440.0
2015-02-04,259.5,266.73,259.1,264.89,5528972.0,0.0,1.0,64.758138814876,66.562382913649,64.658318947724,66.103211524749,22115888.0
2015-02-03,256.71,260.45,254.74,259.79,3760325.0,0.0,1.0,64.061895241491,64.995210999362,63.570282395767,64.830508218561,15041300.0
2015-02-02,256.0,256.31,249.7,255.34,3409618.0,0.0,1.0,63.884714977296,63.962075374339,62.312552069651,63.720012196495,13638472.0
2015-01-30,260.4,263.6182,254.91,254.91,5528810.0,0.0,1.0,64.982733515968,65.78583425714,63.612705839306,63.612705839306,22115240.0
2015-01-29,247.59,248.8,245.17,248.0,3793740.0,0.0,1.0,61.786002270424,62.087957368559,61.182092074155,61.888317634255,15174960.0
2015-01-28,252.53,253.01,246.3,246.36,2853209.0,0.0,1.0,63.018777629752,63.138561470334,61.464083198859,61.479056178932,11412836.0
2015-01-26,256.94,257.29,253.8,256.53,2138095.0,0.0,1.0,64.119291665103,64.206634048861,63.33570570796,64.016976301272,8552380.0
2015-01-23,258.52,260.65,258.18,258.29,1539531.0,0.0,1.0,64.513580140353,65.045120932938,64.428733253274,64.456183716741,6158124.0
2015-01-22,255.45,259.0,253.37,257.6,2887813.0,0.0,1.0,63.747462659962,64.633363980936,63.228399350771,64.283994445904,11551252.0
2015-01-21,255.41,259.63,254.5,257.28,2427556.0,0.0,1.0,63.737480673247,64.7905802717,63.510390475476,64.204138552182,9710224.0
