Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,74.49,74.93,74.37,74.52,768450.0,0.0,1.0,74.49,74.93,74.37,74.52,768450.0
2015-04-15,75.04,75.55,74.46,74.55,1271522.0,0.0,1.0,75.04,75.55,74.46,74.55,1271522.0
2015-04-14,74.89,75.07,74.31,74.66,1265599.0,0.0,1.0,74.89,75.07,74.31,74.66,1265599.0
2015-04-13,75.47,75.82,74.88,74.88,1128673.0,0.0,1.0,75.47,75.82,74.88,74.88,1128673.0
2015-04-10,75.28,75.63,74.9,75.58,1357814.0,0.0,1.0,75.28,75.63,74.9,75.58,1357814.0
2015-04-09,75.66,76.01,74.95,75.27,1031653.0,0.0,1.0,75.66,76.01,74.95,75.27,1031653.0
2015-04-08,75.69,76.06,75.03,75.59,1354511.0,0.0,1.0,75.69,76.06,75.03,75.59,1354511.0
2015-04-07,75.77,76.03,75.34,75.63,1450055.0,0.0,1.0,75.77,76.03,75.34,75.63,1450055.0
2015-04-06,74.96,76.18,74.78,75.79,1275035.0,0.0,1.0,74.96,76.18,74.78,75.79,1275035.0
2015-04-02,75.01,75.64,74.92,75.48,1073450.0,0.0,1.0,75.01,75.64,74.92,75.48,1073450.0
2015-04-01,75.38,75.38,74.25,75.03,1578870.0,0.0,1.0,75.38,75.38,74.25,75.03,1578870.0
2015-03-31,75.05,75.78,74.89,75.31,2561934.0,0.0,1.0,75.05,75.78,74.89,75.31,2561934.0
2015-03-30,74.63,75.38,74.63,75.13,880955.0,0.0,1.0,74.63,75.38,74.63,75.13,880955.0
2015-03-27,74.05,74.73,73.88,74.36,843992.0,0.0,1.0,74.05,74.73,73.88,74.36,843992.0
2015-03-26,73.66,74.29,73.02,73.88,1144086.0,0.0,1.0,73.66,74.29,73.02,73.88,1144086.0
2015-03-25,75.4,75.5999,74.07,74.07,1789316.0,0.0,1.0,75.4,75.5999,74.07,74.07,1789316.0
2015-03-24,75.92,75.99,75.15,75.39,1324414.0,0.0,1.0,75.92,75.99,75.15,75.39,1324414.0
2015-03-23,75.38,76.4845,75.26,75.99,1932149.0,0.0,1.0,75.38,76.4845,75.26,75.99,1932149.0
2015-03-20,74.31,75.36,74.1,75.25,3786128.0,0.0,1.0,74.31,75.36,74.1,75.25,3786128.0
2015-03-19,73.91,74.2,73.53,74.06,1089139.0,0.0,1.0,73.91,74.2,73.53,74.06,1089139.0
2015-03-18,72.92,74.15,72.24,73.9,2198090.0,0.0,1.0,72.92,74.15,72.24,73.9,2198090.0
2015-03-17,72.92,73.36,72.72,73.09,2067106.0,0.0,1.0,72.92,73.36,72.72,73.09,2067106.0
2015-03-16,73.26,73.5,72.91,73.16,1205076.0,0.0,1.0,73.26,73.5,72.91,73.16,1205076.0
2015-03-13,73.34,73.74,72.47,72.93,1520641.0,0.0,1.0,73.34,73.74,72.47,72.93,1520641.0
2015-03-12,73.19,73.42,72.73,73.22,2677524.0,0.0,1.0,73.19,73.42,72.73,73.22,2677524.0
2015-03-11,74.02,74.2,72.57,72.72,2153889.0,0.0,1.0,74.02,74.2,72.57,72.72,2153889.0
2015-03-10,74.18,74.56,73.9,73.98,1349508.0,0.0,1.0,74.18,74.56,73.9,73.98,1349508.0
