Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,70.14,71.19,70.09,70.91,2469498.0,0.0,1.0,70.14,71.19,70.09,70.91,2469498.0
2015-04-15,69.55,70.84,69.55,70.45,2689858.0,0.0,1.0,69.55,70.84,69.55,70.45,2689858.0
2015-04-14,69.37,70.0,68.87,69.61,1789161.0,0.0,1.0,69.37,70.0,68.87,69.61,1789161.0
2015-04-13,69.72,70.445,69.13,69.54,4127474.0,0.0,1.0,69.72,70.445,69.13,69.54,4127474.0
2015-04-10,69.59,69.66,69.15,69.265,2018840.0,0.0,1.0,69.59,69.66,69.15,69.265,2018840.0
2015-04-09,67.69,69.41,67.63,69.32,2506595.0,0.0,1.0,67.69,69.41,67.63,69.32,2506595.0
2015-04-08,67.63,68.86,67.31,68.23,3246000.0,0.0,1.0,67.63,68.86,67.31,68.23,3246000.0
2015-04-07,67.91,68.72,66.99,67.28,5365013.0,0.0,1.0,67.91,68.72,66.99,67.28,5365013.0
2015-04-06,67.14,68.64,67.01,68.6,2490125.0,0.0,1.0,67.14,68.64,67.01,68.6,2490125.0
2015-04-02,67.37,67.95,66.99,67.59,2379497.0,0.0,1.0,67.37,67.95,66.99,67.59,2379497.0
2015-04-01,67.69,68.515,65.8,67.31,4544625.0,0.0,1.0,67.69,68.515,65.8,67.31,4544625.0
2015-03-31,67.87,69.04,67.58,68.3,2707279.0,0.0,1.0,67.87,69.04,67.58,68.3,2707279.0
2015-03-30,68.17,68.96,68.03,68.14,1897996.0,0.0,1.0,68.17,68.96,68.03,68.14,1897996.0
2015-03-27,67.38,67.98,67.24,67.85,1908013.0,0.0,1.0,67.38,67.98,67.24,67.85,1908013.0
2015-03-26,67.4,67.71,66.8,67.26,2673574.0,0.0,1.0,67.4,67.71,66.8,67.26,2673574.0
2015-03-25,69.0,69.21,67.73,67.73,2956924.0,0.0,1.0,69.0,69.21,67.73,67.73,2956924.0
2015-03-24,70.16,70.46,69.06,69.07,3094254.0,0.0,1.0,70.16,70.46,69.06,69.07,3094254.0
2015-03-23,69.97,70.995,66.93,70.4,3286218.0,0.0,1.0,69.97,70.995,66.93,70.4,3286218.0
2015-03-20,69.13,70.2,68.88,69.76,4680949.0,0.0,1.0,69.13,70.2,68.88,69.76,4680949.0
2015-03-19,68.84,69.28,68.49,68.81,2416550.0,0.0,1.0,68.84,69.28,68.49,68.81,2416550.0
2015-03-18,68.71,69.05,67.865,68.87,3826177.0,0.0,1.0,68.71,69.05,67.865,68.87,3826177.0
