Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,107.11,108.37,106.71,107.65,387318.0,0.0,1.0,107.11,108.37,106.71,107.65,387318.0
2015-04-15,108.22,108.74,107.43,107.49,567054.0,0.0,1.0,108.22,108.74,107.43,107.49,567054.0
2015-04-14,107.26,108.94,107.21,108.31,700758.0,0.0,1.0,107.26,108.94,107.21,108.31,700758.0
2015-04-13,107.5,107.65,107.16,107.24,689231.0,0.0,1.0,107.5,107.65,107.16,107.24,689231.0
2015-04-10,107.78,108.7,107.05,107.42,763504.0,0.0,1.0,107.78,108.7,107.05,107.42,763504.0
2015-04-09,109.63,109.67,106.66,107.14,1209791.0,0.0,1.0,109.63,109.67,106.66,107.14,1209791.0
2015-04-08,110.11,110.73,109.535,109.74,607423.0,0.0,1.0,110.11,110.73,109.535,109.74,607423.0
2015-04-07,112.53,112.53,110.12,110.12,711971.0,0.0,1.0,112.53,112.53,110.12,110.12,711971.0
2015-04-06,111.34,113.12,111.27,112.62,615742.0,0.0,1.0,111.34,113.12,111.27,112.62,615742.0
2015-04-02,110.01,111.95,109.89,111.21,466474.0,0.0,1.0,110.01,111.95,109.89,111.21,466474.0
2015-04-01,111.95,111.95,109.88,110.3,1033351.0,0.0,1.0,111.95,111.95,109.88,110.3,1033351.0
2015-03-31,112.07,112.63,111.5,112.0,1685070.0,0.0,1.0,112.07,112.63,111.5,112.0,1685070.0
2015-03-30,111.42,112.63,110.51,112.35,715076.0,0.0,1.0,111.42,112.63,110.51,112.35,715076.0
2015-03-27,110.15,111.03,109.885,110.94,896262.0,0.0,1.0,110.15,111.03,109.885,110.94,896262.0
2015-03-26,110.0,110.74,109.3,110.27,804477.0,0.0,1.0,110.0,110.74,109.3,110.27,804477.0
2015-03-25,112.64,113.06,110.25,110.36,803932.0,0.0,1.0,112.64,113.06,110.25,110.36,803932.0
2015-03-24,112.9,113.175,112.28,112.46,832086.0,0.0,1.0,112.9,113.175,112.28,112.46,832086.0
2015-03-23,113.35,114.02,112.6,113.28,1147141.0,0.0,1.0,113.35,114.02,112.6,113.28,1147141.0
2015-03-20,109.34,113.65,108.73,113.44,1657247.0,0.0,1.0,109.34,113.65,108.73,113.44,1657247.0
2015-03-19,108.48,109.67,108.058,109.05,756667.0,0.0,1.0,108.48,109.67,108.058,109.05,756667.0
2015-03-18,106.74,109.49,106.19,108.89,667893.0,0.0,1.0,106.74,109.49,106.19,108.89,667893.0
2015-03-17,106.39,107.22,106.05,106.89,753238.0,0.0,1.0,106.39,107.22,106.05,106.89,753238.0
2015-03-16,106.09,107.19,105.67,106.66,823208.0,0.0,1.0,106.09,107.19,105.67,106.66,823208.0
2015-03-13,106.26,106.35,105.14,105.76,806752.0,0.0,1.0,106.26,106.35,105.14,105.76,806752.0
2015-03-12,105.09,106.51,105.03,106.24,901524.0,0.0,1.0,105.09,106.51,105.03,106.24,901524.0
2015-03-11,104.2,105.17,104.11,104.58,931303.0,0.0,1.0,104.2,105.17,104.11,104.58,931303.0
2015-03-10,105.19,105.67,104.44,104.46,969180.0,0.0,1.0,105.19,105.67,104.44,104.46,969180.0
2015-03-09,105.38,106.09,104.9,105.29,870995.0,0.0,1.0,105.38,106.09,104.9,105.29,870995.0
2015-03-06,107.47,107.47,104.53,104.67,1297285.0,0.0,1.0,107.47,107.47,104.53,104.67,1297285.0
2015-03-05,109.36,110.21,108.94,109.17,1028198.0,0.0,1.0,109.36,110.21,108.94,109.17,1028198.0
