Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,72.87,73.7396,72.38,73.29,1991649.0,0.0,1.0,72.87,73.7396,72.38,73.29,1991649.0
2015-04-15,73.85,74.05,73.14,73.17,2159710.0,0.0,1.0,73.85,74.05,73.14,73.17,2159710.0
2015-04-14,73.53,74.2,73.5,73.85,1335601.0,0.0,1.0,73.53,74.2,73.5,73.85,1335601.0
2015-04-13,74.01,74.12,73.33,73.33,1557380.0,0.0,1.0,74.01,74.12,73.33,73.33,1557380.0
2015-04-10,74.76,75.25,73.73,74.05,2069293.0,0.0,1.0,74.76,75.25,73.73,74.05,2069293.0
2015-04-09,74.91,74.93,73.79,74.12,2787536.0,0.0,1.0,74.91,74.93,73.79,74.12,2787536.0
2015-04-08,75.07,75.44,74.69,75.1,2080353.0,0.0,1.0,75.07,75.44,74.69,75.1,2080353.0
2015-04-07,76.71,76.75,74.785,74.97,4018968.0,0.0,1.0,76.71,76.75,74.785,74.97,4018968.0
2015-04-06,75.21,77.355,74.94,76.9,4659113.0,0.0,1.0,75.21,77.355,74.94,76.9,4659113.0
2015-04-02,72.9,73.55,72.79,73.23,1346454.0,0.0,1.0,72.9,73.55,72.79,73.23,1346454.0
2015-04-01,73.11,73.45,72.42,73.03,1486804.0,0.0,1.0,73.11,73.45,72.42,73.03,1486804.0
2015-03-31,73.96,74.0,72.8821,73.02,1874881.0,0.0,1.0,73.96,74.0,72.8821,73.02,1874881.0
2015-03-30,72.43,73.73,72.42,73.65,1949169.0,0.0,1.0,72.43,73.73,72.42,73.65,1949169.0
2015-03-27,71.78,72.49,71.69,72.32,1941575.0,0.0,1.0,71.78,72.49,71.69,72.32,1941575.0
2015-03-26,71.59,72.4,71.41,71.66,3023445.0,0.0,1.0,71.59,72.4,71.41,71.66,3023445.0
2015-03-25,73.39,73.73,71.99,72.0,2833081.0,0.0,1.0,73.39,73.73,71.99,72.0,2833081.0
2015-03-24,73.87,74.37,73.38,73.38,2738898.0,0.0,1.0,73.87,74.37,73.38,73.38,2738898.0
2015-03-23,73.83,74.97,73.61,74.06,2274745.0,0.0,1.0,73.83,74.97,73.61,74.06,2274745.0
2015-03-20,72.38,74.07,71.85,73.73,5523194.0,0.0,1.0,72.38,74.07,71.85,73.73,5523194.0
2015-03-19,71.21,72.42,71.17,71.86,2772985.0,0.0,1.0,71.21,72.42,71.17,71.86,2772985.0
2015-03-18,70.29,71.99,69.81,71.5,3936180.0,0.0,1.0,70.29,71.99,69.81,71.5,3936180.0
2015-03-17,70.69,71.0,70.24,70.29,2087577.0,0.0,1.0,70.69,71.0,70.24,70.29,2087577.0
2015-03-16,70.48,71.32,70.48,70.7,1866717.0,0.0,1.0,70.48,71.32,70.48,70.7,1866717.0
2015-03-13,70.28,70.6571,69.65,70.11,1730131.0,0.0,1.0,70.28,70.6571,69.65,70.11,1730131.0
2015-03-12,69.58,70.455,69.5,70.37,2405723.0,0.0,1.0,69.58,70.455,69.5,70.37,2405723.0
2015-03-11,69.58,70.0,69.015,69.12,3064306.0,0.0,1.0,69.58,70.0,69.015,69.12,3064306.0
2015-03-10,69.85,70.14,69.5,69.5,5143562.0,0.0,1.0,69.85,70.14,69.5,69.5,5143562.0
2015-03-09,70.31,70.45,69.7591,70.0,3226880.0,0.0,1.0,70.31,70.45,69.7591,70.0,3226880.0
2015-03-06,71.32,72.19,69.44,69.91,3645071.0,0.0,1.0,71.32,72.19,69.44,69.91,3645071.0
2015-03-05,73.53,73.94,72.82,72.9,2744042.0,0.0,1.0,73.53,73.94,72.82,72.9,2744042.0
2015-03-04,73.98,74.255,72.8,73.03,3107757.0,0.0,1.0,73.98,74.255,72.8,73.03,3107757.0
2015-03-03,74.37,74.85,73.55,74.53,2049769.0,0.0,1.0,74.37,74.85,73.55,74.53,2049769.0
2015-03-02,74.54,75.81,74.43,74.68,3011949.0,0.0,1.0,74.54,75.81,74.43,74.68,3011949.0
2015-02-27,74.19,74.535,73.16,74.47,1955263.0,0.0,1.0,74.19,74.535,73.16,74.47,1955263.0
2015-02-26,74.37,74.78,73.47,73.78,2560386.0,0.0,1.0,74.37,74.78,73.47,73.78,2560386.0
2015-02-25,74.57,75.48,74.27,74.43,2736455.0,0.0,1.0,73.994695465629,74.89767485243,73.697009953497,73.855775559967,2736455.0
2015-02-24,75.88,76.37,73.83,74.54,5925910.0,0.0,1.0,75.294588868606,75.780808538422,73.260404535703,73.964926914416,5925910.0
2015-02-23,77.53,78.34,76.98,77.58,2451457.0,0.0,1.0,76.931859185332,77.735610068089,76.38610241309,76.981473437354,2451457.0
2015-02-20,76.27,77.8,76.23,77.43,3376598.0,0.0,1.0,75.681580034378,77.199776146251,75.64188863276,76.832630681288,3376598.0
2015-02-19,77.48,77.61,76.23,76.34,2301575.0,0.0,1.0,76.88224493331,77.011241988567,75.64188863276,75.751039987208,2301575.0
2015-02-18,77.04,77.86,75.61,77.85,3486329.0,0.0,1.0,76.445639515517,77.259313248678,75.026671907687,77.249390398273,3486329.0
2015-02-17,76.94,77.88,76.26,76.49,2680923.0,0.0,1.0,76.346411011473,77.279158949486,75.671657183973,75.899882743274,2680923.0
2015-02-13,77.16,77.32,76.0101,76.61,1772030.0,0.0,1.0,76.564713720369,76.72347932684,75.423685152367,76.018956948127,1772030.0
2015-02-12,76.65,77.23,76.01,77.02,1912426.0,0.0,1.0,76.058648349745,76.6341736732,75.423585923863,76.425793814708,1912426.0
2015-02-11,76.89,77.565,76.0,76.49,2586249.0,0.0,1.0,76.296796759451,76.966589161748,75.413663073459,75.899882743274,2586249.0
2015-02-10,75.83,76.96,75.08,76.67,3680980.0,0.0,1.0,75.244974616584,76.366256712281,74.500760836254,76.078494050554,3680980.0
2015-02-09,76.01,76.43,75.47,75.75,2696514.0,0.0,1.0,75.423585923863,75.840345640848,74.887752002025,75.165591813349,2696514.0
2015-02-06,79.16,79.17,75.59,76.01,4240597.0,0.0,1.0,78.54928380125,78.559206651654,75.006826206878,75.423585923863,4240597.0
2015-02-05,78.64,79.47,78.09,79.37,3153682.0,0.0,1.0,78.033295580221,78.856892163786,77.487538807979,78.757663659742,3153682.0
2015-02-04,79.46,79.46,78.15,78.57,4085517.0,0.0,1.0,78.846969313382,78.846969313382,77.547075910405,77.96383562739,4085517.0
2015-02-03,79.93,80.01,78.29,79.73,2771151.0,0.0,1.0,79.313343282389,79.392726085624,77.685995816067,79.114886274301,2771151.0
2015-02-02,79.6,80.0,78.07,79.79,4074015.0,0.0,1.0,78.985889219044,79.38280323522,77.46769310717,79.174423376727,4074015.0
2015-01-30,80.62,80.97,79.81,79.81,3138736.0,0.0,1.0,79.998019960293,80.345319724447,79.194269077536,79.194269077536,3138736.0
2015-01-29,80.61,81.115,80.06,80.95,2685990.0,0.0,1.0,79.988097109888,80.489201055311,79.442340337646,80.325474023638,2685990.0
2015-01-28,80.8,81.93,80.66,80.75,2437703.0,0.0,1.0,80.176631267572,81.297913363269,80.03771136191,80.12701701555,2437703.0
2015-01-26,80.41,80.65,79.63,80.65,3254444.0,0.0,1.0,79.7896401018,80.027788511506,79.015657770257,80.027788511506,3254444.0
2015-01-23,80.41,80.68,79.85,80.43,4701749.0,0.0,1.0,79.7896401018,80.057557062719,79.233960479154,79.809485802609,4701749.0
2015-01-22,78.66,80.06,78.65,80.06,3156399.0,0.0,1.0,78.05314128103,79.442340337646,78.043218430625,79.442340337646,3156399.0
2015-01-21,78.51,78.67,77.91,78.34,3027208.0,0.0,1.0,77.904298524964,78.063064131434,77.3089275007,77.735610068089,3027208.0
2015-01-20,78.29,79.82,78.15,78.81,4467076.0,0.211,1.0,77.685995816067,79.20419192794,77.547075910405,78.201984037096,4467076.0
2015-01-15,77.69,78.12,76.87,77.71,4253734.0,0.0,1.0,76.884779233899,77.310322483617,76.073278153042,76.904571943189,4253734.0
2015-01-14,77.18,78.0,76.76,77.62,2620804.0,0.0,1.0,76.380065147025,77.191566227882,75.964418251952,76.815504751387,2620804.0
2015-01-13,76.94,77.75,76.54,77.23,2660621.0,0.0,1.0,76.142552635554,76.944157361767,75.74669844977,76.429546920248,2660621.0
2015-01-12,76.175,77.06,76.05,76.94,1798624.0,0.0,1.0,75.385481505243,76.26130889129,75.261777072185,76.142552635554,1798624.0
2015-01-08,76.86,76.86,75.32,76.07,3675585.0,0.0,1.0,76.063381798398,76.063381798398,74.539343183129,75.281569781474,3675585.0
2015-01-06,74.1,75.66,73.97,75.32,4303719.0,0.0,1.0,73.331987916488,74.875819241046,73.203335306108,74.539343183129,4303719.0
2015-01-05,72.72,73.9,72.46,73.68,2789368.0,0.0,1.0,71.966290975533,73.134060823596,71.708985754774,72.916341021415,2789368.0
2015-01-02,71.94,73.73,71.89,73.31,1986211.0,0.0,1.0,71.194375313254,72.965822794638,71.144893540031,72.550175899565,1986211.0
2014-12-31,73.02,73.38,71.64,71.7,1471903.0,0.0,1.0,72.263181614871,72.619450382077,70.897484673916,70.956862801784,1471903.0
2014-12-30,72.86,73.41,72.69,72.89,1782002.0,0.0,1.0,72.104839940558,72.649139446011,71.936601911599,72.134529004491,1782002.0
2014-12-26,71.73,72.59,71.78,72.37,1111601.0,0.0,1.0,70.986551865718,71.837638365153,71.036033638941,71.619918562972,1111601.0
2014-12-24,72.75,73.01,71.73,71.73,1479639.0,0.0,1.0,71.995980039467,72.253285260227,70.986551865718,70.986551865718,1479639.0
2014-12-23,73.67,73.81,72.54,72.62,2472513.0,0.0,1.0,72.90644466677,73.044993631795,71.78815659193,71.867327429087,2472513.0
2014-12-22,71.86,73.56,71.86,73.52,2634896.0,0.0,1.0,71.115204476098,72.79758476568,71.115204476098,72.757999347101,2634896.0
2014-12-19,71.81,72.44,71.34,71.89,4098148.0,0.0,1.0,71.065722702875,71.689193045484,70.600594034578,71.144893540031,4098148.0
2014-12-18,73.22,73.22,71.0401,71.85,3478123.0,0.79,1.0,72.461108707763,72.461108707763,70.303802358787,71.105308121453,3478123.0
2014-12-17,72.2,73.6187,71.98,73.25,2452213.0,0.0,1.0,70.674604162567,72.063330768183,70.459252183125,71.70242042809,2452213.0
2014-12-16,72.71,73.01,71.94,71.99,3348135.0,0.0,1.0,71.173829205821,71.46749099597,70.420097277772,70.469040909463,3348135.0
2014-12-15,74.39,74.74,72.38,72.72,3269846.0,0.0,1.0,72.818335230656,73.160940652497,70.850801236657,71.183617932159,3269846.0
2014-12-10,72.17,73.57,72.0,73.07,3035182.0,0.0,1.0,70.645237983553,72.015659670915,70.478829635801,71.526223354,3035182.0
2014-12-09,71.33,72.43,71.2,72.38,2305916.0,0.0,1.0,69.822984971135,70.899744868348,69.695731528737,70.850801236657,2305916.0
2014-12-05,72.02,72.02,70.41,71.06,2619732.0,0.0,1.0,70.498407088478,70.498407088478,68.922422148011,69.558689360001,2619732.0
2014-12-04,72.33,72.71,72.06,72.56,1835741.0,0.0,1.0,70.801857604965,71.173829205821,70.537561993831,71.026998310746,1835741.0
2014-12-02,72.06,72.64,71.37,72.48,3390312.0,0.0,1.0,70.537561993831,71.105308121453,69.862139876488,70.94868850004,3390312.0
2014-12-01,71.39,72.65,71.16,72.42,2182620.0,0.0,1.0,69.881717329165,71.115096847791,69.656576623384,70.88995614201,2182620.0
2014-11-28,70.98,72.17,70.955,71.55,1188576.0,0.0,1.0,69.480379549294,70.645237983553,69.455907733448,70.038336950578,1188576.0
2014-11-26,70.14,71.06,70.14,71.0,2550812.0,0.0,1.0,68.658126536876,69.558689360001,68.658126536876,69.499957001971,2550812.0
2014-11-25,69.725,70.4,69.57,70.29,2805391.0,0.0,1.0,68.251894393837,68.912633421672,68.100169135593,68.804957431951,2805391.0
2014-11-24,69.75,69.93,69.35,69.73,1774069.0,0.0,1.0,68.276366209683,68.452563283772,67.88481715615,68.256788757006,1774069.0
2014-11-21,69.12,69.73,68.64,69.72,2525564.0,0.0,1.0,67.659676450369,68.256788757006,67.189817586131,68.247000030668,2525564.0
2014-11-20,68.5,68.67,68.01,68.65,1686348.0,0.0,1.0,67.052775417394,67.219183765146,66.573127826817,67.199606312469,1686348.0
2014-11-19,68.86,69.14,68.44,68.52,1237365.0,0.0,1.0,67.405169565573,67.679253903046,66.994043059365,67.072352870071,1237365.0
2014-11-18,68.89,69.24,68.45,69.03,1089306.0,0.0,1.0,67.434535744588,67.777141166429,67.003831785703,67.571577913325,1089306.0
2014-11-17,68.47,69.04,68.42,68.8,1239470.0,0.0,1.0,67.023409238379,67.581366639663,66.974465606688,67.346437207544,1239470.0
2014-11-14,69.17,69.44,68.26,68.66,2432758.0,0.0,1.0,67.708620082061,67.972915693195,66.817845985275,67.209395038807,2432758.0
2014-11-13,68.58,69.51,68.38,69.51,1929428.0,0.0,1.0,67.131085228101,68.041436777563,66.935310701335,68.041436777563,1929428.0
2014-11-12,68.71,68.71,67.86,68.35,1352546.0,0.0,1.0,67.258338670499,67.258338670499,66.426296931743,66.90594452232,1352546.0
2014-11-11,68.66,68.74,68.02,68.52,1009178.0,0.0,1.0,67.209395038807,67.287704849514,66.582916553156,67.072352870071,1009178.0
2014-11-10,68.12,68.71,68.01,68.61,1673824.0,0.0,1.0,66.680803816539,67.258338670499,66.573127826817,67.160451407116,1673824.0
2014-11-07,67.88,68.54,67.61,68.26,2191523.0,0.0,1.0,66.445874384419,67.091930322748,66.181578773285,66.817845985275,2191523.0
2014-11-06,68.82,69.24,67.79,67.86,2227921.0,0.0,1.0,67.36601466022,67.777141166429,66.357775847375,66.426296931743,2227921.0
2014-11-04,68.55,69.14,68.51,69.13,1479751.0,0.0,1.0,67.101719049086,67.679253903046,67.062564143733,67.669465176708,1479751.0
2014-11-03,68.29,68.95,68.19,68.75,2871640.0,0.0,1.0,66.84721216429,67.493268102618,66.749324900907,67.297493575852,2871640.0
2014-10-31,68.33,68.96,67.99,68.51,2648987.0,0.0,1.0,66.886367069643,67.503056828956,66.553550374141,67.062564143733,2648987.0
2014-10-30,67.11,68.03,66.25,67.99,3190438.0,0.0,1.0,65.69214245637,66.592705279494,64.850311991276,66.553550374141,3190438.0
2014-10-29,67.2,68.03,66.74,67.31,6643078.0,0.0,1.0,65.780240993415,66.592705279494,65.329959581853,65.887916983136,6643078.0
2014-10-28,67.5,67.73,66.94,67.48,1517149.0,0.0,1.0,66.073902783564,66.299043489345,65.525734108619,66.054325330887,1517149.0
2014-10-27,66.78,67.43,66.62,67.4,2366365.0,0.0,1.0,65.369114487206,66.005381699196,65.212494865793,65.976015520181,2366365.0
2014-10-24,67.33,67.61,66.6,66.97,2068047.0,0.0,1.0,65.907494435813,66.181578773285,65.192917413116,65.555100287634,2068047.0
2014-10-23,67.85,67.915,67.13,67.84,2447215.0,0.0,1.0,66.416508205404,66.480134926603,65.711719909046,66.406719479066,2447215.0
2014-10-22,67.55,67.74,66.85,67.61,2585748.0,0.0,1.0,66.122846415255,66.308832215683,65.437635571574,66.181578773285,2585748.0
2014-10-21,67.36,67.75,66.74,67.67,2596657.0,0.0,1.0,65.936860614827,66.318620942021,65.329959581853,66.240311131315,2596657.0
2014-10-20,66.44,67.36,66.38,67.36,2354040.0,0.0,1.0,65.036297791703,65.936860614827,64.977565433674,65.936860614827,2354040.0
2014-10-17,66.53,66.59,65.68,66.41,3051212.0,0.0,1.0,65.124396328748,65.183128686778,64.292354589992,65.006931612688,3051212.0
2014-10-16,65.4,66.59,65.4,66.15,2890489.0,0.0,1.0,64.01827025252,65.183128686778,64.01827025252,64.752424727892,2890489.0
2014-10-15,65.72,66.42,65.43,66.06,5560231.0,0.0,1.0,64.331509495345,65.016720339027,64.047636431534,64.664326190848,5560231.0
2014-10-14,66.13,67.33,65.83,66.04,3691602.0,0.0,1.0,64.732847275216,65.907494435813,64.439185485067,64.644748738171,3691602.0
2014-10-13,65.66,66.4325,65.5,65.8,2574256.0,0.0,1.0,64.272777137316,65.02895624695,64.116157515903,64.409819306052,2574256.0
2014-10-10,65.12,66.59,64.81,65.6,3474774.0,0.0,1.0,63.744185915047,65.183128686778,63.44073539856,64.214044779286,3474774.0
2014-10-09,63.64,64.94,63.59,64.54,3069328.0,0.0,1.0,62.295454416978,63.567988840957,62.246510785286,63.176439787425,3069328.0
2014-10-08,62.98,63.74,62.77,63.69,2761628.0,0.0,1.0,61.64939847865,62.393341680361,61.443835225545,62.344398048669,2761628.0
2014-10-07,62.75,63.3,62.57,62.77,2064096.0,0.0,1.0,61.424257772869,61.962637721475,61.248060698779,61.443835225545,2064096.0
2014-10-06,62.92,63.05,62.5101,62.78,2083852.0,0.0,1.0,61.59066612062,61.717919563018,61.189426228013,61.453623951883,2083852.0
2014-10-03,62.66,63.0,62.11,62.74,2287946.0,0.0,1.0,61.336159235824,61.668975931326,60.797779287217,61.41446904653,2287946.0
2014-10-02,62.32,62.74,61.9,62.57,2711404.0,0.0,1.0,61.003342540321,61.41446904653,60.592216034113,61.248060698779,2711404.0
2014-10-01,62.0,62.71,61.99,62.48,2709869.0,0.0,1.0,60.690103297496,61.385102867515,60.680314571157,61.159962161734,2709869.0
2014-09-30,62.09,62.38,61.63,61.95,2427782.0,0.0,1.0,60.77820183454,61.062074898351,60.327920422978,60.641159665804,2427782.0
2014-09-29,62.06,62.38,61.72,62.1,2031973.0,0.0,1.0,60.748835655525,61.062074898351,60.416018960023,60.787990560879,2031973.0
2014-09-26,61.49,62.49,61.33,62.33,2688308.0,0.0,1.0,60.190878254242,61.169750888073,60.034258632829,61.01313126666,2688308.0
2014-09-25,61.09,61.71,61.01,61.43,4182226.0,0.0,1.0,59.79932920071,60.406230233685,59.721019390003,60.132145896212,4182226.0
2014-09-24,60.73,61.6,60.63,61.14,2896246.0,0.0,1.0,59.446935052531,60.298554243963,59.349047789148,59.848272832401,2896246.0
2014-09-23,61.13,61.4,60.66,60.7,2319700.0,0.0,1.0,59.838484106063,60.102779717197,59.378413968163,59.417568873516,2319700.0
2014-09-22,61.09,61.27,60.85,61.04,2203740.0,0.0,1.0,59.79932920071,59.975526274799,59.56439976859,59.750385569018,2203740.0
2014-09-19,61.23,61.44,60.86,61.12,2859101.0,0.0,1.0,59.936371369446,60.14193462255,59.574188494929,59.828695379725,2859101.0
2014-09-18,61.81,61.83,60.75,61.03,2582181.0,0.0,1.0,60.504117497068,60.523694949744,59.466512505207,59.74059684268,2582181.0
