Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,54.53,55.07,54.34,54.81,15581372.0,0.0,1.0,54.53,55.07,54.34,54.81,15581372.0
2015-04-15,54.37,54.91,54.19,54.81,16749554.0,0.0,1.0,54.37,54.91,54.19,54.81,16749554.0
2015-04-14,53.93,54.47,53.571,54.19,29081222.0,0.0,1.0,53.93,54.47,53.571,54.19,29081222.0
2015-04-13,54.33,54.73,54.28,54.59,14681778.0,0.0,1.0,54.33,54.73,54.28,54.59,14681778.0
2015-04-10,54.33,54.48,54.055,54.32,9504997.0,0.0,1.0,54.33,54.48,54.055,54.32,9504997.0
2015-04-09,54.06,54.29,53.73,54.19,10221304.0,0.0,1.0,54.06,54.29,53.73,54.19,10221304.0
2015-04-08,53.98,54.36,53.83,54.0,9742394.0,0.0,1.0,53.98,54.36,53.83,54.0,9742394.0
2015-04-07,54.28,54.39,53.98,54.02,10710943.0,0.0,1.0,54.28,54.39,53.98,54.02,10710943.0
2015-04-06,53.82,54.37,53.56,54.08,10739866.0,0.0,1.0,53.82,54.37,53.56,54.08,10739866.0
2015-04-02,53.95,54.48,53.82,54.37,13345507.0,0.0,1.0,53.95,54.48,53.82,54.37,13345507.0
2015-04-01,54.42,54.42,53.78,53.94,15357705.0,0.0,1.0,54.42,54.42,53.78,53.94,15357705.0
2015-03-31,54.47,54.69,54.19,54.4,13212590.0,0.0,1.0,54.47,54.69,54.19,54.4,13212590.0
2015-03-30,54.39,55.02,54.39,54.77,11605723.0,0.0,1.0,54.39,55.02,54.39,54.77,11605723.0
2015-03-27,54.54,54.595,53.96,54.12,13569594.0,0.0,1.0,54.54,54.595,53.96,54.12,13569594.0
2015-03-26,54.35,54.75,53.97,54.5,14003355.0,0.0,1.0,54.35,54.75,53.97,54.5,14003355.0
2015-03-25,55.26,55.36,54.54,54.54,15315925.0,0.0,1.0,55.26,55.36,54.54,54.54,15315925.0
2015-03-24,55.7,55.87,55.35,55.35,13703865.0,0.0,1.0,55.7,55.87,55.35,55.35,13703865.0
2015-03-23,56.03,56.29,55.73,55.78,14977734.0,0.0,1.0,56.03,56.29,55.73,55.78,14977734.0
2015-03-20,55.53,56.21,55.52,56.01,25480082.0,0.0,1.0,55.53,56.21,55.52,56.01,25480082.0
2015-03-19,55.95,55.98,55.237,55.51,14629262.0,0.0,1.0,55.95,55.98,55.237,55.51,14629262.0
2015-03-18,55.68,56.28,55.49,56.17,19905588.0,0.0,1.0,55.68,56.28,55.49,56.17,19905588.0
2015-03-17,55.5,55.98,55.255,55.91,12996457.0,0.0,1.0,55.5,55.98,55.255,55.91,12996457.0
2015-03-16,55.5,55.815,55.33,55.73,15301276.0,0.0,1.0,55.5,55.815,55.33,55.73,15301276.0
2015-03-13,55.49,55.65,55.02,55.34,17469622.0,0.0,1.0,55.49,55.65,55.02,55.34,17469622.0
2015-03-12,54.52,55.64,54.2,55.59,25956760.0,0.0,1.0,54.52,55.64,54.2,55.59,25956760.0
2015-03-11,53.87,53.99,53.6,53.7,16606462.0,0.0,1.0,53.87,53.99,53.6,53.7,16606462.0
2015-03-10,54.16,54.17,53.29,53.29,18723168.0,0.0,1.0,54.16,54.17,53.29,53.29,18723168.0
2015-03-09,54.78,55.01,54.63,54.67,11937920.0,0.0,1.0,54.78,55.01,54.63,54.67,11937920.0
2015-03-06,54.98,55.49,54.51,54.59,17298431.0,0.0,1.0,54.98,55.49,54.51,54.59,17298431.0
2015-03-05,54.94,55.01,54.65,54.84,9576125.0,0.0,1.0,54.94,55.01,54.65,54.84,9576125.0
2015-03-04,55.17,55.2,54.67,54.82,16630520.0,0.0,1.0,55.17,55.2,54.67,54.82,16630520.0
2015-03-03,55.45,55.5801,55.14,55.45,11753660.0,0.0,1.0,55.45,55.5801,55.14,55.45,11753660.0
